,700015181c,700173546,700099002,700023919c,700116611c,700105787,700023872c,700166262,700111156,700037539c,700100022,700167107,700023337,700099512,700116568c,700102356,700105882,700037453c,700164159c,700032222c
700015181c,0.0010107650880955097,0.002514344192842745,0.02712324458033117,0.0018718258272465101,0.001930799331666037,0.002769482519550884,0.0016303594033559915,0.002009941826875534,0.003663589728166604,0.0026423332255883216,0.002233070606530216,0.0020875454546521524,0.002567541853504489,0.0014612523444189275,0.0016847696526741786,0.0016829284064375095,0.0027838347875868896,0.0015607424758311624,0.004889703962376917,0.001821977321115839
700173546,0.002587657820530093,0.0033597475924738874,0.02850672554244295,0.0031729782821969203,0.003205920230130556,0.004129485472011168,0.002940056449001278,0.003172217469249493,0.004994318688045545,0.004060148453714317,0.003422125561643291,0.0034784670204913684,0.003842046679573488,0.0028262255653801627,0.0029800968688948513,0.003003136039712841,0.004051882517903271,0.002839691839773601,0.006266538430980784,0.003074290844679094
700099002,0.026524970930439453,0.02726635738814933,0.00038338092451960286,0.026017546402091557,0.025456352209559267,0.02957335153257237,0.025155704431753884,0.0280334408384677,0.028445629622471325,0.026465437693167997,0.025351058636725432,0.028569636990536933,0.025230163026805013,0.027130973502823955,0.025683971659945955,0.026612567733195668,0.02764284224153836,0.02717176326672471,0.025300854064815026,0.02539171327443133
700023919c,0.00196836087760913,0.0032421383907289014,0.027824951161090208,0.002120254776224626,0.0025260991715395373,0.0033976252742212226,0.0023594776505118514,0.0024765307709906626,0.004266402961490209,0.0033244512589359586,0.0029160167218541897,0.002806444264255753,0.003166318112169087,0.002204225297746995,0.002402849596213431,0.002361827489306691,0.0033279344436161658,0.0021257993551632697,0.005631097299547158,0.0024649062144913576
700116611c,0.002075685948820417,0.003351320052952475,0.027885057332607703,0.0025867135429963628,0.0020706411063644084,0.0035277513600602047,0.002469639105284485,0.0025753216096240012,0.004163904953001146,0.003328358190163219,0.003019654504395789,0.002931293739107498,0.0030646438731859464,0.0023438747021375674,0.0025168831174391683,0.002469026484736434,0.003428241625510798,0.0022858646733365192,0.0056126957435958255,0.002569123396551325
700105787,0.0026576330567835023,0.0038575183160053225,0.02892787956732968,0.003107435859459465,0.0031540762585951397,0.0032847913256617805,0.002965480817793728,0.0031411376925690663,0.004831621484540531,0.003875132895555889,0.003486286792989335,0.003417451871365587,0.003693248818928394,0.002867886228751075,0.00303233508375672,0.0029939034822009944,0.0037532277256981626,0.002816427998697503,0.005949731657117111,0.0030188392969075274
700023872c,0.0017721198862919298,0.0031081434552854854,0.027838778747568547,0.0024423227504858746,0.002497837084489139,0.0033554731577032696,0.001997598530309777,0.002367201660737592,0.004246404366543965,0.00324351225603597,0.002746110268569405,0.002696935325691971,0.0031697478200290426,0.002048013839136792,0.00222475112758002,0.0022437953375508248,0.003349991984674123,0.002112482434467856,0.005600879837897786,0.0023762550248101646
700166262,0.001953469279823728,0.0029942674621825554,0.02770352533414789,0.002287853442355367,0.002324521479513534,0.0031764571510869487,0.0021141182558087235,0.0017053194883973714,0.0039783686305247075,0.0031087300646381612,0.002676155710615549,0.002584257699919813,0.002947352591498997,0.0022428737443620345,0.0021604360457685395,0.002101127769687695,0.0031433394545864538,0.001942994951187334,0.005305034729440747,0.002227418532473626
700111156,0.0035955425157582943,0.004773209470788797,0.028465989127135688,0.003990821825199279,0.0038027555827202094,0.004946621538662543,0.003837309043042834,0.004027351379177849,0.0031449529660932327,0.003728762766714768,0.004339074185432009,0.00439908215519871,0.0024575926713680057,0.0038259042330403897,0.003916275924054703,0.0039005969292714906,0.004910807811116374,0.0037105197135508844,0.005727704896360038,0.0039304395869421615
700037539c,0.0026361105572007474,0.003941271647001613,0.026949079849952404,0.003154753339938669,0.0030877920546951948,0.0040330650303260105,0.002975219295584304,0.0031987500960012024,0.003789658885529111,0.001210588962518501,0.003530008787197474,0.003343901297471602,0.0026089064045197443,0.002883090380179384,0.0030399251865862505,0.0030162281281931524,0.004020988609768165,0.0028222584062554705,0.0048699298702438885,0.003065401539070793
700100022,0.0024285272665822157,0.003629206490005847,0.02811415537496156,0.0030262459008968136,0.003063627145782416,0.0039543148065015925,0.002754219223509233,0.003003780211421741,0.004816083565698189,0.003855635234385863,0.003079145934726619,0.003345364354894934,0.0036601149970516907,0.0026177739827295933,0.0028233397459149863,0.0028502926859680965,0.0038803976194032846,0.0026947639926626927,0.006152635189463489,0.00297359533964094
