,700015181c,700171066,700116358c,700105153,700038594c,700038806c,700038386,700038702,700161945,700105991,700037453c,700165148,700038956,700016542c,700165778,700015702,700106325c,700016716c,700106229c,700097291
700015181c,0.0008599790106273107,0.005141734216868825,0.007089810230260594,0.008412637174047518,0.007292716472051178,0.005357945379026196,0.00694132009613483,0.006838840843041956,0.006324309821336522,0.006856959497238415,0.0071896119134811235,0.005066467312383439,0.007733433223528613,0.00692536346838151,0.005225770501363945,0.028996641488328586,0.0019342040196515969,0.006845349151706564,0.0052305005886559884,0.005274663514752179
700171066,0.005405283696770368,0.0005077264667098412,0.007058053193515107,0.005817814407532458,0.007419027111242589,0.004741577637631455,0.006390961699868253,0.004888353153837892,0.006378456934476565,0.006957586006230149,0.007002150892368929,0.0008573015318151574,0.0079465743239079,0.0069458621173008675,0.005323623176082944,0.029586191966069982,0.006154960864299606,0.0067398906301083744,0.005592702642563596,0.005330861656696989
700116358c,0.007250553387098287,0.006852913495230657,0.001989590666613589,0.009934716069000949,0.00830200322010102,0.007122477670737527,0.008029114975025151,0.008412126700403916,0.007144510952765063,0.00814433920662676,0.007903576639531602,0.006763649921231716,0.00923112608951988,0.007618531506335705,0.006029652160828396,0.02975063885322855,0.0080000711561234,0.0082031591700312,0.007055312112261587,0.006243325067617329
700105153,0.008277381156462692,0.005447650283677064,0.009564950590112342,0.0056693343037752635,0.0100181735816215,0.0071602503498527596,0.009122597598703498,0.006801876955111415,0.009002274993083778,0.009577393420170822,0.009753482687398228,0.005372546708996155,0.010345793605132865,0.009778889231863423,0.008127400749529754,0.031635805894781266,0.008929106236642396,0.009392907370637422,0.007817090556316788,0.00803381241937697
700038594c,0.007626758105512025,0.0073531653919005876,0.008475785265860887,0.010642103372536944,0.002538577941064907,0.007576268040137114,0.007932637288633266,0.008749173597094748,0.002673350630659899,0.008328606608232477,0.008040409629559415,0.007261299378852394,0.008833215355323863,0.007929165826546852,0.00726862083518055,0.030530635242948682,0.008527477214117342,0.008368708988623413,0.007432534506387269,0.007423529963381179
700038806c,0.005918019454990751,0.0049711487718337565,0.007691301161439866,0.008021687411827764,0.008017148710545695,0.0015825012920034315,0.0071135456221572855,0.0066790732346438475,0.006989575853665903,0.007491178601713447,0.007703084697698105,0.00490750470459439,0.008395747420530564,0.007602442835443903,0.005994990383606456,0.030122785102019267,0.0068364061778855715,0.007362702735537179,0.006259262818366682,0.0059846848706534535
700038386,0.006933908627439665,0.006095451723827458,0.007859115313648508,0.009256351415870985,0.007534102571464231,0.006423818310874911,0.000882805769374023,0.007700295753337898,0.006376616226916018,0.00751886614958538,0.007007484379373541,0.006019306671569016,0.008507861034676788,0.006874311756335568,0.006056980395644463,0.029313853982419955,0.007604349614925787,0.007507108733881424,0.005888543595318036,0.00639882783233355
700038702,0.006869788325550597,0.004659828976952402,0.00826023338578484,0.006935546568682824,0.008410119473700697,0.0060739597523085795,0.0077634610103709985,0.0033109226538605018,0.0074012134696568735,0.008045638758665763,0.00864107048795525,0.004599710310646533,0.00898637094267218,0.00831381511072552,0.006742102058525036,0.030611930055594337,0.00772199195267935,0.008040786202607227,0.006731095984445849,0.006751347918194133
700161945,0.006733860936265284,0.0064348823246088175,0.007426626943289987,0.009734156880853957,0.002721392924074052,0.006722793809100065,0.006837069471058985,0.007836468388743058,0.0006710986186193942,0.007436464942422505,0.007043447036888219,0.006370009926222666,0.008038227346899069,0.006924001642850941,0.006396670370777457,0.02954426140082458,0.0077165974246542045,0.007501365450027488,0.006689926616517702,0.006473225209822767
700105991,0.00699877689879106,0.006749460531253761,0.008134556817057454,0.009928171218428927,0.008137724230166921,0.006922468045397426,0.007686303388464612,0.00817893442681253,0.007138155864688581,0.0027548761256824487,0.008379968964166486,0.0065871805882328546,0.008440214710885326,0.008099297741950659,0.006512598533767942,0.030030658710445482,0.007861149731114327,0.007794830111988227,0.006866910488938121,0.0066133752990629215
