,700098267,700165263c,700164611,700117828c,700037539c,700161945,700014498,700023720c,700173023,700164735,700164891
700098267,0.00043558358794759216,0.007165125920796216,0.007077870957940487,0.019797112323939055,0.0024241278375788885,0.0030918957963732147,0.016445657393144887,0.007908672442884304,0.006613900642188407,0.00810094643811104,0.007013462752355068
700165263c,0.007569694801715452,0.0017968045146591282,0.008161058508674811,0.020960194462478883,0.008298778723573671,0.007843434871835397,0.017610072307760787,0.009090111612745429,0.007622813573259156,0.009165848821332815,0.007900420670325084
700164611,0.007024639022176231,0.007664253511582334,0.0006602833659016613,0.0196440073239766,0.007700706674991031,0.007111672174100264,0.01658646690806016,0.008430068366504197,0.007102149682460936,0.008619401787200786,0.007304362676188555
700117828c,0.020037293491045525,0.02006070519622901,0.020088276806005268,0.0014831405008124735,0.020521316649195,0.01994398955341276,0.01021981253356411,0.021310674026052315,0.01993588535269161,0.021403601980958264,0.02025201063017413
700037539c,0.0023993941353637905,0.007819014950959055,0.0077275971233396095,0.02010912955593913,0.003115554769383439,0.00427007138551099,0.016926763666297858,0.008543142081800409,0.007153869004254938,0.008705964195375693,0.007505453681083245
700161945,0.0031683949848123985,0.007607261235496289,0.007363396773985461,0.02013606270680568,0.004412380048680207,0.0006838392310364315,0.01678051645303595,0.008362139726226129,0.006945124815066617,0.008405131279081459,0.007203550649036187
700014498,0.01592555255344056,0.016192565207300925,0.016284805669663862,0.009783315013948428,0.016561897592424168,0.01592344287163466,0.0004257803216007605,0.01758777468952107,0.016096900524824133,0.017423675867425197,0.016193011387811408
700023720c,0.007725326375143592,0.008402792746886146,0.008286383110010936,0.020534882398864897,0.008367450438323817,0.007940965773656428,0.017654745042542327,0.002815828613076159,0.007845994588168544,0.0094637252803638,0.008272232015068617
700173023,0.006743473670044739,0.0073471617980572015,0.007295076854363187,0.02009398178544185,0.007324459731267694,0.00690895168714334,0.016916407848618722,0.008193614388756612,0.0006009742406588138,0.008142130028965425,0.006888557329566414
700164735,0.00788391555952605,0.008438630413315516,0.008444675382408956,0.020552613171717703,0.008507911494210952,0.007971463305245678,0.01741338631826736,0.009414495305892695,0.007754132592587578,0.002804671195964418,0.0022963739589908637
700164891,0.006933389113007418,0.0074095987391600985,0.007304005944169625,0.01981505717747568,0.007479461506419909,0.006969049470938992,0.016566456564375588,0.008396436880086657,0.0066941695418568075,0.002346278073238001,0.0009393829176370912
