,700171066,700116778c,700173546,700023919c,700165263c,700023872c,700038072c,700117828c,700116730,700106504,700171190,700171324,700024449c,700099512,700172813,700106333,700172498c,700023720c,700106065,700024789,700034254,700173023,700015702,700117239,700163981,700173176,700164870,700119042c,700016716c,700117766
700171066,0.002693780519910978,0.010628987059476685,0.010549147230931043,0.004689154628477522,0.009930198691000928,0.00975665628526938,0.0099692645220469,0.00960763840097368,0.011019494052063324,0.010406339116439223,0.011321709873912858,0.008449275274988,0.01058941966916302,0.007775210321326762,0.010348038696881652,0.01134287685178093,0.01151220475839289,0.010164072955758573,0.007066144661070206,0.010766305274362349,0.00925796881640548,0.006136488258218687,0.010220277479367457,0.009632688036333695,0.010173321655488949,0.010871294875363023,0.015979556559964674,0.009506401097459129,0.013688263572826816,0.0098460638931472
700116778c,0.010194339718643123,0.0027913526642930238,0.005832259718711518,0.01112610615783561,0.008669595723338513,0.010295663629684986,0.00956425248596457,0.010011963609397344,0.01133977509582298,0.011371547362590221,0.012226561493721802,0.009466061817040973,0.011176081951719359,0.0096672388484137,0.010805991611945813,0.011944042025625485,0.01192688240316358,0.011092111212153671,0.010145430311649356,0.011878076882035252,0.00834641758439326,0.010514763478902914,0.011371962415722293,0.010335074888544337,0.007221513438332797,0.00988627207725597,0.012980965443870916,0.01038780233360943,0.013353190828356743,0.010263321595838436
700173546,0.009842197445035656,0.005643539323965135,0.005515354787747136,0.010977375271351841,0.008722671785145644,0.010585649053749424,0.009109810255540687,0.009842687054231535,0.011105666370972449,0.010552888366575162,0.012154403269049815,0.008883095437680793,0.011350419009378585,0.009675115574076477,0.010408264013904106,0.011354774042936515,0.012357721551608108,0.011414771229752143,0.009939840200789748,0.01117101121939562,0.008217210246387127,0.01031334890840572,0.010869442244198987,0.010266606348753149,0.008112999789932069,0.010215941831322664,0.015276114137604074,0.009870031211123342,0.01383668679046782,0.009980574420629109
700023919c,0.004516774396074806,0.011142614879018995,0.0114157667462618,0.004365253703979871,0.010116373848047682,0.01194838531199098,0.010063020799105595,0.010377681084332476,0.011396016350088972,0.010702821509174749,0.011967468107605794,0.008789523320225754,0.011082139468664196,0.008675697603413352,0.011245814543299678,0.011832906213994684,0.012068346921450195,0.011563682590208877,0.008069121277542642,0.01112310091686324,0.009154316165568069,0.006789137177183768,0.011132423767683804,0.009951883936581349,0.010946318072471976,0.010969560152450413,0.0066500951392424535,0.00968599337064567,0.014531794661430597,0.010191788779151872
700165263c,0.009980575544549992,0.009075527614159778,0.009386545986344268,0.010549385501024728,0.0056582119377478,0.010727405838352052,0.008387981938759288,0.008870664674293762,0.01114139894797107,0.008655761881316034,0.012162241773464505,0.0077824828671266425,0.010538967578519734,0.009012195587449062,0.009662990112458992,0.010943258457466193,0.01239310092844596,0.010731255465179213,0.008163603260633073,0.009907319635582331,0.007452279260887574,0.009599054204609169,0.010145622715034415,0.010389974694208402,0.005702113043701695,0.008981033800296169,0.00866000627926636,0.008635023883465641,0.014771715077357715,0.008384811300289022
700023872c,0.009145875469876236,0.009905861018381977,0.01052385842767714,0.01148305980165662,0.01014918740315624,0.006697460436261627,0.00985295994952745,0.010054238231271714,0.010993553954052564,0.010355233407779269,0.011214245055262013,0.009399085924315924,0.009557757539143764,0.008712442340951403,0.011184838355124536,0.010274876808927552,0.012247023754931636,0.010651574202343986,0.008632878250252763,0.011327895078518328,0.009660333698442778,0.011967846220117446,0.011877570928020638,0.009109164083885578,0.009385235486080385,0.012490530900542448,0.017205477864632845,0.009108662097124279,0.014791380669037629,0.01034533846520842
700038072c,0.010159462937210985,0.010132838711725243,0.010003371053051834,0.01068107672842638,0.008512716877439897,0.010718782166288037,0.005300336739778403,0.009167690554148001,0.011426106011685007,0.009436516040333224,0.012228448255058295,0.005694349340789715,0.01011747897809176,0.00914591155578175,0.010012853290048569,0.010158720759156513,0.011846503644787764,0.010437031366299669,0.008938293269582322,0.010162852249430948,0.0072893588095673655,0.009557728473429077,0.0103424838237698,0.010675309971515242,0.00883507756598173,0.010004161462911255,0.0078095267068563215,0.009021247158092594,0.014731605084694715,0.009103400589639668
700117828c,0.009255382722566506,0.010038035102199621,0.010166804812602142,0.010378810477235413,0.0085117401902849,0.010308005847067368,0.008655346107972655,0.004845524381379017,0.011183226168858923,0.009555601146241035,0.011770975937283743,0.0075007545610420645,0.009959769828354524,0.008790157118956117,0.009357634759921036,0.010704562127032602,0.011717931993268857,0.009986757993869956,0.008561208396357716,0.007901136588831048,0.008283922414328059,0.009064165749341676,0.008960420637756594,0.010295061399473776,0.008297049038917911,0.009906248546068013,0.009818508692099165,0.008695727834518253,0.014660583807161887,0.0072465193269331965
700116730,0.010723985047274022,0.011508134570115923,0.011612824984329598,0.011536270124758186,0.010811257925528341,0.011538487624387798,0.010936548454441716,0.011303006803650515,0.002988220830498314,0.011575733142819516,0.01280662923459712,0.009929316413278063,0.0119140524558367,0.00952459755530238,0.01186328443999699,0.01209110583831362,0.012110632262949249,0.011899564631411966,0.01048323974974067,0.012400675605239652,0.010503156873546336,0.010966434317259669,0.0117286396272589,0.010296195730240749,0.010874095933580056,0.011860523910924438,0.012549920124297186,0.010915622153753038,0.01376953121918514,0.011077004031107
700106504,0.010383170985707641,0.011819245074759621,0.011313479471193887,0.011110060110012754,0.008584953574292675,0.011035613781999142,0.009226517495870612,0.009880302318659457,0.011855695326520985,0.0036498666929539367,0.012447863306670234,0.007461128186723942,0.011279344228389521,0.00963701338220078,0.010202647142575258,0.010767754035884218,0.01240541159829144,0.011896395843260393,0.006763807159228424,0.008980252974808466,0.008724620893406834,0.0109958102995664,0.010270506551584218,0.010948518842564346,0.011487185945025786,0.007659875496276439,0.01221602383811185,0.00819781981197408,0.013863487578286178,0.008290260867139467
