,700013603,700116358c,700105787,700021306c,700023634c,700023872c,700165311,700175181,700095647,700100432,700117000,700164735,700021361,700016716c,700024318
700013603,0.0005462306277917851,0.009564711392308654,0.008708433757084992,0.008453622946234248,0.009745442108356123,0.00832472608028118,0.0069533711374412405,0.008992917754044262,0.008035166351529949,0.007353985529928669,0.00720153238230062,0.00878396581155265,0.008556790979788764,0.00797191036063802,0.0071597643860956545
700116358c,0.008747768786133571,0.003283279318524919,0.01005158093361045,0.008021766302959395,0.020680589781636647,0.006795991285276087,0.007736976086851878,0.009419645335617148,0.008463746442339397,0.008627693910857796,0.014139205559525891,0.010187422430119742,0.010037248089742285,0.009681594966888179,0.01026473935820155
700105787,0.008661946534526403,0.01078872570088388,0.003333558947010773,0.0063009279581672795,0.008023253896816912,0.007709260864017141,0.007308113661057028,0.0071494996565353965,0.006348192403623816,0.009097720957484573,0.008045977184058278,0.007143806525498616,0.008567581011859522,0.006580272321922635,0.007915507874146233
700021306c,0.00802008401117171,0.008675680082676508,0.006032269027096744,0.0042352843838910454,0.008548124631956571,0.006997378586166956,0.007044651315847669,0.006414443969221777,0.006268152864168383,0.008631164108863349,0.00767112780819517,0.006681428660640724,0.008111756323538982,0.00607144053927793,0.0075695407849479795
700023634c,0.009031058929421642,0.020530004647695718,0.007532376013792238,0.008498618349262705,0.005701439281457204,0.007506592603627194,0.007089737508207385,0.007047882254297264,0.007436819364564047,0.010323190807278306,0.009370499263611144,0.009463462343229279,0.009174591204774185,0.006864434228867488,0.008175328927633993
700023872c,0.008294398815924323,0.007403927249488486,0.0077175440842399655,0.0073321190307373985,0.008045818533536959,0.0050027237443733535,0.007122189191103611,0.007250397070222621,0.00641926216340869,0.008590234153467265,0.007905280106415157,0.0072546092027420675,0.008293242636967546,0.006424710308388819,0.0077053517854506
700165311,0.00659057607242499,0.00800357731766985,0.006982986466981091,0.007036644364008901,0.007209901184396787,0.006787711332298972,0.0022930959933280736,0.006830194550753921,0.006233756488449932,0.0071832440321049455,0.005816141272910363,0.006759441949346941,0.0068096426594785615,0.006146894935493253,0.0054603384323281545
700175181,0.008482424009045595,0.009959641587556762,0.006780448663973907,0.006358543167747586,0.007151303379923941,0.006863366672659349,0.006777076678294474,0.004488719688617201,0.006008220478921491,0.008721390932819584,0.007673726342181899,0.00527581632168411,0.007926175161497665,0.005155712021470229,0.007393568531391849
700095647,0.00782782019416839,0.009081104420437738,0.006214518425964313,0.006416608390445724,0.00773276404468867,0.0062676503964645535,0.006398357689246045,0.006206844478405527,0.004998477661337179,0.008305733083249889,0.007191768932799542,0.006322312888353312,0.007561379018151236,0.0054418681360820925,0.0070107322566690155
700100432,0.006967216015399656,0.00905624364587863,0.008689982502076808,0.008624305268302301,0.010446155739351315,0.00816745610651181,0.007181878698401712,0.008785927675844823,0.008081257170958128,0.0009592166414025274,0.006519751170319135,0.008893638605301759,0.008162705625452809,0.008185773927486966,0.006605274427188904
700117000,0.0072925490450778405,0.01483078104905694,0.008195085199973017,0.008181294598236438,0.009944862053385914,0.008040462189917932,0.006204859438244343,0.008236510448869909,0.007481569128975839,0.006978750316536375,0.0012920666681455494,0.008280403874189194,0.007432020268958969,0.007529743737659492,0.005163933939100965
700164735,0.008238501232984705,0.010726426096705226,0.0067421342694289,0.006596829407097782,0.009294755051261363,0.006831947664249754,0.006672721954320492,0.005245956505041421,0.0060987596235989325,0.008788626349753845,0.007690707172578445,0.004539088512809921,0.008005510292865517,0.0053286019547202895,0.007370666194511838
700021361,0.007955491122748628,0.010484908104358908,0.008017202224158212,0.007908312595322563,0.009109333180714007,0.007718397213142997,0.006651568604960036,0.007795504931620454,0.007191061683120661,0.007980790928455656,0.0068122204126684184,0.007912308323584935,0.0058228525701201845,0.007013522241270667,0.00662981792204635
700016716c,0.008297188486068988,0.010545807714329464,0.006884679379064292,0.0066225802545200035,0.00754623048760915,0.006702942423638037,0.0067332628838034205,0.00568285996617092,0.005806359145056761,0.00895629547817123,0.007726445986075705,0.005896730530311914,0.007828414429457684,0.004501751186056567,0.007551345309890228
700024318,0.007339113327324337,0.010899866711154279,0.00815774990666017,0.008156923517406076,0.00889705573478123,0.00793162555491613,0.005893075576614325,0.008026340564974636,0.007377339584377606,0.0071409208687528685,0.005224207862312006,0.008037227731450738,0.007294971120544384,0.0074371596504815484,0.0018812923519296368
