,700111439,700116611c,700032068,700106876c,700037852,700106754,700034926,700024086c,700116028,700116296,700016960,700033435,700172927,700172498c,700101366,700037868c,700033153c,700106056,700106170,700117682,700014386,700097688,700164159c,700165778,700038870c,700034166,700106229c,700116401,700024024c
700111439,0.002461484855184437,0.011446038954255595,0.007692636407749488,0.01013260387510453,0.010751959771399491,0.03306395985223804,0.0082841769967768,0.010797934893731338,0.0037051565637671656,0.013009618325027993,0.0070951020877050375,0.005404440589472239,0.006041562777995211,0.010762109660479002,0.006838427726616496,0.04073744668954557,0.010825131953264743,0.0072522797438925955,0.008073682876424586,0.010312937922027771,0.00666771703286285,0.00869739402572496,0.010570820103782156,0.038109440084918414,0.004242628427981557,0.007030597316902614,0.02014233179276001,0.003988204591408404,0.009367737501632636
700116611c,0.011472950646050546,0.002679479824219339,0.010540493885602258,0.012638653702212113,0.011704008884342877,0.03374645302181286,0.012005527978136305,0.003056104311124061,0.012281626925912037,0.005762331415539846,0.010775187702072392,0.011723585711867645,0.010771509920677479,0.002949764083669009,0.010481218334769823,0.041115658798891536,0.0032263743263896,0.010746641783272741,0.011282823184166265,0.0031507768479662342,0.010193199774975629,0.0119250488450906,0.01121531527765392,0.03854376847646265,0.01138758227192351,0.010553548434718623,0.020487155306672902,0.011414165659475091,0.012124795576805795
700032068,0.006971515654116033,0.00951001198112835,0.0025539786392315533,0.008747775455122873,0.009328804046521777,0.031305862295773895,0.008181036476161556,0.00905748316382088,0.007777651110537715,0.012056850070103748,0.002998364621969656,0.007583958442251139,0.006293459291394704,0.009887402360438762,0.0034107321614917445,0.039911042084661716,0.008284063752410633,0.007080958240789241,0.007687739302359937,0.008750193056471931,0.003608422733771906,0.00821035272021436,0.00949281837350118,0.03739916660157222,0.007042310445106798,0.0033541574340836826,0.017949421220025158,0.0072330432355101094,0.008506466216620353
700106876c,0.009503638942578763,0.011840614900049022,0.009080060400867793,0.00300221955456762,0.010811504052492791,0.03281458039458009,0.00709099838515904,0.01113393646564616,0.010084560940706871,0.013217754662764196,0.008746147377930731,0.010007670949769721,0.008353277008798586,0.011271260662478251,0.008650050406112105,0.04070819578827565,0.011106098456735198,0.006520710866628399,0.006289695307035525,0.010486239358420784,0.008169675038131444,0.006879693871102975,0.011090278295954156,0.03815063650207308,0.009243691571534944,0.008751675316823467,0.019715021032589018,0.009683106080628714,0.0042279253264886265
700037852,0.010721390450882134,0.011631141199678991,0.01026092132562368,0.01148063611684096,0.0011567651417130052,0.0321853792018269,0.01074440455640973,0.011112141541666459,0.01134432774260826,0.013312580594984462,0.009899998597114051,0.011016748465083112,0.009880249269987668,0.011130278731499342,0.009398509653601731,0.03986077671571291,0.011165814093452395,0.009673348682208741,0.009886161049597098,0.010498848214442523,0.00942398505355339,0.010660566134833604,0.008589825535467294,0.03725204422692892,0.010464493721566378,0.009843458641841545,0.018240210311617357,0.010625506815328877,0.011033234269033451
700106754,0.030455444611148137,0.031009225315951437,0.032044808812097286,0.03231022714923434,0.029769645947296745,0.0028136825574903122,0.03232727608814357,0.030972266268857643,0.033319243513710385,0.034069410660240836,0.031625085883584834,0.032031147722159974,0.031874672651028765,0.030384436658180088,0.03203664589759537,0.009184062693711598,0.030738390892942374,0.02917469419929577,0.031076075923801717,0.031161079928238043,0.03146674012076587,0.03148648262959637,0.02989449075500832,0.008547774545300533,0.0322302144006343,0.03100622450788564,0.022201744099523173,0.03097543225131865,0.03116476111588138
700034926,0.007622604172689406,0.011005333971101169,0.008315378097375866,0.006923974479299726,0.009909185040962831,0.03209207296769167,0.0020950908114108165,0.010445259188100723,0.008043282060132636,0.0125575205268929,0.0075628130573743655,0.00797901383148402,0.00683344899009598,0.010482998918846095,0.007383652557912066,0.04063758736595796,0.01009114597614582,0.0048535899279231725,0.0046267353214150975,0.00928662453250602,0.007139708260538816,0.0051419102937581215,0.01008023651070086,0.03805693518695461,0.007264945912750006,0.007783832075407511,0.018686124831794847,0.007709448147534017,0.006521840734349253
700024086c,0.010467604215269157,0.0029536343662965557,0.009703136167194641,0.011483073028994956,0.010812230092269441,0.03251989563904616,0.01101785118739983,0.0013269373180546315,0.011147011522530741,0.00509022543731112,0.009927412616878444,0.010768764725638334,0.01009120710432064,0.0019491576577147641,0.009504702816200682,0.0402078089042829,0.002144537076688286,0.009776596454426795,0.010300810994950949,0.0019780960754252905,0.009248419701124132,0.010935680710597856,0.010239967006945322,0.037634020715171856,0.010240558422442965,0.009848231321046794,0.020025880412505945,0.010456419401425296,0.011171840656519905
700116028,0.003425635981086185,0.01123388299156414,0.007892573054844473,0.00986304772358205,0.010455903393112774,0.03304682570278071,0.008028944685964668,0.01056568546734122,0.003156720711139149,0.012843042451830836,0.007284478275567293,0.005654861933043228,0.006333830212343057,0.010462419282963004,0.0069626722597194435,0.04064477209311281,0.010307245699927959,0.007238380495118574,0.00804216389634055,0.00980814114135955,0.0069132127498849425,0.008534112918875845,0.01033590809698608,0.0381404073751964,0.00460562514117068,0.007123948995900685,0.019302507823994848,0.004369242200995021,0.009239585256488277
700116296,0.011867436079385844,0.005222395329440317,0.012154938442755513,0.012818678532735044,0.012179345700667223,0.033532006896346674,0.012444358038167942,0.004777574431062672,0.012751809107027792,0.004957016077428535,0.011440331371471902,0.011984025705305086,0.01130753154726843,0.00464569964898459,0.010996139140622392,0.04157772167517683,0.004919842444433846,0.01124386122685862,0.011619587947997122,0.004965895950327513,0.010849978598071642,0.012254237524415635,0.011695980195954523,0.03883918608069028,0.011765129651687656,0.01134710053432468,0.02139622169464187,0.011891838209334493,0.012519018132385555
