,700023788,700023578,700015250c,700035861,700023634c,700165263c,700023872c,700038806c,700024086c,700165634,700014837,700175086,700024752,700175181,700172498c,700165148,700173176,700035747,700117755
700023788,0.0020429799954966997,0.009807898776265724,0.00998616775530466,0.010924590536188529,0.011778708716506265,0.01233684030537296,0.011454368219738336,0.01059940003345375,0.010208957588073973,0.011117948886492516,0.010607537220950472,0.011488691325797731,0.010213609769405472,0.011190219876025377,0.01136756524862984,0.009734962685833322,0.01491780636236664,0.009974727173523065,0.010324520626586068
700023578,0.01025435321460503,0.0015212112482078425,0.010510035037116942,0.011447056938827518,0.011590375613088994,0.012479121778600735,0.011586427755358907,0.010541505827918171,0.009862378436322304,0.010709681161396022,0.010600527764038236,0.011846132946763935,0.009525436511795885,0.010898069576532722,0.011220124217857456,0.010197087560467577,0.015457103790190854,0.01066933605397252,0.009592770121686528
700015250c,0.010361050554017905,0.010439744459740292,0.002721800613259452,0.012426301266842785,0.011629847287678808,0.01309827565504653,0.012196007875556908,0.01175528058038259,0.01109466199952007,0.01151198766827721,0.011305106467855026,0.012394757662906793,0.010956636719732534,0.011991364645419531,0.012379954590239122,0.009601493519881031,0.01568747646596058,0.011138361116180823,0.011753993424111564
700035861,0.010853591420945162,0.01093940091983674,0.01198843009501442,0.0032143416594201104,0.014225374032223154,0.01345946551655305,0.011992025237230659,0.012116325845258041,0.011768077289899691,0.014214076384193319,0.01178787264248435,0.012454631104525606,0.012577683952450413,0.012385393017503963,0.01427038182627875,0.010844964289458822,0.0150692705853947,0.01049000814366111,0.014754332873405928
700023634c,0.011742747862819073,0.011063202802410427,0.011142528259094606,0.014198606583410444,0.006279462599445031,0.013247353931022485,0.012293728568913346,0.013303039142292146,0.012143009945972323,0.012701792564632495,0.011527532024416205,0.012578694872673572,0.012445787362664598,0.012190722489088023,0.014038347940860228,0.010850209946173157,0.015783866059588897,0.01091827085693949,0.01468162296979604
700165263c,0.012515931358700428,0.012109404678221128,0.012802163127500429,0.013711919473934709,0.013521506887326834,0.0023566454075885407,0.010885166563167013,0.013162857069920259,0.01261581336099036,0.012474353202539177,0.012979702100915948,0.014241675490253966,0.012373073531953046,0.013725372148244574,0.013272019094997542,0.012099599234333892,0.015510380272514638,0.012963716629851962,0.013348165880636531
700023872c,0.012218582731079664,0.011829356703409984,0.012527874081432784,0.012786115421290729,0.013135476098930022,0.011438788378288241,0.002435243963776141,0.012819404339438284,0.012164508139553595,0.012376586720590823,0.012759234243944359,0.013883153342353634,0.012390449819954824,0.01338166521148662,0.012773228107198602,0.011939855218676573,0.015636734863191126,0.01281986714809621,0.012866461352264946
700038806c,0.010540085533721013,0.010048991525119831,0.01126354864103071,0.012101701446885485,0.013274075116688471,0.012914780616086642,0.012002638811810993,0.0026664356513561,0.011261351473721991,0.010710576515492723,0.011178659777252091,0.012404066159501235,0.010773411831544295,0.012102938839670287,0.01316486453054262,0.01051673623013071,0.014778110417566713,0.010787049970611116,0.012222514836776804
700024086c,0.010393425693110456,0.009598475243271431,0.010876311819066837,0.012041893249274004,0.012457856135897543,0.01265670394338588,0.011619452760523756,0.011542163712511657,0.0064714756196365434,0.010952613416595815,0.010922579074282894,0.011972858052225362,0.0106085936763243,0.011357011173207105,0.012651048889638692,0.010118088564305764,0.015017651528632953,0.010638323118149452,0.011640071908115784
700165634,0.011021510268959473,0.010193113280584271,0.011017312800712432,0.01410907424709571,0.01266657098389678,0.012160214853497976,0.01158178054346603,0.010635411283859052,0.01066357113073724,0.003570985547914881,0.006046940496491932,0.010653190783449314,0.01214309428502059,0.012795272265670316,0.01112142269700722,0.010537584382307818,0.014732147385061137,0.010602808730329035,0.012468577930017778
700014837,0.011142554748044068,0.010633803810565657,0.011425172834658916,0.0123970173947228,0.012172439396998871,0.013410066723218988,0.012531359561741548,0.011758341866615795,0.011267616131767027,0.0063196379346015545,0.003514699154633246,0.010567919579617856,0.011556087350398479,0.012738030364342326,0.008219795740303978,0.010870961424854707,0.016279473728366474,0.011304471902407342,0.011839813804094415
700175086,0.011636074935719286,0.011460631936316957,0.01209373005510557,0.012703660137688508,0.012838348576869878,0.014226938586034625,0.013163651158590065,0.012605160818661195,0.01192187869200306,0.010866744630727723,0.010195883200328605,0.009045939461311131,0.012042507865416632,0.013134501066892016,0.012020421831665394,0.011448719741943931,0.016926349744339354,0.009418362681888084,0.012643882719458831
700024752,0.010165751536506454,0.009103750814134172,0.010499114595895762,0.012517723442330505,0.012423916769052598,0.012125144472847469,0.011610259366050256,0.01075826181357336,0.010342835156177394,0.012213370413166929,0.010957377167827858,0.011861573056637594,0.002522532476685815,0.010774983157884914,0.012649919861642264,0.009693698914518468,0.0147198042952378,0.010251612126199416,0.01075072896059108
700175181,0.01132469095953562,0.010551609174526909,0.011672561991566565,0.012547121298441207,0.012439759963590254,0.013682479601278134,0.01270340325916788,0.012306715608895357,0.011280969154799543,0.013084794190753994,0.012270937221724178,0.013123783198063276,0.010952353649688974,0.00374289460198095,0.013369876345391078,0.010954587934001886,0.016516623497533543,0.011760816238460021,0.012078513321163938
700172498c,0.011326483598176541,0.010745373293969613,0.011946644135680813,0.014288304786457259,0.014221320601811163,0.013071213581304848,0.01201207850875225,0.013311633704565751,0.012411520229729396,0.0111689177647035,0.007873390972171572,0.011871542744656858,0.0127138204557247,0.0131888652441899,0.005383525961236472,0.011877178248883643,0.015434241203479453,0.01138633542400588,0.014997887112723709
700165148,0.009742781194013991,0.009764623214924028,0.00925793405041023,0.010862816493133521,0.010912659317353041,0.011929366317946544,0.01121147252212938,0.010572902060089193,0.009948697905840529,0.010610805553084692,0.010375426103180416,0.01132551726222855,0.009720801410039177,0.010839755730985584,0.011891207799879143,0.001292969744474444,0.014238474874522787,0.009697062368119607,0.010678911541116295
700173176,0.01488483934803157,0.014778648771267932,0.015093023397700462,0.015109457902042656,0.015847542805360732,0.01522785825286459,0.01466177706675652,0.014833920022340094,0.014737347414661444,0.014786798548370575,0.015528726855593275,0.01667996758044745,0.014749476716576766,0.016282415056125002,0.015546044284531187,0.014192963713666372,0.0042238946537495005,0.015199759999932241,0.01606737890849703
700035747,0.010649205001548732,0.01086894083593135,0.011447592487283468,0.011187523702046646,0.011776124689671624,0.013610250293890609,0.01279074076454165,0.011558169942279662,0.011167099257133821,0.011349152787385252,0.011482347474342305,0.009924646634274831,0.010988572022759229,0.01238637452027742,0.012163254167925762,0.010313392144705976,0.016181983745030732,0.0032565461752423717,0.011191142409870214
700117755,0.010280475381717656,0.009233560499562105,0.011435139597326264,0.014887186947734887,0.0150004321605415,0.013161649205311007,0.012197852726549614,0.012407082615462488,0.011513874194449913,0.01257520856413803,0.011295152981025156,0.012415623553890776,0.010908642478374609,0.011974574850174185,0.01521131685106445,0.010702002951238005,0.016082902536465733,0.010510559821909885,0.0038885884865516953
