,700013715,700033797,700034254,700037539c,700038072c,700098267,700108095c,700114125,700116148,700116778c,700117992,700164159c,700165634,700171190,700171324,700172498c
700013715,0.0012163212259803805,0.020181240162094577,0.019794049935412835,0.014062789534160429,0.0214493194858613,0.020693396434015215,0.0038571421210226013,0.0016687361249017377,0.010517575562756192,0.021978408603174016,0.02051647241349802,0.02159533860879454,0.0017333481657427607,0.009371143387608253,0.010252112668532815,0.013602748111863077
700033797,0.02057201075351573,0.0009513132357377758,0.018144017775243607,0.01982726035896113,0.0196264254602989,0.014221449359367776,0.01919567341481893,0.020116699683399655,0.02125592234336606,0.02017596135572916,0.018729387284641814,0.019223621927563724,0.020698300971200567,0.020868392447444407,0.01940488525590811,0.017919905048193376
700034254,0.021169991701632036,0.019088571249781396,0.0006589064676191334,0.015067889577785033,0.005931831042227629,0.01920021440292158,0.01866531604459886,0.020438365222377214,0.02151855007297447,0.006192004556858901,0.010524595328110772,0.012078264871927178,0.021494627766493916,0.019806735262212813,0.01729087991925064,0.02104554481517757
700037539c,0.013777509672194193,0.019004110504707423,0.013810292372272975,0.010278659618192241,0.015440702742781295,0.019026577563373368,0.012836297997561847,0.013293226053723954,0.01632871954032043,0.015876241417981406,0.012971843756165589,0.014353680688097134,0.01388039194018879,0.015549735081402229,0.014547144200763987,0.017037037623791065
700038072c,0.02122371904086784,0.019043343394495666,0.005497321656154561,0.015605002737908833,0.004585411281104348,0.018894832439672427,0.01876424087125782,0.020407672845960876,0.02120953040253362,0.007785767431660574,0.011245117166296906,0.01277978086377212,0.021461544552599136,0.019925729361079572,0.017354550664855396,0.0208222536153107
700098267,0.02021619725390784,0.013651331935129395,0.017571499349426003,0.018973290905032174,0.01867704647948493,0.00034453772025255065,0.018492317590948163,0.01952777785843532,0.020671752420405615,0.019215158095709096,0.017294399839631276,0.018508449643779946,0.02018489705965644,0.02043402891713303,0.01868540481046201,0.015192760825230947
700108095c,0.004072041378568424,0.01988112937722827,0.018311077301770562,0.013828052360774912,0.020009765093607405,0.020013136494076027,0.004010490819204442,0.004073040485064323,0.009889636238500766,0.020363034871149138,0.019572007707030017,0.02065487787627797,0.004227062398553382,0.009938473356185138,0.010338292736961973,0.01358831035871092
700114125,0.0016197310858215885,0.019178330964762604,0.018637488608060002,0.013199530167556836,0.020083240211206478,0.019484382249095683,0.0037599228755308372,0.001311166866324683,0.010250904533262845,0.020584006832290367,0.019050494813273356,0.02021776290068796,0.0016147839695538873,0.009107013352208457,0.009858182737254874,0.012855972403731259
700116148,0.010205947218801865,0.02028998536605177,0.01960982771383679,0.016183832874290257,0.02083335000462183,0.02056502181769199,0.009107223501205481,0.010224753839452974,0.002175582080110393,0.021635619580313736,0.019978866940642957,0.021297156879352824,0.010380902111234588,0.009347282152623563,0.004289377796106064,0.015332378522631192
700116778c,0.02134714692865468,0.01924559375823339,0.005648253042666029,0.015735664235803675,0.007648597781249517,0.019088671977477555,0.018740964083295945,0.020499769513112706,0.02163072357978086,0.004786218911014707,0.011331980388559723,0.012933599199694844,0.02159791353651925,0.02003484612748176,0.017408298292544817,0.020935262050933438
700117992,0.020125824954411238,0.01798674676330645,0.009661768296074163,0.012999937682469232,0.011152585668735086,0.017397622243641987,0.018229487872467746,0.019222517028286812,0.02022519184715793,0.011464461364436622,0.001290790772156523,0.006570317125423342,0.020107315007516124,0.019615447435938058,0.017211508110153092,0.019610807888477844
700164159c,0.021647499620000857,0.01894033463549854,0.011319981391663009,0.014677427828749118,0.012937196256989652,0.01899492407070818,0.019557329897790732,0.020795799087859765,0.022008191265997623,0.013337294657355916,0.0067095889937127525,0.003392629719000308,0.021713914070702434,0.021016999609414763,0.018668010620593114,0.021205619247614643
700165634,0.0017749577656758562,0.020748669655379397,0.020488133810573145,0.014497540945604149,0.022142481487981636,0.021103920868554584,0.004085594585088735,0.0017027474308690647,0.010940872322565506,0.022716676652326767,0.020994642029208838,0.022098010299842315,0.0016535947317882498,0.009803205105759459,0.010667695597981454,0.01395932974049057
700171190,0.009940278222991818,0.02170882702861837,0.019595697300974494,0.01683231096748069,0.02137256996506382,0.022173269119849445,0.010010385544299387,0.009916417483401899,0.010202658189278721,0.021873909855727486,0.021158342002633557,0.022280753261813797,0.010183715430822601,0.010622831283249323,0.01089881311370253,0.016346264639923593
700171324,0.010892662761029369,0.02017384762224818,0.017124981509294975,0.015806087440003763,0.01867389150917346,0.020293325740357828,0.010408539882875835,0.010757838192823077,0.004668213641350037,0.01906845299248161,0.01864136474458501,0.019823814535690813,0.011107682681423378,0.010909634350243122,0.005807370828294866,0.01563499836252108
700172498c,0.013345763851247862,0.01725779713798046,0.019351718669628905,0.017068846845220344,0.020663282087794763,0.015263924160848806,0.012616072427085907,0.012964706234512433,0.015494927174916873,0.021174061955016785,0.019582325793208472,0.020765784551500913,0.013402724650082005,0.015116056113764216,0.014430646891017853,0.010460800161257168
