,700015250c,700024086c,700032222c,700034254,700035861,700037539c,700038472,700107398c,700164611,700165455,700172461,700173023
700015250c,0.002591995211069166,0.007640641427057543,0.009162639374832408,0.007323949386720213,0.00817667870154057,0.007624577459529462,0.007121225270828725,0.008054881764763284,0.006934468011370449,0.008236965336574802,0.006831634067809362,0.007166345668809267
700024086c,0.007688746548015778,0.002577749243511437,0.00887947141327795,0.007140166998482554,0.007850453048834851,0.002950585907057943,0.006039133069122822,0.008053626755094289,0.006526454876456249,0.007648098540972009,0.006628445894919025,0.006504619147585597
700032222c,0.00874736055151198,0.008438684183729067,0.0033148675345929675,0.00792073225643051,0.00947478094109846,0.008654434062650507,0.009353423834399053,0.004021531758382982,0.0093623553887937,0.00952788334698745,0.007911858029264033,0.009438872875681743
700034254,0.0072705274116642285,0.007041759576249354,0.008185204978906187,0.001271959872900483,0.007200457211124801,0.007023596241571229,0.006606169477312025,0.007155041578141171,0.0065448237844888185,0.007913892559767655,0.006304577930444387,0.006722824392563162
700035861,0.007934258186635334,0.007576991005628589,0.009545350508996932,0.007048403464320875,0.0021416938872201815,0.007638222293882033,0.007657644358547304,0.006090527600440294,0.007713529624290198,0.008685375759090156,0.007299313937026847,0.007361184330155607
700037539c,0.00758144335786915,0.0029134209877665408,0.009001696407591875,0.0070321532830343175,0.007816456462670986,0.002412601456572327,0.006058492365696567,0.008068203603623881,0.006496484234779484,0.007536407030316331,0.0065413140929343585,0.006490697225807229
700038472,0.006967849458185726,0.005873452530992125,0.009635754851930387,0.006508949756979913,0.007730969849667894,0.005961524714160893,0.0014786736885958735,0.007625792593043173,0.005770616800397401,0.0068791537985757965,0.0058794910539440234,0.006544958504968712
700107398c,0.008075906971991858,0.008028309765356614,0.004164187103219547,0.007231766128680271,0.006297038641472963,0.008142514044153015,0.007810124178767689,0.00220924474750436,0.007393414217679631,0.008908526892033591,0.007470919011338087,0.00759819751603225
700164611,0.006848674572132741,0.006406392045832277,0.00960443408045317,0.006511671481925951,0.007824017630999177,0.0064486197313231245,0.005811006952504287,0.007278528624602008,0.002010920889330839,0.0069864581418261264,0.005671379281860382,0.00581645091047223
700165455,0.00804967091981047,0.007426340027775351,0.009731026349702623,0.007793027150536889,0.00874137456079595,0.007407343890514774,0.006865711306146767,0.008677859962126638,0.006924264248460091,0.0031846906163311077,0.006746536705086425,0.007079103947927007
700172461,0.006700144374509085,0.006460344757781265,0.00816760694781848,0.006227816283193627,0.0073886793536308394,0.006456980837355426,0.005897311949566239,0.007308269130224903,0.005655377287464018,0.006772581535730768,0.0012247580175548767,0.005664674003302151
700173023,0.006972274512555998,0.0062906794116557785,0.009693460970136047,0.0065949124096506394,0.00740007219733171,0.006356212275410905,0.006517625560318583,0.007366726920781575,0.005774515676228089,0.007052036226199643,0.00562841357235713,0.0012242972308902135
