,700013600,700016610c,700016716c,700023578,700023634c,700023872c,700023919c,700024086c,700024233,700024318,700024437,700024545c,700032944,700037123c,700037453c,700037539c,700037632,700097688,700100600,700105372,700106836c,700116201,700117992,700161629,700163772,700164339,700164686,700165052,700165148,700165634,700171573,700172461,700172498c,700175181
700013600,0.0008792678962870303,0.0076464357702594335,0.008398444290642126,0.007908194286340726,0.010026935243131493,0.0076984652132378465,0.007159962902016621,0.007076631636249755,0.00676018664114477,0.010367614276272528,0.007590956689809028,0.006851337958728286,0.007704516326737884,0.007927562255056638,0.007176071283803084,0.00673950100981126,0.0069669879813043884,0.008160063988094065,0.008207586972807499,0.010163828891696893,0.008549282247415772,0.006961735304829999,0.006635935197858047,0.009496410998108759,0.007259835166888413,0.007275879485036937,0.003736723011116562,0.008183013058183192,0.007387686617839914,0.006785011804229651,0.007116368033780165,0.00649571683055651,0.0070144903834555294,0.009323360889065439
700016610c,0.007560761411268958,0.0027886290682870227,0.00897563022909833,0.007038975903602137,0.00857292624709031,0.008344175641743735,0.007066283619133288,0.0062996274100808195,0.007375965129170887,0.011132721657465585,0.007258786804419673,0.007485611603155401,0.00841347648351691,0.007128064175042336,0.007848856429353674,0.005802300600593378,0.0072837425390943015,0.008971232552064085,0.006785218424246421,0.010816957425059377,0.009579555765749582,0.006759012228810296,0.011187865169665126,0.010853136744009104,0.008567708554494782,0.008396843216636637,0.008397107557877197,0.008652841385366861,0.008463631041959827,0.006450380799349198,0.008269645201407863,0.004947527842206436,0.007099289839679366,0.010144039654367831
700016716c,0.008537087530228731,0.009201088496822366,0.0040122009894496624,0.008804416110070087,0.010979195836350817,0.009269269326285844,0.008397281891842358,0.008792036706001366,0.004964775579981976,0.011745543130653614,0.009384847701934313,0.004382138682973239,0.009593135077147751,0.009744864356605154,0.004571735823446406,0.008323595836049111,0.008934417832426985,0.005810167063803438,0.00983127473510072,0.011613417246165837,0.009853485892944833,0.009034292110940235,0.009076590527859082,0.006849938177770113,0.00947207870587789,0.0090500327183762,0.008799208976514572,0.008675315221490378,0.008865643470255036,0.008624948696094065,0.008691758314338388,0.008492718841939084,0.009090389511425349,0.010931488425647463
700023578,0.007974184665905935,0.00716572683510202,0.008733285490178037,0.001973885275710363,0.006233915925444089,0.008449442187362712,0.006674272280689165,0.0067969631747660676,0.006726999094557027,0.011098231472679522,0.008206383834011333,0.006994571359051937,0.008768162747308085,0.004507704324079697,0.007357976396904479,0.006317254795885972,0.007359050621565372,0.008381738267725165,0.007188755507225943,0.010936749283494753,0.009418602757265747,0.00696805562374982,0.009669147286426956,0.009859772273682921,0.008786366788267597,0.00816231251647538,0.008141973731455936,0.008603941316633982,0.00814923555230667,0.0070492699513497025,0.008035638793805698,0.005690933385742563,0.007193629581166749,0.01023497044589609
700023634c,0.009987635334568635,0.00869015072952702,0.010751526224807533,0.006165277569257316,0.0037762594237350875,0.009900478269332732,0.008603136457384874,0.008548781564319825,0.008602788597924101,0.012448881357463665,0.009544519983554099,0.009247571922858062,0.010302284205329434,0.006025498941920082,0.009575583779027844,0.00783390578619443,0.009077311090974129,0.010706826948450106,0.008921266817240597,0.012242033415325914,0.011048989772620726,0.009066358615091868,0.012011331679752064,0.012031940054880143,0.010203934415581756,0.009522026300542536,0.009464987038286094,0.010606526211502324,0.00998353248534985,0.009025850282782542,0.009313000373446848,0.00721097423832014,0.008825737798225979,0.011556809063960534
700023872c,0.008272280608385994,0.00904801572258403,0.009805277372249285,0.00900435832351833,0.010669573279145757,0.002045852286489137,0.00878695260337755,0.0084556382294628,0.00822947089891361,0.011172618020336708,0.009029187687826934,0.008296701364800065,0.00862473607756889,0.009443944197676553,0.008445706398519574,0.008130619239115533,0.009036827463529616,0.008978033860559202,0.009190949872834243,0.011058322115053944,0.002960562597247121,0.008678075235324769,0.010003574100985523,0.010783681836637953,0.008700684190697649,0.008307487411766356,0.008848518980208329,0.008800994808638374,0.007357635387744237,0.008256312408502695,0.008097875627198218,0.008249149665426721,0.00881415077439728,0.010394055218443346
700023919c,0.007463022189092272,0.0073972954232669995,0.008623805215972231,0.006887568687530445,0.008947188782662426,0.008519005069634667,0.0021503643945176443,0.006895494273445069,0.006888927387875341,0.011263404806481987,0.00770677021074473,0.0069838984978823114,0.008490035855536354,0.007691804192105241,0.007404358580470415,0.006324814023937533,0.007242678377512879,0.008427938499654005,0.00751900724581652,0.011099162766781304,0.0097013982145878,0.004899207436331045,0.011503275869434906,0.009825236868109691,0.008586668947786303,0.008113957550495264,0.008360900621061873,0.00861049647830018,0.008509523722845656,0.00663701556104206,0.007840749404690895,0.0060358193539822025,0.006315267734356497,0.010322171198871372
700024086c,0.0072131329099345476,0.006500468267560253,0.00882418055970007,0.0068757455207294335,0.008735824684025577,0.008019341888141091,0.006795962293967893,0.001704282376720347,0.006403968307175096,0.010876599600855522,0.0056501594503381505,0.006960073780617971,0.008561285960451782,0.007317040239762723,0.00730021140701327,0.0016664319670115408,0.005661289068993645,0.008220993044383281,0.007203502270869201,0.010728559418473595,0.008405737618348362,0.00799821834072905,0.009124522227513886,0.009889683530248059,0.007974937285875321,0.008015805393341877,0.007367978495600144,0.008126573501344204,0.007685116018021028,0.004597475081217416,0.00765785968706651,0.005581390727129103,0.0068739389215413385,0.00987826746537368
700024233,0.007477674974291894,0.00819053114968195,0.005421270160983606,0.007383262085235098,0.009528413881182318,0.008492868380307857,0.007315400994761563,0.006960019930459313,0.001677921163384008,0.011334559621329485,0.007750839050060558,0.0043587384232257435,0.008478432521515955,0.00849829792443725,0.0044063820704664716,0.006649997990607711,0.007234488413620093,0.005730602169823245,0.008277031086636227,0.011142334680903055,0.008954126582572072,0.007209337785131571,0.008871139141875371,0.006866557246796052,0.008553207924441152,0.00830448866252177,0.007934121944288665,0.0075335667896865915,0.007942746370980967,0.007080347725872532,0.008158796889215884,0.006952828301886644,0.0077465636034619485,0.01010112466183589
700024318,0.011298693198927946,0.01222246192792626,0.012671878428810979,0.01206227637716376,0.013654667619612168,0.011371211927421424,0.011811270683407094,0.01165916217137906,0.011188281511111968,0.0014616051688937553,0.012581653614293751,0.011537184078796621,0.011198884544248255,0.012668419084287952,0.01183977338047324,0.011191083075687473,0.011812985508325031,0.012102236136997813,0.012585216512125701,0.0013476428377083725,0.012374138093750823,0.011777683920288575,0.01294516387386221,0.013841032623483214,0.011815163133191083,0.011037257512901896,0.01199999670797467,0.012122725422811604,0.011310581746518186,0.011357087278937068,0.010837778035551903,0.011508367630177775,0.011796553223431466,0.013102859415087504
700024437,0.007515887406428322,0.007267661954436585,0.009145232396754473,0.008070312226088045,0.00945324797445062,0.008312552038041677,0.007372951785679373,0.005508999588981672,0.0069640353435433296,0.011438903753660771,0.002467690113536656,0.007585164352549188,0.0085928622611387,0.00754218333495622,0.007965886083397315,0.005005027499622859,0.006501149889006088,0.008766881980821865,0.008345867580870844,0.010967767677294786,0.009156092022889266,0.00765787604719905,0.010935291345936788,0.010520189000075817,0.008765264007346835,0.008560960823194987,0.007961996397505841,0.009120480604372061,0.008190204145682117,0.005182865395194071,0.008370390001911816,0.006195266613524547,0.007457720602788581,0.010111420886210918
700024545c,0.007244516158635884,0.00795266424576637,0.004564266942665485,0.0073300235340461335,0.009760164567068427,0.0081563062602901,0.007079679328049175,0.007212957929440292,0.004158097500840881,0.01112966847709499,0.00804205191749846,0.0015314532008284935,0.008275870866295621,0.00855121507241113,0.0017635917086263882,0.006817650037842477,0.007545224930355339,0.004867800870778795,0.008293201466738488,0.010947422608900767,0.00883508620217759,0.007275759931510653,0.009029764535876996,0.006002258000579357,0.008470404898735127,0.007878230255550565,0.00775085402886942,0.007153812676778196,0.007933945633667311,0.007072731530731136,0.007702356634239576,0.006897275641264888,0.007665798828220502,0.010057578648271746
700032944,0.0078700556223617,0.008657072270801001,0.009615586892831575,0.008888769845911472,0.010583507499442707,0.008179453860217564,0.00829053596170605,0.008558655989776768,0.007795489365744019,0.010425514629059116,0.00887269863498144,0.007971601092238559,0.0016534166680017555,0.00918207993216699,0.008145487041059506,0.00801962030806771,0.008211428461173897,0.008892396694022154,0.009223594400484196,0.010280663953362874,0.008953685015522846,0.008223403173975371,0.009569423885129127,0.01014495065275426,0.008234742011801242,0.00787899310682582,0.008340689142075839,0.00888803858872385,0.007669190742406915,0.008019330586735002,0.007590032236130143,0.008169200314861942,0.008599359424093745,0.009893556085458693
