,700013715,700014498,700015702,700021123,700021295,700021306c,700021361,700021824,700021876,700023113,700023267,700023390,700023578,700023603,700023634c,700023720c,700023788,700023872c,700024024c,700024449c,700032133c,700032222c,700033153c,700033797,700034254,700037868c,700038072c,700038158,700038386,700038472,700038546,700038702,700038806c,700095287,700098669,700099512,700100600,700102356,700103710,700105049,700105237c,700105771,700106465,700106836c,700106876c,700107398c,700108095c,700109383,700110155,700110812,700111296c,700114125,700116778c,700116828,700117000,700117625,700117766,700117828c,700119042c,700123562,700161532,700161856,700161945,700161967,700163030,700163868c,700163981,700164159c,700164611,700165052,700165263c,700165407,700165530,700165875,700171114,700171115c,700171859,700172279,700172393,700172461,700172555,700172726c,700173023,700173546,700175181
700013715,0.0030163926403740165,0.002708650015514086,0.004070243861809952,0.003059553988993816,0.004823219148821006,0.003844610715358885,0.003903800777264769,0.0037259105158022198,0.0032217247973836557,0.0032182092535314867,0.0038516878199253697,0.005689033534246085,0.0030372902892991166,0.004903747082569899,0.004574770115621187,0.003705721235611349,0.003644640651006492,0.003988458393733715,0.004489947427946989,0.004156108309704674,0.004123955130895471,0.0032035822696043492,0.003837620854055223,0.0031506582265744816,0.0030025541930572205,0.0038388880673752377,0.0035376104484935384,0.005397773805861767,0.0035113864267657217,0.0033371838103928497,0.004940230004844444,0.0052609753902513315,0.004435384600930867,0.0031641929900597344,0.003033476074819376,0.0033746436987771673,0.0035685637670877183,0.0043181286658222195,0.00409439309992657,0.00479949200951129,0.0043170841002262185,0.003586549177046908,0.004086591065148985,0.004544997153252516,0.004039602081609804,0.0038930084945927607,0.0051420322397025455,0.002791124059172413,0.0029431960797342443,0.0035290779394028977,0.005204128934679776,0.004002049036415809,0.0036950744927131264,0.003381847625861216,0.0031723865249379227,0.0037279580827250984,0.0040828138098325285,0.00290432811775204,0.004011069660690769,0.005267361599129801,0.0029701832477327006,0.004879529282009806,0.0033333833870336804,0.0033985297407841445,0.0030025700658175706,0.003392983871912879,0.002922181715351196,0.0029567900750018094,0.0035434761322815714,0.0035303228533412204,0.003089182052206614,0.005420018390141195,0.0030291974002298818,0.004650303589950631,0.003175469889195097,0.004119002238389891,0.004873360195463875,0.00539340650994025,0.004720051783455761,0.0035650476727282494,0.004616173036347833,0.003468891655713129,0.003020476975393281,0.00424084859508737,0.0050527004077352885
700014498,0.002762478373743525,0.0006608762258403577,0.0034608794691186615,0.001579234846523322,0.003253554528360104,0.002641925408978049,0.002749415276472911,0.0021677574571394116,0.0019449205107897535,0.0020352524880460337,0.0017868995391266801,0.004364303631537234,0.00214495592396305,0.003627321297215589,0.0029952732482241336,0.002500996813696362,0.0018833589897160972,0.002467444086327101,0.003171372086476879,0.0026559526915902517,0.0031963900814670028,0.0019167613289317487,0.002215788787258961,0.002413940002287579,0.0017400255616322918,0.0029123486674189655,0.0024903389187225073,0.003509606621295336,0.0016802842542425489,0.0018877315411110398,0.003552152706915924,0.0037980489951524674,0.003364028143468108,0.0020430852659988506,0.0015080342545339969,0.0027238057406996936,0.0025831756111139755,0.003177109841676312,0.0027630556449322174,0.004059763006505145,0.0035177173475407666,0.002192835190935399,0.002419362066858456,0.0029541596842015553,0.003064946807262417,0.002618610224510068,0.00380149275584777,0.0013142460735410036,0.0020582635280182874,0.0016986430487665742,0.0044393632791857535,0.0017697456040808163,0.002750911892335705,0.0017002441343358329,0.001897442162013894,0.002791342010136798,0.002786457513811073,0.002260463751856631,0.0027377051958884435,0.004457630781277903,0.0017911902502149005,0.003555231034341096,0.001985400370792297,0.0016498976816604872,0.0017198535414863726,0.0026101353759262406,0.0016722664909808059,0.002304472246283559,0.002050793369233316,0.002115072892600067,0.0013687238875066635,0.003998099732835595,0.0018924057546310673,0.0034735553014191207,0.0018679017944093635,0.0027795911643875995,0.004019920212149776,0.004263659661959278,0.0033936273687702697,0.0017062821088268047,0.003250995691731162,0.002746465391100997,0.001767637746810889,0.0031738381559156667,0.004029499820121242
700015702,0.003999118196506026,0.00334343036706803,0.0034978479478186522,0.0036081451576811295,0.005253350559708223,0.004307654328466987,0.004357342635124818,0.0044077135642699924,0.0037710304210248056,0.0036256768256047733,0.00437582067598183,0.006090344547297889,0.003094200311106229,0.005326924180071447,0.005075561690337409,0.004131716199705601,0.003930543714132848,0.004387830451377455,0.005027434311232107,0.004597643889749771,0.004130960741643834,0.004115072575139902,0.00422753998573136,0.003091160553802344,0.0035473840917796882,0.0038888009868777705,0.004201624276980472,0.006006051495788582,0.003968717292784251,0.003772778363516262,0.005497467749591928,0.005785069620254253,0.004871845038531124,0.004094397331480863,0.0035217229687018814,0.003454081731366803,0.003797813490701304,0.004902643824788668,0.004908159784282124,0.004758909162367025,0.004397472460413833,0.004033210995263466,0.004502035942237675,0.004938580626344675,0.004285579696389292,0.0046493372251979895,0.005740728940445031,0.003278444020423266,0.0029588547126995625,0.004014335998899702,0.005141670868858868,0.004350758247777011,0.003760446810216297,0.0037943068970112933,0.0037195542838097478,0.004661853264803669,0.004474439830732789,0.0027509576311784056,0.004792446654538884,0.0063717954600974016,0.0034414255874416332,0.005655266555553847,0.003804021781257595,0.003922044004721117,0.003461790732191579,0.00341398289326148,0.003377272362168588,0.002848787064926617,0.004121198334407936,0.004126626394446514,0.003534503732907403,0.005966223078037413,0.003446493822317294,0.0050720845958544866,0.003707475269756365,0.004647912503394073,0.0048436426138213015,0.005437746752456687,0.0052817490584122625,0.003924142483689487,0.004940134825305507,0.0034758559303322543,0.0037678796638801813,0.004624750337491986,0.005016162251934201
700021123,0.0029391769119987542,0.0014849109327559585,0.0035183449559907792,0.001497580280040837,0.003729434171118669,0.0028173880926772882,0.0030129546830679737,0.002394332739046941,0.002214777614191767,0.0022482668550853737,0.002169862335521104,0.0045557559623551815,0.002304632481361312,0.0038678266775281993,0.003131097484448137,0.002699449440648314,0.0023391507109511997,0.0026850369383896533,0.0033760667124897096,0.0030324148579565827,0.0034053347560819344,0.002121732350497383,0.0024507076123513293,0.002439462808389764,0.0020185199891581424,0.002951376367856075,0.0027761541242831947,0.0035217619269716557,0.002027955779423276,0.002105641388634951,0.0039547993774233054,0.003890625002215736,0.0032221184506875124,0.002282892348203569,0.001956450793011226,0.002680658597250086,0.0025984246561318695,0.0034255261095823214,0.002906780338888944,0.004156564362834462,0.0035528754055005893,0.0024052351023122645,0.0026923775079931325,0.0031017175618155554,0.0032246500756233165,0.0028691868313323776,0.004200234649392753,0.001745029049626866,0.002104587297670956,0.0021433195067593336,0.004572070420820937,0.002098679116171964,0.002811312262493391,0.002167040198974376,0.0020257803537359017,0.0030172318125616265,0.0030815970029071053,0.0023135762398587595,0.002979578397862562,0.004320466517168412,0.002063115832474379,0.0033030457004613995,0.002148393765519842,0.0020239160008556603,0.0020007725007801123,0.0026786812592835565,0.001854354658082833,0.002344443691258404,0.0022186285668779736,0.002226618177188633,0.0018338850191559513,0.004079324414468167,0.002172665203327414,0.003763120647314423,0.0019827194291412156,0.0027833047588394387,0.004151586514718685,0.004434920428405483,0.0036260799350869284,0.0021107611112024154,0.003456492145328864,0.002657789797414721,0.0019388242768863587,0.0034204220021695213,0.003961306402208519
700021295,0.004958390879766688,0.0032667754396725934,0.00548505645134234,0.003993878539096637,0.0045174877470920685,0.004827624933662474,0.004845090323603824,0.004337362362242024,0.004090969614557882,0.0041481341496317995,0.0039178355728016504,0.00654914979804074,0.004256985781197481,0.005657524093081685,0.005243435295388296,0.004638998570980763,0.0040176824087061955,0.004457878572400144,0.00533226310885901,0.0048063339946016305,0.005332216930620117,0.0038912312028619523,0.004646004970284102,0.004418066134658792,0.003677952456365218,0.004863578931226596,0.0045526606024247,0.005638756467523896,0.003905488327094782,0.004054378277954843,0.005863837208276191,0.005918573628932297,0.0053816208986820465,0.004316636084640597,0.0037572296338051385,0.00458785034443709,0.004620305421346647,0.005492199164196012,0.005065683104833816,0.005899286421653041,0.005584799251493163,0.0043093573234504025,0.004733890498671862,0.005133621427592266,0.004894486510349358,0.004739698233582283,0.006108082115036234,0.003449604037106595,0.004061372490949376,0.004048988182096012,0.006363328323169331,0.0039038982532371377,0.004809368095978237,0.004062216185782469,0.004034803401938349,0.005043916178900502,0.004962129308086187,0.004113466110020548,0.004777689298511891,0.006616156741931289,0.003980785371872717,0.005409754745139109,0.004038790352446179,0.004235413907423253,0.0038275421186299533,0.00447719080719331,0.003965111976659997,0.0041511178212081,0.004218612244508182,0.004334285715554982,0.0035155423294907346,0.0061344404829486235,0.004056107376564999,0.005760803611203515,0.003845557888392199,0.004801155210382653,0.006098822405659576,0.006605394559124578,0.005462645307257838,0.003913293759498906,0.005378436836169967,0.004777875449158368,0.003996014422549795,0.005245117783403462,0.0061395225641941486
700021306c,0.003807262493986341,0.0025685628678269188,0.004341988364653334,0.002915255769055053,0.004656118397318506,0.0026381197521906795,0.0038136669208750497,0.0033216098006725917,0.003047151214563914,0.002962241744230754,0.0033840182137803597,0.005369430218468582,0.00316395799665645,0.004459977113700584,0.0041024364805972505,0.0034612842626906477,0.0033409245562031876,0.00338914279101849,0.004192550291899726,0.0038696339401950923,0.004196113093084638,0.0034045741665923177,0.003364427698094147,0.003262836541784166,0.002826792729907664,0.0038111305512632124,0.003594418924933952,0.004757462409510601,0.0032300967928617966,0.002825551528038268,0.00466017664658773,0.004825358789336168,0.004667057294925058,0.0035354875201157048,0.002903908254372378,0.003428739296860111,0.003478832621959287,0.004052365797910544,0.003855053605605226,0.0047400509713530145,0.004535138329020851,0.0031756739292676394,0.003743067182055455,0.0038646940028817115,0.003969974663661654,0.003982825468806126,0.005121840573667567,0.002697190864287629,0.002911963709363444,0.0032024053471784294,0.00530951576118934,0.0033276248661520003,0.003805144108468262,0.002946548977252594,0.0029885913868583068,0.0039050142932415244,0.0037945543051226935,0.003082070838230368,0.004123428330023955,0.006275492489071274,0.0027810891588404335,0.00450430299342713,0.0028913686857603518,0.003188209497750308,0.002791323733334327,0.003323303790177265,0.0027952257763858607,0.003117919144452263,0.0031866674121108917,0.0032025274397506297,0.002598934228972417,0.005158965077888407,0.0028635439022352996,0.004435683250480235,0.002996225889856035,0.0036929102523828783,0.005034844763755447,0.005599877459552072,0.004458344652233602,0.0031954569585442966,0.004189291952765558,0.0036146841942293457,0.0030142704525922227,0.0040282283444376035,0.005001523218470128
700021361,0.003921383003687257,0.0027008775708641792,0.004446129934849967,0.0031564842680074446,0.004738680653746952,0.0038612121633206415,0.0028562221726295277,0.0034923450836905666,0.0031583161003911173,0.0032744853314166664,0.0035919630095569504,0.005479653387938293,0.0033607969664034643,0.004647620621890791,0.004107911323922701,0.003787771418640259,0.003412581076619518,0.003708555490138744,0.004239484930162326,0.004046544006191264,0.0043521575988603985,0.0030431446704572572,0.0037973432341116926,0.003454904638126755,0.0029606478898593245,0.0040135767062584775,0.0037645257261877444,0.004942730335615829,0.003403906814665166,0.0030348361666094168,0.004867390953517407,0.005072748826151979,0.004640689796067749,0.003275833829385069,0.0029853143977592203,0.0036240726470537516,0.003648396872461368,0.004428437393655324,0.004272038125774984,0.00496837230392817,0.0046015548318714475,0.003365653719715675,0.003918160673785597,0.004321394358207152,0.004149854285153577,0.0038151486501883073,0.005380057060320777,0.0027144450713788956,0.0031891989752987266,0.003461850065704702,0.005475669780083611,0.003528308704361782,0.0037787308372755324,0.0032992247012961916,0.0030278476006949427,0.003980127108545402,0.003933989108797882,0.0031824667815679177,0.003904622932181957,0.005598975378813362,0.00291660310877945,0.004784677993941691,0.0030362121435232275,0.003443493287521416,0.002928843978750069,0.003552574936978982,0.002972847064029286,0.0032434118879611363,0.003335112317813899,0.0033261741896266545,0.0028853625189495333,0.005055524601955019,0.00305200427671728,0.004629549808026309,0.0028250679663499923,0.003877992107768409,0.005259780000396939,0.005791304464807078,0.004568046770053467,0.0032648262910295253,0.004463944465745953,0.0037844471422214337,0.003020257372167064,0.004168041907716437,0.005244952830948924
700021824,0.0036287824325621208,0.0020871462123968226,0.004374944661772681,0.0024237071633366166,0.004096492090611775,0.0032522663191502962,0.003386675635403485,0.001619676364281603,0.002477212179775926,0.0025615103068557642,0.0029500643150530705,0.004428198615307038,0.0030376510273035597,0.004174775051011551,0.0037308929025111205,0.0030947288859734436,0.002758316150314654,0.0031935365958502535,0.003799103399436847,0.0034223744530383236,0.00388902050760932,0.0024519006004026923,0.003009344959705538,0.003267116839236223,0.002310253289281754,0.003635146451498419,0.0031597026442412965,0.0035537795256175486,0.0025788430186772784,0.0025121544630375037,0.0041608078255229546,0.004460531212762179,0.004486285377160769,0.002892599428888206,0.0023336955680120777,0.00341996504686433,0.0033513662222579843,0.0038547879118581625,0.003514007708403402,0.004849125872471945,0.004386919180358505,0.0024832351168868204,0.003418933910697357,0.0035902857987089483,0.0038231243556736036,0.003240444482885331,0.004846780981319134,0.002165531019555256,0.0028763002730547334,0.0028113617257790016,0.00519602507336035,0.0027901090100685096,0.0033047952345192804,0.0026744011516073667,0.0026576782434277416,0.003369782348066916,0.0033078754757734485,0.003045396050304385,0.0033806138347335993,0.005855025479640933,0.002320674196553469,0.004307692166835919,0.002495727229499353,0.0027527588805518004,0.0019074070891564438,0.0033751197775399823,0.002476133507365352,0.0030850219582356456,0.0028162794565086027,0.003022374417007102,0.0023106463386494097,0.004882185499435942,0.002407079591981327,0.004081583811770294,0.0025866366355166287,0.003463268081726966,0.004906826531419079,0.006129261481466459,0.004139550133192101,0.0027137020669722395,0.0038328383397071802,0.0035624119320372153,0.0023434109546375055,0.0037489768618956484,0.00506140798631011
700021876,0.0032439988264193866,0.0019169925505873881,0.003851753464597156,0.002326504501543518,0.004013679233726176,0.0030847476270953167,0.0031579457638567193,0.0025436489770359165,0.0012310793907690013,0.00243491223062403,0.002689927000295302,0.004694308724465274,0.0025787451402480583,0.003962747373361139,0.003355874354342502,0.0029274554882564633,0.0026457950027577565,0.002857025419659477,0.003504156149835841,0.003191917034076607,0.0036034319946927386,0.002132854917886558,0.0027741879198223624,0.002836234647943897,0.002050835792464006,0.0032128166282822026,0.0028908605482038502,0.004011725583573839,0.002369458926774365,0.002198363247312169,0.002930262830307452,0.004179517945084597,0.003641570159027321,0.002466999069087852,0.0022091748406347306,0.0030727586584869872,0.002955910620587565,0.0036093080430004572,0.00325731416136101,0.004422304256890103,0.00398974046579943,0.002609325119718507,0.003235047187314211,0.0033157354186609,0.0035039458886034383,0.002898434828070788,0.004240680089527067,0.001969070839205437,0.0024859653641410785,0.0026271940683111105,0.004784017326362629,0.002679358481184177,0.003132702066090045,0.0024082668388545137,0.002210060417577096,0.003127644810951162,0.0030886969970872814,0.0025965651744548294,0.0029783237647907196,0.00493087343325358,0.001799582895261957,0.0037247736924938416,0.002280395042465424,0.0025320617094602414,0.00207795616116957,0.0029403309407884,0.0022116250414825483,0.0026638071931177573,0.0023978905730898284,0.002459471442088697,0.002102242418638851,0.00452442187382709,0.002254060613867296,0.0035050344792651273,0.002300040093498387,0.0030612309179520467,0.0045138512625955566,0.005117640946847524,0.003737429114797084,0.002500009196831404,0.0036758653716734146,0.003180009071323592,0.002156622539348968,0.0035650568662226765,0.004415031959078606
700023113,0.00336287481102875,0.002084789996718116,0.003847450628096456,0.002450332149276735,0.004234708929186089,0.0031123044196161723,0.003400675022707355,0.0027456980723912596,0.0025288289294025813,0.0019393838628423978,0.0028488389696027863,0.004845577458790348,0.0027000514122620146,0.004089480014213276,0.0035952816311621847,0.00246240793835332,0.0028814051215867767,0.0030036197173650614,0.0037428265889796262,0.0034838473861118643,0.003661433835758257,0.0029840944644813276,0.002888229805256974,0.002769564093916039,0.0024582346185025587,0.003252720137027615,0.0031699788446959867,0.00397659069908546,0.002614545362405989,0.002358558298263856,0.004158299505515144,0.004410762042145954,0.0041074989606086736,0.0030896481008230196,0.002407301283779237,0.00302737171686692,0.0030605579943813483,0.0037792036030547703,0.003417852312736303,0.004408816606940353,0.0040248795468742025,0.002766169536063603,0.0032616465847034614,0.0035580794182339106,0.0036006477560956095,0.0035868880715628068,0.004703982683576293,0.002166859748745073,0.002500558524548742,0.0027376121582514926,0.004851330099654114,0.00276642782340205,0.003309961838893146,0.0025908102323127084,0.0025549038692420957,0.0034983694931833287,0.0033883529328267493,0.0025805687275851775,0.0037573622205587082,0.005823820962499548,0.002350368550219619,0.0041535638270645886,0.002472460625783373,0.002816513350780781,0.002293232788098931,0.002945058455507798,0.0023014470361759176,0.0025868604163313325,0.0027125719416617833,0.0027490176833763007,0.002262388617983816,0.004669002713913101,0.0023967767898294425,0.004023701999354453,0.00254240136878239,0.003322601609292633,0.00454078791232511,0.005141809442987908,0.0040801270481947375,0.0027036653441405117,0.003589289056960666,0.0031511245673333426,0.002620107485520522,0.0038157758482062704,0.004555343933636859
700023267,0.0036984475353247447,0.0016960668395562145,0.004266771429460736,0.002157297785796506,0.003629727521080704,0.003245050686898851,0.0034147703460740667,0.0028896588724921964,0.0025704417267173106,0.0026123356019937473,0.0013874222717110416,0.0047960284319474526,0.0029605940886526356,0.004128048766199941,0.0035461112825802867,0.0031110532156770065,0.0024547284346794615,0.0029742264974484066,0.003735970220920333,0.0031838962321180065,0.00399092512168916,0.00230500362882466,0.0028467245071729353,0.003121484325545269,0.0021164254419212855,0.0035240941920947452,0.0029102384411664683,0.004645617827271723,0.0024463989259803334,0.0024621771190557087,0.004190855125350094,0.004553415288220719,0.004533213661787671,0.0027638394718367152,0.0021204269170659864,0.0034631191482517717,0.0031739392119577822,0.003899403670354201,0.003386074749321598,0.00471616853317545,0.004162528644547108,0.002788806821699,0.0034623321662537922,0.003494142691567464,0.003642442258815239,0.003098508524524891,0.004435534842053476,0.0018927779747955112,0.002884470811911805,0.0026123121227213104,0.00515894413988053,0.001684381166090034,0.0031380311994865934,0.0024001750590398065,0.002530891244751632,0.0033289500598734823,0.0033308698145866305,0.0028985845696907755,0.003177727746603713,0.005760560322030741,0.0023170844085931342,0.004041334660000152,0.0024451338225138356,0.002330668219833594,0.0022387922751314713,0.0032448526412041283,0.002473903575299209,0.002930254625491709,0.002656097669746727,0.002879401595819781,0.001953930211899228,0.004736999618460013,0.0023692793083781374,0.00399074065646568,0.0024177707936742614,0.0032126868719732356,0.004942435198151042,0.006088624862765726,0.0038486571947910254,0.0024614741411331754,0.003877126900671226,0.003436747951448985,0.0024139500169127076,0.0036118933828842886,0.004838078806369069
700023390,0.005399978527302661,0.004042796533402676,0.005872789159932112,0.00449466252774042,0.006032372482148609,0.005131154240567076,0.005169429369300744,0.004322201663711296,0.004415271333945486,0.004379267593423109,0.004771667934523059,0.005254777213441113,0.004710229237830581,0.0058804428100306914,0.00555626886428266,0.004871466208788258,0.004766717121743952,0.004868386282089219,0.005762833249000236,0.00533464878314293,0.005650750196139375,0.0046068716291578,0.004914718478144464,0.00488302362230454,0.004272192383280291,0.005243621778675684,0.004975006434913727,0.005816462773808277,0.004663942409990804,0.004302689471874851,0.0062322714382157494,0.0065624623194448645,0.006306455861542294,0.005025317466015419,0.004425427190867078,0.005067152446911553,0.004979931087030247,0.006046090629154311,0.005755710110520177,0.006341529526665983,0.00601894315408417,0.004316524166079298,0.005312564598567859,0.005685281215188113,0.0054343963778762504,0.005380489643364718,0.0067461362936168615,0.0040864463617337945,0.004519631771695746,0.004872448596625859,0.006684480292522094,0.004771379987357783,0.005109713086431092,0.00472333548893191,0.004456589518642543,0.005553147417115233,0.005283650522112569,0.004441694949986898,0.005395052250971992,0.00786162028683084,0.004270657000900912,0.005973182811225964,0.004546220070115684,0.004682683001164164,0.0033754413533063953,0.004941926648607826,0.00455391114096326,0.0045074547138105004,0.004498199430140848,0.004809771469865716,0.004118050439154777,0.006589323277377608,0.004245784699630076,0.006053218011914872,0.0043683300724918625,0.005274450464639399,0.00660388770881984,0.007080451551321173,0.005935977944382382,0.004690064916971828,0.005595656128222953,0.005328434799895589,0.004503090582641132,0.005632409892193515,0.00668542409154078
