,700013603,700015250c,700015702,700016142c,700016765,700021261,700021902c,700023845,700023872c,700023919c,700024024c,700024086c,700024789,700033665,700033922c,700034254,700035237,700035747,700035861,700037042c,700037539c,700038072c,700038158,700038414,700038594c,700038702,700038761,700038806c,700038870c,700095287,700098267,700098669,700100022,700102905,700103652c,700103710,700105237c,700106065,700106229c,700106325c,700106465,700106504,700106836c,700107398c,700109383,700109564c,700111296c,700113867,700114125,700114911,700116076,700116248,700116468,700116611c,700116778c,700116828,700116865,700117000,700117031,700117069,700117239,700117303,700117625,700117682,700117766,700117828c,700119042c,700119562,700120753,700161429,700161532,700161629,700161742,700161856,700161872,700161945,700163030,700163181,700163699,700163868c,700163981,700164159c,700164417,700164611,700164870,700164891,700165052,700165148,700165263c,700165311,700165530,700165634,700165809,700171066,700171114,700171115c,700171190,700171324,700171441,700171648,700171679,700171916c,700171955,700172068,700172221,700172555,700172726c,700172813,700172870,700173023,700173086,700173176,700173483
700013603,0.0007867189644421961,0.008600052992921563,0.006844621884854052,0.0034357691966983516,0.008339556064374124,0.005398772227476404,0.005194979391771655,0.005704174325602851,0.005874095738130929,0.007415840744883914,0.0070095284462590975,0.007561538334563706,0.006503606809324293,0.005017727724543626,0.005671722464693972,0.0026890849901652194,0.004744130224218697,0.004034750520884811,0.005439687414193428,0.0060379081720179344,0.01125418669680807,0.005855730496177479,0.006927910310632528,0.008167305809088785,0.005943153431479876,0.007151676564069279,0.005626203356220658,0.0057220768438415595,0.004708808781232998,0.005708174078264547,0.005144009494071566,0.0025554886184104304,0.0072042263579588876,0.004296943584711879,0.005597791521878568,0.00580214765930375,0.004778877462961723,0.004549727212809583,0.00637120827250333,0.007006145298934546,0.0038135100187459002,0.005683900347524309,0.005979347487076917,0.004235341462443194,0.0023800082375610675,0.006881155507229862,0.02255913960020569,0.00628470939174445,0.004176391967830873,0.006698523606651991,0.006044950189475034,0.007044092837692422,0.004243302589802348,0.006009931733886652,0.006489316339010449,0.003946602208790852,0.007144486688929942,0.004608012605660365,0.006382747763501546,0.006632159410612311,0.005632041164081233,0.005094030028252149,0.005849346688787819,0.0039770815592624085,0.004230573169867755,0.004811479916197004,0.005021287964854827,0.0066994705499429175,0.006948656025427784,0.0064199768107366115,0.004755679893779756,0.006077963263386422,0.004846032896745881,0.003909263349166635,0.004314451124185199,0.005599996885590715,0.0031869643593467317,0.006097106079486224,0.0071604896268147675,0.00586387166637978,0.0037775563742999626,0.0042402423009398355,0.006979039238097356,0.004214564221565604,0.0052432478022871615,0.005684762699273253,0.004679684615587424,0.005537946369577902,0.004073965161997479,0.005615400787741358,0.004356000763496316,0.004741060897363838,0.00569651837215177,0.00418301683615222,0.006643392167893205,0.006272070850023683,0.00501288737827716,0.004762206882892174,0.004167005427013433,0.005434304850717408,0.006991311108702155,0.004622519829279706,0.007268845751319129,0.005010662851875979,0.004824139467605294,0.004276847376405046,0.003713567955004297,0.005033188963066733,0.005302569278601722,0.0057047612293496894,0.0068452126079599504,0.006517399132270293,0.006875987622969692
700015250c,0.008620467162210304,0.007379935013586339,0.011045504391233594,0.008927596966927737,0.013181650743179636,0.009718932980054698,0.011738419285384612,0.010016007668091806,0.009745425274887188,0.011057735082097949,0.01130144045910149,0.013033124400722908,0.010615455699877787,0.010526432397688908,0.009433738802675739,0.008452725093937498,0.010319525764724667,0.009774309509169295,0.010905934558622482,0.010882910748285901,0.017876329613737994,0.009876983373450362,0.011806207836789992,0.014202753536533141,0.010533209712748614,0.011821965226275972,0.01016256936919985,0.010934078679182058,0.009912184021809487,0.010019776327205078,0.010821377098467774,0.00818608395245044,0.010351972302181493,0.009920760128356246,0.010834513231215653,0.009932688181895653,0.010044447238925683,0.009119288745011602,0.010645142403336272,0.01067007806496729,0.008897136462998795,0.010665376690704718,0.009829867783831586,0.008890829404780145,0.007920985662636439,0.012140203185387834,0.025810949536750984,0.010690445574877354,0.010646127775444334,0.01053274355294502,0.011698013111784119,0.012841757988292552,0.009496743892210429,0.010287927628752629,0.009979003506179997,0.009428860250093287,0.010594830397254009,0.008701189793805485,0.010778141631456963,0.010605928090333552,0.008887014079403129,0.009577481417764305,0.009387578460894929,0.009669543098886365,0.009149372715197031,0.009610586251107967,0.009585731799755387,0.011227827349894135,0.010605517029047258,0.00955872185401279,0.009159785840821572,0.01214486689008624,0.008697468184580465,0.009785153451285809,0.010493196468098159,0.010768746379752954,0.008632627538886557,0.01089184667670063,0.010831404356230116,0.010720065594861682,0.008947399450215457,0.009983169987417925,0.012381362595210128,0.008641928842625617,0.008926389129877695,0.008779044750430393,0.008696002461056162,0.009442932171925393,0.00927067469417851,0.010889234667112288,0.009593797653201166,0.00998779457403084,0.01029842561895182,0.008758253195576488,0.012420723395274154,0.010368833322519448,0.01077342445922348,0.008727782592238088,0.008981492015178696,0.01081542232787196,0.010859897327985613,0.009588043936982107,0.011120931574506339,0.009167518393610722,0.009709380095378436,0.010381033871430486,0.009340828259083193,0.009453100348269818,0.010391253361130484,0.010052316217693636,0.011359663405710782,0.010245241696093749,0.011948268131836614
700015702,0.00763489550868927,0.012219640289104498,0.0073517146986762935,0.008012083025709252,0.009255906772957649,0.008363214080231827,0.009673312226554123,0.008774799897033513,0.00897211186068216,0.01092916742005576,0.01002925952520983,0.010792813188081703,0.009854912880161656,0.008697124088956074,0.008776998212472058,0.007695552142316084,0.009412262861280477,0.008526873326580985,0.009548192704631146,0.009519655081915712,0.015087625412560157,0.009088933425963628,0.009970231082061336,0.011940460906697719,0.008101651754016467,0.010528843172063007,0.008652250361077375,0.00941159025859706,0.008707803838591394,0.00874424400966849,0.00942858445067276,0.0072413251279002805,0.009894445320344577,0.008846894975443598,0.009013480592409704,0.008871843308368828,0.008829439166404728,0.008405195774957106,0.00964032454056874,0.010030022018049837,0.007957089889594192,0.009701418005675987,0.009151482750941275,0.008496726071854099,0.0069984875445329685,0.010283180423113733,0.022422076213804397,0.009450998472257053,0.009298170871932668,0.00950153239293495,0.010354101619815563,0.011675769332887921,0.008269905063010168,0.00955720228260094,0.009367025578800791,0.007936024090225709,0.009759379112605418,0.007867171891281322,0.007954867477560565,0.009531091328582918,0.008935409881925219,0.008295294585199786,0.008922828793957466,0.008463072649074194,0.008589857873305882,0.008384009407631537,0.00893406128528634,0.00994712135671162,0.009864289756151504,0.009401056422653802,0.008169899855259892,0.010219833224507152,0.007904051022831432,0.008409864424319196,0.009402006218964764,0.009340819701676394,0.008043318839650386,0.010207617489692912,0.010380339461418185,0.009463413462858176,0.00779498141037848,0.008099555101707146,0.008551542657944255,0.008177136767645572,0.008440318959580152,0.008732874024897986,0.007832518247115757,0.008627864636097096,0.00827982286748824,0.00885616207647574,0.007458154624148529,0.008646624000520442,0.009117876113014824,0.008098496130661707,0.010438970355506108,0.009550286720648794,0.009534316708610987,0.007513768644241392,0.008310052259572534,0.008871633635032426,0.009720415923971437,0.008647154138525149,0.01005050741024352,0.00817325843686392,0.008526245979340773,0.009347741797443087,0.008314106351536149,0.009022790479741569,0.00845505425214221,0.008688152249745573,0.008747590125672023,0.009144706516472104,0.009890292092986471
700016142c,0.0037351948657331603,0.009626951843261174,0.007777494873693267,0.0017267408110317561,0.008664920391805277,0.006466269313927913,0.006045397747111407,0.006712422172223901,0.007106715336911163,0.008140203858330152,0.008181809955894398,0.00831207955195813,0.007328680913413712,0.005693771892475233,0.006361508105965367,0.0036973430129821215,0.005394284394019036,0.004230209726048316,0.0066705025403173135,0.007134998861915742,0.012588480925933834,0.006657725594418826,0.00754085211491745,0.00941926983065904,0.006791485943096475,0.0083395889330352,0.006650512368594147,0.006678288775159575,0.005148314201801446,0.006474846050002317,0.005788424657779317,0.0034986714828168985,0.007867351682771176,0.002582232240172728,0.0068427513946761045,0.006877838936464907,0.00543257632573778,0.005803833547144493,0.007088520929654736,0.008381577653372956,0.004339656765154772,0.006622183454045496,0.007487472165162374,0.005039721906719319,0.0032545611015794744,0.0075581434839584,0.02269751511873564,0.0069604892196842745,0.00530194492112698,0.007417875012874202,0.006274707865627672,0.007659503034086898,0.004792601425201689,0.006707698493962879,0.007147470160493721,0.004946635000054013,0.007756539801945407,0.005433075237729956,0.007301022645961324,0.007246233876671375,0.00627472999704898,0.00617635326665402,0.007007949552389651,0.0048024425174841776,0.00486798078912489,0.006106800621595377,0.00584713204117166,0.007340381187338586,0.007786093937001334,0.007114515691488348,0.005415457457415761,0.006600360255930743,0.005811067803813123,0.00427518740600731,0.0054020738819203756,0.006148760889823032,0.0034203969835080107,0.007205498116047119,0.007958604169838639,0.006594558387216856,0.004244711014819188,0.005023692997659522,0.00792991062512127,0.005206435800381301,0.006464467927588542,0.006408584565301404,0.0054924089530065025,0.006275159544939308,0.005061640404975982,0.007005328124406877,0.00508854636564796,0.005597276186694388,0.006647273964546973,0.004963469915102695,0.007491499368073347,0.007400527623832047,0.005634007229206866,0.005678220326611377,0.0052589712507704585,0.006294931575174264,0.007680995296257355,0.005660471536918754,0.007989391989512004,0.0058655632920684595,0.006102313286809586,0.005254563751146203,0.004575472953316854,0.0058020480088368945,0.006083192364105195,0.006599105496445028,0.007819863497841532,0.007423339134411892,0.00812330093693137
700016765,0.008487921728919448,0.013372743334004478,0.008467582519337422,0.008119181039001881,0.005406381189421107,0.008539241098474572,0.010764780481884105,0.009017926701149844,0.009065188499957688,0.011289961956050412,0.009897876006667894,0.012137717819747283,0.010189084732886636,0.00974224884583389,0.00891702925482178,0.008130332387601573,0.010405525609360715,0.009091094764603489,0.00950844108774208,0.010012501288439384,0.017310750434022266,0.009465178461315263,0.010809257586299484,0.012853169969094014,0.007889878026695605,0.011521996206159074,0.009059292806009622,0.01025294485088129,0.009277399379218745,0.009453754073985765,0.010256459327452411,0.007677286267105682,0.01051609596115531,0.009107749037110294,0.009776957646186314,0.009479333666432808,0.009390990392162325,0.00864061275089695,0.010293056554756727,0.009981617022547984,0.00842089982080862,0.010119808423754685,0.009146581548977458,0.008607146468945306,0.00749818652726971,0.0116977774674799,0.026348531174259643,0.010093762844650942,0.010047650698193081,0.010110818495150867,0.011345427486095088,0.012737291181920173,0.00902514805254421,0.010085745624530533,0.009464429886634805,0.00846932472865525,0.010344972175534902,0.00815024922586528,0.00804194354893628,0.010119596697313587,0.009541832818030045,0.008624350272479368,0.008909529645478432,0.009274391692396298,0.009034405116173885,0.008749627776904296,0.009211792664002167,0.011193472339065728,0.01064904276798679,0.010344396800571016,0.008805909015081716,0.011422615659188538,0.008193659846119245,0.009272294230762167,0.010411111876237758,0.010306560428712247,0.008369314118482192,0.010623125524630567,0.010973832028482254,0.009857308710579353,0.008777692799699637,0.008678567040634959,0.00942502281988692,0.008393985352373665,0.00835755208400276,0.009191819992634293,0.00813316926979206,0.009023262044031387,0.008738464078039614,0.009656254800480215,0.007925824821222586,0.008940870985853997,0.009723708763074218,0.008594436797880526,0.011295587575835726,0.01041120229156204,0.010412995668707686,0.007989104990923635,0.00861972117696379,0.010078316748743366,0.010294203781584889,0.009191876715026972,0.010621556530846772,0.008623371611952662,0.008888728258029752,0.010168933109121895,0.009137543717750983,0.009138424108916092,0.009021105754428717,0.009513571376732413,0.00918030636592677,0.009592381091909326,0.011109810149859884
700021261,0.005835942853324272,0.01033374690597921,0.008075740046317906,0.006425034416707913,0.009096874342636868,0.0025110673538381915,0.007820590176004453,0.0065574817184019365,0.007065517879224867,0.00823045963513053,0.008462202167782115,0.008635886225851836,0.00808222614452819,0.0066637490781113985,0.00640310612834992,0.005809509246856861,0.007340541111901854,0.007033657385671361,0.00697096372723305,0.007499982026136749,0.012740821536103846,0.007137440917766684,0.0075630953295761265,0.009133008286686698,0.007364624033714143,0.008626999580623844,0.006782688748281066,0.007294847601963576,0.007077951194011042,0.006882598763981121,0.007390147832691502,0.005678972609065271,0.007806880929977848,0.007260556212873888,0.007082718551824132,0.006743211579421738,0.007100974029649537,0.006381497061779279,0.007535614544779777,0.00790005198944077,0.006363274871391415,0.007730966648577905,0.007138621733652584,0.0066607042400084766,0.005451070918760287,0.007874969663255573,0.021238339368309322,0.007480570706621923,0.0070834569706289836,0.007492527246730638,0.008557314516982011,0.009649070069447178,0.00631855704131092,0.00783706026217804,0.007207293580230289,0.0061130174360992055,0.007541745415018397,0.006082111566199882,0.0073503367647282875,0.007584889356239032,0.006649023717159677,0.006339235789689125,0.006734467357411891,0.006472029264570668,0.006839187984879606,0.006459550745243271,0.007012282151983918,0.007887865040211056,0.007662792183998126,0.0074404413011993735,0.0061057825005758565,0.008304255080371928,0.006140331754501658,0.00652545101517684,0.00781194132391287,0.007237049084403804,0.00610704802215307,0.00832137599076672,0.00826400878600581,0.007341474568787856,0.006193216251179242,0.006594226047583827,0.00781635801932356,0.006129238982966499,0.006360558989505514,0.006706911265726834,0.00599084885881171,0.006488483610626549,0.006555505962666878,0.006914116169717578,0.0062431351176838335,0.006581107672567639,0.006707427353426351,0.006248981922120995,0.008526308515138142,0.007591260172332746,0.007816395409826746,0.0059051588093438825,0.006228266513148081,0.006491901705078722,0.0076766617411679035,0.006505938174121756,0.007979964402542084,0.006369214826591485,0.006422490090258396,0.007673107148019617,0.006520297887679364,0.007392877010290017,0.00698149348407153,0.006785893653364696,0.007796817483564452,0.007520376629845369,0.008101577376275476
700021902c,0.005148991795090225,0.011613505148294949,0.008668633229595378,0.005529651364908691,0.010519746913084074,0.00721934602421774,0.004987128034854228,0.007481671329737677,0.007901109201112843,0.010198236553508759,0.008623986363527689,0.009569819830223886,0.008626196870515883,0.006619522698017472,0.007410317500794801,0.005334640383555898,0.007639087117443617,0.0066919414440845225,0.0074210344682286876,0.00778660649486293,0.01332641394979214,0.007828516175473286,0.009168871815430232,0.010633456339813682,0.00818609541657499,0.009957532047343261,0.008043348203895765,0.008227638256427644,0.007104782697022442,0.00767177163182867,0.007499781564798499,0.0052618131565481206,0.008760626392849783,0.006401357180600688,0.007533264171721172,0.007701303448041708,0.005962754591219641,0.007068100108963542,0.008539023422363335,0.009051255190748295,0.006028764457061882,0.00801192610154382,0.0077466768996817875,0.006312673581001203,0.004929221638328377,0.009517935191230344,0.022795286990824993,0.008199205420551895,0.006857869370341254,0.008257420865002266,0.008544532214398978,0.010152823737244769,0.006309277452735297,0.006757035336946071,0.008184318211914383,0.006273507983894016,0.008486627693263728,0.006626622644582662,0.008683179280784365,0.008383174136337183,0.007049355093957329,0.007424659622367258,0.007827083388515777,0.0065136039259061414,0.006386757660887322,0.0065213459013212524,0.007034557581594062,0.009055416267935318,0.009263164064493307,0.008879358853207177,0.006830836903538322,0.00876817778665517,0.0069736217748245614,0.006374856494432537,0.007297225239307934,0.007578206620338604,0.00588069885311049,0.008584658683769175,0.009064509744693751,0.008078434467541779,0.006090626041410079,0.006173340029188914,0.00940273946562955,0.00652514775048433,0.007239358332136222,0.0072726927857877455,0.0066165142111916115,0.007393706563040195,0.006387630612805648,0.00873503286091385,0.007066199585613328,0.006727940380544992,0.007719245898309625,0.00620590847821414,0.009864191576401804,0.008535389626341266,0.006946241592004125,0.0066695381131811095,0.006712244558949047,0.008024434685456107,0.008862805391408421,0.007172584711972119,0.00889896452661294,0.007216214253499878,0.00773524226232587,0.007335034351015704,0.006262779010470576,0.007114320965089642,0.007708998832130582,0.008109940751732778,0.008913868807586772,0.008235546697602928,0.009876193458381652
700023845,0.005812329343047959,0.01018108338530634,0.008051323709169118,0.006300281997356623,0.009024468647582702,0.006183148868896187,0.007701463986158457,0.0029566678481071627,0.00667394593268496,0.008018463753488084,0.007012761514164227,0.008580954423676816,0.007867417318532608,0.00683014879639166,0.006216019541706497,0.0059941784300612975,0.007438119371184082,0.006824933841443326,0.007081561375738882,0.0075196386390921416,0.012641375885182382,0.006800206233607828,0.00772483500935719,0.009324860257871076,0.007267901237099654,0.008294583445836475,0.006646689248971738,0.007258518822428306,0.007023289880081844,0.006569405035895942,0.007544909074083007,0.005677351269707929,0.007411992500744178,0.00725657185085321,0.00722393184570605,0.0032704350150790235,0.00715583779957679,0.006357833556363863,0.006822799113631781,0.007616982535346576,0.006206353006412541,0.0077378718358510614,0.006796557769724504,0.006661945464598195,0.0054906717657579995,0.006430936031606322,0.024146512664160204,0.007333390461748341,0.007323421723468307,0.007551081680796215,0.008418691140301412,0.009785020289573948,0.0066316567889039574,0.007597793046116707,0.007124009163160298,0.005843997698114325,0.007472967734653039,0.005925437579518859,0.007416865211588135,0.007828715305915404,0.006097972559795265,0.0061361954660089325,0.006691318407590329,0.006742440584796227,0.006878692596769808,0.006438028912937667,0.006978379683085741,0.007725944256557111,0.007600699180686181,0.007017954005049583,0.005451374561680552,0.008454351487229382,0.005852762637987627,0.006498100678102719,0.007785094092351422,0.007609943606116203,0.005882410121705139,0.007229292102165434,0.00804873625448383,0.0069639295452711214,0.005937373601421673,0.006421581660970851,0.007956077629932423,0.0059521939505019815,0.006240880427539814,0.0063567317679086325,0.005790482312803806,0.004852503425425967,0.006039980641299478,0.006925034633511475,0.00629605011623558,0.006692400872059786,0.0066437246219948785,0.006082917389701209,0.008592901313480065,0.006242994562734305,0.008022584877393555,0.005734043987014043,0.00540182645479819,0.007163712244992626,0.007648347246367464,0.006397311936662075,0.00810253931698326,0.006243179750795573,0.00661420147024534,0.00785024852730502,0.006774419817459643,0.007332805536062221,0.007001243952162688,0.006667301239000699,0.00784530803147483,0.007227201126820033,0.008220278904390135
700023872c,0.006443844266805546,0.010647900955603784,0.008771115079371028,0.007176085788492205,0.009827348095872082,0.007177467990650002,0.008681936380350573,0.007232740303007487,0.0032427833128945453,0.00923963825260521,0.009314570959550184,0.009138742108523439,0.00632383126703313,0.007155517137121356,0.0073389792792921136,0.006599586824914081,0.007819083564206184,0.007564339353541952,0.008019796321435482,0.007171123633374916,0.012418224742041715,0.007800788822763137,0.007340838266225594,0.008505489340887698,0.008325632219983017,0.009399689264266325,0.006852952865326775,0.007373083716298628,0.0076630377717345575,0.007172100587301104,0.007900682584351466,0.006361259983150974,0.008603296846536386,0.00799968600350171,0.006166490142465646,0.007388302427968848,0.007664242493309104,0.007152301345375623,0.007876544619113137,0.007308059327750568,0.006766891707026996,0.008438426556832333,0.0036501648792285767,0.007460702133539282,0.006053440575592972,0.008565590740726754,0.02160975978691347,0.008253140174382782,0.007815105185258452,0.008151985515083237,0.009308762745026103,0.010261508485276691,0.007052912714563283,0.008336829571576372,0.007976480859653301,0.006634098226628314,0.00824717035233157,0.004726510193905324,0.00814008972854568,0.008552169985755864,0.007264091576767605,0.005015913272800769,0.006482353397440658,0.0072358735171490765,0.007600083322346756,0.005143552268042507,0.0077928578314684725,0.008629025056429464,0.008534913637434215,0.007999459901125992,0.006525824230783363,0.008880423103294637,0.006556886441571753,0.007340108390417432,0.008546271764072758,0.007953704463081662,0.006575668394448478,0.008807461071888616,0.008947589474951905,0.00789897675688756,0.006652877277090128,0.0069922008159132255,0.008578074596271535,0.00660405762217927,0.005753762028662499,0.007364161444367817,0.004367595779324102,0.007020522218905584,0.007013037086348455,0.0059476795435805035,0.006832566689970188,0.0072954776181257805,0.0059487259106968705,0.006698457320679907,0.008741299566173517,0.008361730296634754,0.008502536199807727,0.0064001367241341795,0.0067393532464639855,0.007407715518026364,0.008339373336402887,0.006739458407637957,0.008667875470340598,0.006806166599772067,0.007297979148081088,0.008446465193330244,0.00699700174119747,0.00781402039817923,0.007494065932250577,0.007390190838603341,0.008507145201469302,0.007850012832480796,0.007270190968347812
700023919c,0.0074770793297653715,0.011171850011444691,0.010025133065910151,0.007573240266327675,0.011233687459479821,0.007710506034710264,0.010423615150051612,0.00794443487832088,0.008550159503524642,0.004064666716194789,0.009661626114128258,0.00995338108494375,0.009229028942722315,0.007964199644383095,0.007609253496718236,0.007293473981629405,0.010023470812084998,0.00822425456771037,0.008575891821878453,0.008878881644321698,0.014506688697027089,0.008777323843383167,0.009360732028800792,0.011773737073394649,0.008966008440784438,0.008321057018871168,0.00885175807843143,0.008785567137467217,0.008329980208432043,0.008540336555062755,0.009326652801556394,0.006985126953873369,0.009075241357365227,0.008526807315841099,0.008763586196633606,0.007841959617740698,0.008733068941261895,0.007970038063847579,0.009085611221280454,0.009648235853911504,0.007516910439756814,0.00911495396294391,0.008485086178530195,0.008645467533578153,0.006852651605028418,0.00953677958579904,0.017918230640552788,0.009162843468739914,0.009167406149639117,0.008749161608405335,0.01010035639584397,0.011150604867899237,0.007590946293357756,0.009316974397797509,0.009173077268147629,0.007739910322291295,0.009098833701859353,0.007646754392861066,0.009238248108043853,0.009107640868597904,0.003597170793889963,0.007702229838809019,0.008583750449551297,0.008057900482313406,0.008274932419567472,0.0077616016176421596,0.00870518893013608,0.009768843206409472,0.007198500937931675,0.008412416499217392,0.007768902089519429,0.009894806540899071,0.008037829865151929,0.007993470789922777,0.009022977267362524,0.009068476427328035,0.008293796762742618,0.009969739443400018,0.00900248389232903,0.008785093103839733,0.007383140150707226,0.00825078208270398,0.009647888499661078,0.007988598355939866,0.00809678340132438,0.0033904996843031098,0.007455592281025001,0.008130168562112985,0.008500397105822337,0.00880973706893987,0.008258180911365112,0.00804302087900241,0.00876880191225266,0.007624120405719881,0.010561167896209983,0.009235875209643956,0.009020994321102298,0.007212698729345672,0.008051055130395167,0.008363207628847737,0.008575941867264335,0.008190809378648682,0.009302294685841865,0.008271963501114336,0.00835403772636521,0.00903729257368771,0.008349928748636399,0.008919619212219308,0.008859616419692061,0.008918023322008159,0.009504503804392559,0.008631763237350022,0.009933774800812407
