,700014724,700024086c,700024615,700024673,700033153c,700033435,700037539c,700038072c,700038167,700097196,700097688,700099059,700100022,700101916,700105049,700105306,700113867,700116401,700161629,700165148,700165224,700171114
700014724,0.00254326084260571,0.007965951475422894,0.007713085012856122,0.007746459785580187,0.007791238972851096,0.008396934737408674,0.010567924473476705,0.008449487710998788,0.009101027716280895,0.002060120407772405,0.009163554193648876,0.008484833288626077,0.0030676184874728406,0.008501004431287444,0.0100198362356938,0.007548079613100507,0.008684975543708218,0.008570814306569315,0.00904698166392176,0.02746653581509608,0.008682874260859615,0.00784168431982189
700024086c,0.007637962104204886,0.0013174306562130846,0.007172162946118324,0.007224544783110124,0.007248391059572408,0.00790806684510568,0.001795582367762588,0.007491219030191411,0.008248947327543136,0.007107369261315554,0.008494900844895516,0.00753459270042,0.007664613771575399,0.00797986736590306,0.009570463344180463,0.007029168975359658,0.00818662354285615,0.008286818589310222,0.008206364103119552,0.028765396123290064,0.008028169637891642,0.007286506289825056
700024615,0.007557697012104447,0.0073105264951026415,0.0013296565283237632,0.007032387661437941,0.007264351970736599,0.007758683587811713,0.010960730852289052,0.007689116230700185,0.002768523200269539,0.007035308468778814,0.008362138305948737,0.007725908009431098,0.0076182055905897415,0.00787405303673028,0.009312080124725806,0.0011794186972212534,0.00271534845294533,0.008120538932580704,0.0028414860964311416,0.029132276631981858,0.00811617653672928,0.007307483027976637
700024673,0.007467678769326528,0.007264605866773701,0.006927434947584154,0.0013274215917873262,0.007020563008736384,0.007808894740189217,0.011383095697024307,0.00747017225296891,0.008284885340219993,0.006936046001325557,0.008148182822562057,0.0075470358944575815,0.007462364781561143,0.007911719779302724,0.009297568194699003,0.0067991988933618725,0.00815973984969625,0.007838827942193143,0.00824588072758707,0.023915826859658817,0.008087318667524485,0.002096477606988639
700033153c,0.007912028488856927,0.007654647773164499,0.007525577381074923,0.0073698294299854,0.0015716145993872725,0.008145156432858826,0.011534793512078862,0.007847034486616862,0.008641073604903323,0.007374646520037944,0.0089486388668306,0.008020363395611014,0.007960051787749622,0.0082170717989903,0.009802967159406718,0.007366317430063415,0.00846905540335503,0.008473923447572789,0.0085874443600787,0.030552162317436387,0.008459989697592667,0.007493843996808103
700033435,0.00827944769664196,0.008122877561320813,0.007814716080540915,0.007972048730080823,0.007918344924694828,0.002318669315045196,0.012537612293441252,0.00833571981209922,0.008968501348949604,0.007779518775380571,0.009151732509359595,0.00825779947599306,0.008331119428349807,0.002430808098800588,0.010149225641582597,0.007671929972586464,0.008759926942897777,0.008909218249984752,0.008904412265287095,0.03098288696773857,0.008604456589625888,0.008060346237278011
700037539c,0.00971253811884021,0.0016708306195036637,0.010499003835712643,0.010839247618530369,0.010664966544608268,0.011846708426561981,0.0013218565387884639,0.00898931597699656,0.009417455972011877,0.009157940037481261,0.011411678629578408,0.008145482275166434,0.009320878422390808,0.011996513990290152,0.013316331822357953,0.010515004537869617,0.011785200995405866,0.012146153077063765,0.00939612638848554,0.028736248453525855,0.011414794898256418,0.010663659865721474
700038072c,0.00782699389459386,0.007244358984492515,0.007260537013477056,0.0071850283850942035,0.0071569974777344085,0.007825951958317964,0.009172183918371855,0.0017541492946897112,0.008663323625025629,0.007339921635724322,0.008533037395848627,0.007941881503237,0.00792920118092081,0.007956489739348017,0.009457311735914667,0.007063259202957972,0.008189966273962807,0.008313932476611757,0.008602945127779569,0.026917622615229727,0.00813622845132011,0.007285651029532724
700038167,0.008874537712960182,0.008402785753123414,0.002752884701785212,0.008389050388896079,0.008295534748260738,0.008868091209749381,0.010150885211729707,0.009122307967377634,0.003895462854539283,0.008377773134678489,0.00965918613559376,0.00905394304907374,0.008971267014921031,0.009030578070383283,0.010486268417400508,0.0025501651207459047,0.0037801950635520526,0.009351894737088078,0.004142002011568187,0.02766477594529902,0.009262289764990427,0.008369252907744592
700097196,0.002019854886673882,0.007301407830722594,0.00707197150560861,0.007085209303142952,0.007151289053803291,0.007768582346721573,0.009764975688235379,0.007804280756760922,0.00846140328567721,0.001413248626735841,0.008520977315620274,0.007863927854873309,0.002462344686647124,0.007862285132836927,0.009376147320365147,0.006886582796483634,0.008046001191805322,0.007941236435971654,0.008413509204206623,0.02672669841950914,0.008051459911236477,0.007147770566890048
