,700013597,700013588,700013715,700014724,700015250c,700023509,700023578,700023872c,700024086c,700024509,700033153c,700037539c,700038806c,700100600,700102043,700105580c,700105685,700105991,700106836c,700113114,700113810,700116201,700116468,700116778c,700117625,700117682,700117755,700163238,700163699,700164159c,700164686,700164870,700165311,700165407,700171114,700171648,700172068,700172726c,700172813,700173176
700013597,0.0005429857953237032,0.01186884039599838,0.01067312660238187,0.011065457745031088,0.011613824175088248,0.011201014988022196,0.010400995741535248,0.011288957496750249,0.01111112562758935,0.010173546125043386,0.01064437309649025,0.011841054753490626,0.01058301078866795,0.010731359349140558,0.011926394953501463,0.010919019584193005,0.011915739598282148,0.01134124970802871,0.010082044219598319,0.011717514605171227,0.011738097019684764,0.010172568943223879,0.010054426456893794,0.011279143827542071,0.011224495343594782,0.01028905119447916,0.010279217232578082,0.010538895890819343,0.01049317254321426,0.011172524075159628,0.010133588549981835,0.010733519851612645,0.01007817476701245,0.01138789363398708,0.009963966123048975,0.009249347738786867,0.013569972145544812,0.01074460399220262,0.01150633224692393,0.012123246706792651
700013588,0.011572413458281573,0.002842361679199405,0.012116445451380319,0.01237188827445744,0.01198763021266704,0.01293274487158819,0.01124155228328512,0.012717244462411579,0.01177858798848966,0.012233091490438074,0.011252831961194035,0.012090876800471849,0.012040687597028652,0.015857081666259525,0.01401153480485798,0.012434613891658676,0.01173124291930259,0.0129534379977928,0.01326766989068339,0.012563420339112197,0.01435418692193632,0.012102925369458747,0.011666718246909786,0.011168393559310435,0.010528950995288494,0.012303394387841416,0.011399978538556463,0.01372596653021371,0.010863140159941494,0.012360687719547079,0.011186584746520853,0.009994443277711606,0.011323607249222841,0.013154035585695575,0.011424665081579109,0.010776539262080364,0.01333461437037091,0.01237965596815252,0.013154050515568803,0.01296854790530208
700013715,0.010684600648448866,0.012476217024754642,0.0017737524965636988,0.012063715818902795,0.012697700166359079,0.012293267979687895,0.010929322926653981,0.01155376469987835,0.011669691210088312,0.011529896205282678,0.011091227249430367,0.011981020135918712,0.011486156084721744,0.013646240123921906,0.012701236948275562,0.011934214448491657,0.012556992482282916,0.012329631487580092,0.011018041597121782,0.012277550764910312,0.01274658846590911,0.011150314173297718,0.011399227318848428,0.01209742732435309,0.011784709809980726,0.011247688427450964,0.011210770538238041,0.01253764475427077,0.011122225578800873,0.01206115373317611,0.010987136927460242,0.011434720798308333,0.011353897000819315,0.012903029352047872,0.01081440367492329,0.010467537218916642,0.014006420715753707,0.011499858104609356,0.012632133491999634,0.012683338968526556
700014724,0.01081982206012255,0.012427284927319069,0.01180110810516261,0.0031718714369371325,0.010714836745167275,0.01192156912769591,0.010237101356110542,0.011629972584023849,0.010480020745194206,0.01106534125804653,0.010582979845577153,0.011154945377781457,0.010875265744901875,0.012290749253105844,0.013400951135301447,0.011763036440913793,0.011937183682974967,0.012006440820752003,0.011284369991044893,0.01157378315650848,0.011604657417797473,0.011215567692773506,0.011271899606090232,0.012034816725882747,0.01100834230953596,0.009530688655439611,0.01077082840427285,0.013093611394452965,0.010475610199139663,0.011517283031577737,0.010710520007687706,0.010452230086135062,0.009927352620014731,0.012844785210163589,0.010363153159568046,0.010238866809455141,0.014219982814189909,0.011606708174496348,0.010957043872229516,0.011863433931718249
700015250c,0.011371894012485888,0.012230694512140573,0.012511299139626808,0.010726108550754187,0.003298616157894875,0.012537887437036358,0.010664673289219237,0.012051928791687525,0.01073351093892254,0.011793206118031339,0.010786333145655828,0.011423526275167647,0.011144110004508344,0.011848612464349713,0.014051020051479192,0.012011927600731867,0.011821138690232234,0.012760248074622957,0.01052287049658188,0.012205855299827203,0.013513491268989855,0.011641947779967908,0.011592079929427745,0.012111664249162398,0.011461082998193838,0.01210495845762215,0.011256317987128648,0.013579258625710161,0.011272554172232137,0.011294351414699765,0.010609230380064082,0.011120493509309666,0.011420222957514312,0.012574514389861185,0.010964731325239733,0.010751049061686873,0.013654127115303394,0.011583342317611876,0.012994004988085556,0.012599132504240485
700023509,0.012047713034768388,0.01416586762430488,0.013214593229600124,0.013063860280031845,0.013726350626159135,0.0031572883845545404,0.012992518307835342,0.013679826825339879,0.013002107930562936,0.0031318087410591934,0.012778010750345733,0.013532659176731595,0.013154988037218167,0.013843630696080345,0.014130287954043632,0.013138541119089974,0.014415937292235921,0.0142880069569082,0.012841949341318692,0.013961812321688945,0.014231978123515301,0.012695466545215993,0.012578303690097513,0.013978413553565865,0.013346464564681483,0.012333341140656581,0.01278251790926036,0.01410091060435952,0.012928381040224046,0.013311496705215593,0.012510976730249538,0.012984188438880268,0.009774493776855221,0.014383677065782235,0.012293460372459946,0.01202033191160706,0.0158170371583143,0.013710712889574758,0.014104744755763452,0.014362781995640278
700023578,0.010660749133525662,0.011802320976353602,0.011207798944059896,0.010758087244270475,0.011196069111673642,0.012389054607614379,0.001357794412689882,0.011771440402544017,0.010868001634228897,0.011476062332685623,0.010659958243848303,0.011342525052242246,0.011510265467224497,0.012155357487867361,0.012724120962798844,0.011938307358373567,0.012578129273743265,0.01190939488131297,0.010773141084119451,0.011855888283921822,0.012924301850007461,0.010410023050782315,0.011198114178680834,0.011715491381613673,0.010728391321835255,0.01110266649531527,0.010621644045735597,0.01216757944500415,0.010926902227561383,0.012028991403580212,0.010582463187790523,0.010357460186225962,0.010956286361583857,0.01090757099738359,0.010486124992362025,0.004807874259380202,0.013698974480736927,0.009701116501361616,0.012744801167986064,0.012315439241640634
700023872c,0.012197929507525518,0.013999965576592936,0.012493047008761814,0.012779911025834211,0.013216162734575541,0.013735499240940594,0.012401851393981516,0.0023507310678997496,0.012685691937478698,0.012685240226964623,0.012842709856510589,0.01318117948782531,0.012978286253238016,0.01240663725703806,0.013942904609860094,0.012811560537726484,0.01421192432077832,0.013893267700186689,0.004716020512485002,0.013412203680572604,0.014264640981607655,0.012311001773276617,0.012624263280950364,0.013221982788119166,0.013081727294414904,0.012675983246820177,0.012051926392970095,0.013784646396826675,0.012412816990073334,0.012853685408235548,0.012019508123671432,0.012648134366048938,0.012098502478643455,0.014274140099407657,0.012153556024762122,0.011631688042610775,0.015238447679206736,0.012740588966593205,0.014129570600599163,0.014021839881814843
700024086c,0.010870512632082724,0.011826926248820157,0.01147469772866756,0.010624058533228063,0.010804613591028545,0.011953207875171845,0.010384548554351902,0.011587121297589924,0.0026705649061127,0.011148994418731644,0.010698895859166994,0.0028370722893458987,0.011090096040715128,0.011445238658566838,0.013161347893651872,0.01184887141455426,0.011838480744281572,0.012625608632132473,0.010958941198327217,0.011869247741128526,0.01278276522781702,0.010396869752524853,0.011013149746705675,0.011868723752108727,0.01071316797031741,0.010892365684105796,0.01046323753069547,0.012561729259276842,0.010167264446750878,0.011622689697852686,0.01055180040637081,0.010351773718594122,0.010247916437475987,0.012598651029324757,0.010636182208155888,0.010163943611940963,0.013980748815924215,0.011660313877470935,0.011604036371901034,0.011943256344692588
700024509,0.010170961491111801,0.012500207174801423,0.01151985907554879,0.0113155948334676,0.011997893002689055,0.0029220027713764123,0.011151206983565096,0.011734460408751915,0.011306261837080403,0.002269860505925291,0.0110910904340192,0.01168948054834935,0.011210581222657461,0.012183419745251209,0.012559787759167268,0.011556785038337528,0.012550773205625244,0.012523498600095264,0.011175438304408198,0.01214254672737863,0.012546189996325346,0.011161649347507751,0.010736124376604077,0.012092757868146772,0.011585741610633802,0.010696141330314539,0.011010650743190343,0.012464588229101122,0.01103910115018391,0.011703632425668537,0.010911845779118244,0.01118204426734455,0.008255774017749145,0.012518010091603625,0.010592116654880747,0.010426057534475319,0.01421110607883374,0.01180495210536585,0.012175118404241814,0.012625260581075156
