,700014724,700014954,700015415,700015981,700016456,700021306c,700021824,700023066,700023113,700023509,700023578,700023634c,700023720c,700023788,700023872c,700023919c,700024086c,700024233,700024318,700024509,700024545c,700024752,700024998,700032222c,700032944,700033435,700034166,700037042c,700037090,700037357,700037453c,700037501c,700037539c,700037632,700037852,700037868c,700037916,700037967,700038053,700038158,700038386,700038414,700038594c,700038806c,700038870c,700095486,700097482,700097906c,700099512,700100540c,700100600,700101366,700101534,700101638,700102242c,700102356,700102432,700103477c,700103652c,700105372,700105517,700105580c,700105771,700106056,700106229c,700106836c,700107398c,700107566c,700108840c,700110419,700110812,700111026,700111296c,700112433,700114082,700114125,700116076,700116468,700116611c,700116730,700117000,700117031,700117184,700117537,700117828c,700117938,700117992,700119042c,700122108c,700122408,700123562,700161532,700161533,700161856,700163238,700163521,700163699,700163772,700163981,700164159c,700164339,700164354,700164417,700164686,700165052,700165224,700165311,700165407,700165455,700165634,700165778,700165986,700171066,700171114,700171441,700171573,700171648,700172068,700172132,700172279,700172393,700172461,700172555,700172621,700172726c,700173086,700173483,700175086
700014724,0.0032109559840010006,0.015556724532573589,0.014565207757082158,0.014544263724587688,0.01873123949119045,0.015030497370222108,0.014713480608289614,0.01614558609590314,0.01455315388080672,0.0187975453464883,0.014020726202679303,0.017263024696899422,0.015215390023060861,0.01394133798953144,0.019112772374433828,0.014120515344084667,0.014044873213394937,0.013960686316920313,0.01449214686880616,0.014465130409820998,0.014039471814000457,0.01574013521528093,0.01455445466533304,0.018497042450235483,0.014429308166900051,0.014396206614443866,0.014181288331259688,0.015493380322695583,0.016440971085097022,0.015212245944822967,0.013383306543473828,0.015773023710022538,0.013484446804982016,0.015128769857894669,0.013445462127005224,0.014894728273102169,0.01588284975197439,0.015633631754278485,0.013450059041202543,0.014946875624725091,0.01337076932243035,0.014468492196332061,0.01591292614513315,0.015818655197624716,0.015595749868737808,0.015576324172152956,0.016207991512447825,0.013529544950779796,0.01390899006439352,0.013787724171802615,0.015443482596963426,0.013452978036829842,0.014153721028340852,0.014655785332783316,0.01500577797300066,0.014230701125112198,0.013476496839317344,0.014403642501827555,0.014021987635744746,0.013751378469392487,0.016445892549911603,0.014106286534264734,0.014183324421613462,0.013690732992378805,0.015148835222129443,0.014062739664509695,0.015018769592924669,0.014660862289408622,0.014871748521078051,0.014363684248135122,0.013535186985454053,0.013476682148519156,0.017123308276270132,0.014592911357727847,0.013983812257147645,0.013462086833576229,0.015638906848749374,0.014320442359755948,0.014426002769777835,0.014853807496246176,0.01312963490395516,0.014759923032992265,0.015827328240526194,0.013711081481390313,0.01669069793142447,0.013457933302763594,0.01369611484175214,0.014634460540585259,0.0149365283887827,0.014946843681958012,0.015760174476088705,0.01425617206932852,0.01417793509902988,0.013954132161573766,0.014627342823408005,0.015762906248318685,0.013305070214543574,0.01457090469790369,0.014476295712662814,0.014290078536395764,0.014492781774638674,0.01580990605159407,0.014455003446689606,0.013483344143183622,0.013268225889649356,0.013696261278901946,0.014801561057000498,0.015819374265016378,0.014592654727355207,0.014682621944546293,0.013840671067421373,0.014867024175417081,0.01436189201931806,0.014352784801504734,0.014223595323933828,0.014030412759415443,0.013614397765936448,0.013874555119619237,0.014459131122852787,0.014239538177999207,0.01546098160437585,0.014011695110608794,0.01594139453518516,0.015718954478690535,0.014494606246936489,0.014668560004696901,0.015919397006039386,0.016552298909595524
700014954,0.014933436071821302,0.0042162359580856954,0.014467692093387042,0.014518078662482226,0.019764146149265947,0.014728141056752006,0.014431029066043906,0.01610824929261733,0.01434213819694648,0.0170947049104712,0.014104317944722052,0.016532187542675974,0.015094961269303719,0.013999091337617195,0.01865167663320875,0.013918828740372551,0.014189556408641174,0.013631072229598556,0.014114470814220317,0.01403794074169699,0.01428679255797334,0.014767394534111513,0.014233351790353562,0.018345291637813635,0.014074466347553771,0.014173176026436139,0.014186183306944999,0.015132052899456594,0.015986711236231244,0.01520275027062356,0.013654114100440656,0.014889909629092027,0.013532220303955228,0.014674803529894712,0.013838988539474654,0.014451538509244057,0.01579585271564083,0.01658492525571338,0.01337593952906886,0.014803689283763175,0.013297924200703045,0.014478618401070903,0.015288395620881174,0.015467677288996283,0.015171251799341284,0.014990340207655382,0.016043883725339554,0.01310240094241881,0.013471438027819067,0.013409522709818425,0.015057388078817275,0.013913168383330798,0.013902216677700592,0.014811751713100476,0.014585017074111152,0.014063898556524963,0.013386477959899046,0.014252529386611859,0.014304980779658074,0.013819489620734302,0.01600792314065185,0.01395335376043107,0.01447028727051387,0.013283954035452634,0.015103759680096394,0.013951640098111026,0.014616772065041994,0.014550963526446019,0.014592997148829178,0.013948977631880166,0.013580768818043449,0.013340745998490234,0.015987352741061937,0.014202643336241475,0.013668045095757106,0.013987489780235274,0.015501004426375599,0.013856917856447295,0.014784748857403484,0.014396619475876896,0.013696299940910683,0.01507477212708688,0.015817554083938323,0.013242785218279434,0.01582249411886093,0.013552674319880196,0.013461114199230996,0.014507563876635928,0.01467675376924872,0.014556048102147697,0.015437811095057168,0.013793714566469455,0.014022006849537782,0.013527143777174136,0.014787420287572467,0.01607178827810519,0.01388137721519187,0.014139897383613959,0.013823455830554932,0.014087747470215113,0.014375512768279752,0.015395307532805639,0.0148867566968446,0.013465127889897843,0.013651067581830907,0.01350392595775958,0.014055274722437323,0.015431811153611528,0.014319150003997526,0.014263639231373616,0.01379094537611543,0.014938749239788185,0.013421857237288382,0.014276869908213717,0.014227439536751665,0.01364629239893921,0.013604648257321137,0.01344196755653782,0.013653922576282172,0.015117552802700343,0.015112750634100024,0.014029391272793618,0.015356922435907914,0.015573989510351209,0.014151288693662178,0.015154345571712653,0.01556543932156834,0.016317409109034963
700015415,0.013941596315164216,0.014427268299095167,0.007365308794446635,0.013447961051963369,0.01806794052890764,0.01359147439343543,0.013422458835514623,0.014956097182350778,0.01360798259812482,0.013283948154111968,0.012937502762145807,0.015201439910104348,0.014106712787288367,0.01312238159573051,0.017770804857929277,0.013410364817668856,0.012974842336390496,0.012538275462793042,0.012801161763041967,0.012410915672798175,0.012958199498923947,0.013868461652785675,0.013821270332300096,0.014327383204262514,0.013260852806013643,0.013012988717740532,0.013102369712127897,0.014110982202137114,0.01549231600539112,0.013534369369223444,0.012332948175727228,0.014335875143930787,0.012488979314195268,0.013603250277653103,0.012839618938860962,0.0134425185514073,0.014159064055776188,0.015415192977629255,0.012007467637682087,0.01401044762861643,0.012123412489975338,0.013497968428253208,0.01467838754648034,0.014908590329086533,0.014062304268653106,0.014704590447432843,0.01598111740508156,0.012365805639694642,0.012858768039112442,0.0121846126732552,0.014064040273691819,0.013129898789274895,0.013717729241640659,0.014014836532688747,0.013771823252725917,0.012943135739716293,0.012414754089883618,0.013137434328209924,0.013347824461602363,0.012572911126614326,0.015269343200917855,0.013075557042069643,0.013364427589893686,0.01233741915221706,0.014197423558073127,0.013217479112616299,0.013867590100669779,0.013657475133524083,0.01396529806013849,0.013407247686737395,0.012590656812641278,0.012284499650254868,0.01557902510565784,0.012920961373204434,0.013100692798346629,0.012791145947612081,0.014643046238858114,0.012860765345041106,0.013853792264098488,0.013553470842089499,0.012555502725125903,0.014248996997484708,0.014375246049960723,0.011979721647378655,0.014698202715945127,0.01239286766476914,0.012838906618173452,0.013324353609616634,0.013859706486724493,0.013589540499049755,0.01366107430082571,0.013182737194067392,0.012778057247439393,0.012835190797227985,0.013794390037768575,0.014787863079680648,0.01301493134552219,0.013523942446106737,0.013384161934349624,0.013146574893273574,0.012938736762224129,0.014644625832636529,0.013979284249124611,0.012802093929507903,0.012721648788424293,0.012491583563319095,0.013650130232204743,0.014598004310333677,0.01336741715815439,0.013471064322260235,0.011777397501518419,0.014402490712028192,0.013320299537722492,0.01323253866435876,0.013472652367664742,0.012505282206729312,0.012464963360535814,0.01284135742364959,0.01250230409508289,0.01386415360100587,0.014345579724210291,0.013169834023524478,0.014385297014607843,0.015367798086844615,0.013260524784231524,0.014438032979730495,0.014450109952262534,0.014937510687974125
700015981,0.014568343872152775,0.015095179179764186,0.01410117859772945,0.003838257490152935,0.018483053137079413,0.014842495833973623,0.01388003557209524,0.01574388125137871,0.013993836720830313,0.0186737239427244,0.013889944518491584,0.020237287285290426,0.014563949432979669,0.0141227365172499,0.018504100044248933,0.01427075600643108,0.014236807068613497,0.013915255449614989,0.013975711228109535,0.014326695641349517,0.014220936218880568,0.014265748728305988,0.013935623291357379,0.018318412491653554,0.013829715812617828,0.014564575982429091,0.013954146172499382,0.014948994564368927,0.015484684809950692,0.015182591718377122,0.013753915782930497,0.014889063373647964,0.013537846683940367,0.014822127526327309,0.013924154458664519,0.014451880532534865,0.015454652675074138,0.015847703907589963,0.013442817255583982,0.014540686176517083,0.013102221714078325,0.014246588929717295,0.014848435874547945,0.014843017184365277,0.014717189116707564,0.014489441743464775,0.015766273453761862,0.013312053142720234,0.013842057258478773,0.013130223349628224,0.015173463510624959,0.014029957228992435,0.013770310651039166,0.014454487492327663,0.014788960529848438,0.014423459928164949,0.013544709447602742,0.013847917053205957,0.0139412544214905,0.013646618745546724,0.015790327376443144,0.013844800381423614,0.014257207965571716,0.013459241030480063,0.014856407572100418,0.014192156120671526,0.014226542430661404,0.01491974780946589,0.014968278289068668,0.013001683292747665,0.012992106873112733,0.013461563966039609,0.016483345957709106,0.01448819632287859,0.01398848379089706,0.013675748914094624,0.015273888125588466,0.013725801062417137,0.014665707337557439,0.014804449491440537,0.01372488097035172,0.015105127373562429,0.015299217682153825,0.013427829089631959,0.015384041364588413,0.013268098285122813,0.013769648320288635,0.01454541444012621,0.014602112159324821,0.014336324118794297,0.01526249373331656,0.013934675752786183,0.013996282734471044,0.013449506897632047,0.014992794444388401,0.015569116050892028,0.013940163604074613,0.013932590152497959,0.014052278705103213,0.013960674715846316,0.014009416141149776,0.01567059364462138,0.014809191325838737,0.013716542054904229,0.013999621615460395,0.013269931077615562,0.013965403614433308,0.015241396354851708,0.014549129873578998,0.014267782434702494,0.013520155294816748,0.01472478909700997,0.013775566878820613,0.01391811104180007,0.013806640613283216,0.01371806996911772,0.013705836713218523,0.013430702187595475,0.01408303154068771,0.014650801980429054,0.01555892567883494,0.014036486390680274,0.015409432668055096,0.015363926177861486,0.01455214291133274,0.015152797935521945,0.015151698724570643,0.015888314615361058
700016456,0.01829143077453455,0.020034049991570244,0.01801479258176017,0.018698935987761255,0.010270923250393632,0.016600055192840052,0.01642799074601675,0.020559591547637486,0.01996609092792014,0.015615521502606622,0.017524549524386698,0.0141346078982956,0.019530869854333742,0.018403259771189638,0.019086898410146866,0.01861086003771192,0.01643331068738823,0.01584878157786209,0.01764961234392374,0.014867425296961922,0.015900908705207877,0.017507988690600156,0.01781106185726189,0.015646565587977383,0.022687758552870984,0.018332379827784594,0.018545907256889302,0.01959528670871776,0.020596162048377685,0.0220074821921135,0.0158781143208684,0.0159105506807833,0.01629666434458128,0.016849587374976358,0.020484541730110658,0.01715846198606297,0.016610810962614474,0.019427461662938187,0.017299901589311224,0.01669583035862922,0.018753976644727003,0.01732476616773158,0.02047982226797124,0.016886961079570686,0.018659273984116972,0.01713035595422349,0.020594294503804678,0.014855608042739244,0.019365229260581818,0.016379834274022426,0.0129136836887837,0.021073429321366,0.019665240344285285,0.020172695610743967,0.021263514565885086,0.01843693568520307,0.017809988821607954,0.0174284693353159,0.018029564658613002,0.018053522376899635,0.021367233572737603,0.016771313966120426,0.017256457535586085,0.017832601405794297,0.017049693549446597,0.017310273659506173,0.015703479337318103,0.019171508494589005,0.018473545594845465,0.018676532019595043,0.017966971657694453,0.01904915929552363,0.018634634054114887,0.01731064156508852,0.014101466451672567,0.017609183858918624,0.017478610971824002,0.018347582328860405,0.017905449214186783,0.01794629368901142,0.014410085043307598,0.01891864710169597,0.01736631409194269,0.017048215635739977,0.018382026218019064,0.01733075421326905,0.01571723105780122,0.017914871519383906,0.018756347407781978,0.01944801563672605,0.017567392130663016,0.018188646023956777,0.01835579769331925,0.015597630514625586,0.018337257723968273,0.017217832101965192,0.020525817629126343,0.016267325639924238,0.019930035526903447,0.016844632679609367,0.018116478396561216,0.021246453899402093,0.02002895701833225,0.017200198593408926,0.01474924381459087,0.018386962294806155,0.017611537966423257,0.01821546269687824,0.014742015839191942,0.018529613536907002,0.01677471201292907,0.019860441147775812,0.019552141726267836,0.016357092425360167,0.017044417245284122,0.017602685873736635,0.016033548102918065,0.016576930126176632,0.015333775838000602,0.01715540613184932,0.018979274141765937,0.017666554635490828,0.01771956197733279,0.020842620542063917,0.01780492528864687,0.019534554168157678,0.01792852004978121,0.017406971240901306
700021306c,0.01586378894341832,0.016157940605067714,0.014967959712560515,0.015667060155449247,0.017036131096764374,0.008507643203992063,0.014929760029106379,0.016874953870794112,0.014924648228983655,0.014622393258083772,0.014915325977194615,0.015795894479243296,0.015482224441687216,0.015229949356632366,0.016487110019533152,0.015013587689253123,0.015385275196117463,0.01502265547334421,0.015043263339231193,0.014705931573618445,0.015121739181339274,0.014962494163112003,0.014983365053100349,0.014984093447842335,0.014966117028205722,0.015227543508668999,0.015668663249438247,0.016035936023094333,0.016478492373301068,0.01628975317730872,0.014465452858390666,0.015469931447651065,0.014867420402428116,0.009002879505140407,0.014776115834354247,0.015739536387461988,0.016613250654052635,0.01616784346278095,0.014504822023700662,0.01533750666751811,0.010937714077009707,0.01550923525472231,0.01545172620835704,0.015794461420169482,0.016238936403494834,0.015566422571662982,0.01663092702466555,0.013978895772600173,0.014790495242640832,0.0135116726995416,0.015082978375814914,0.014334620222441396,0.014801143024605437,0.015281703459797394,0.015773104905878417,0.015206447807927988,0.014453574465521962,0.014683742489874326,0.015068469717943945,0.014943593982137099,0.016850363865831556,0.01501490414679882,0.01492114555498659,0.014410670180756084,0.015428740752627354,0.014905766785358774,0.015093664952900944,0.016002052160795845,0.016012692550716533,0.014168630027249784,0.011394288918018896,0.014329896228323967,0.017049639275281574,0.014927885109507084,0.014811535126905773,0.015284260233992694,0.016196433726419917,0.014937925452057027,0.015715885519254378,0.015775669816759458,0.01463379960470351,0.01631283936205316,0.01517513740915836,0.01462617987817529,0.015430753695568072,0.014166281504523936,0.014597490938105653,0.015272489902798917,0.015768689263420732,0.015519756950589212,0.01569470517027254,0.014968504408989312,0.015302716548962172,0.014554534099157083,0.01583859045438262,0.016564262571133633,0.014812595368343827,0.014653321372845753,0.015203611973301301,0.015104814722119244,0.0151781955651136,0.016961247856445736,0.016025103119167758,0.014772295704902273,0.015007767762449338,0.014643413105540588,0.014621284693201796,0.01647761634157445,0.015432246816112655,0.01527533281170513,0.014798161916345897,0.0159443517997869,0.015355252350754476,0.015172451039003871,0.014220319209127348,0.015171196713741791,0.01452922233813244,0.014808130255038542,0.015067086371390086,0.015666687153106797,0.01634738807927932,0.01522496386233993,0.016481603492177938,0.01632651668362471,0.015289927198710552,0.016310617521959905,0.015891317034467764,0.01690995548334475
700021824,0.014230291559757078,0.014547982686387557,0.013631465341820881,0.013418665348681184,0.016706880490819243,0.013707276634486116,0.007145815636497534,0.01518908894845475,0.01320617806167104,0.014363825388752501,0.011747022293337477,0.01549623773918961,0.01372234438152971,0.012790465995780355,0.01650888289965955,0.013457599324187604,0.013315145268564591,0.012772639334003794,0.013277380386675662,0.012902830524051095,0.012667785309190096,0.013820094503851549,0.013477390319330512,0.015896607382359172,0.013028920321278468,0.013506957248719486,0.01343654996228879,0.014311340196887528,0.014794393936335203,0.014595415882417626,0.012263203048470669,0.013803943609383066,0.012645269480218994,0.013815054214076042,0.013237889303815689,0.013456139366163336,0.014507391169838606,0.015021201805894436,0.012871781385619816,0.012562576000749278,0.012113903364707227,0.013325748919529897,0.014398994563198658,0.014525679333382904,0.014384045489182004,0.014908177741730295,0.016006735589190323,0.012262371881678122,0.012646628714931926,0.012406979993892897,0.013990866147075906,0.01312284085219502,0.013127691538128622,0.013994679716630714,0.013750808585049889,0.013406016842275046,0.01250533328033152,0.012208806152544672,0.01305760073078488,0.013273334711986814,0.014931765173032543,0.012913469494071782,0.01343198538898389,0.012531947905536567,0.014110353942772283,0.013223287518791555,0.013695792427688326,0.013651825028597025,0.013921075670573425,0.013223077203978792,0.012481728010162575,0.012429873442794146,0.01575213250587992,0.013180839530049672,0.012610282336873705,0.012951164254112912,0.014333961370006618,0.01341241837857922,0.013628247188423807,0.01395340229886269,0.012384988561175241,0.014296465736411811,0.01418474937330584,0.012574002440985653,0.015038390604875175,0.012744965027335952,0.012043569801354062,0.0136397192595907,0.013834554240882185,0.009661262022327992,0.013957864467495454,0.013016937095748832,0.01312273977318105,0.012379302210989823,0.013558487087233905,0.014639343840542657,0.013435698006982024,0.013530633909466332,0.013568126977286708,0.012995769740057351,0.013453222520184499,0.015149762919204005,0.014100314913424332,0.012201111365630615,0.01253603796838484,0.01248961284293428,0.013527335146044773,0.014687779111190801,0.01321206167013626,0.013294923353043038,0.01301290178607333,0.014028838306550452,0.013158844099649236,0.013235763348134949,0.013615588582636451,0.012847916917797726,0.012813234858526711,0.012617519218339548,0.012830684466130027,0.013622937658526279,0.014441007897318324,0.012817429325495342,0.014513101640239806,0.0152992851180451,0.013216086666898615,0.014395235773638757,0.014469387083182296,0.01493537889930335
700023066,0.016412975766042667,0.017027772489076283,0.01587419276092375,0.016041896113137655,0.020681875019203242,0.016272699767305977,0.01593965561678795,0.005527013595085255,0.01581406551268532,0.017897153929852527,0.015370411575939128,0.019810480220739217,0.01644171850766479,0.015279453549085253,0.021154389737817015,0.015611600427050612,0.015521103031660854,0.015131070589169928,0.015740963507155155,0.015123223301099048,0.01568446998111965,0.016267254252968707,0.015589871013437432,0.019079253588613336,0.015611224865035729,0.01576294554592288,0.015768261091805198,0.017009270319211067,0.017656769799469244,0.016849347190700432,0.01520484441708502,0.01670717784168464,0.014877714711906255,0.016413467276151956,0.015434004093506941,0.01573993235967978,0.017213412231134376,0.017257979307248116,0.01544761959459999,0.016498595780927817,0.014436771628608597,0.015381652924831865,0.01682170832386862,0.01769618808232186,0.01650720006553942,0.017074871625640278,0.017555437749808642,0.014980585386466953,0.015537697563924128,0.014523069442820285,0.016466457093444402,0.015437693188493402,0.015892699692518178,0.01626684770542749,0.0160807974193365,0.015901445102092866,0.015026439958143484,0.015704195183303717,0.015674915942088263,0.015632453211742267,0.017763841765414255,0.015511282527538701,0.015487200922422254,0.015181137318632324,0.01681890331115087,0.015936524382261664,0.01615132066349632,0.01627989956737598,0.01630714308780596,0.015457930067134175,0.014916384852843141,0.014816019233827483,0.017969323022027434,0.01591510039428336,0.015507669053237066,0.015439731657022683,0.017065321878392395,0.01567667669722484,0.015576877473154234,0.016467562178097143,0.015203010589100032,0.016791580758911507,0.016709889062128988,0.015226988296072172,0.01854065738171962,0.014892122104318005,0.015288706834703356,0.01609404413814813,0.01634749111247085,0.016273722438171562,0.0171844301151484,0.01565641020479273,0.015627893821055557,0.015429912094688709,0.01621018249773634,0.01707293152651983,0.015405932951210738,0.01594324181762345,0.01609236332866193,0.015558617152454046,0.01599520184715624,0.01748378760564742,0.016539268346841628,0.015251590174289528,0.015276714727266641,0.014640436350341329,0.01558302987174379,0.017211306923090523,0.01607449850646538,0.016069667515859403,0.015362037712180747,0.016718838454900097,0.015787935017347137,0.015852487442052955,0.01564883799169385,0.015366905650955085,0.015336565744183892,0.014722210901173392,0.01570464181162606,0.015963624722075912,0.016971313322070625,0.015272841349754674,0.017041659996562836,0.01729738067911111,0.015845906335390618,0.016860406477917582,0.017027488166718383,0.017740564395326515
700023113,0.015218308939380702,0.015605395535326371,0.014816438700963596,0.014684220167087158,0.020372837664394686,0.014838037027613223,0.014230903047186452,0.016287523655110336,0.006240176840173231,0.01837202390751061,0.014423497559131642,0.018726793970789326,0.00615726157223688,0.014160555245047578,0.020922230507923616,0.014190008172646165,0.014387700790214591,0.014215732105539558,0.01450493213091793,0.014195525884383338,0.014019473389548683,0.014853198214353597,0.014598922770996987,0.01835369442187716,0.01368167021613566,0.01446840893973315,0.014456915603170688,0.015198192741806634,0.015818475658424633,0.015390926405360706,0.013344840036538684,0.01543002797153631,0.013806848764541246,0.014874725777599476,0.013978786303087637,0.014782854577888709,0.016144673955297895,0.01593705296215898,0.013736764191929058,0.015108572065230969,0.012559496415693832,0.01456053375257658,0.015168212915730063,0.015742644411337225,0.015325533999326978,0.015511701701318902,0.016474208654066704,0.01363124467535879,0.0138085367720587,0.013283199012240567,0.015668174785989315,0.013594824584671964,0.013912728060972596,0.01456365847335665,0.015069830200299266,0.014448688613056147,0.013672082812805807,0.014614415380643965,0.014090592406406172,0.01437821328202495,0.016025874067824977,0.01418150076857241,0.014347091160412157,0.013755171261019683,0.015072701315775745,0.014415207813952535,0.014722949867282786,0.014742512485371225,0.015248786644637254,0.014160831228693832,0.01319440832924122,0.013485244665194173,0.01651057288933393,0.014584914963868531,0.01430777651104966,0.014244890181779879,0.015365978924777693,0.01427403541057604,0.014475835237635999,0.014795884713970812,0.013688820742228734,0.015361924343110324,0.015765382979918252,0.013474278936365302,0.015787452487078083,0.013552220448547009,0.01414239353382101,0.014594943736176303,0.015282878153787711,0.014412614155386716,0.015463755640049499,0.013811848519945128,0.014500631181491416,0.013841099679784547,0.0148556695281575,0.016408029264490757,0.014234376279563771,0.014909457237071412,0.014743877874504652,0.014252358973917084,0.014441017492622318,0.01604424764486615,0.015030958888803129,0.0142363658033434,0.014147597583295726,0.013787079410825841,0.01453276901476823,0.015878406479716486,0.01472994755661216,0.014518047875238329,0.01417640449854,0.015085693596318698,0.013104006551606482,0.014778613908490307,0.014405651946253213,0.01429690265597742,0.013929173057940742,0.013997197333993199,0.014110664095718907,0.015149554103177686,0.015483004298366394,0.014307964825218695,0.01555268521096924,0.015892871827163937,0.014624169925585432,0.015259172312763277,0.015833519958611486,0.016525184836613516
700023509,0.019004629199581725,0.017981824737468923,0.013589585655769397,0.019081429405674356,0.016016217129925063,0.014438702227437913,0.014537918524039711,0.018493007312934167,0.018556972419609002,0.006696210394001193,0.015689107571113713,0.012762486484607077,0.018188256684245487,0.019053394228227157,0.015191227914958865,0.02030755149117066,0.016896859107552436,0.015800742120714004,0.01622922696505774,0.008770281401111909,0.014794434053021926,0.013923790687543137,0.01671152366904324,0.014436403002805222,0.02295507670160746,0.014015610325843036,0.01855435565581237,0.019300083181343942,0.017111445014293673,0.023407152618629398,0.015359859500236243,0.015047660393873471,0.01702366867228813,0.014226108624603127,0.02109807218615456,0.016267488595471367,0.014402063798688634,0.018473695064536638,0.015626910803818853,0.014489124736274313,0.015396261441224458,0.01700606439530274,0.015973694119409833,0.015646314789546888,0.016887135152242615,0.017708951064485202,0.02016242119555245,0.014713778749633425,0.01994222290486889,0.013509383093049138,0.014837310813270378,0.01966826246170449,0.02158669726479009,0.02050409018711604,0.016539307318973108,0.017658437766857542,0.017645518255770414,0.014232631661561971,0.0170225998877048,0.016115915362174594,0.018710458264029558,0.015371462979922026,0.01421947712295494,0.016334784631671942,0.014613665137906986,0.016079148122292865,0.014114117327598825,0.01961728981567341,0.01568879688425633,0.017225435139708298,0.01833384499808183,0.021867221246273372,0.016375277943377117,0.014051009694009587,0.014475101901098648,0.01570624671646716,0.01777495622816778,0.01741101072977774,0.020603063054936095,0.015904820501042916,0.01677825458362281,0.017715520257722887,0.01367245524947892,0.01589492025081703,0.016416151401543216,0.01586545518479616,0.01563190461254376,0.016040627560404874,0.017241180086340225,0.016244619425256072,0.01324118269801446,0.017335274167951963,0.019094497581166957,0.01529401922761182,0.01743584788776957,0.01578800583849687,0.017289737766464825,0.016357357142285842,0.018675669496847715,0.015646104319617493,0.020156291053094393,0.02107137373295246,0.017976877447674965,0.01880764268969158,0.016525596322296436,0.019077218091056888,0.014401571505544261,0.016960489342270988,0.015183207839323417,0.015718795789330428,0.014404308985990365,0.0204093664388908,0.019343186882274998,0.015234392250949726,0.014702578096899187,0.016769342891096675,0.014856500195539923,0.01777653471941955,0.013992537558767903,0.015254204523308949,0.017988564492357553,0.017328845619797435,0.015478358329519503,0.019199916491709032,0.014421089819020952,0.018690531789985376,0.014860196933757277,0.014963733128033703
