,700013715,700015702,700016716c,700021306c,700021824,700024233,700024318,700024545c,700035237,700037453c,700038072c,700038158,700038806c,700038870c,700095486,700098267,700101638,700105372,700105685,700106170,700110354,700112376,700113810,700117682,700161742,700163811,700164417,700164450,700165263c,700171066,700172068,700172461
700013715,0.0023856101231781277,0.008030649373450502,0.007076671287813893,0.007428163915470173,0.007102721675860902,0.006400850066872723,0.008206820655332608,0.006691866256421937,0.00781573643160854,0.006341619706604798,0.006970070437623901,0.007598411599496963,0.006563027056255435,0.007214335497673912,0.007045785394284147,0.006030032840507961,0.007257991270828746,0.00804657090260571,0.00759814379448457,0.0065455367171456495,0.007677017011801042,0.008172896221494861,0.008375624414419466,0.0062592350627785395,0.0072798698891591565,0.007663880502751454,0.007456636300352199,0.006213925772529742,0.006979569930612055,0.006288006686403951,0.0072405082940246775,0.006374236391118389
700015702,0.008046067602782892,0.004049927992416301,0.008771730624667764,0.00809301751229873,0.007602773983946365,0.0075098414721666736,0.009159720404255493,0.007301499783648142,0.008444902106726484,0.007040956088798696,0.007488596910010807,0.007884798546718242,0.007366812045101068,0.008191903003678738,0.008040560743728489,0.006814271099354618,0.00785944031071622,0.008975276748984106,0.00844975950553103,0.00742139252064843,0.008125301928295841,0.009008983622186993,0.00965737507498064,0.007330776324606127,0.008406487240988726,0.00850045290701621,0.00899606819826653,0.007013767659620338,0.007834488585794334,0.006828703761457242,0.008278692894205448,0.007086094673364851
700016716c,0.007108985003136648,0.00878970318467077,0.005171751561579394,0.008122178077557328,0.007688379446492663,0.007575859675456281,0.008894104984034057,0.007287119208779135,0.00869817022617437,0.006954617723282906,0.007848285504789467,0.008088418185356012,0.007366810569606864,0.00834000087081464,0.00793221507054662,0.006853831260531062,0.007980117270045533,0.008750170349613581,0.008403651440469126,0.007328870248318425,0.008168500376298477,0.008862816055039762,0.009356506990549797,0.007207156744573763,0.008406874025916241,0.008359890501256047,0.008631532088736493,0.007148908016393639,0.007694976592812688,0.00720918741970588,0.008295870601095245,0.007248339618512297
700021306c,0.00734519391715559,0.008004357942628286,0.007994004092219864,0.0027022093233684866,0.006183211091918282,0.006796226351260017,0.008514714735605975,0.0050396304833981165,0.00807991859296995,0.004818089228938841,0.007121363440102185,0.006510224439454641,0.006730709590394213,0.007632983755866787,0.007217054104310736,0.005669354409500923,0.006825727792464603,0.008372646902527004,0.006479209334020284,0.006778547269516226,0.0074925875250460554,0.008322881375468381,0.008901173298263567,0.006551433021930176,0.007487716259057222,0.007860479758039118,0.008073340478566534,0.0034375746286754156,0.003235540438877986,0.0032511276832463297,0.007536127444006663,0.006625944291241866
700021824,0.007100892701577176,0.007599958339927519,0.007655614946730693,0.006258846906351964,0.002140853154128107,0.006540816957294426,0.008271219343697653,0.004161216401646799,0.007674347678314973,0.003871265432045011,0.006642197387538792,0.0032647966238411536,0.00650310562170662,0.007333488954889509,0.006785098959311229,0.005419055616483613,0.006159655410521048,0.008027334618752054,0.005742369213450791,0.0063940183822538245,0.0070053020569503036,0.008100974921944672,0.008855503836768343,0.006657920347677207,0.007308998458511461,0.0074371970550286114,0.008069759889325089,0.005264586710630025,0.00559179801480756,0.005050392606883661,0.007340005912929742,0.006130087998785802
700024233,0.006362108648105889,0.007447117575818389,0.007489013441226858,0.00682275464715981,0.0064951798463417885,0.0017363397275793082,0.007835080660499674,0.006250990757692253,0.007140536703153345,0.005944615483936656,0.006419226023251072,0.007035839428993005,0.005749058880786533,0.006673030113541359,0.006746539505787643,0.005848223270752294,0.006705811107670384,0.007688749392790768,0.007192683676578946,0.005929522324507665,0.006858888914536537,0.007836034465603567,0.007816719660945822,0.005857223973980576,0.007116035541723788,0.007098683563206766,0.007121129924641962,0.005734867178788283,0.0063953468089542245,0.005716571834092568,0.0071394345833309236,0.005615759399839458
700024318,0.008727960846858328,0.009705340123310747,0.009414593705054389,0.00915008743524576,0.008773349875961966,0.008389877802877393,0.0015405920657078896,0.008415034734786116,0.009261142484192823,0.00811994952186869,0.008722407432079025,0.009113231024197909,0.008107808974179434,0.008734663850569114,0.008489989681677195,0.008061441691879676,0.00889175056717003,0.0014877301038345163,0.009656082077389924,0.00782086844840197,0.009241427828817421,0.009987629052062465,0.010090635498558178,0.007692594577974758,0.00801255809448167,0.009049553737228056,0.009801879814229284,0.008131832470717896,0.008834754851589731,0.008294838196294329,0.007700236535330052,0.007749207886086768
700024545c,0.006908223610851113,0.007502331985215412,0.007486553473242203,0.005249200823983715,0.0042542125205062295,0.006492078241524451,0.008157961875544281,0.0018724147438222592,0.007353457840439746,0.0017790376478889936,0.006927341181930026,0.00474488248760155,0.006390544753499874,0.007206469409357659,0.006863857419574852,0.004773499367523298,0.005368436736003363,0.008012399554704371,0.0045301200704277855,0.006384602265072884,0.007226456209715875,0.0076050977468098396,0.008301253909238882,0.006326254723372194,0.007121276589144841,0.0073705270607672254,0.007589720567194887,0.004610742223979469,0.004667983316592188,0.004315033226530322,0.007090521107403204,0.005953091647496147
700035237,0.007740888526546443,0.00833634970434426,0.00858595953656311,0.00807063122627698,0.007563817013641551,0.0071072674456174045,0.008654071099989957,0.007079440853271063,0.0032766819449843456,0.00672456433897527,0.007517739802735789,0.007957747769044695,0.006992517577757335,0.007710271735198476,0.007303773744725256,0.006808126083930998,0.007373405606717404,0.008543886318820271,0.008242961717269773,0.0073047331851737365,0.008056389187703284,0.008636825572376196,0.00864048518395825,0.006819289641333265,0.008075926744663824,0.008148660931516085,0.008052737119098053,0.006716514428597162,0.007529213221497878,0.0066787934254007204,0.008080640898168547,0.00685555653688067
700037453c,0.00639977180646675,0.00707614918676897,0.00699177221337693,0.004899451711718552,0.003876229324239375,0.00603282324658568,0.007709412448615157,0.0017446342044979228,0.006842957218292662,0.0012856439237905017,0.0064720993327677485,0.004372456242110321,0.006007118852455262,0.006766022254828365,0.006394952308191186,0.0044089355534023,0.004912143515194642,0.007503791045262047,0.004169279641788883,0.005937992358958469,0.006787467633607309,0.007233105528540759,0.007973377529073658,0.0059394670690658905,0.006725571492312326,0.006910970525042113,0.007226085211692953,0.004126765132169786,0.0042622255856417605,0.003923444255075136,0.006713711442879235,0.005507972469229062
700038072c,0.0070974512315613095,0.007606834225122787,0.00795701573971609,0.007321092854404712,0.0067504197148247555,0.0065705242644929105,0.008352233199945297,0.006837384745948518,0.007712508817924627,0.006528433459208741,0.0023474494033354507,0.007166020907087293,0.006360559397885229,0.007263283452790039,0.007031744233378466,0.006553886593527702,0.007283521029125126,0.008132261143626371,0.00780115271116892,0.006540847324098531,0.007318608641561414,0.008342937950931772,0.008549035227774093,0.006627103084058933,0.007523820013277869,0.007626701443343654,0.007631411032878674,0.006321272322322275,0.006947244507625673,0.0064581651224697115,0.0074986864173188185,0.006412379093654762
700038158,0.007714933324307141,0.007985795360152712,0.00818289355965218,0.006669276615954467,0.003269696084971406,0.007188939211789958,0.008698229623362114,0.004665534885275977,0.008150932531378314,0.004390926344534709,0.00714357085687081,0.003335612217117851,0.0070718112680130275,0.00800375281593661,0.0074212600195859,0.006008741125351652,0.006676832934009121,0.0085050499868067,0.006060846537258521,0.007049581290191781,0.007683279040774814,0.008381847468708766,0.009088854456786668,0.007008793311375793,0.007718891197326001,0.00789249675492153,0.008331347735214616,0.00587263438963868,0.005974005104533716,0.00553733452206888,0.0076784340910125365,0.006657202183459101
700038806c,0.0071516986506970645,0.00801457456729757,0.008007082392860944,0.007401538202582252,0.007053753925577343,0.006308398245417638,0.008321675132431625,0.006752816277873558,0.00766822612392346,0.006480022936996258,0.006814191082191303,0.0075837004255972715,0.0019922242020938624,0.00729384532165786,0.006848665074418823,0.005880626008480919,0.007017969676190879,0.008212928275593237,0.007566925307572525,0.006408310324884809,0.007382801740424883,0.008157170432798535,0.008243772275800502,0.006238944648571878,0.007705077996936296,0.007440049313088049,0.007712871027487227,0.006367013176555915,0.007138009662757396,0.006371857502468465,0.0076564743935165725,0.006564891855208362
700038870c,0.00724716766187714,0.008201092114576288,0.00832595987842694,0.007739138309271494,0.007359899518200052,0.006735873587407307,0.008242057607664121,0.007013840534964774,0.007798259817462849,0.006725978990138146,0.007166818572203663,0.007927628996792458,0.006712902039949543,0.0022941785048068873,0.007030705687939746,0.006637118736864016,0.007346225722188128,0.008103651003057181,0.008159040263048537,0.006757233900712055,0.007546693807742477,0.008129336733159423,0.008104681427436587,0.006353122627824551,0.007427435357674295,0.007748610934668395,0.007854289739433635,0.006573941719908064,0.007203877053842866,0.006500186157865685,0.007511212211972982,0.006415511745127657
700095486,0.007088582204384717,0.00806679626908634,0.00794467593589481,0.007336785150072678,0.0068238412070709634,0.006830099394158063,0.008021844389497136,0.006680980784029023,0.00741025784268188,0.006365639997605136,0.006938204988791852,0.0073424363912939295,0.006312212402143612,0.00704964144942493,0.002261014443003221,0.006285112586992502,0.007206597725843949,0.0078894200740339,0.007673338161096138,0.006601357670032255,0.00751293850671627,0.007699110918752024,0.008156385659786915,0.006261162203905196,0.007236384903560595,0.007418118624495448,0.007679147262256576,0.00619222714986775,0.006838819725198103,0.006545600455432789,0.007223808019182868,0.006292570783187764
700098267,0.006244039938601266,0.0070495159701897975,0.00707829559842597,0.0059303559673561474,0.005589872398146381,0.0060899608374008615,0.007867345019924235,0.004785232657571842,0.007117433770904739,0.004514671542141798,0.006675185677942925,0.006126609322690031,0.005592737498257187,0.006849448909795052,0.006478523136651901,0.0008395248615332221,0.005882894386077094,0.007682406619478301,0.005894043529166126,0.00590273579081536,0.006974921019222438,0.007491511186640242,0.0078028207070233845,0.005808633353854223,0.006915028175498093,0.006890966828646586,0.00689140209920877,0.0050461466770993875,0.005324901005362625,0.004997013690375257,0.006952066730806409,0.005864356493431841
700101638,0.007274250506659291,0.007850445888032975,0.007966339504632741,0.006910302567032618,0.006155217944761982,0.006774197573244483,0.008379004346707686,0.005222233943954055,0.007458523410883152,0.00488166884071161,0.007177570389374525,0.00659449705869083,0.006457400219293432,0.007339359878057055,0.007188577965156006,0.005690508956145691,0.0028834572017531744,0.0082038417765832,0.006362611991701014,0.0067049462059803,0.007622281561396558,0.008324564445184326,0.00863013333855947,0.006413168933629996,0.007510385298323016,0.007440424601876214,0.007905466570676086,0.0059124079166272,0.006493576152379871,0.005906977172223709,0.007322263277544161,0.006185813602641508
700105372,0.008376385809004233,0.009300199140287447,0.0090576881117122,0.00881145535767251,0.008347458137282488,0.008058362240126947,0.0014549118344208683,0.008084088593971608,0.008946573593905601,0.007739880797272092,0.008309142265896276,0.00871997532569837,0.007830271481978263,0.008403737310794565,0.008172800318915761,0.0077056802300904574,0.008518941741218852,0.0012397753771439168,0.009221580937369475,0.007467969830420688,0.008902400085385894,0.009623099558594613,0.009682178493839936,0.0073568017464083835,0.007628707365239489,0.008679425981871691,0.009475352599010332,0.007769565396462908,0.008496405355543366,0.007890815525273001,0.007382000578317062,0.0074148104698442295
700105685,0.0075186359770385,0.008333872469813835,0.008285792619305322,0.006481389095062221,0.005664030442732193,0.007178385532214466,0.009001409356046621,0.004366418002083736,0.0082458371517753,0.00410554057008097,0.007585137097608443,0.005917542976897517,0.006879975509409748,0.008056350526653041,0.007564243559207133,0.005627893156944281,0.0062918056288089564,0.008784064384286475,0.003436754973350653,0.007009462800428484,0.007843552323689372,0.008593063967183016,0.009443315943879387,0.007070201750247019,0.0081368527590432,0.008177432522237484,0.008489098298459534,0.0055327392389212865,0.00604055755426935,0.005330648480535744,0.007979069021987558,0.0062715687396241
700106170,0.0066933248395305515,0.007572532562354501,0.007451557913431167,0.007004594263967126,0.006529551848486946,0.006095880804954099,0.00751594433402836,0.006324548375299869,0.007530897487248927,0.006010126899043068,0.006575677631675195,0.00710532684755839,0.0060145562139836874,0.00688141618706656,0.006708661465771191,0.0058243657516694365,0.006833811573606661,0.007340530558010328,0.007240494191237612,0.0017345075043789472,0.007208612681886099,0.007859483817577513,0.0079081586114829,0.005766990313944977,0.007198897085219385,0.0069608156531950835,0.0075697883322709885,0.006083262008526239,0.0066751323719600585,0.006307398565902083,0.007313274956007199,0.006016869711867897
700110354,0.007642478689933569,0.008083004482484437,0.008105607280824106,0.0075437738318840115,0.006967841473473834,0.006882799850300594,0.008659551733852418,0.006987239369127552,0.00810109355567182,0.0067057373124233596,0.0071627338431807935,0.007541493691610867,0.006747439670195255,0.007487704977753829,0.0074508743030161995,0.006707771282759226,0.007575149969247783,0.008526997878091813,0.00790416236622798,0.007025325634815637,0.0034238700066748944,0.008600035932355731,0.009140378269248205,0.006968421609003075,0.008076779749084259,0.007987573161010349,0.008291795792961411,0.00660815574999224,0.007171344124235442,0.006270089704110439,0.007915891040211728,0.0065533854476612875
700112376,0.008088535305738342,0.008903713413397032,0.008731473429336462,0.008320574787686793,0.007995110869527752,0.007792170334253928,0.009318017957947199,0.007310857617447648,0.008637175479870333,0.007112568682134087,0.00811493379630811,0.008181066228560362,0.0074060547407557055,0.008019934614736787,0.007573759068442208,0.007153136014996102,0.008228600810255279,0.009175995249991672,0.008600645104854658,0.007618448523157873,0.008533060331613664,0.004356840325209344,0.009708364208173123,0.007374418169059389,0.008545522984654996,0.008684919273243451,0.009218311377570494,0.0067642109690271264,0.007775340722571865,0.007072122135851917,0.008369592636350908,0.007256085221918674
700113810,0.008234399617173335,0.009493265297177563,0.00915220709730734,0.008824632855247228,0.008705539962178469,0.0077350335499047004,0.009361482042309327,0.007928914174074231,0.008581950678690647,0.007797235365307555,0.008266422647954321,0.008816772493400933,0.007442320049959629,0.007950222374867857,0.007960529312842031,0.00740822367384228,0.008486105936843416,0.00917713825491227,0.009385577987078744,0.007611166183907843,0.009022462951182777,0.00966567459490337,0.004189098310229298,0.0028041064033611073,0.008783329647549925,0.008878157674410754,0.00937984433541576,0.007451644215487507,0.008370030423534791,0.007407594903876384,0.008527636981538139,0.00739571960065957
700117682,0.006823841487351364,0.007966555385269178,0.007831234296537067,0.007188487359249759,0.007218647807659254,0.006427276549834269,0.007908488113716404,0.0066994499619210165,0.007487021001825631,0.0064171428622932635,0.007095162011829794,0.00753160650486703,0.006249991364172868,0.006900186500365522,0.006795616015606318,0.006114896743945857,0.006981037758635829,0.007731346067972219,0.007766982873923083,0.006152835692868532,0.007627000205031779,0.008110038645181299,0.003103018651190566,0.00111044784766002,0.00729399128357139,0.007469335475140878,0.00768822217095934,0.006179509006651756,0.0070188666245965285,0.0063456500117902315,0.007247799064157625,0.00635593627213874
