,700015250c,700023872c,700024086c,700033153c,700034254,700037539c,700037868c,700102242c,700106465,700114125,700171115c,700172461
700015250c,0.002988566602165173,0.010763946235138223,0.011294978153841475,0.010261285868937726,0.009035556695776213,0.010174438245930964,0.009966454046324444,0.011258101422783164,0.008616215400504541,0.009370280016809904,0.009915030642527613,0.010323842928171087
700023872c,0.010419819869188137,0.005040153371859124,0.013211755621898726,0.01200291062129816,0.010295189586139765,0.011362248426875624,0.010495172971295404,0.013358051266069839,0.009561840416560363,0.010183974173072813,0.011439313509643074,0.011740474912044184
700024086c,0.010902968693925444,0.013165043313495663,0.007804760716490003,0.011771310762817915,0.009762104182894969,0.008546658176883545,0.010962172208054389,0.012684160976516153,0.010308279271849982,0.010627258543383155,0.011450711849737037,0.012090341217809013
700033153c,0.009912899512620274,0.012002994631160209,0.01171706875169864,0.007223314369338357,0.010005610673746827,0.010412084868443902,0.01068968266510061,0.012553499444994624,0.009243095274424042,0.009826940001606008,0.01109663528158393,0.011175887340549329
700034254,0.008716526534176827,0.010262246132353074,0.009710431845689243,0.009984915959675567,0.001851882707177359,0.008352286370064405,0.009053216150923481,0.011441253240690246,0.008232980572008868,0.009009642516998876,0.009344823165142895,0.009840385028955241
700037539c,0.010014304997605271,0.01157404228008289,0.008766565031776889,0.010667139672377002,0.008570665574449679,0.006764598955006199,0.010072918552590415,0.011478374229611187,0.00943010110481325,0.009729828671726377,0.010144114013315648,0.010738279395953957
700037868c,0.010197124094088782,0.011092860901513815,0.011628412901051868,0.011300625206758997,0.009589068659280933,0.010478294867145615,0.007014858748898426,0.012443777189336007,0.009488447055787599,0.01012771540263102,0.010859528990102152,0.011518867359809337
700102242c,0.010817394371058437,0.013269474636651884,0.012517859754778704,0.012460737086621437,0.011330276449438261,0.01113618273143328,0.011727848401032453,0.006456479754360524,0.009299728727771505,0.011018802044272667,0.01256068157421761,0.01256887673671375
700106465,0.008942629119660343,0.010235398175329995,0.011119896189951803,0.00994198480597001,0.008852695041418819,0.009960508918500597,0.009617120351472164,0.010019001131883299,0.0016088556460071759,0.009208484163405556,0.009821698425292614,0.010075408671351241
700114125,0.009018206655826828,0.010112187727917684,0.010582046054833589,0.009825606338491806,0.008993589840724419,0.009498118082317522,0.009552718829507357,0.011070818611524683,0.008556274147790498,0.00541462701156282,0.010373818045186141,0.010437077436286012
700171115c,0.009617544622221728,0.011531938894107911,0.011449450052506424,0.011248844975756584,0.009448112944335188,0.009926840592861868,0.010366138989717553,0.012789722969228002,0.009190326322740536,0.010474172270821872,0.005374923566902766,0.011648542627917601
700172461,0.009990492499784107,0.011793770609312767,0.012096505479238082,0.011282059908376255,0.009928099928329576,0.010518701160691408,0.010959073647908718,0.012740546444442833,0.009415163421119812,0.010522063837789754,0.01160443807668756,0.007163473363351096
