,700013588,700014498,700015250c,700023634c,700023872c,700024086c,700032222c,700037539c,700038472,700100312,700106836c,700106876c,700110812,700116730,700116778c,700164735,700165263c,700172813
700013588,0.002632310873491496,0.010093089433103076,0.011300649050188391,0.011710317824683077,0.01099639017655329,0.011801781688397111,0.010994905355688266,0.011550156336242215,0.01011841807524888,0.011074112292130976,0.011076793025406265,0.011542688873725884,0.010305852434040455,0.012074104141725212,0.01052105783463897,0.012343389565120497,0.01097690228740265,0.012071740335190092
700014498,0.010678278807035342,0.0007449657883076182,0.011175815540163617,0.012368462091408301,0.010935783250471653,0.011591657951146401,0.010099623326071937,0.01134034043551001,0.01004233996571784,0.01085556554614707,0.010934239386185337,0.011446499743884958,0.009954956057750309,0.011602066474556801,0.010606147330687347,0.011489149095770765,0.010526701995520017,0.007906536099728993
700015250c,0.011393662937819241,0.010691890575337136,0.003242093034450221,0.012921759801204781,0.011548000508109167,0.012491446348620266,0.011666656954839857,0.012264669843858399,0.010695038336890826,0.011156813507930416,0.011662291094296359,0.01214945948402441,0.01074283821966534,0.01258524969092254,0.011052068211738696,0.012542259060481674,0.011303342693323308,0.012491667373584087
700023634c,0.011554072476848556,0.011680734013160365,0.012728424352258981,0.005644079255144721,0.013992568646136317,0.014810853816038163,0.01532865631297352,0.013790167177079147,0.01257625350728631,0.012696349780869023,0.01186194132501605,0.015753367271433987,0.01110328494162446,0.017926873630997722,0.011333195812064406,0.01198722054334848,0.012780715053970052,0.01794260130283256
700023872c,0.011334544192948107,0.01071164762558076,0.011823527679762077,0.014352545376233096,0.004053381332749357,0.012445596987348708,0.011914371285067147,0.012220460686047414,0.01089451297224052,0.011529553860292134,0.004784693146907725,0.012189418985158788,0.010708386975903648,0.012408910205128404,0.011529950691045445,0.012700113527973842,0.011478316343755736,0.012790908981097911
700024086c,0.011915294626218419,0.01110892311435438,0.012528919205497563,0.014862025434594698,0.012207361725713437,0.007310579795431157,0.012128902762006365,0.008187822220595905,0.0112809660479447,0.009365855490025643,0.012274886882357615,0.011837267946586223,0.010791176732879462,0.012978844110135642,0.011480629729112969,0.013185366742710638,0.011687364760333966,0.013426965242492863
700032222c,0.010993960536195994,0.009608558656935535,0.01155230822484234,0.01556990034050516,0.011531969091587359,0.011986693270163544,0.002436497547236259,0.011351577435313145,0.009991740393886036,0.011319000148243153,0.011813749887269225,0.00934132572086381,0.008664347936754854,0.012138134502683022,0.01026197968588353,0.013127190743461463,0.010234442376228987,0.012001631442915862
700037539c,0.011877223891566063,0.011067130842917584,0.012543820867684142,0.014047706278555271,0.012207601265118868,0.008356747100422205,0.011695636304518975,0.007026094582718756,0.011224700912421446,0.009042631040265812,0.01225714654707293,0.011508714486917744,0.010757027597987774,0.012854626161408249,0.0114542006865403,0.013100793393682834,0.011707147974666302,0.013371627720157648
700038472,0.010956158594374337,0.010336690385930176,0.011489578096662218,0.013194364502831346,0.011432432911423339,0.012084230312312495,0.010796242827055247,0.011822577861258121,0.002952313840303029,0.01138331673535021,0.01133810979906517,0.011958357077038184,0.010440921772220432,0.012080079144338606,0.010814286553052055,0.012667609200639958,0.011424875075827238,0.012530431300368837
700100312,0.011082218069975806,0.010278399210160947,0.011020010500255967,0.012764085728086171,0.011162281870504923,0.009244021135075369,0.01131127972826809,0.008752000487933597,0.010481514919978457,0.001890973102829714,0.011260554303513625,0.01190432551958707,0.010127432546319757,0.011560431632628945,0.010830412650889167,0.012686560541560579,0.010674071368065178,0.011998457395235895
