,700014386,700014498,700015181c,700021306c,700023578,700023634c,700023872c,700024086c,700024233,700024437,700024752,700032222c,700033153c,700034565,700035747,700035785,700035861,700037453c,700037539c,700037632,700038414,700038472,700038870c,700095353,700095486,700098267,700103652c,700105049,700105771,700105882,700106056,700106198,700106836c,700109564c,700109987,700111296c,700113114,700113975,700114082,700116201,700117828c,700119042c,700163181,700163772,700163981,700164159c,700164735,700165148,700165311,700165407,700165634,700165778,700165809,700171066,700171114,700172221,700172498c,700172813,700173023,700173483
700014386,0.0011492771047351073,0.011286967768460087,0.012258159557628477,0.015376262123029892,0.012908897585207916,0.014074334918585008,0.01193364339361589,0.011923965436254753,0.013567154954774424,0.012716367487670577,0.015008985306555273,0.011189124657056017,0.01171790963909162,0.011962112200420611,0.013077187016514573,0.012769307980770125,0.012460062448407212,0.013448564943926844,0.011684269758375498,0.014516295750168981,0.012367378787260111,0.014652063183177952,0.014024870621369884,0.001656024096738626,0.013339508139768794,0.011987452596523064,0.013405669279012258,0.014277250429727368,0.017666244497316876,0.014955039183745474,0.011844687894457917,0.013217300054545295,0.012332791135034916,0.015519194255082852,0.01292491423157464,0.019590991845166075,0.012772699229495282,0.01358791276428471,0.01238066595422689,0.01522896031456373,0.017110471992758208,0.011216529481607933,0.013073288214438674,0.0134067808879312,0.01823553654880713,0.012666256433319027,0.014265282874981732,0.012435981484415862,0.014297200831552573,0.01810633116533399,0.010603112724336308,0.012617233554370012,0.01197755264579488,0.014348553198073497,0.014652911387427933,0.01268039291386059,0.013441787560455484,0.019708808692948988,0.018172602959250304,0.016877388770921528
700014498,0.011173427935229244,0.0011822449406889864,0.012802227397286892,0.014972536414190373,0.013139557445973865,0.014510255514002979,0.011244024804156677,0.011959261521198673,0.013054670836920773,0.01159865877546947,0.014578393395986444,0.01158203610625649,0.011990959262499525,0.011652758976761206,0.012692178848593066,0.011778448970440638,0.010884887611219505,0.012307098452633248,0.011723748787727688,0.013958594366327882,0.011972995499831596,0.013995170801076219,0.013290740546771908,0.0113197024069664,0.013513432244236909,0.012211688766149541,0.012901269263809351,0.014824284266591365,0.017897738854432844,0.014921740307799742,0.011943468548242322,0.012624074983560817,0.012581124996379773,0.01523846144985274,0.012764296259701425,0.018983751298968995,0.011000627037711713,0.012969216910795514,0.013153895417309347,0.014440499430741403,0.016497034698037177,0.01206851405780141,0.01228492354074759,0.013424796531812715,0.01728844179665852,0.01223695682675688,0.013945555929995117,0.011941684165428117,0.01351257886221209,0.017513945874980404,0.011918368335891955,0.01236773890076162,0.011514568403899594,0.012517554170822709,0.014147522327066207,0.012383394455531169,0.013031858119495275,0.018874219611795487,0.01773552550345525,0.014883054972665727
700015181c,0.011856349701647412,0.012490670808196307,0.004876274631692656,0.015899432937489758,0.015334688403733863,0.014819225065520362,0.012625266813803701,0.012591984360895132,0.013423211963385903,0.013927485998316806,0.015227957740563122,0.01286072388544617,0.01206366756032236,0.01252563540262104,0.014887561180985243,0.01371980827718603,0.012748763566484588,0.014528620892137663,0.012375488148738787,0.015013308157105108,0.013105146476680003,0.015283475973951893,0.014366397774415934,0.012424238469888218,0.014153041687189345,0.005141426090861005,0.014219580433462697,0.015696678016370223,0.017687942822617153,0.01524572633728931,0.013035627311633258,0.014032200735836728,0.013262483340086492,0.017081596408606174,0.01426317448822082,0.019774449329142317,0.013499128749313976,0.015044434433052579,0.013643148844158301,0.01654671757569874,0.017036567587098924,0.012662969892919955,0.01406270291280473,0.013943068714347135,0.017661922427637065,0.013440648836381438,0.015354299819766024,0.013478367813292489,0.014830426858024891,0.0193516404834274,0.013182144037208993,0.01372101912979525,0.012909890293094996,0.014549922501435674,0.01445705739346057,0.014263523410178542,0.01405007044645698,0.019406090135481422,0.01849536495192888,0.017720851619852034
700021306c,0.015022675330742025,0.014757347147414734,0.016108783502603252,0.00753370582294033,0.01712779029489104,0.017059005707736167,0.015768445507184408,0.01477002052114367,0.014005607342100929,0.016092242513933912,0.01480500482510242,0.015391517184968005,0.015210732212432314,0.014772366817442274,0.01637018876703061,0.01595266873782378,0.015696281491741508,0.015884722226086164,0.014564017036267826,0.0073232844044967185,0.015323950404833574,0.01661007592837965,0.015490362761076208,0.015008719233539664,0.016285270067603705,0.016111460067299424,0.015806390219597375,0.017560783499148008,0.017815315655463747,0.015217678334286451,0.014959799370629911,0.015923207458580856,0.016198541890070493,0.016639166814156524,0.016886666888932,0.0183080441823333,0.01565606622827234,0.016107272299470607,0.015914033527204625,0.016288105166106334,0.0169397988777875,0.015819039323220648,0.016161484720227708,0.014207161613253902,0.017014198439418822,0.0159262117851751,0.016577078240662808,0.015123667488726952,0.014740547130191657,0.018111640130099055,0.015496986251312211,0.015892512928189228,0.015010955173587992,0.01599429061642161,0.014658169449332962,0.015891167811503508,0.014523007103030148,0.018555585455099898,0.01743245098107859,0.017487761782420768
700023578,0.012634968225836898,0.012924763733349786,0.015601928653875174,0.017011537758452502,0.004524384227405951,0.016676464577572818,0.013546443579609648,0.013442302363532983,0.013794022575389215,0.014622199908901172,0.01611189358762261,0.013214054390318454,0.012799940230595837,0.01328982983404715,0.01526809449275923,0.013940412835613203,0.014665243760320348,0.015161576829619217,0.013223498951431177,0.016314513603294268,0.014276797503590103,0.01577713806684391,0.015434104782467444,0.012759689443172354,0.015748141633309738,0.015059545629431303,0.014031653621277309,0.016520632036157806,0.017900363146295433,0.015601937385017669,0.014410137259169564,0.014749482299842388,0.013298280288235759,0.017073372025306024,0.015697864233491655,0.021027995082182168,0.01389983639832075,0.015660311794646914,0.015253707403118405,0.01753721431458869,0.015816740939734265,0.013800036315361617,0.01445274055068817,0.015601727476099444,0.017531827652209005,0.015185638131886288,0.01637364801076762,0.014784844454061988,0.01478784894240592,0.019168948754438357,0.014209147909337224,0.014939463747925402,0.014225516999762905,0.014532807497971412,0.015701274582958936,0.014995491121519029,0.014272485634195583,0.019281358378241752,0.01651901166871416,0.01566105430976747
700023634c,0.01373287220032009,0.014325265055385328,0.01502875951044519,0.017053503967392986,0.016744595671031936,0.0035114153650540342,0.013878306545280529,0.0136429361273349,0.014680443991595743,0.015262878641675207,0.015857542885326054,0.014384012684975018,0.01373420753942805,0.014048255945488966,0.01596490086765051,0.015367953991173548,0.01523377182346827,0.01521867035463505,0.01339397578601451,0.01615530156986676,0.014606948860255629,0.014652849968534354,0.016255807706893433,0.014173285882203157,0.015144643205939832,0.014528954446109679,0.01495128855791427,0.01678690160865093,0.016652496849360883,0.016694779806679754,0.01512395971189421,0.01563995229048705,0.014951635545333863,0.01753144453136954,0.015837074301641763,0.01772825369557933,0.01432735932919304,0.01656281512077017,0.012637947117488143,0.017435512551645632,0.016155867002975333,0.014430491443001589,0.015311157719030511,0.015543576768556312,0.016056030913681532,0.01508840760003162,0.016588551230470695,0.01532348904402752,0.01623312780333237,0.019862586841072314,0.014841207726713017,0.014846935389492841,0.014381549532338516,0.015743012178752007,0.01571611738179217,0.015018881220995876,0.015333099400216215,0.01838118459106835,0.01670190146588816,0.01792035764991529
700023872c,0.012853727645466674,0.01219177112719596,0.013970857477390653,0.0173888896028676,0.014814480813553623,0.015292322325812208,0.003225897256470258,0.01353218186886432,0.015256599924714238,0.013695926344189698,0.016663735721242405,0.012932768695346888,0.013196034908182976,0.012892016309005811,0.014215781979366236,0.013102865833318275,0.012608873779412838,0.012763490053165178,0.013189861957213032,0.016443309380783547,0.012924101975351546,0.016055326063318963,0.015872857113107985,0.012624992165588749,0.014096646504153734,0.013432782835041034,0.014590071349281102,0.015681837810563173,0.018997988384552293,0.017333521979116952,0.0137561655554268,0.014354128853059513,0.008801999516669901,0.017184558721598842,0.014098519364655206,0.020668912764065656,0.013515622055758536,0.01416517474471114,0.01360598390146297,0.01661932382344449,0.018157206190238133,0.01242267603267327,0.014136959933684978,0.015232558357623046,0.01944943927886644,0.013414591867147234,0.015273275449561828,0.013768390979975183,0.0160380493024273,0.01912163896327819,0.013329510834114773,0.007928915627229709,0.012564231970574916,0.01552273423955713,0.016543558538780243,0.00774196383209886,0.015239676624398972,0.021079542187325075,0.019411765387310594,0.017791042285248984
700024086c,0.012781703949436877,0.012894856865213243,0.013877283863500149,0.016163072895386914,0.014608950761979683,0.014948418695054437,0.013475274315240463,0.007285067545343464,0.01448498052507751,0.01422811045990717,0.015569543044889717,0.013107383658550213,0.013642262768443469,0.013121538498513158,0.014236303478748697,0.013688790216835436,0.013569703254301417,0.013178492205961073,0.007027441354913061,0.01526086836516054,0.013593361079095137,0.015879723190727047,0.015116345031225964,0.012613154408067973,0.014437375669888087,0.013569659532962136,0.014533565624075427,0.01563162896922074,0.017512565110739692,0.016246165220564643,0.013447881564772396,0.014375110727494771,0.013714579992616013,0.01568821806325905,0.014416494461988737,0.019552578623212774,0.014131659521984885,0.01437984944840524,0.013752902865883442,0.015557224261430082,0.01727306915050658,0.013296300421517504,0.014173968710227271,0.014436563161706611,0.01840861701931595,0.01357120653026227,0.015287387609571424,0.013462707014529274,0.014795744815180215,0.018056751658699095,0.013377560854185306,0.013634916945360913,0.013099142881541468,0.015052669185298689,0.015382021739096821,0.013664870493911506,0.014541701853476143,0.020222326334677583,0.018282948575935477,0.015595436293032198
700024233,0.01423617285873653,0.01378694136361797,0.014457934562426054,0.01504271278082201,0.014652836054636015,0.015761416352335102,0.014898102047948975,0.01422270873721014,0.005966259265575463,0.015168441822642731,0.015185124095441012,0.01424897395313939,0.014564319127487659,0.013998757675186678,0.015617156030791461,0.01475302789765232,0.014831117934386143,0.014600038743411066,0.013986402443391187,0.01434092949587773,0.014791721332094549,0.0160424458157423,0.015013794432336414,0.013793475940352186,0.015028722240280212,0.014344487596633525,0.015699370477893587,0.016580602079460504,0.017763200115532212,0.015175315761719627,0.014158349168937587,0.015035584059021773,0.014746066205047637,0.015318841785017615,0.015440098269956409,0.01888547641984562,0.015284128633399329,0.015266109911383939,0.014534961678594643,0.014731614902514505,0.017227020440360917,0.014366886315863789,0.015299745822829922,0.014129395150009015,0.01776164056172105,0.014675381505875782,0.015275418005318222,0.013738576849508835,0.013935812489136168,0.01660314142698026,0.01419774576371728,0.014677020610271155,0.014150290249558507,0.01541598216619062,0.014118974994594781,0.014302455573026826,0.014017605915729616,0.019202473760429908,0.017617827626585536,0.015713642416935746
700024437,0.012694368950363757,0.011677243001302386,0.014368639068144685,0.016460382220465124,0.014974555465082771,0.015626769736756713,0.012670935447493715,0.013234673102671762,0.014412211137020034,0.006582025285790353,0.015511248167095336,0.013104631097344142,0.01357407209621197,0.013092120339374937,0.013940290897494153,0.013574267344131419,0.01278974822457277,0.013382615043499054,0.012932749556033601,0.015474717861354119,0.013468107162586684,0.013683154598397439,0.015032795687046107,0.012883062545063618,0.014245449075680336,0.013905217107694042,0.014335404693144989,0.0157343859057112,0.017984479113434385,0.016211209735641312,0.013133698967613827,0.01456158511863065,0.013940127808823333,0.01674928862346977,0.01501618205030462,0.019677629444384243,0.009401052294815157,0.014562964888681905,0.013638404564077526,0.016004586093111537,0.01734525646742482,0.013321189918919295,0.013233138831304156,0.014440615849382844,0.018306653304659786,0.013152379471926549,0.015347837820206173,0.01392106830799553,0.015484431433112292,0.018463990810890795,0.013831865755882173,0.013859227826771549,0.013225256874894932,0.01471335204338023,0.015521997421285563,0.013906795406650947,0.014276658251367667,0.019489947175653003,0.018134505484530362,0.01738415564554843
