,700013715,700015702,700016716c,700021261,700021306c,700021361,700023113,700023390,700023720c,700023872c,700024086c,700024449c,700032222c,700034254,700037042c,700037123c,700037539c,700038072c,700038702,700038806c,700095647,700098267,700100022,700102432,700103652c,700105049,700107398c,700108095c,700109383,700111296c,700114125,700116568c,700116778c,700117000,700117755,700117766,700117828c,700119042c,700123562,700161219,700161945,700163699,700163868c,700164611,700164735,700165148,700165263c,700165634,700171679,700171727c,700171859,700171916c,700172346,700172393,700172498c,700172813,700172870,700175181
700013715,0.002052122694596656,0.008170850842536598,0.008522310473346943,0.00748395021108968,0.009196482303944412,0.009052950148823753,0.009424785044086269,0.007527028140738801,0.0099759097610342,0.005060182198003689,0.009483814106153987,0.00790504556342803,0.007275508220448574,0.00705355736498215,0.00522851054394019,0.008056766752045978,0.014617242274018429,0.004674488060949537,0.007385966956799905,0.013311361923501172,0.006818408957585736,0.004996370723074555,0.008244438029581556,0.007075511834972569,0.004409797873533282,0.004963868518521717,0.00782844825344024,0.007912043825867491,0.006200793799673369,0.011110698698237864,0.008301985382615623,0.008673614396091076,0.007654475836778018,0.006683382416832296,0.007693856472313129,0.0034609246582147377,0.0027987820636090365,0.0077532139343158505,0.008309624663040652,0.007678012913762935,0.0094874427026979,0.009858255589758476,0.004031243180428001,0.004867827295781025,0.008611661817572561,0.007216426293607056,0.0052219030489113255,0.007254393615399027,0.008017171940083606,0.008614740677996608,0.008462875871577742,0.008233677566657266,0.0071860809344742906,0.006031278215673601,0.007665076011925121,0.006962948451733849,0.0025452195460419786,0.008772016825468429
700015702,0.007876306292881744,0.006306305523425532,0.008775100916958586,0.007687947706025092,0.009550494799931737,0.009776727578850402,0.009523768640217667,0.010433046085804967,0.010150911613881581,0.008437724145100614,0.00983009581943776,0.009563990077530716,0.008041364772274573,0.007642443330753843,0.00944742420132657,0.009661588887124558,0.01593801666778456,0.008532499331735603,0.009740393796440386,0.013560993966948546,0.00915016107294509,0.008089735099972649,0.008760835254103228,0.007698653857276183,0.0083412747856444,0.009944082285457517,0.008327910498945738,0.008656921452564309,0.007261183268240721,0.011361437388015766,0.009124179995844603,0.008765001778001472,0.008607852012276512,0.010521991423368442,0.0084165643501221,0.008732080976643781,0.007791617124955448,0.008240775239085311,0.009087289457538809,0.008446483109693856,0.00962469443713247,0.008951261043144598,0.009590575112255402,0.008442764565142577,0.00887287312386328,0.008000213946689807,0.008333587744323384,0.008832359967814037,0.009418873237573374,0.009128792144028588,0.010130981240850465,0.008657423017621105,0.007741879421321442,0.009416828218522705,0.00850154512725904,0.008849105311777728,0.008078574420189902,0.00815551632959362
700016716c,0.007656683687533208,0.008180114658989813,0.006649961237027387,0.007652300246751616,0.010359739228997073,0.010036872266863174,0.010055359438088237,0.010578118665034135,0.010551229447332956,0.008401361860179354,0.01024266469965448,0.009442625332182429,0.008064197890461023,0.0075134928747842,0.009396615081887608,0.010075988359698572,0.01575096520324989,0.008146842159933894,0.00962228762882061,0.01579128586014071,0.009596493377784713,0.008240507153228107,0.008841685091971915,0.007947121258368273,0.008189858875239599,0.009581470459696336,0.00865782624767712,0.008533488181984267,0.007198012172847973,0.012328566983197937,0.009771093997675319,0.009048152082402536,0.008874591908110732,0.01138458572684976,0.008917493396047015,0.008477338652424012,0.007388980391906399,0.008423899115323695,0.009068296720475705,0.008355559777495287,0.009957361779070103,0.010546440173335302,0.00912864799762158,0.00869412289060785,0.009005227578524663,0.008245958862278724,0.008185083954299214,0.009603990741453449,0.009495920795029488,0.009520809284252274,0.009782448001783652,0.009532773003884207,0.008101347570142702,0.009399761915046032,0.008599340045906494,0.0085297219008846,0.007792789049507471,0.009033870391047432
700021261,0.007568737050050147,0.008039301624114538,0.008556001237838718,0.0019509960786662612,0.008802100769023454,0.00894415776548629,0.00915654700750567,0.00986966629381775,0.009959574517797977,0.008025462023033059,0.009844363810575877,0.00849631242775343,0.007649263105178807,0.007195161350853867,0.008592078856836879,0.00900005319014887,0.02127565451888562,0.00806157043760683,0.00885722123922474,0.015678488666456103,0.00803145016941701,0.007430005129042536,0.008142252491681875,0.006894008896697457,0.007595614951066587,0.009632103164174463,0.007865450293345143,0.008126794666900135,0.0065011939733539475,0.011643249701162055,0.009182825578372463,0.008610819013512103,0.007717399016082439,0.009826948835363726,0.007921965419146249,0.008016260698285175,0.007388675200201242,0.007910938299658065,0.008612991605777262,0.007236115117947875,0.008964138728145216,0.00854093595728956,0.008764142807406816,0.0077150864609619755,0.008322028459131015,0.007273134615879322,0.007860331600665647,0.007948412591104344,0.008665311242501023,0.008429713277108276,0.00917003444232894,0.007913409857019828,0.006870212343973823,0.008870888676183093,0.007750348413728436,0.008736596147027893,0.0075289136746371065,0.008012335219401198
700021306c,0.008293574577533588,0.008901059992666919,0.010305417863643905,0.007869037855660689,0.007225773395139267,0.010778549898088009,0.010470203500074167,0.01073990505919087,0.01106242876481102,0.00835441904660993,0.011207464303185878,0.00982540063740119,0.008323527869386761,0.0076803147671201605,0.009714999327853016,0.010571554464551733,0.015872055107245674,0.008387030906078115,0.01032094388670423,0.014798822478179659,0.010372191050255086,0.008922409487914219,0.009275846890412486,0.007790047833408553,0.008282474535822437,0.00997371034945947,0.008926509087676768,0.008714917505513288,0.007150540941569574,0.014139013533121235,0.009694371287630508,0.009598331100588999,0.008850926835413496,0.011521925765902457,0.009052503659496074,0.008534193635725598,0.007732455637857246,0.008544955535171754,0.009218655423464887,0.009071178704493116,0.011397601439581045,0.011836508926455864,0.010007667813141158,0.009374213440673167,0.00956792147610581,0.008443991723567646,0.008454253648489764,0.009351141113840269,0.009326702234966712,0.009325044434705922,0.010599279195474978,0.01058511215380719,0.008450971263069559,0.009478812056249017,0.009093512080745082,0.00935443178069955,0.008213261446711003,0.009261741828957663
700021361,0.008184663407278164,0.009163279688924907,0.0100521933109221,0.00802409806290522,0.010878268724484684,0.007234408273954741,0.010664010045853543,0.010586616301704578,0.011719344758488306,0.008661219628029489,0.011890054049322203,0.009742662559471907,0.008055252329227637,0.007903433079925984,0.00946522514711866,0.010371718365895012,0.018246131237358295,0.008407129900958989,0.010017070112490947,0.014838182247865768,0.01012032558952493,0.008930647160992526,0.009061013808362384,0.007728880156784909,0.008117567743100008,0.010000220884838453,0.008633572378220145,0.008678856325183011,0.007099386717358469,0.014374249654347393,0.01042194678962439,0.009730309051484948,0.008305965647118305,0.012581642118586804,0.009974243273425228,0.008533531134768096,0.007579082958584167,0.00804376704919406,0.00929563032471502,0.00883866116480831,0.012055267316741362,0.010891129898985137,0.010274533432512662,0.009265790665747403,0.009482716905451704,0.008424849949746514,0.008848893491179491,0.00963755130783538,0.009728269821396528,0.009662511649284677,0.01049685200028093,0.009989023105696554,0.008073315201671696,0.009510717455615164,0.008874744235168767,0.009583094867428001,0.008037456886177893,0.009483868676121887
700023113,0.008548880446510768,0.008984765718517071,0.010041774135585275,0.008257810594255803,0.010488936692996012,0.010532033756582196,0.004953080215764711,0.009742309441264776,0.007191728426197634,0.00863768013040659,0.011856135825164777,0.009401399963587366,0.008174271223839314,0.007330619636170916,0.009054234756770243,0.010113297024915641,0.01776827488797813,0.007948431886040013,0.010120963500578463,0.016051288624151894,0.009526592054947077,0.008922470032073797,0.008910467938401096,0.007609748479690547,0.00782483314576813,0.010033629022097385,0.00820776362186077,0.008296349909408121,0.006874212179160967,0.01475921312041369,0.010820213546857648,0.009509592628787464,0.008696249277111236,0.012130092362068117,0.009217765384461004,0.00816685878098844,0.007615889335015767,0.007598217596413286,0.009344137401861857,0.008865456028756198,0.012340922960251825,0.010748287900722318,0.010320538882544637,0.00901295841696348,0.009108417514826437,0.007133877851577008,0.008369096968354684,0.009138766573506877,0.009426150059859544,0.009553364086073827,0.010821105969429574,0.010700456133470619,0.007880446558814487,0.008928606149134821,0.008606536915364978,0.008761205548847536,0.008006136713068233,0.008886564197117681
700023390,0.006814361525821519,0.009819617944785398,0.010729893523458676,0.008883516127203,0.010973588928772513,0.010770571413374877,0.009956836215666627,0.008359295181182417,0.010373667168349102,0.008371124483504432,0.01076459121867209,0.010358515292708639,0.00927431955896035,0.008719683748529206,0.00907000358515986,0.010756401185178309,0.014760679735040437,0.0075166682850577775,0.010189019371955368,0.01342451489168326,0.009215687706369796,0.007646436460798356,0.01000648114061678,0.009276540664720473,0.00803103094142187,0.008949896242599497,0.009653833647919954,0.00973441659935811,0.008397969200434376,0.012761360081289867,0.009472723082381299,0.01023354998385836,0.009799327851529139,0.008834817801946808,0.009720831365006791,0.008013309132616268,0.006742728159256392,0.009199751978057948,0.010282437852016633,0.009824840443991331,0.01011124940717685,0.010413590654724029,0.008232626418228195,0.008302036074507545,0.010674363976556044,0.008914961057331269,0.007096998477264392,0.009474239248103773,0.010549725051066373,0.010605156297692547,0.0106334032671219,0.009867927199345762,0.00936484986672142,0.008762314643316236,0.009579400392359766,0.009335629141652717,0.00705699689451708,0.010621149676951316
700023720c,0.00911944699791511,0.009602149678402887,0.010531989292005798,0.00903157918332718,0.011076144405793178,0.011541019819344038,0.007233623731534579,0.010119073604409732,0.006207171728940206,0.008847914506954357,0.01326848189627661,0.009832801801030987,0.008610440823149889,0.007781637736465938,0.009401022613621966,0.010704116738335143,0.019040455954559395,0.008300396127450647,0.010570114149956207,0.01706833614568402,0.010403402218943205,0.009490654268564738,0.009696343816037517,0.0079127809343465,0.008093612905394542,0.010415684346968351,0.00869453527652353,0.00862448470487488,0.007124649826504512,0.015982903436272004,0.012080856326979266,0.010424016346031255,0.009064347487998522,0.013451692379045897,0.010106960151712325,0.00834298814592789,0.007877206664530676,0.008092340072799962,0.010094623462747936,0.009381613797167926,0.013764153127248697,0.011782905018463963,0.010750660261420767,0.009627746540123125,0.009775496697074159,0.007652519561844098,0.008689674396442993,0.009656032219558379,0.009810744483379315,0.009882053218788354,0.01145136369432622,0.011752386065961542,0.008228327773948017,0.00927527352367941,0.008984811482167314,0.009063820563593797,0.008125463987532148,0.009389723005853142
700023872c,0.0050308816406215906,0.008709423706341264,0.009302898001221398,0.007915774643636318,0.00928385698928185,0.009555588493678815,0.009527650444838297,0.009184477141018799,0.009767247861516422,0.005740771404845649,0.009633398702999433,0.008798936758862431,0.008066501879600247,0.007703869130970572,0.007208651838692534,0.009086188370594436,0.014671247792365994,0.006568112461866819,0.008622116786292594,0.013928867814719411,0.007898427278804607,0.0064745865811082935,0.008733462011595524,0.007640966131870026,0.006311811601080493,0.00725337905944228,0.008628175792695047,0.008562679878289839,0.006955597390273229,0.010916566509434048,0.008222728138448267,0.008992074821420037,0.008313631628419067,0.007990426387868977,0.0075317308410906055,0.0058801621444254095,0.0051519081825871175,0.008486244962668256,0.00892315520264718,0.00802878851944013,0.008535258370919587,0.009553119684020412,0.006453371073323801,0.006492843044686852,0.009128255873873387,0.00773742045310263,0.006832204342405892,0.008033493087790495,0.008902309848333609,0.008446191422045186,0.009260489729339223,0.008854003898433072,0.007860923734444818,0.007854100202563987,0.007610678465887501,0.008145635491126997,0.005086425217915275,0.009313555188860855
