,SRR9224432,SRR9224402,SRR9224395,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224090,SRR9224091,SRR9224092,SRR9224183,SRR9224307,SRR9224417
SRR9224432,0.0006926367763357,0.0007615630660046,0.0007556677561728,0.0007237405155225,0.0007552809841398,0.0007365597866684,0.0008675873150002,0.0007975604536996,0.0007843804465294,0.0007846029471519,0.0007943994101363,0.0007496934822154,0.0007673509236878,0.0007164370870303,0.0007673797218274,0.0007327782116161,0.0007442176142515,0.0007348763428483,0.0007601487317821,0.0007604786531467,0.000761663815735,0.0007881113152996,0.0007883701124109,0.0007306688129528,0.0008350075876821,0.0007907564711642,0.0008008800516633
SRR9224402,0.0007497445902051,0.0006645702534875,0.000742228794805,0.0007103726230387,0.0007440097930906,0.0007214297503126,0.0008558293869429,0.000782794771402,0.0007656926923471,0.0007694256364206,0.0007804037995538,0.0007339932577458,0.0007502246235291,0.0007026820276305,0.0007560403600272,0.000718692293349,0.0007306968013776,0.0007190040244236,0.0007478735909246,0.0007485417029612,0.0007523913012795,0.0007810516529361,0.0007721612431783,0.0007167325964655,0.0008259816691833,0.0007810293303084,0.0007944375577851
SRR9224395,0.0007506639743812,0.0007488289839591,0.0006745392883202,0.0007138188500997,0.0007499439602343,0.0007239086819636,0.000861500755316,0.0007856174893402,0.0007744578676666,0.0007704467884638,0.000783983876883,0.0007374092180894,0.0007582313903267,0.0007056974839775,0.0007551479383022,0.0007234231133376,0.0007310349946932,0.0007248035628953,0.0007538385781641,0.0007491336256708,0.0007522223318815,0.0007760999760221,0.000773581155288,0.0007173355305436,0.0008210186068156,0.0007884528091685,0.0007912058893075
SRR9224393,0.0007181274481471,0.0007163609359203,0.0007135190081628,0.000608736992696,0.0007126278446164,0.000691117589465,0.0008219994773446,0.000751723419914,0.0007392469663035,0.0007387213288213,0.0007501864486874,0.000704229985418,0.0007223762764108,0.0006764426620134,0.0007211456928653,0.0006885486103933,0.0006965022748778,0.000688728952778,0.000718146927055,0.0007163460985793,0.0007194656054286,0.0007458063493164,0.0007444920804101,0.0006841648986079,0.0007824795603806,0.0007457599621801,0.0007524136414403
SRR9224394,0.0007310004914047,0.000731666289455,0.0007311974192557,0.0006947945382632,0.0006291088574515,0.000706352967371,0.0008423867124357,0.0007703440142116,0.0007551116358698,0.0007565492488683,0.0007703567919258,0.0007215333630823,0.0007351072171154,0.0006896320964992,0.0007387976224934,0.0007058573883226,0.000715982516331,0.0007055933205211,0.0007331922790339,0.0007372632229683,0.0007366059629809,0.0007644578413574,0.0007625734367364,0.0007058112521004,0.0008152434192054,0.000760700976514,0.0007846502479946
SRR9224399,0.0007377658414026,0.0007345107538908,0.0007305613290842,0.000697842423263,0.0007317819008999,0.0006453098912849,0.0008377544245237,0.0007710601199824,0.0007552755294641,0.0007560029175732,0.0007667230321045,0.0007209917463631,0.0007427452641463,0.0006910848061066,0.0007390069480543,0.0007072475254525,0.0007185068523517,0.000707125461074,0.0007316627557387,0.0007337602164053,0.0007394786369935,0.0007600378732691,0.000763733837981,0.0007032762686687,0.0008058681418555,0.0007706688223628,0.0007750448422218
SRR9224400,0.0008248558873193,0.0008277473209594,0.0008253746485558,0.0007877726857157,0.0008281038213434,0.0007956793830134,0.000764672795748,0.0008741235892602,0.0008469801555184,0.0008484683448076,0.0008594663977586,0.0008202283877246,0.0008295989157109,0.000781890988696,0.0008359584976828,0.0007901221393342,0.0008021997519102,0.0007890528257633,0.0008197067210718,0.0008174442256377,0.0008293657302321,0.0008549584084051,0.0008463995517224,0.0007935778952399,0.0009268173582067,0.0008769421963373,0.0008741285373276
SRR9224397,0.0007669353160997,0.000764882409068,0.0007608919698139,0.0007280379222498,0.0007653265926878,0.0007400032421281,0.00088335858392,0.0006774559241176,0.0007885183439889,0.000785645841114,0.0007981895828369,0.000751543274531,0.000771582467361,0.0007231539313948,0.0007702552499388,0.0007363677016529,0.000746150178377,0.0007346747556743,0.0007661694350374,0.0007612706775827,0.000766782573808,0.0008006119186804,0.0007891384350526,0.0007351739527561,0.0008515932281257,0.0008208425133586,0.0008055061986265
SRR9224398,0.0007668828808903,0.0007604182783078,0.0007623364804049,0.0007282948681739,0.0007627836215584,0.0007367095784206,0.0008711208498822,0.0008015881925345,0.0006929015382535,0.0007870551655575,0.0007924619203149,0.0007535014646579,0.0007713843175792,0.0007196261899919,0.0007701174267163,0.0007375693342501,0.0007478228447474,0.0007410787285946,0.0007649067956301,0.0007636207383909,0.0007647644221057,0.0007902099306305,0.0007916180481343,0.0007340193763752,0.0008439137907662,0.0007957525254901,0.0008035402480144
SRR9224391,0.0007614877911285,0.0007584898576782,0.000753045946925,0.0007222792317013,0.0007580379039337,0.0007321830314726,0.0008645005912102,0.0007920744605264,0.0007813949179107,0.0006758014611233,0.0007949304262009,0.0007436066828915,0.0007605313713608,0.0007126254705705,0.0007667172506631,0.0007281734300214,0.0007381831714655,0.0007316213760618,0.0007578702108971,0.0007563612149602,0.0007668055363409,0.0007829696806159,0.000782902081907,0.0007286167647656,0.0008273164857978,0.0008026252032444,0.0008056551883409
