,SRR9224359c,SRR9224363c,SRR9224523c,SRR9224529c,SRR9224527c,SRR9224243c,SRR9224328,SRR9224122,SRR9224344,SRR9224171c,SRR9224316,SRR9224315,SRR9224542,SRR9224540,SRR9224229c,SRR9224224,SRR9224086,SRR9224084,SRR9224083,SRR9224082,SRR9224427,SRR9224428,SRR9224430,SRR9224431,SRR9224254c,SRR9224289,SRR9224281,SRR9224285c,SRR9224260,SRR9224477,SRR9224474,SRR9224475,SRR9224120,SRR9224121,SRR9224534,SRR9224533,SRR9224537,SRR9224098,SRR9224097,SRR9224370,SRR9224371,SRR9224372,SRR9224248,SRR9224367,SRR9224246,SRR9224504,SRR9224503,SRR9224506,SRR9224507,SRR9224510,SRR9224512,SRR9224332,SRR9224331,SRR9224334,SRR9224335,SRR9224343,SRR9224347c,SRR9224351,SRR9224352,SRR9224349,SRR9224350,SRR9224354,SRR9224514,SRR9224513c,SRR9224518,SRR9224519,SRR9224521,SRR9224061,SRR9224063,SRR9224339,SRR9224053,SRR9224054,SRR9224214,SRR9224212,SRR9224210,SRR9224209,SRR9224208,SRR9224207,SRR9224217,SRR9224216,SRR9224271,SRR9224272,SRR9224269,SRR9224270,SRR9224267,SRR9224268,SRR9224265,SRR9224266,SRR9224264,SRR9224445,SRR9224444,SRR9224447,SRR9224446,SRR9224441,SRR9224440,SRR9224220,SRR9224219,SRR9224436,SRR9224497,SRR9224498,SRR9224499,SRR9224500,SRR9224493,SRR9224494,SRR9224495,SRR9224496,SRR9224102,SRR9224101,SRR9224100,SRR9224099c,SRR9224105,SRR9224104,SRR9224205,SRR9224202
SRR9224359c,0.0008536117399095773,0.0009093379179605499,0.00103719355737559,0.0009773968812879625,0.0010161439442763647,0.001058469662834378,0.0009686422978895296,0.0012531934747920864,0.0009855300980820196,0.0009136156914118001,0.001068714242532936,0.0010049735810756311,0.0009936391769290755,0.00121265702810539,0.0009747021808892973,0.0010038805247682317,0.0012393272526479717,0.0009709306577153497,0.0009004867209518431,0.0010223476383396314,0.0009251988416019703,0.001105037441031113,0.0011228439264999851,0.0009822130894028293,0.0009213403537281695,0.001085738765980713,0.001133295659875082,0.0008707348730658864,0.0011719713076070114,0.0010207202281831,0.0009328168636189725,0.0008405876418618934,0.000892286563549633,0.000878792454369971,0.0009908125514961087,0.0010670983227444013,0.0009637624603575449,0.0009495996859966979,0.0009951004638625088,0.0008436627177751178,0.0008248742741866264,0.0010784387650959529,0.0009568161227523611,0.0011844428329903952,0.0010870246696459388,0.000909240715615712,0.0011434083913402834,0.001075367906968634,0.0011248994445709206,0.0010519140381142105,0.0010905171326620583,0.0010758165723407593,0.0009641850465942903,0.001185793033668046,0.0010234172775623219,0.001250940876395683,0.0012575464414570435,0.0010638266964893982,0.0011825463142675762,0.0011121050849592748,0.0009710839966684951,0.001211235109541703,0.0011955129314389018,0.001209203072464406,0.001228100710459973,0.0010318967625211081,0.0011637612051787357,0.000989103836938478,0.0012019277621865335,0.000991898401708857,0.0009025565264268458,0.0008834680744084777,0.0010954600125856557,0.0011665847900142337,0.0012097458340985462,0.0012060403560011151,0.000952110259486128,0.0011128726343509485,0.0009103929731786414,0.001022606686162879,0.0010048323483754108,0.0010439641029830913,0.0009396184779784305,0.0009554834891377436,0.0010848584559313324,0.0010516859570597534,0.0010564709421880777,0.0011620964706693044,0.0009715036584001335,0.0009554872356686869,0.0011260863417454313,0.0010227484716153333,0.0009506670895433867,0.0010011254683495276,0.0010410565819980021,0.0010193219818581901,0.0009566280527448438,0.0012422174800846104,0.0008995089042115881,0.0008955913083977554,0.0010015290878877675,0.0012411300503903041,0.001152226609594732,0.0010197039286608026,0.0009946977035563942,0.0010337459756798277,0.001176074996104704,0.001224488513137619,0.0011210920390419367,0.0008938066649757817,0.0011656078468260244,0.0012172228469997538,0.0009272396443016334,0.0010790116016183673
SRR9224363c,0.0009335340118201741,0.0005826734004047876,0.0007459678286686732,0.0006921041930461286,0.0007246446719829917,0.0007589916672237586,0.0006581045712416789,0.0009614509698415005,0.0007584126879250718,0.0006902814388399771,0.0007867271128003589,0.000739015619527816,0.0007372645685598412,0.0008530457787316454,0.0007042881920208685,0.000751269383078644,0.0009175052874974603,0.0006800924792712022,0.000646845762534357,0.0007753239160280184,0.0006569992675920123,0.0007897403617125884,0.000843227941202155,0.0007052147420753891,0.0006488434704037869,0.0007690660445896269,0.0008758818240184619,0.0006055900300112892,0.0008413536299296737,0.0007176226429944068,0.00067544726970509,0.0006176662484082046,0.0006421281904475659,0.0006410666762522154,0.000882140741694889,0.000837535011191701,0.0006685725537778482,0.000710446497165298,0.000748330367145935,0.0006135620303663944,0.0005844876089552198,0.0007399512020469498,0.0006676320906713417,0.0008683704825116518,0.00074998889772538,0.0006426676970311688,0.0008566159765619289,0.000735781650068115,0.0008281390950561578,0.0007074110339719774,0.0007454801727706443,0.0007834728524891603,0.0006563341387108413,0.0008666789455545594,0.0006816041710188092,0.0010238339735783365,0.0008884353691819269,0.0007217770046085471,0.000803954232477532,0.0007241518502607161,0.0006546038019858855,0.0008860194453472448,0.0007960287714436252,0.0008404541341579612,0.0008572646246114718,0.0006721654588945844,0.0007393416480013064,0.0006618955086265017,0.0010344423223578453,0.0006796371110699554,0.0006162652337716757,0.0006234522744016343,0.0008565946867470683,0.0008335867219304511,0.0009899114762073283,0.0008735659914691789,0.000643539865756586,0.0007488049919207317,0.0006165454964506341,0.0007387630200058726,0.0007084713126302381,0.0006902072863415931,0.0006288398241528364,0.0006297391621908452,0.0007589958745867778,0.0007054020630040788,0.0007023861657901753,0.0008024122258145695,0.0006533909395083539,0.000643037923365282,0.0007839638669612337,0.0007084748507458269,0.0006761419699543304,0.0006838770842914302,0.0007338022500175262,0.0007379011279928412,0.0006507048064785393,0.0008584484105851205,0.0005827784582304579,0.0006180492895071351,0.0007364366767587671,0.0008881089099981426,0.0007964525876503182,0.0006843455203403755,0.0007081179035595237,0.0007286764581009393,0.0008551987496633985,0.0008445971282622115,0.0007266398157206144,0.0006319251062022335,0.0007871006697399909,0.000835375887450727,0.0006417354425306372,0.0007425125992112814
SRR9224523c,0.0010507620242487562,0.0007382837723078121,0.0006848441703112907,0.0007591152005663398,0.0007905585229199545,0.0008616122209764098,0.0007284493765912082,0.0010548339488648524,0.0008422421145092813,0.0007566702674122003,0.0008634589921697752,0.0008151358740736578,0.0008285745893976559,0.0009551612230607889,0.0007652827373095215,0.0008373887920445333,0.0010291904691165856,0.0007543110112653411,0.0007090950598023659,0.0008555337103222,0.0007309417039972496,0.0009013833334782544,0.0009601006265271572,0.0007888260618410558,0.000712955263340435,0.0008463862812346809,0.00099513369747723,0.0006723433992729275,0.0009429087550809067,0.0008487465418996896,0.0007429824154752817,0.0006897624930191699,0.0007015351600914118,0.0007054387170885706,0.0010527148416204961,0.0009664986105974145,0.0007473012620204493,0.0007838051255905296,0.000827182491791263,0.0006857864427915176,0.000651576406174107,0.0008338008472018964,0.0007514705286510417,0.001000551423251653,0.0008581883732344834,0.0007149504044668949,0.0009543073419334353,0.0008063708455258645,0.000939049938396997,0.0007861625830883656,0.0008496154523964643,0.0008629763186382591,0.0007280883845167741,0.0009674093200423915,0.0007569611606367454,0.0011437977465692474,0.0009638421680374254,0.0007904152932711884,0.0009178432831026865,0.0007788867956194657,0.0007244801618280473,0.0009935781742900355,0.0009127741507662593,0.0009508989216467408,0.000976649717513561,0.0007482595421389655,0.0008181162911794059,0.0007370013576892556,0.0011371990611426844,0.0007561806960792864,0.0006721869863423615,0.000680340509452546,0.000912092757884152,0.0009044307503792526,0.0010779130772472707,0.0009410731244446029,0.0007070391300352575,0.0008406119600693487,0.0006938996438671885,0.0008441695738088791,0.0007901871918252285,0.000770045508263852,0.0006945931841482843,0.0006910123304155852,0.0008610900461293914,0.0007725048577560792,0.0007790380221515652,0.0008945581752452402,0.000717570733302824,0.0007158321305635707,0.0009279985984902896,0.0008008681677688818,0.0007529605070101002,0.0007625284540026397,0.0008288604193657815,0.0008345422823076998,0.0007504438731926525,0.0009921505550314397,0.0006481913365913531,0.0006812170147304156,0.0008119533172659307,0.0010408148782383162,0.0009236084340262567,0.000756776549402034,0.0007782500373426064,0.0008134987898164299,0.0009467100045815284,0.0009439592208799955,0.0008079120746228261,0.0006907621945482045,0.000889352462831096,0.000920368787513916,0.0007052663681494553,0.0008481006734379078
SRR9224529c,0.0010083886463585587,0.0006975372130888593,0.0007723260000571432,0.000597296529688723,0.0007233898668823776,0.0007811371612346214,0.0006624372886898192,0.0009629484052144954,0.0007651168256801041,0.0007036061889745078,0.0008138222182760648,0.0007579440798405402,0.0007671656647146402,0.0008538378646618859,0.0007099278688688676,0.0007705311505543756,0.0009699537021966454,0.000690944534202164,0.0006540826023120794,0.0007886681018099537,0.0006679545960049094,0.0008120230389404514,0.0008736142372701479,0.0007163789252476417,0.0006585904003088015,0.0007802636872760105,0.0008994852423636002,0.0006180698951811789,0.0008376825224242465,0.0007601892076721656,0.0006818030288705861,0.0006333746060592362,0.0006481964481023155,0.0006479629252753724,0.0009562185848975309,0.0008589803366225643,0.0006943925356998447,0.0007227443480786588,0.0007671124159164502,0.0006221845924457385,0.0005992523960912822,0.0007767968067159739,0.0006813305602531737,0.0009164223595097454,0.0007913214052938599,0.0006451960574457537,0.0008716388769537384,0.0007389023405180378,0.00085720291697398,0.0007253082727392314,0.0007598282360830558,0.0007921715742761122,0.0006549575567247093,0.0008706421163713581,0.0006821357446584609,0.0010473756451410744,0.000877486000760082,0.0007228958859525854,0.0008098075991703715,0.0007193166845817025,0.0006484190081866336,0.0009015906906364868,0.0008232991167925294,0.0008636245033229026,0.0008820981828987556,0.0006774933443310742,0.0007397603703071258,0.000671779514080804,0.001046417693842992,0.0006719730277067058,0.0006114221397050805,0.0006190962343859142,0.0008575120015220854,0.0008331793412807827,0.0009969469047182477,0.0008765952590185492,0.0006536489241607994,0.0007600608550641576,0.0006278681519189842,0.0007575625772869118,0.0007241803417630257,0.0006948676959768733,0.0006314247969083611,0.0006328522593984859,0.0007719540971272544,0.0007036841553105268,0.0006928989302749688,0.0008259421365659886,0.0006573440289730989,0.0006613103900833965,0.0008279068969362089,0.0007306870668305487,0.0006774462963471076,0.0006987415608478882,0.0007521814615110758,0.0007734789298911253,0.0006694117459960085,0.0008944300351933085,0.0005895782279177129,0.0006249963566201873,0.0007549128002456797,0.0009643403118893442,0.0008356049882992194,0.000689677157229355,0.0007110430238097818,0.0007245364083282737,0.0008790429597769185,0.0008611616454777198,0.000750019473661704,0.0006378379336905945,0.0008233300403737554,0.0008458067749948063,0.0006487187467749746,0.0007757393927740774
SRR9224527c,0.0010401229040975393,0.0007233181800657066,0.000796810190075359,0.0007165685092665825,0.0006292853387652831,0.0008017364843904013,0.0006845024753679859,0.0010175124791875958,0.0007925753884499682,0.0007266645510271054,0.0008235914267080953,0.0007763149831945556,0.000795138092789523,0.0009004224174610702,0.0007318496897454383,0.000775635982477754,0.0009924006026256877,0.0007120073426154051,0.0006772024849221481,0.0008105936268857228,0.0006938847066216743,0.0008467005037475563,0.0009111151284796633,0.0007401332438339807,0.0006870962198552247,0.000810426920517869,0.0009465786895744094,0.000639182296127455,0.0008919034046332881,0.0007936926674901196,0.0007305448345538729,0.0006553251296752282,0.0006700144555385825,0.0006736887752595631,0.000982872196076587,0.0008899243919651575,0.0007228630809416493,0.0007567801340354087,0.0008046369342525165,0.000653587314847701,0.0006176588358760579,0.0008056210097998742,0.0007014517608507702,0.000914511199549707,0.0008143190998158194,0.0006741960296745153,0.0009101270701634365,0.0007634730835923809,0.0008953158142078941,0.0007511499487552383,0.0007944359001510693,0.0008158070103786352,0.0006815655226840823,0.0009354476687567793,0.0007117944128160537,0.0010787870438135497,0.0009338722204186885,0.000743811651919086,0.0008423322035169255,0.0007529546268438452,0.0006752430619283777,0.0009358665666196702,0.0008581679684243318,0.0009151907651550955,0.0009338135420372738,0.0006957258463887653,0.0007612840687537361,0.0006878079652741691,0.0010602070502158366,0.0007029434223035836,0.0006335728544218346,0.000643994716109528,0.0008665147241643187,0.0008529749615661705,0.001015693689821278,0.0009210187899219423,0.0006738129642883014,0.0007977893096948379,0.0006496607569111125,0.0008031023298390084,0.0007454813486281324,0.0007123708314892323,0.0006616845809260587,0.0006571484163630283,0.0008126244160533841,0.0007340401255917874,0.0007333552646484379,0.0008707658615258025,0.0006824636702412043,0.0006804120563424659,0.0008636204230045166,0.0007545929078657055,0.0006954355050249791,0.0007299782884219645,0.0007909439751103104,0.0007707069902160296,0.000708224064684629,0.000949568070164616,0.000611530611961301,0.0006474585674199827,0.0007842267887907214,0.0009904190549205032,0.0008570607581382049,0.0007091964758548218,0.0007438130819138291,0.0007711502961317173,0.000900871433989962,0.000910538690736434,0.0007848583094780382,0.0006675543125530668,0.0008475840590234115,0.0009047344681464481,0.0006695169954359329,0.0007932929215520164
SRR9224243c,0.0010666437158591035,0.0007470639940029152,0.000856641448921541,0.0007630385726676029,0.000791181730340875,0.000690684990777446,0.0007490616538029034,0.0011079191049167974,0.0008610695911828064,0.0007538035967926403,0.0008740378349000687,0.0008341202071548483,0.0008504834361441048,0.0009745708888982823,0.0007893817321882588,0.0008366960847180848,0.001078756519330162,0.0007667588183001953,0.0007192206667321748,0.0008795049928364741,0.0007488417436620217,0.0009189994961277602,0.000976619135981677,0.0007958079759627001,0.0007222345586318185,0.000867134252948057,0.0010550148369886845,0.0006828414125690462,0.000970812523766845,0.0008517710758085417,0.0007654252724122437,0.0007043646484723003,0.0007217269369238205,0.0007211706153425608,0.0010544498865628863,0.0010047080122646379,0.0007481441837399082,0.0008220165216508383,0.0008800574822757207,0.000689038677294716,0.0006668705966954775,0.0008665514748566825,0.0007548035120361867,0.0010559592230260219,0.0008640206748201334,0.0007271733725291147,0.0010213781612734044,0.0008391459208760991,0.0009835186686508858,0.0008095552018056081,0.0008567045377009286,0.0008806647290287899,0.0007311722781243454,0.0010242368600346947,0.0007725627395539128,0.0011583333061965062,0.001024709950195301,0.0008465981049582079,0.000937922552658749,0.0008291819509117458,0.0007303906761401569,0.0010267834596212125,0.0009271257358352769,0.0009770073776769962,0.0009983298391993073,0.000756820271605475,0.000832626190404557,0.0007479826289461265,0.0012097214139432187,0.0007647648396571551,0.0006908298500873731,0.0006911994287366814,0.0009700157056704734,0.000953102958624046,0.0011603670407429906,0.0009822297443301219,0.0007273037625809635,0.0008642616497122267,0.0006968727368284728,0.0008675097526878521,0.0008129720168210448,0.0007817248191062099,0.0006987268918800877,0.0007029674606114903,0.0008737922392401033,0.0008024525640686935,0.0007842444912558385,0.000939466166358675,0.0007231727133042226,0.0007248006475566513,0.0009050113790244279,0.0008118344462213452,0.0007614164082355614,0.0007677000350120744,0.0008536142086442916,0.0008560531224872323,0.0007497209321079895,0.0010309921746255093,0.0006710414718274283,0.0006967631941374975,0.0008405871826952581,0.0010750067566813767,0.0009326649995371167,0.0007685841321815579,0.0008122418499683622,0.0008337825825431348,0.0009982239757051524,0.0009752786262710187,0.0008416940496427972,0.0007069109376323256,0.0009158978437866969,0.0009606404035934462,0.0007132558104422534,0.0008674601294141706
SRR9224328,0.000993672402345905,0.0006626321058791755,0.0007410303746526203,0.0006625185080487272,0.0006902666156647399,0.0007646937266082538,0.0005423482781663788,0.0009470076275647971,0.000743799351350818,0.0006766954665293663,0.000776350696742265,0.0007203676520124283,0.0007470734629394849,0.0008533304577596578,0.0006821677957383833,0.0007423606953896514,0.0009679527732983841,0.0006558054386666044,0.0006249533023370676,0.000766059153222026,0.0006348743431484336,0.0007781837021417879,0.0008608220321821906,0.0006945289332388113,0.00062468781399048,0.000753464293346476,0.0009158340301360453,0.0005829617969317069,0.0008299489350613973,0.0007376919250860263,0.0006536333598380217,0.0005957981676447679,0.0006102630819563987,0.0006124182122623316,0.0009621943923258851,0.0008536526624778869,0.000656332567204988,0.0006782226381413754,0.0007334127259125126,0.0005914895788828095,0.0005648546186827504,0.0007484553769443501,0.0006503782494195521,0.0008892926011978173,0.000758013283089027,0.0006179154894288972,0.0008391501133128401,0.0007081959104481177,0.0008582395392695015,0.0006873648883681341,0.0007378514502039887,0.0007543525639738354,0.0006281760628692011,0.0008643851073275068,0.0006546664465737083,0.0010090749800609788,0.0008674915046959139,0.0006919042253169703,0.0007878424671384045,0.0006924836005774117,0.0006249871662883852,0.0008828141066949403,0.0007920303269138599,0.000833511448234041,0.0008482467831977624,0.0006401730152137921,0.0007067644766424445,0.0006372067962954055,0.0010381859523810773,0.0006429243923812431,0.0005779839263730863,0.0005931725536825109,0.0008300152731520086,0.0007918129536958908,0.000986993135862575,0.000853636932000513,0.0006220618153668565,0.0007294983992066725,0.0005937622930477937,0.0007267072286124491,0.000687163641753028,0.0006605980235409623,0.0005992867880473706,0.0006040207527158681,0.0007546916902144502,0.0006748275352841194,0.0006774914944789861,0.0007944501050848459,0.0006178385895432168,0.000624845093102456,0.0007863473340772674,0.0006940783151146477,0.0006574038114666211,0.0006691304015473837,0.0007135410521735246,0.0007249651569048453,0.000632023800427382,0.0008717188413291301,0.000556545180941696,0.0005897502839109169,0.0007128285369268177,0.0009330285412602966,0.0007945476374864645,0.0006562929595700891,0.0006786927449581522,0.0007046047340553967,0.0008344084336916534,0.0008367731817750967,0.0007312943178304206,0.0006044619275616276,0.0007794769284184464,0.0007964168807778253,0.0006157599322284666,0.0007391587476857666
SRR9224122,0.0012500466741189628,0.0009382357858461545,0.0010389264073732186,0.0009335255025693435,0.000994189740047393,0.001098798245716559,0.0009224400716100844,0.0008876805669297567,0.0010678329455072284,0.0009299934648293356,0.001090523105223837,0.0010155250473139576,0.0010077536353459615,0.0012072364689660116,0.0009640551622822961,0.001024440946493371,0.00132991379744225,0.0009446304951749702,0.0008918494495810857,0.0010752118499461052,0.0009178755607778309,0.0011567539818957934,0.0012459251460862728,0.0009868962363540619,0.0008938820717878055,0.0010963015086227084,0.001267295463139174,0.0008817634802702967,0.0012628522309600188,0.0010727584660763891,0.0009527307972922633,0.0008481506929151825,0.0008950693906303795,0.0009143405056549493,0.0013129845155535448,0.0012510496572122791,0.0009321191818839407,0.0010167117360746778,0.0011052351312956727,0.0008492498274703863,0.000825406670142223,0.001071107091044583,0.0009501508700833572,0.0013358790887914918,0.0011374216674212407,0.0009143767367135212,0.0012840631554284986,0.0010842710325880136,0.0012958624073162357,0.0010122436502058578,0.0011158466579726384,0.001135052489940429,0.0009501923690701152,0.0012878119884618333,0.000992755167621314,0.0014713640525213056,0.0012675019731308596,0.0010633047367144422,0.0011856352730855088,0.001027383194266221,0.0009396784946032994,0.0013165896262067145,0.0012029452474958894,0.0012875761792109411,0.0012905432415683308,0.0009682489840706535,0.0011254635258724232,0.0009586169223470831,0.0015007144255372244,0.0009941913851313619,0.0008844786174614819,0.0008916521904818243,0.0012219521965514298,0.0012490478051888651,0.0014711026740729493,0.0013504023720703716,0.0009179823080987931,0.0011360977458585747,0.0008801224492098777,0.0011001504218516697,0.0010510031606858674,0.0010135599451730865,0.0009152163127537462,0.0008929976541689335,0.0011492750377506261,0.0010250487990954473,0.001008981290996187,0.0012134588649948214,0.000897136234572056,0.0009161580184022482,0.0011974806634699148,0.0010579523900581024,0.0009284043396633587,0.000995387555970173,0.0011252970618252887,0.0011076479288748813,0.0009622002167285253,0.0013159370045080852,0.0008473195532038157,0.0008756974733742541,0.001115273706451072,0.001405511737887234,0.0012080210164603956,0.0009879162661782226,0.001050265115895115,0.0011093023993154108,0.0012885434624901782,0.0012681334371382807,0.001114492010178522,0.0009049512337466492,0.0011952796639857891,0.0012482436023986397,0.0009013158342417272,0.0010797256730428152
SRR9224344,0.0009963768914397803,0.0007485206182378928,0.000840496258505583,0.0007501500931361558,0.0007849517973134147,0.0008648135963937771,0.0007305249829061628,0.0010834676098143814,0.0006621719460999161,0.0007509767563084014,0.0008466877285366542,0.0008028393704771461,0.0008296133933896445,0.000918148182336948,0.000771751186065499,0.0008303814580568915,0.0010274429455959795,0.0007554561230354485,0.00070434240738925,0.0008428205321018744,0.0007169586260986319,0.0008802486747341419,0.000946899343340238,0.0007790942178789253,0.0007072435263949072,0.0008445525165696824,0.0009951655133171387,0.0006633542370839061,0.0009316152804447535,0.0008234219656376157,0.0007357050140116818,0.0006814900770876485,0.0006964237131623425,0.0007121855916782085,0.0010111088623881717,0.0009415591492577759,0.0007531542180656051,0.0007910800447196401,0.0008355500453341326,0.0006759811902598704,0.0006449422442920618,0.0008430137235839107,0.0007499146773066814,0.0010113054487837425,0.0008773533823553864,0.0007153963870325485,0.0009330347229179112,0.0008202706482799408,0.000928012426415475,0.0007765822639018031,0.0008462829295870776,0.0008597760647427913,0.0007248937446079948,0.0009773615589222337,0.0007461891333999832,0.001098560822669722,0.00098264041808749,0.0007809619977043521,0.0009170219963866059,0.0008028031062524736,0.0007288679899276433,0.000987495220590713,0.0009210253388506705,0.0009511006329447192,0.0009588585844198623,0.0007329068719088097,0.0008257252433775945,0.0007314304537523465,0.0011518267008563412,0.0007472574524746697,0.0006735083485083904,0.000682580388171002,0.0009055612030951915,0.000920765418980423,0.0010633553241951917,0.0009416939513587578,0.0007109409790106016,0.000830777430239374,0.0006851384914884169,0.0008394935739658638,0.000778866968201381,0.0007587040229086346,0.0006972985501965827,0.0006886886579390547,0.0008531872518225155,0.0007763646061780033,0.0007751843002993799,0.0009201692655273889,0.0007065390717796952,0.0007119720040959223,0.0008970949393701904,0.0008143951761155724,0.0007470784160538101,0.0007499293015178276,0.0008310389027498176,0.0008243135066177133,0.000733357482818015,0.0009547144741167082,0.0006553417614158731,0.00066831122996792,0.0008032154881168399,0.0009996415256438268,0.0009065189649794259,0.0007508494299473747,0.0007803615661100466,0.0008207703742897643,0.0009448820601103935,0.0009359010013208969,0.0008305922781676066,0.0006908771453331913,0.0009014886219649098,0.00093616394958903,0.0007053084539114682,0.0008449179752186171
SRR9224171c,0.0009558362152263041,0.0007048793446327019,0.0007799380813788133,0.0007123549197799751,0.0007425565811747981,0.000780430898437707,0.000684534915999197,0.0009695321553334794,0.0007755443303103808,0.0006368972689201888,0.0008110647517047822,0.000762843523909512,0.0007814018435580699,0.0008668575293612155,0.0007219690135338599,0.0007783323761483901,0.0009551171647856018,0.0007040114214323825,0.0006701803270421406,0.0007962933684672258,0.0006841724164277464,0.0008185171450122416,0.0008874713914219058,0.0007193582188563368,0.0006713707959285456,0.0007884082757210281,0.0009055510082235044,0.0006378984233660655,0.0008448713984156364,0.0007557287677441658,0.0006858755207505373,0.0006491888718135903,0.000662134573481199,0.0006645895880100956,0.0009041566492629061,0.0008618785843607868,0.0006928765751477666,0.0007225035654432006,0.0007691972867829994,0.0006409153743549863,0.0006136946758258516,0.0007797883381822445,0.0006975491740902085,0.0008798158904143984,0.0007717953397747755,0.0006714395635888704,0.0008527436111055643,0.0007474246713986497,0.0008637613641761672,0.0007231376955200934,0.0007627476820035716,0.0007992873004837354,0.0006775638363160106,0.0008657067303916922,0.0007026940738990318,0.0010409888569532695,0.0008730295269462969,0.0007290306167244187,0.0008011242394728707,0.0007387425085115002,0.0006736521954354126,0.0008915670862982537,0.0008135148829528941,0.0008727932820545517,0.000866196720290071,0.0006917234559629666,0.0007393388595161136,0.0006817167751971583,0.001036808247883697,0.0006896632258917165,0.0006275750088742526,0.0006402660523783618,0.0008457244842925368,0.0008365287950630868,0.001002409976011318,0.000873766022703794,0.0006693168499109432,0.0007489451355998536,0.0006445601034942604,0.0007555546826686295,0.0007285923371475523,0.000709725124046575,0.0006523001576271523,0.0006521377541423505,0.0007858744041605967,0.000723487842912831,0.000727055922903914,0.000819009754618319,0.0006769206494806437,0.0006745543129827851,0.0008105462458446487,0.000741019366226628,0.0006927403927467811,0.0006992227274459494,0.0007537332739988546,0.0007565182893958244,0.0006766956152228609,0.0008806757506719745,0.0006056183357855846,0.0006452308239160915,0.0007623431929555779,0.0009216298742497731,0.0008143436503523931,0.0007027992466440068,0.000729590820361957,0.000748830170858268,0.0008792295718892904,0.000860624427736042,0.0007596424369728293,0.0006607401193086141,0.0008159153365584464,0.0008335087493361284,0.0006692032475397023,0.0007664470490850178
