,SRR9224363c,SRR9224122,SRR9224171c,SRR9224083,SRR9224427,SRR9224430,SRR9224285c,SRR9224120,SRR9224534,SRR9224098,SRR9224097,SRR9224370,SRR9224371,SRR9224361,SRR9224504,SRR9224351,SRR9224061,SRR9224053,SRR9224054,SRR9224213,SRR9224210,SRR9224209,SRR9224447,SRR9224099c,SRR9224205
SRR9224363c,0.0006173112130441518,0.0007351673199393374,0.0007790581559968828,0.0008698746567879661,0.0007626276444344126,0.0007462131978642916,0.0006742675835294585,0.0007221470219354648,0.0007262360362260854,0.0007315937518687758,0.0006745218393131612,0.0006801998253433005,0.0007681011662062768,0.0007054438518196233,0.0007352007988461378,0.0006716484454669244,0.0006561377253320464,0.0007513089500303537,0.0008174942346873194,0.0006866866953202367,0.0007545351298676078,0.0006977162380069599,0.0007269733555451946,0.0006459250691091293,0.0007385575926840114
SRR9224122,0.0007278061397342608,0.0006173207546970112,0.0007719649401392544,0.0008533980717765129,0.0007846191784650315,0.0007686987639471329,0.0006748382293477041,0.0007422740893098448,0.0007321593499544223,0.0007363543863126398,0.0006735055616772399,0.0006877698994571185,0.0007815284701541982,0.0007000581936418307,0.000741583079964478,0.0006730291170334356,0.0006679289498473638,0.0007443907084660727,0.0008062960818591436,0.0006924138862407373,0.0007547298132352739,0.0007020188355700981,0.0007175456927641463,0.0006455735057673466,0.0007120067281447853
SRR9224171c,0.0007743121586307972,0.00077588771310004,0.0006938621603726002,0.0009149781741994524,0.000833505520701378,0.0008110887810023039,0.0007327649396737366,0.0007830142136713693,0.0007744120529101273,0.0007825990589643105,0.000740965142895963,0.0007324246257290223,0.0008388478339313441,0.0007654631587487977,0.0007934820105545249,0.0007286058397959595,0.0007187526165702417,0.0008086749624113581,0.0008576752533052864,0.0007606081334633625,0.0007869638843452337,0.0007695781576023852,0.0007753991402986362,0.0006919606910994163,0.0007654935433370673
SRR9224083,0.0008567823153506917,0.0008512762748555834,0.0009076156694148657,0.0007706342589962572,0.0009364571915739126,0.000857617283195098,0.0008330891391478328,0.000863596162253697,0.0008774658322587669,0.0008608785852233694,0.0008117959101839952,0.0008063405364726296,0.0009637014547268423,0.000846312980113887,0.000863303385889358,0.0007808985448256777,0.0007857149164621721,0.0008681136635323727,0.0009497135161400028,0.0007851607015814919,0.0008986550246302446,0.0008629306727831516,0.0008518525585414995,0.00076209854893447,0.0008692039561720727
SRR9224427,0.0007519888914197804,0.0007837034868817961,0.0008264224635350998,0.0009356981315162483,0.0006651211517149183,0.00078931064411663,0.0007297779949437528,0.0007747860807698024,0.000777016928539314,0.0007719503236533452,0.0007231760014918109,0.0007320308948306492,0.0007984614863342608,0.0007438063756511227,0.0007748407269646798,0.0007234439564710569,0.0007052869251994377,0.0008117551264489941,0.0008826321392859696,0.0007449755938959444,0.0007941477442605806,0.0007575535457896354,0.0007918588681276567,0.000683197138811002,0.0007746002223930978
SRR9224430,0.0007392386707683067,0.0007699014776392217,0.0008078684995972728,0.0008606594846593226,0.0007924972086938382,0.0006398273846631723,0.000700989474800901,0.0007430461222525873,0.0007485792298985664,0.000756105692543559,0.0007013591925681719,0.000704344290343116,0.0007668578502938372,0.0007116788686713727,0.0007584498205619928,0.0006733696186729919,0.0006704470276031832,0.0007598380883941133,0.0008185731515888392,0.0007173565159042718,0.0007575465762470146,0.0007130347159884589,0.0007276879957428464,0.0006569390057540198,0.0007470465550200503
SRR9224285c,0.0006693541320746491,0.0006764077671145159,0.0007308818944871564,0.0008388709631566607,0.0007341684050403086,0.0007032779848407743,0.000531313790177675,0.0006689246583180764,0.0006783578180880679,0.0006774034424498078,0.0006188483858277267,0.0006354312646584757,0.0007080777307592609,0.0006235851654502257,0.0006881968323257794,0.0006226699149431093,0.0006046628729078668,0.0006997479551621613,0.0007660660701711284,0.0006552052414060434,0.0006932198652381268,0.0006635425109366132,0.000668770634848576,0.0006027325862571828,0.000668181063071551
SRR9224120,0.0007190568435519649,0.0007465467253394569,0.0007832436274085632,0.0008704956227850737,0.0007821277046573407,0.000746487956540746,0.0006704212132541008,0.0006056273886519053,0.0007205790409381839,0.0007120684088549723,0.000671949856026613,0.0006731900147267105,0.000751917190410823,0.0006736998771101187,0.0007356143487870095,0.0006518092643382826,0.0006476166468481043,0.0007166086420667713,0.0007883195369783506,0.0006699763134409699,0.0007344296725994892,0.0007030544157199303,0.0007075478301776162,0.0006449340095752304,0.0007235889561706298
SRR9224534,0.0007147814268387538,0.0007287282075244922,0.000765915311658175,0.0008756389101781443,0.0007768237314049091,0.0007452465392658588,0.0006728515548034946,0.000712946406950519,0.0005579097749538278,0.0007153402683355274,0.0006551803672495385,0.0006754738564054462,0.0007559523969024186,0.0006787028029210867,0.0007311263052229014,0.0006463668961886307,0.000639306285597473,0.0007253875885206186,0.0008091834938877692,0.0006731107587177956,0.0007339911031537497,0.0007079500210150729,0.0007229149372022429,0.0006248897347104717,0.0007158056610741113
SRR9224098,0.0007189020235523055,0.0007326948246635312,0.0007721774700673142,0.0008571070386276861,0.0007679531595114062,0.0007507008012873139,0.0006702595824403017,0.0007023053394922428,0.0007130917118597845,0.0005709760593264275,0.0006834847906316503,0.0006575789341512961,0.0007682396158482345,0.0006878680960963004,0.0007233068109751672,0.0006487538056049902,0.0006484814051225074,0.000732447338431017,0.0008145494005881497,0.0006633235271055225,0.0007296470634953306,0.0007030976723470368,0.0007070377056867532,0.0006292984237068616,0.000706455032878627
