,SRR9224357,SRR9224359c,SRR9224363c,SRR9224525,SRR9224526,SRR9224523c,SRR9224529c,SRR9224527c,SRR9224243c,SRR9224329,SRR9224328,SRR9224344,SRR9224171c,SRR9224316,SRR9224315,SRR9224541,SRR9224539,SRR9224540,SRR9224083,SRR9224146,SRR9224426,SRR9224427,SRR9224254c,SRR9224290,SRR9224289,SRR9224281,SRR9224285c,SRR9224037,SRR9224476,SRR9224474,SRR9224475,SRR9224121,SRR9224533,SRR9224532,SRR9224538,SRR9224537,SRR9224536,SRR9224535,SRR9224098,SRR9224097,SRR9224369,SRR9224370,SRR9224371,SRR9224247,SRR9224248,SRR9224367,SRR9224361,SRR9224246,SRR9224504,SRR9224503,SRR9224506,SRR9224505,SRR9224508,SRR9224507,SRR9224510,SRR9224509,SRR9224511,SRR9224332,SRR9224333,SRR9224331,SRR9224340,SRR9224341,SRR9224334,SRR9224343,SRR9224347c,SRR9224345,SRR9224346,SRR9224351,SRR9224352,SRR9224349,SRR9224354,SRR9224355,SRR9224513c,SRR9224515,SRR9224518,SRR9224517,SRR9224520,SRR9224519,SRR9224522,SRR9224061,SRR9224062,SRR9224336,SRR9224338,SRR9224339,SRR9224053,SRR9224054,SRR9224212,SRR9224210,SRR9224209,SRR9224208,SRR9224217,SRR9224267,SRR9224266,SRR9224264,SRR9224445,SRR9224444,SRR9224447,SRR9224446,SRR9224441,SRR9224219,SRR9224218,SRR9224436,SRR9224497,SRR9224498,SRR9224499,SRR9224500,SRR9224494,SRR9224495,SRR9224496,SRR9224502,SRR9224102,SRR9224101,SRR9224100,SRR9224099c,SRR9224105,SRR9224104,SRR9224261,SRR9224319,SRR9224198,SRR9224199,SRR9224204,SRR9224205,SRR9224202
SRR9224357,0.0013296969153053265,0.0015132262504339723,0.001476215565534335,0.0015862666129561245,0.0014308071412968794,0.0014785353647411034,0.001593434741203047,0.0014685791778855258,0.001465922282430626,0.0013371517312515927,0.0016223452958404733,0.0015406169165500065,0.0016163508433260255,0.0015528227663629997,0.0017036783558847064,0.0015620018683514935,0.0018348025406716975,0.002135504995607472,0.0016166172952460697,0.0018204607206310035,0.0015202119732550803,0.0014634345653053045,0.001809500778739429,0.0015151839086132263,0.001596230836345222,0.0015702888611158876,0.0014745051152176873,0.0018219016784089819,0.0014731885240960093,0.0016809630176403503,0.0014458540939116373,0.0015798218003654778,0.0013973874409097646,0.0013106922708518455,0.0014230038289669885,0.0013872468161286154,0.0015630451483796338,0.0018121901785627611,0.001464487515560892,0.0014198619526379055,0.0014413677834736209,0.0013784320375563315,0.001573765961737567,0.0016969417149786709,0.0014634084465918265,0.0013346087488286481,0.0014622319604306717,0.0014014772627415498,0.0014529985427617742,0.001400867418120184,0.001973632763430895,0.00143761276157184,0.0013403510687909112,0.0014392901556346165,0.0017777662733176002,0.0014686396602916132,0.001311662176730695,0.001405412076259949,0.001405160705175919,0.0016473800891657813,0.0019075935573482671,0.001759996149194734,0.0018501076275163827,0.00140299786695537,0.0012823665108929437,0.0012750538760632724,0.0019499375703502643,0.0022207434423770307,0.0014907568209209922,0.0016348297982150413,0.0016190913532247127,0.0018220073256128453,0.001792843882751648,0.0016698057073587496,0.0014725209838911024,0.0013500797916205134,0.001290256881338472,0.0013566777651122827,0.001494201854824802,0.0017635249087351974,0.0015317008700792803,0.001833643941215464,0.001387681745477757,0.0015135542601745142,0.0022002138768224444,0.002274930697579001,0.0014941711064541583,0.0019720860410746923,0.0015692495221392843,0.0016934166094629663,0.0014719418036473696,0.0016737170083048496,0.0016381875367506766,0.0013866601455436369,0.001506820845331204,0.0014853684904382427,0.0015863943965242037,0.0015317074292807487,0.001464104846859777,0.0014069996145091366,0.0014687337662429832,0.001548860468475599,0.001637812477968625,0.001428375796430442,0.001539337818634686,0.001623437990762932,0.00153178481843888,0.001674566771107781,0.0014615646623582597,0.0014576812328871208,0.0021981323684846783,0.0016429169677069928,0.0018204662232833258,0.0016416825928798028,0.0014698937390157578,0.0016156068937159035,0.001481556690455525,0.0014469164060036083,0.0014282203968877549,0.0014218685265820713,0.0016783968521955058,0.0013830000283884514,0.001512430234160492
SRR9224359c,0.0014607445138156803,0.001715249931865395,0.0017380547098649463,0.0018545694525404649,0.0016507973464117264,0.001757014084261976,0.0019408559854285164,0.0017883288552666638,0.0017033960642905798,0.001550269619601253,0.001971109659039758,0.0017912434684523258,0.0018973596965535682,0.0017717259728357469,0.001919144258384056,0.0018052159409065304,0.0020444534717624454,0.0025501100940883248,0.001962422193895508,0.002159084390818756,0.0016765444124837168,0.0016597854966224398,0.002090738985888474,0.00165159646543326,0.0018383343800943306,0.0017267587800380447,0.0017248214430907439,0.002072470765739256,0.001599887755339152,0.001970601896208438,0.0016471975413730083,0.001995970493323328,0.0016187532089974518,0.001445171982524439,0.0017421617467856876,0.0015823395087357307,0.001793518347196211,0.002140378553602069,0.0017036978671965781,0.0016950078967186224,0.0017372857992936299,0.0016207095409010769,0.0018254754122097093,0.0020236953922601582,0.0017696897722510895,0.0014949919656229147,0.0016858203037043939,0.001645278142083686,0.0016863457541020056,0.0016376421987506476,0.0024001183313643254,0.0016766916208759734,0.0014657208089111752,0.0017622949201533352,0.002150491008962913,0.001683421320950825,0.0014521734823048037,0.001687786503191079,0.001722655979559693,0.001988936848784745,0.0023567530802061916,0.0020226544558566936,0.002208254120085088,0.0016520415396041746,0.0015257244084491358,0.001366978755217587,0.0022441817372734294,0.0027327497116637423,0.001807329018523293,0.001866355346863249,0.001979719201171963,0.00225339051987141,0.002221398433842767,0.001921985682723684,0.0017912031209510652,0.0016235354551022145,0.001646767713734451,0.0014923597716583897,0.001830327891450959,0.0021564503955541934,0.0018443282941494924,0.002141015994363424,0.0015134116362004576,0.001846981946400213,0.0027095968163455635,0.0027504529143397784,0.0017866264738866293,0.002440649071565666,0.001913227335195846,0.0020854888969468366,0.001681392614044954,0.0019457898736551294,0.0019389219633023731,0.00164493356715351,0.0018129317398022605,0.001758471426763485,0.001902754024823873,0.0019060443896782345,0.0018039244364844956,0.0016228005090259086,0.0017583970818920037,0.0018164660195925404,0.0020013836373701686,0.0016967636707762232,0.0018841350812301163,0.0019472552375408843,0.001796369488250859,0.0020452152657248496,0.0017398917992491887,0.0016318037490690377,0.002817897097884033,0.0020018425245070023,0.0022326309807312807,0.0020230332225075584,0.0017499226778054352,0.0018982271598352383,0.001722079084048375,0.001731182258191092,0.001617581433568334,0.001702300413134977,0.001934515988612058,0.0015555510401753048,0.0017736337250900463
SRR9224363c,0.0014994243459295021,0.0018192852250604923,0.0017680889474796814,0.0018623179308080043,0.0016682352124036094,0.0017992239626766487,0.0019500830223350297,0.0017911177198097243,0.0017011242745912484,0.0016132393991363345,0.0019815417333292726,0.0017889458519846143,0.0019259873264403868,0.0018005927909331948,0.001886289940265902,0.0018218969544926962,0.002025889198780361,0.0025780222934027033,0.0019231240913620481,0.002139358496392078,0.0016894418600414212,0.0017140537321198575,0.002106631889554097,0.0016490489409744268,0.0018554151565707499,0.0017279352186009567,0.0017198421034586866,0.0020821869027970374,0.0016023157989656744,0.001975274318668337,0.001643237186254758,0.0019335336197010217,0.0016172599839241006,0.0014295148565928834,0.001720355455931539,0.0016127561488365938,0.0017961845871860773,0.0021539986181258295,0.0017079250051017978,0.0017257488618376937,0.0017552409498432365,0.0016710554265724046,0.0018244418287773749,0.0019554476556405817,0.0017530641108415782,0.0015124804652525475,0.0016671711399173002,0.0016547257151588743,0.0016888460423052198,0.001653720812229418,0.0023880298610837298,0.0016885290877930437,0.0014484402468096349,0.0017485097495099822,0.0021376743214175024,0.0016907310123792712,0.0014430018881740482,0.0016831784373963956,0.0017236527759805478,0.0019461170982359537,0.0023134168902450305,0.001995906797618522,0.002211450237232591,0.0016448922986011508,0.0015690462089807838,0.0014193724598048816,0.002217438983770806,0.0026932331479569372,0.0017746581409667584,0.001861110016176033,0.0019150670527885996,0.002177501577172379,0.0021692224153887184,0.0018967364879654033,0.0017814305140692974,0.0016659312863416824,0.0016634257591901706,0.0014910465506728363,0.0018163949816339682,0.0020936723682941248,0.0017813852574732345,0.0021024205328890266,0.0015259710654662178,0.0018121357214426,0.0027086518345431753,0.002770427938844527,0.0017673675908858667,0.0024163533981595912,0.001866731700046806,0.0020281532026661013,0.0016285451575503952,0.0019016250513168632,0.0019168561952668229,0.001667763856680783,0.0017947587258759906,0.0017255301802307785,0.0018543005619791834,0.0018762712263539144,0.0017849904795500682,0.0016211147790085448,0.001764746860452059,0.0018059899849814849,0.0019623020588990536,0.0017088193532410264,0.0018712727154887121,0.001922167186631994,0.0017623324370284524,0.002009038521289331,0.0017161740719726774,0.0016046304024675978,0.0026853056005223964,0.0019477170762483688,0.0021809264606251428,0.001996791037455226,0.0017352005584575338,0.001868334025710673,0.0017557769336997962,0.0017327731554290912,0.001616276842646172,0.0017078051034729,0.0018923037611376064,0.001578484686484893,0.0017673771404980798
SRR9224525,0.001518953055142952,0.0018343317384264934,0.0017605337749633393,0.0017616693851299039,0.0016901746427376704,0.001768606892967286,0.0019330095811573539,0.0017930828471723406,0.0017568324193559868,0.0015720417086961436,0.0019749868266545818,0.0018457612794083708,0.0019188797748121,0.0018223563353423758,0.001937749471668408,0.0018014129594335134,0.00206357287871736,0.0025581089490650834,0.0019291988230497764,0.002150599646387809,0.0017193451273162536,0.0016707293723188838,0.0021372494319483923,0.0017014997486364798,0.0018821609433396667,0.0017743115075755061,0.0017584067675245876,0.002128569989533397,0.0016552502746073118,0.00200943466503963,0.0016789426855077128,0.0019578506923762905,0.0016509122256250376,0.0014904899377287898,0.001742458453914516,0.0015948970698109652,0.0018070452073930927,0.002189695281241072,0.0017440916808547653,0.0017069374862957057,0.0017286631666049565,0.001638003113388376,0.0018429461257610461,0.0019911539596593085,0.0017539856144930745,0.0015363801203169903,0.0017251325372361597,0.0016707537185547674,0.0017128304111585202,0.001642917365817292,0.0024027804742289345,0.0016964830217659924,0.001487475361001469,0.0017496872139976742,0.0021530873146125696,0.0017286464132268648,0.0014732315155331268,0.0016915118030047002,0.0016952419304561948,0.001976793809191786,0.0023063986106963905,0.0020152795267282964,0.0022478007088590182,0.0016411747468446179,0.0014985418771803342,0.0013846398763812718,0.0022311938092794406,0.002618508750391307,0.0017965157964085648,0.001858312629620853,0.001938053415749096,0.0021645234472299126,0.002190586262133089,0.0019197472580073406,0.0017795602469569147,0.00160966044156214,0.0015748881500680426,0.0015061250128156685,0.001783838490893331,0.0020738691040209983,0.001809745065975998,0.002144711398496967,0.001515758902083742,0.0017910825026861777,0.002652581836359942,0.0027035891551657897,0.0017606481867183117,0.002392127723133863,0.0018689405687492176,0.0020101930481895734,0.0015920346058804914,0.0019360452206099838,0.0019485535286420563,0.0016123129736642051,0.0017879521353832846,0.001743147667668095,0.0018731863057363438,0.0018380429598537998,0.0017521112754390151,0.0016223595780580607,0.0017390153342335033,0.0018390783934072999,0.0019416680109851686,0.0016905522670307917,0.001840181519156139,0.0019238479977425188,0.0018015996116397441,0.002033488875699737,0.0017645884962242796,0.0016473239827201917,0.0026469366303420033,0.0019625626117736003,0.00217451933222336,0.001974634650960998,0.0017505052443697164,0.001905795410283675,0.0017322643236999343,0.001721923449406684,0.0016509842003301811,0.0016605610715884245,0.0019313824500350894,0.001576045397456514,0.0017804114234295496
SRR9224526,0.0014185546552775076,0.0016877586514200795,0.0016247558968676635,0.0017453794876563598,0.001542383367457248,0.0016264712317700602,0.001784670209559179,0.0016198843851005056,0.0016123522431759976,0.0014527324024459587,0.0018084831132828333,0.0016903106711447253,0.0017681874262689562,0.0016894403887061618,0.001832551010813665,0.0016754506638232698,0.001942846268828552,0.002376663522519391,0.0017954922373761195,0.0020533149335832707,0.001598145151276374,0.00154262640423449,0.0019887557265010985,0.0015805777415129692,0.0017477177543540243,0.0016612730686703652,0.0016009187763483075,0.0019792615010382404,0.0015499985108859704,0.0018612809030781002,0.0015554596294930908,0.0017714017086502333,0.0015061153362534235,0.0013629756229460402,0.0015736347091163362,0.0014781777402618833,0.0016713072594065396,0.002017937375664459,0.0015962864718434445,0.001566644505340031,0.001574046879364217,0.001501374140527907,0.0017234686781717149,0.001849371862113978,0.0016109062875405986,0.001432256629411811,0.001587001927698186,0.0015301010102292555,0.0015868960070339513,0.0015087474494791908,0.002229769172752839,0.0015610059144490341,0.0013976272843647473,0.0015906543075859397,0.0019872359195365384,0.0016038085680344207,0.0013806924899657687,0.0015449217991591194,0.0015374165571071547,0.001810414154689911,0.0021500183264556885,0.0019044093153381383,0.0020647948561340547,0.0015187925542700178,0.001389745249852775,0.0013100851196969543,0.0021008561842177295,0.002453339511389034,0.0016401368282805556,0.0017538880916318812,0.0017950072303591672,0.0020150735903494096,0.00201027510311999,0.0018130427318458462,0.0016279966163252875,0.001477402361264542,0.0014287670784948903,0.0014203813371256053,0.0016251149622696149,0.0019451379066970525,0.0016677202243753394,0.0020167282063296987,0.0014350225093801626,0.0016429142803016706,0.0024795401730200346,0.002539555655108212,0.0016328677181421125,0.0022118775733445417,0.0017275712988138396,0.0018676032415249478,0.0015277826645702388,0.0017956494539548547,0.0018042814965228665,0.0014864811258731357,0.001653921741588346,0.0016148924645900044,0.0017259662582215828,0.001686047197585701,0.001612054624272512,0.0015091233801379335,0.0015939616604397644,0.0016883808296851938,0.0018078941053339002,0.0015546686657400563,0.001698349292316522,0.001783043114361071,0.0016657818721883195,0.0018796268727912754,0.0016097699796880514,0.0015482884085843136,0.0024829152941382862,0.0018261838178214704,0.002013900845803011,0.001815101720569741,0.001616919093548966,0.001778748879157611,0.001603916627812317,0.001587163209826236,0.001535769084083539,0.0015425779278345423,0.0018126920971664054,0.0014765370366250185,0.0016576433358380421
SRR9224523c,0.0015146048205303918,0.00184887901358301,0.001811880883528682,0.0018804333918866956,0.0016821559502877507,0.0018213173753182238,0.0019890369534505525,0.0018200364408075178,0.0017253425773378222,0.0016488005771416556,0.002014009731762646,0.0017882183055777775,0.0019471812290320753,0.0017990948535041,0.00188464730840038,0.001824380606464921,0.0019928586630579273,0.0025741827344540084,0.0019481688066166369,0.0021239039509451147,0.0016828332428146964,0.0017061874605868283,0.0021192153807504926,0.0016497131083723338,0.0018678618242468966,0.0017300300287506907,0.001721292302539731,0.0020632244614443643,0.001593121358735766,0.001982918836525524,0.001640624818539887,0.0019605870787785602,0.0016264964933146375,0.0014284501314554704,0.0017321782830185654,0.0016145982281641179,0.0018075223038528342,0.002140872027040579,0.0017022404070548632,0.001736258608570653,0.0018001527388995964,0.0016821508153074152,0.0018459781431688124,0.0019564863690502534,0.001767023309916076,0.0015402227540008003,0.0016844459873123611,0.0016584835558976741,0.0017170045368909055,0.0016668627376865168,0.00238246082297808,0.0016999991322138427,0.001460414595491662,0.0017863072778013093,0.002112067793818924,0.0017006221166866778,0.0014458328001733772,0.0017072710028934043,0.0017658703051650886,0.0019810206481785182,0.002353576040178101,0.0020129597953031024,0.002213142172837105,0.0016624955530797124,0.0015933577304734637,0.0014298532048841182,0.002249630148891008,0.0027700159187125785,0.0018137712691648504,0.0018895333586410124,0.0019450343312915938,0.0022394160216464803,0.0021990925803612796,0.0019087294228428812,0.0018126154469653478,0.0017020707067236698,0.0016981873350697552,0.0015001940413021094,0.0018705237338436616,0.0021536921109894373,0.0018031494145613139,0.002143859282322454,0.0015163563493015468,0.001855538257642017,0.0026940017979971147,0.00277251045108575,0.0017890133442585844,0.0024269401484844867,0.0018756318792538169,0.0020453369208617064,0.0016689518053413204,0.0019250211624519582,0.0018960623449736599,0.0016873615393746507,0.0018219570784345613,0.0017356605447794414,0.0018813036396183023,0.0019264504637691304,0.0018013690972288807,0.0016426639138225497,0.001777930672790144,0.001829207780688569,0.002004430853089796,0.0017231062230769261,0.0019065822100328292,0.0019437221212493703,0.0017730359581425899,0.0020091400402297726,0.0017330564622211357,0.0016060367527611643,0.002735338119277954,0.001991488858467423,0.002191576556061126,0.002021081066470377,0.0017532233341954293,0.0018724208314809681,0.0017745073046270177,0.0017463249831991385,0.0016110723265581202,0.0017235075069262145,0.0018822625324473193,0.0015902183806547215,0.0017779401541559265
SRR9224529c,0.0015385233075953192,0.0019487660968335045,0.00187344080405651,0.0019582576514013995,0.0017501227140366237,0.001900570275753941,0.0019859915843636394,0.0019384528518365262,0.0017925302298832516,0.0016676317595834336,0.002140691258949426,0.0018658211075057538,0.0020330945801319447,0.0018631598477085653,0.001959266184151907,0.0019170051759050263,0.0020883270990549856,0.002702387439675828,0.0020707235388274597,0.002254910126585798,0.001734657580973601,0.0017582224482382406,0.002188947982291643,0.0016938002090574407,0.0019121338872982883,0.001773267845738615,0.001799591453685618,0.002145464924039388,0.0016662915132561198,0.0020690801045883927,0.0017076767177839312,0.002142571800986963,0.0017150733590132468,0.0014837189277216757,0.0018738381948422158,0.0016751444969262484,0.0019053294731057446,0.00225157903613589,0.001788676147167107,0.001822946244473192,0.0019175887472903871,0.0017391059146305715,0.0019225671637572513,0.0021083654536653055,0.001900548772979782,0.0015711435409516842,0.0017616960923547576,0.0017548234585786381,0.0018001123961404054,0.0017474933311374498,0.0025120695823394614,0.0018017179334777573,0.001500848495533795,0.0019169516329388015,0.00227704890540869,0.0017727837996271312,0.001507952241504869,0.0018101919056383654,0.0018789486181397452,0.0021129950993739087,0.0025307672884499503,0.0021161505740505838,0.002330054787892617,0.0017709032313125688,0.0016566877002724735,0.0014222340976465363,0.0023586779538221445,0.0029943188900690707,0.0019569746849899825,0.001963038362196098,0.0021160182107251616,0.0024395490867593246,0.002364696926063885,0.0019883464779132777,0.0019350980247626326,0.0017674796157299687,0.0018280543135315453,0.0015499940629089045,0.0019991955365980117,0.002307373362007126,0.0019499589379556703,0.0022569507467347853,0.0015641229245954692,0.0020116548777273343,0.002911735469219589,0.0029800206274128017,0.0019057493714826957,0.0026321938035279773,0.002029828138898765,0.0022019872111565487,0.001783241652580283,0.002019426955750843,0.0020207981303705007,0.0017622259714900387,0.0019328052116213735,0.0018444479495328542,0.002022959322106901,0.0020966601985177875,0.001945564573552378,0.0017069584740191978,0.0018668962567400108,0.0019238088204659638,0.002170082838116862,0.0018134719446361617,0.0020720074905374152,0.0020895308964823745,0.0018717569487488787,0.0021413288474986165,0.001835731395889834,0.0016820854901488445,0.003012816786177736,0.0021443376474045107,0.002362999072356088,0.002225076717010068,0.0018472207073028455,0.00198694287333495,0.0018319396837900349,0.0018511781888345456,0.0016840316982384485,0.0018228058902815887,0.001982957439259192,0.0016155366254901136,0.0018746430113141103
SRR9224527c,0.001468169290661043,0.0018460802944801214,0.001766343519290717,0.0018713127939968034,0.0016389690734056165,0.0017826029096844576,0.00199015324445925,0.0017845296848302107,0.0017066110219336088,0.0015773665901079531,0.0020083493798435576,0.00177006023928279,0.0019277610871622742,0.0017859486138515053,0.0018777212927885705,0.00180292597683602,0.00201625655761476,0.002607555762893627,0.001956899283291288,0.0021797848637901823,0.0016645926330657386,0.0016615749433174908,0.002117449538870652,0.001636125180261035,0.0018474808135061963,0.0017134434062443804,0.0017157335316454621,0.002084700188822005,0.001593387469732689,0.0019955807043139135,0.00161961483301378,0.0019634283023108345,0.0016065458941584704,0.0014155137048815277,0.0017343887780701792,0.0015729207783707548,0.0017871278001214987,0.0021747830578713397,0.0017083505959746541,0.0017014037256687894,0.0017560344943038067,0.001624754417341611,0.0018340222751430026,0.0019964287543084813,0.00176530187810106,0.0014990883455413132,0.001672483275090652,0.0016468898794365344,0.0016859313016583453,0.0016245484249460278,0.0024137079127328318,0.001675455456906428,0.001438488413641068,0.0017539573259497255,0.0021566797864794886,0.0016856000282399724,0.0014256989744671053,0.0017073727039604591,0.0017207463385872511,0.00197578480095497,0.002381909096842217,0.0020161933031107504,0.00223168258253483,0.0016463653027243826,0.0015301560509287497,0.001365891780344773,0.002272113661569156,0.0028121887809667745,0.001802199239692757,0.0018525400440811324,0.00196882068840717,0.002268659484972876,0.002231307085318981,0.001904844300530088,0.0017833138304892502,0.0016348212607883742,0.001657889835958491,0.001475266679413144,0.0018339660256173386,0.0021719928935042495,0.0018237824236404117,0.002139827876541814,0.001486105855154306,0.0018333556680684066,0.002732394062706189,0.0028123746384693905,0.0017777356512810032,0.002478628372622355,0.0018920376450690065,0.0020651035653705876,0.0016821541961268569,0.0019225437408425855,0.0019234228533966465,0.001634090721567628,0.0018023071466089897,0.001739078355962874,0.0018907621390918746,0.0019119764772461544,0.0017973852505590068,0.001609581889369355,0.0017618004462954513,0.0018261531212535444,0.0020190439738185357,0.001687388132101189,0.0019037393375105306,0.0019561689429902526,0.0017715073646520903,0.0020321391493485783,0.0017277635261590842,0.0015976819191693187,0.0028156739229546167,0.0019968478976160387,0.0022262268267546053,0.0020498255153927575,0.001748192244996596,0.0018920560504938322,0.0017269106800968986,0.001730141145943628,0.0016001659740676286,0.0016822663218433685,0.0019094932000393958,0.0015427500098438023,0.0017670049699170358
SRR9224243c,0.0013845659728953367,0.0016589104632946583,0.0015831720514866976,0.00172932233376501,0.0015372188451950764,0.0015978294362459034,0.0017415791084487067,0.0016090622036547813,0.0014915009835410793,0.0014042759666466574,0.0017765257386611222,0.0016875308164602512,0.0017440454557802927,0.001677877717776387,0.0018158599998683678,0.0016587285164775193,0.0019508671218127615,0.002362037205068002,0.001768241012377759,0.0020425325027846166,0.0015790089694360707,0.0015170604848722489,0.001960193776511611,0.0015578967057457008,0.0017325580024771272,0.0016414844707670995,0.001597677591734136,0.001983018929434326,0.0015323506296650211,0.0018436291139341148,0.0015415087342000701,0.0017709163900941644,0.001477840867904825,0.0013560572554847813,0.0015587203918929113,0.0014288635766249464,0.0016313555468865208,0.00201024718918308,0.0015876605567656107,0.0015287765243557254,0.0015420258582226564,0.0014665624669163615,0.0016978621180528646,0.0018610484448811334,0.0015896074247559867,0.0013968695967056248,0.001576684396347488,0.0015119721138370493,0.0015615567594203215,0.001481859030745665,0.002217795436403198,0.0015245636967311424,0.0013664316179358503,0.0015615901375256004,0.00199741195314942,0.001579708709354015,0.0013451906065778114,0.001535842358504463,0.0015129664049366824,0.0017967843753335065,0.002133798305003964,0.001889634890100775,0.0020563109832256155,0.0014963389832940868,0.001344089865425793,0.001254029498067467,0.002080390886415414,0.0024202064541228594,0.0016383347114314502,0.0017066073237621815,0.0017856097246380948,0.0020033764056337135,0.0020146829510737795,0.0018020319379598523,0.0016021991987929737,0.001437984975295912,0.001394977986317029,0.0014026834411134358,0.00160313675747584,0.0019161515306019739,0.0016684597020454434,0.0019969432873069735,0.001402227763783538,0.001622176605717682,0.0024394222224407344,0.002469493531982464,0.0016095481529528667,0.0021743459147025987,0.00172653599834433,0.001870037986410095,0.001458564059109903,0.0017907191235940485,0.0018139367173537339,0.0014621922900664372,0.0016322624454153177,0.0016138970156700833,0.001723783506918655,0.0016621697141669578,0.0015935460856184652,0.0014850959481700753,0.0015858335469230425,0.0016859407789166284,0.001790674410711038,0.0015341670667593415,0.0016682840655580199,0.001763345096717131,0.0016754164033490476,0.0018657395719841989,0.0016089386336948029,0.0015475548335794483,0.0024902582909719713,0.0017979273295602239,0.0019856128779193166,0.0018030120048176937,0.0016184575220700177,0.0017874787943474564,0.001577847314973618,0.0015649039734301402,0.0015303457788771535,0.0015166160823078037,0.0018122312461584557,0.0014486385866045806,0.0016435311669510135
SRR9224329,0.0013784466707408424,0.001633392717791171,0.0016308876662573402,0.0016720958851698313,0.0015065520405493837,0.0016554837399275167,0.001747649099692343,0.0016145228060717776,0.001517176330727176,0.0015555440918445771,0.0017941482252296847,0.0015940289107576645,0.0017420819731714047,0.001614788289107582,0.0016687459124346193,0.001682362764961565,0.0017980679440337097,0.002288230311860056,0.0017517130983324641,0.0019247083648505762,0.0015312056445875228,0.0015906531461064382,0.0018986190730363765,0.0014766607670114627,0.0016578307458160293,0.0015433299414388151,0.0015439822612133916,0.0018688264431917206,0.0014226225553767974,0.0017628112734639368,0.001477630935319724,0.0017222714242425062,0.0014670710370137325,0.0012731054157912992,0.001549626264604968,0.001475517128862093,0.0016315041882064517,0.001927014841908046,0.0015253641310592541,0.0015493287389765522,0.0016107013118777356,0.001537715866810541,0.0016435676919114247,0.0017643722590644693,0.0015861707711616957,0.0013904048759827013,0.0014969571306867582,0.001498134125355519,0.0015379079779425193,0.0015038721011023087,0.002153003298574558,0.001529539404607816,0.0013118284041947724,0.0015986815962960679,0.001896583212937069,0.0015240793222437985,0.0013043863797994786,0.001531381896153682,0.001592154686988365,0.00175460629945956,0.0020951487559013517,0.001826552316480626,0.0019801817677351104,0.001503875650608397,0.0014925029416214743,0.0013248929504664623,0.002039104347675368,0.0024995997239263728,0.001618479615425329,0.0017151924541336833,0.0017372323284144187,0.0019858442869240462,0.0019406075184987082,0.0017129781806471264,0.001625612050105429,0.0015591635044805675,0.0015602476810731775,0.0013668396248284224,0.00170920156259379,0.0019149503417735306,0.0016220138139890388,0.0019120974327667465,0.0014143514557109823,0.001687857051319172,0.002421165107672032,0.0024909424952496515,0.0016137322087067189,0.0021725757477575732,0.0017031781660951052,0.0018496062448431492,0.001532397063983719,0.0017371903125482883,0.0017143870325913124,0.0015710260117242712,0.0016610297791443689,0.0015796643835330737,0.0016959304068897047,0.0017396885320450208,0.001641460182192,0.0015053176826805776,0.0016155263858988551,0.0016394129770078542,0.0017920297863359732,0.001570617663682797,0.0017269742896044932,0.0017507566472135827,0.0015944614478344422,0.0018038508149537205,0.0015523290489010929,0.001464555545431931,0.002480690057210193,0.0017765267316375427,0.0019700385429978935,0.0018213444406642763,0.001546500621947619,0.001682871993699317,0.0016343637254650416,0.001581100806075407,0.0014781273093552156,0.0016060840913779204,0.0016915207070331176,0.0014631065259727493,0.0016157308620490458
