,SRR9224359c,SRR9224363c,SRR9224523c,SRR9224529c,SRR9224527c,SRR9224328,SRR9224122,SRR9224344,SRR9224171c,SRR9224316,SRR9224541,SRR9224223,SRR9224083,SRR9224287,SRR9224146,SRR9224289,SRR9224474,SRR9224121,SRR9224535,SRR9224098,SRR9224506,SRR9224332,SRR9224340,SRR9224351,SRR9224350,SRR9224355,SRR9224513c,SRR9224518,SRR9224520,SRR9224210,SRR9224209,SRR9224208,SRR9224217,SRR9224272,SRR9224265,SRR9224266,SRR9224445,SRR9224444,SRR9224446,SRR9224441,SRR9224218,SRR9224436,SRR9224497,SRR9224499,SRR9224500,SRR9224495,SRR9224496,SRR9224099c,SRR9224105,SRR9224104,SRR9224319,SRR9224198
SRR9224359c,0.0024963643165714935,0.0024581590338833277,0.0026650982286502106,0.0023783761052420696,0.0026189347032873696,0.0027517417611311384,0.0032294725231688808,0.0028885685458844776,0.0026142637936982156,0.003044174405370621,0.002439688124445953,0.002548520715211258,0.002138347235283162,0.0027514092873447598,0.0026175213840773717,0.0026784122515910534,0.002214697505900956,0.0027334909240811093,0.0027418647579848187,0.0023800770996484054,0.0021738192775150717,0.002214642562653899,0.002455163985985407,0.002283187353431037,0.0026176621848744267,0.0023650610718452783,0.0024082615389841937,0.0023938684159882707,0.002235437650515936,0.002360329114574084,0.002551731005248281,0.0026200618640483024,0.0027436986475788483,0.002151419895415487,0.002326073106655319,0.0024339603376781855,0.0025455771489099085,0.0026791741828396678,0.0025535115375319574,0.0031077147828212767,0.0022245479062182293,0.0023887601298734937,0.002698874953325944,0.0022049284883081458,0.002371051871956717,0.002167251284447304,0.0022732665429781008,0.002533958848434539,0.0022975256068320927,0.0027799089114885957,0.0024527406653550516,0.002364686110994509
SRR9224363c,0.0024458291346595986,0.0018662694070673321,0.0023295839026584828,0.0019912569329264013,0.002240181877543079,0.002381973389506224,0.002833367411770897,0.0025919495058775166,0.0022741145187338925,0.0028221692877806715,0.0020793234928636268,0.002172420076378513,0.0017471677631076498,0.0024082710109297207,0.0022319483669299383,0.0023581631187319786,0.0018798146426482647,0.002421478278201976,0.002459126057028429,0.002031655843841874,0.0018237059860834602,0.001826615265490153,0.0021080743488642232,0.0018879435266862454,0.002269977928903082,0.001984903467533647,0.002069743981300486,0.002065711957982357,0.001904984691311624,0.0020034973883453007,0.0022024863652234713,0.0022808934640712823,0.002386919205726047,0.001796251126144135,0.002004136346738453,0.002064429892338848,0.0022284855050344254,0.002288510008166938,0.002173884766595956,0.002713181860412382,0.001869630002414173,0.00201753124272479,0.0022814627067063924,0.0018295331187552033,0.002017661703357664,0.001793577976735471,0.0019083121366658214,0.002171945606600565,0.001933191330421547,0.002464341413771985,0.002151588862445276,0.0020413242939029104
SRR9224523c,0.0026458469482371952,0.002325828829438942,0.002307460558448878,0.002257484485927237,0.0024842689755800577,0.0026431701906689444,0.0030845331200914736,0.0028162236770781874,0.0025875633311803134,0.0030145939883944274,0.0023216390714941274,0.0023882728837628956,0.002021244445269732,0.002638125945451359,0.0024993200207417917,0.0026350193480763353,0.002127283476377162,0.002671081490212882,0.002609393687976451,0.0022737517945260145,0.002103153266418755,0.0020925983914428813,0.002336339852526997,0.0021432480290809906,0.002448454145477118,0.0022508938300711463,0.0022712611623463305,0.002291805137356138,0.002150097512399366,0.0022516460518865636,0.002437217864881988,0.0025310484987507683,0.002636098722969331,0.0020658126175825044,0.002273184087341462,0.0023252662331822655,0.002454925594973098,0.0025513470379136343,0.0024559890154179625,0.0029433732551245044,0.0021388980864543187,0.0023071089497284773,0.002613008233861452,0.0021082304140203566,0.002258116600975062,0.0020934208236318566,0.002168191738829266,0.0024357019212824065,0.002206861870616323,0.0026521657267317344,0.002423024218232209,0.002279335828049877
SRR9224529c,0.002430776150216302,0.0020454411202657217,0.002325535523760396,0.0018773924859749643,0.0022291863829033217,0.0023883009196808136,0.0028146109858913724,0.0025452741286900917,0.002264865029271747,0.002765492845117301,0.002050306337095163,0.002198745358643654,0.0017184833619777213,0.0024200241647742145,0.0022469897237307754,0.002279702692948934,0.0018465862285351742,0.0023752710696260614,0.002416049907532602,0.002026563185138761,0.0018020778674447443,0.0018018541445369934,0.002072840831983015,0.0018837820715864055,0.0022404533916434203,0.0020044700685637605,0.002013551878679106,0.0020280192438889783,0.00186191183245223,0.0019509032612238014,0.0021914673659934403,0.0022487700448254396,0.0024024160120179757,0.001734475747649187,0.0019426488006586862,0.002011016427288384,0.0021735855032827727,0.002259450531390502,0.002170610525263972,0.0027210119654380483,0.0018311176882921205,0.0020130583610625105,0.002321360483094999,0.0018146928563136627,0.0019748957191873325,0.0017666757470396215,0.0018763675741722708,0.00218101030686042,0.0019307752888704905,0.002426353176080293,0.0020873914638187513,0.001989347107289373
SRR9224527c,0.0026049543388018065,0.0022415613862103957,0.002487044297699981,0.002168732608022055,0.00216909228262882,0.0025550113290624503,0.002977175824648766,0.0027611108484660325,0.0024444033742391674,0.0029365986069748756,0.002269517368261219,0.002376154965312538,0.001943384014558158,0.002593736445126638,0.0024183502470120494,0.0025080522874471487,0.0020663004371472686,0.002593931688182128,0.002592578464147844,0.00221808003559116,0.00201766583469016,0.002015369222483956,0.0022518155347011873,0.002090246233400136,0.002458710266494869,0.002210469327613993,0.0022338601302380303,0.002233265950861159,0.0020800537296308914,0.0021589433412273484,0.0023694193354483026,0.002456025208441666,0.0025982318587555913,0.001956535118285484,0.00214801826508129,0.0022236822766374133,0.0024001258431278413,0.0024791785484421583,0.00237228162311513,0.0029407882245435246,0.002055373161471545,0.0022244494126862258,0.0025056658844782123,0.0020520001942062704,0.002205006373409875,0.0019978395084943724,0.002094374727488778,0.0023545109834513475,0.0021415084039037103,0.0026629825407706934,0.0023362414913246352,0.002197190618010948
SRR9224328,0.0027491228146341203,0.002391258352245542,0.0026575287083030904,0.0023372021392521996,0.002565731234385803,0.0024037385756042677,0.003107536199711816,0.002866231836159514,0.002596515602415715,0.0030745664619148626,0.0023936250153722897,0.002505427962616595,0.0020780771297886397,0.0027221560136378577,0.00256588456625652,0.0026465598343440584,0.0021977851044507604,0.0027478263314077954,0.0027340646316135514,0.002347461389187475,0.0021322133038025374,0.002163537777727308,0.0023908969626426006,0.0022661636369811144,0.0025940705055403747,0.00233844388881549,0.0023876194407811487,0.002377268939042749,0.002195449397110763,0.0022888413038960904,0.0025089496366043386,0.002586043369554526,0.002751654224088519,0.002102942686206298,0.002313324778271432,0.002370055260878974,0.0025459733019843832,0.0026474638511382077,0.0025047992334640994,0.003076091433415447,0.002182527730135233,0.002354633074762527,0.0026445218251480314,0.0021689593074819585,0.002328019712231759,0.0021150826776752526,0.0022187514305629197,0.002534009849482437,0.0022806957828053007,0.0027578736322453412,0.002435994720170879,0.002378633902126205
SRR9224122,0.003144936853384227,0.00277668220631891,0.003024845870818273,0.0026895402732255618,0.002914556656978595,0.00302983063620215,0.002536611464462645,0.0033644041579809956,0.003020265649149785,0.003488817696762281,0.0028169961960067542,0.0029211857195721325,0.002457473421290125,0.003129509505286712,0.0028461898331165266,0.0030225897471184535,0.002603829073139467,0.003162441263854935,0.0031710461047643433,0.002761709013999266,0.0025257227046872875,0.0025813158820362225,0.0028712780123180074,0.002672796844015764,0.003050974942155496,0.0027608515173951857,0.0028214466725120188,0.0028039555445279864,0.0026401826589055087,0.002713153004193608,0.0029792216966489566,0.0030359298488074555,0.003216540033236688,0.002484280394025998,0.002786562971514393,0.0028731505353845445,0.003035455051199588,0.0030847544013424045,0.0029990785287393267,0.003541772027832774,0.0026045535016271026,0.002811669231460703,0.0030061533017612134,0.0025834680165743354,0.0027489098245766343,0.002556681373153416,0.0026106559705078654,0.002911441216902424,0.0026643239560363388,0.0032026378641216817,0.0029357024842797098,0.0027445755967059893
SRR9224344,0.002810952431884148,0.0025400264598432094,0.002763953158990685,0.0024283882583173827,0.0027030749218279297,0.0027926328083111517,0.0033615738168467184,0.0023399549944977476,0.002622899669068858,0.0030832046347872067,0.0025472356244976685,0.002684432531411864,0.0022029799884367633,0.002854436184458637,0.002693353134195351,0.002797810681788115,0.00225079629143623,0.0028113327223429235,0.0028803825395260474,0.0024421893267643816,0.002269107663989766,0.0022873852434119432,0.002525841740241062,0.0023869030690200333,0.0027949449744807987,0.0024700335647574695,0.0024742481945795973,0.002524319258589648,0.0022965474669062133,0.0024556736641091832,0.002605743172186792,0.002706275189935472,0.0028986206521576735,0.0022088683962095566,0.0024563889108117362,0.00253512104526753,0.0027096592466082847,0.0028220717939524266,0.002624823449364979,0.0032537523369083033,0.0023131107912876046,0.0025127029927469492,0.0028798053482028936,0.0023093174932724923,0.002483867926555092,0.002245223780691102,0.002343619836907495,0.0026175721217011616,0.0024157692500014274,0.002930138997047903,0.002641643209428605,0.0024418022670963948
SRR9224171c,0.0026658517337550384,0.002334011611611581,0.0026572921331757243,0.002262006256510308,0.0025068067473618906,0.0026506573114332805,0.003158741219490433,0.002750572218877574,0.0022428630485870123,0.0029013388179705414,0.002327584653145553,0.0025097763572118994,0.002013412663881006,0.002676808477562326,0.002551118604708197,0.002566576409265099,0.002107346794365454,0.0026019012826081294,0.0026928617747319318,0.0022914619902976554,0.0020966504391923416,0.002105313690557215,0.0023555046492867403,0.0022146618633101505,0.0025835893894735995,0.002293153129766082,0.002316922164935174,0.0023195313632066736,0.002145829216651813,0.0022602779170031017,0.0024503392605390232,0.0025183598810910868,0.002679300047720186,0.002029348082017323,0.002246026432645152,0.002284736171403793,0.002450652591574629,0.00257708296714292,0.002456588858553776,0.0030144174528469046,0.0021019162315139266,0.0023015619706490843,0.002643876822410592,0.0020853670914424195,0.002254691931572499,0.002032061803434753,0.0021636916185250737,0.002458011270460042,0.0022149740820402754,0.00270577175469834,0.0023494543566401267,0.002263849047956911
SRR9224316,0.0030029463740309814,0.0028062308364234147,0.0029956362998752755,0.0026765642706795597,0.0029155042423455427,0.0030394470031714256,0.003543969525311984,0.003129693767835535,0.0028059343746116064,0.0026298350857263454,0.0027515482674990324,0.0029242100368166595,0.002470092974153497,0.003086451403716381,0.002970924181651584,0.002968426245717891,0.002466240905015029,0.003024126389709514,0.0031232904003821254,0.002698880878451023,0.002510157235870113,0.002563634223902717,0.0027636052121204333,0.0026579247752242818,0.0029791495818165155,0.0026995313225288424,0.0027247888668153458,0.002747278155269924,0.002564234921147901,0.0027008656582815475,0.002834856646408409,0.0028692592111560695,0.0031568143714945708,0.0024630338834918135,0.0026743156060972774,0.002706650258090183,0.0029217070335506765,0.0030238859936642993,0.0028726393564832264,0.0034863999593236473,0.002523063995430074,0.002738648427105935,0.0031124174627989117,0.0025569855569713366,0.002751091205897761,0.002510055808498804,0.0026221458430417404,0.002878700117498204,0.00265754001601234,0.003136779269818699,0.0027929657885459483,0.0026485954262464918
