,SRR9224363c,SRR9224525,SRR9224523c,SRR9224529c,SRR9224527c,SRR9224344,SRR9224171c,SRR9224542,SRR9224229c,SRR9224223,SRR9224086,SRR9224083,SRR9224254c,SRR9224289,SRR9224284,SRR9224534,SRR9224246,SRR9224504,SRR9224510,SRR9224332,SRR9224343,SRR9224446,SRR9224497,SRR9224496,SRR9224099c,SRR9224202
SRR9224363c,0.0005925021162983213,0.0006936964872286357,0.0007318936093196854,0.0006409209585709657,0.000700716663497503,0.0006853028180479007,0.000631539859999578,0.0006257097068689026,0.0005986694075699394,0.00068294755709602,0.0006914844016355284,0.0007092990401144413,0.0006850060149865764,0.0006752922888320608,0.0006266513418103075,0.0006275419977855124,0.0005941455490522104,0.000674931163872168,0.0006248912514450795,0.000650579637242555,0.000597630643643387,0.0007174703186332493,0.000626099619455344,0.0006356318706903392,0.0006326352176029887,0.0006736692115407352
SRR9224525,0.0006936991793858674,0.0005675572880305363,0.0007212684950451517,0.000633592810315175,0.0007007786082157961,0.0006951915976034986,0.0006209729662499944,0.0006249062806796607,0.0005851981816794606,0.0006713287522509408,0.0006952057695067752,0.0006854450723699565,0.0006712946160755521,0.0006685694237208008,0.000624395029528413,0.0006057616080271676,0.0005999195143948968,0.0006668473183670523,0.0006141060133083173,0.0006338992977970669,0.0005943018471245223,0.0006890082832842386,0.0006230555325468146,0.0006251761685207918,0.0006123543302052959,0.000656462043098917
SRR9224523c,0.000723201545038721,0.0007132596369283654,0.000597774877823274,0.0006500747602357876,0.000714413859875336,0.0007135792226027914,0.000651708802804093,0.0006475427570818129,0.0006100831153650554,0.0006843552046511977,0.000727863572602616,0.0007262066318235364,0.0006980915397335693,0.0006976063425589456,0.000646587665264049,0.000629225058280607,0.0006173320728597694,0.0007194095409849747,0.0006400273708494061,0.0006705282899097527,0.0006274556139812321,0.0007310272704121047,0.0006468360851110197,0.0006366524692942151,0.00064544088408482,0.0006886831567343216
SRR9224529c,0.0006468195943106725,0.0006406852883544991,0.0006642938755886904,0.0005054839669999582,0.0006393328934899818,0.0006538616708419222,0.0005792096126207367,0.0005786688434981585,0.0005536836362949428,0.000615705412541884,0.0006539217868549019,0.0006595292793680976,0.0006265868739764248,0.0006213164636833749,0.0005763882528820447,0.0005611442580335436,0.0005506096231354525,0.0006214172747426043,0.0005641993634777695,0.0006003197579254006,0.0005490329691265321,0.000653675757430222,0.0005711539387777727,0.0005812291863652398,0.0005749564335987791,0.0006079599434277994
SRR9224527c,0.0006973495009398448,0.0006989501276482211,0.0007189956194069035,0.0006299579859529004,0.000574482726630596,0.0006982534570736484,0.0006345655462386693,0.0006222774910863492,0.0005951704353329572,0.0006847456571614343,0.0006956825834030743,0.0006940601211729983,0.0006790620888285901,0.0006719433101181479,0.0006353516838136959,0.0006047338004694372,0.000594576264212396,0.0006636184647648876,0.0006195221899107363,0.0006310090062489207,0.0005919315428512434,0.00069867109948634,0.0006194380077515626,0.0006345693096726399,0.0006145712304093862,0.0006576828937315585
SRR9224344,0.0006840700905714749,0.000693798476208804,0.0007207267102852817,0.0006460733219956575,0.0006997718706026499,0.0005707636932145299,0.0006218813192199465,0.0006219573754861503,0.0005974906247692238,0.0006775762574745159,0.0007006039715399629,0.0007168725396147537,0.0006795078224082236,0.0006694246165458344,0.0006258362871997014,0.0006138809180599936,0.0005963958042868633,0.0006696505121874555,0.000614887980962971,0.0006404472191652914,0.000595293286142477,0.0007090426332217047,0.0006203774340404159,0.0006287226209221241,0.0006181733595369598,0.0006442493037665992
SRR9224171c,0.0006761383069789333,0.0006661794358051483,0.0007053219524848834,0.0006143700400481059,0.0006818582490834791,0.0006666880978725406,0.0005603155793314715,0.0006020307640732622,0.0005702466929186259,0.0006587656763465255,0.000680291657209579,0.0006811516344025605,0.0006576259552646868,0.0006518302501568389,0.00060208184867489,0.0005820387176594402,0.0005690228766148754,0.000650111314407904,0.0005847029445506192,0.000617180737597201,0.0005710375363001231,0.0006726234532490789,0.0005897708259938754,0.0005970408330636756,0.0005996675907068604,0.0006335749217130171
SRR9224542,0.0006501562832930833,0.0006500173250514194,0.0006801588971990194,0.0005951810907742874,0.0006486738711303694,0.000647524213392793,0.0005839837296250306,0.0005274496086678838,0.0005570502659844756,0.0006268532317872252,0.0006441854733262508,0.0006616854497999194,0.0006306132107273647,0.000628497920802827,0.0005836859635951282,0.0005567388818821315,0.0005522461995518537,0.0006398834480944426,0.0005587973413180306,0.0006008192720640304,0.000556110559760623,0.0006544578208332428,0.0005726556486800218,0.0005812282001583687,0.0005740067335701336,0.0006137242722707298
SRR9224229c,0.0006328757403237227,0.0006190879541665899,0.0006514222816462518,0.0005792370323854336,0.0006311710440570323,0.0006327837162448838,0.0005624380591292883,0.0005664897284061717,0.0004968593943224129,0.0006123056283370156,0.0006397793809434667,0.0006381193300470411,0.0006147010157854984,0.0006102579400842126,0.0005580391407741356,0.0005452119182945846,0.0005305372806168319,0.0006131363478396043,0.0005414131171173488,0.0005820647555813194,0.0005354885175424066,0.0006303349904988849,0.0005441471901723682,0.0005560513776576,0.0005587535139379684,0.0005949208403801629
SRR9224223,0.0006781297404368816,0.000667225751625213,0.0006871550483231573,0.0006059265134833581,0.0006838842928810825,0.0006739212123313405,0.0006117816993932015,0.0005998733925236475,0.0005766247174984496,0.0005452189224797833,0.0006764233853387,0.0006770249042055552,0.0006527432440652396,0.0006668613990110494,0.0006062927253914353,0.0005822081274030027,0.000571708928835261,0.0006476147912760897,0.0005876167458967631,0.0006115447428449021,0.0005758088598582876,0.0006792668901983689,0.0006083037721556414,0.0005979919651776126,0.0006053399058133963,0.0006339070859697827
