,SRR9224359c,SRR9224362,SRR9224363c,SRR9224529c,SRR9224527c,SRR9224243c,SRR9224171c,SRR9224316,SRR9224540,SRR9224223,SRR9224224,SRR9224086,SRR9224085,SRR9224083,SRR9224423,SRR9224289,SRR9224490,SRR9224474,SRR9224121,SRR9224534,SRR9224533,SRR9224538,SRR9224097,SRR9224369,SRR9224248,SRR9224507,SRR9224333,SRR9224331,SRR9224342,SRR9224351,SRR9224349,SRR9224350,SRR9224513c,SRR9224518,SRR9224517,SRR9224520,SRR9224522,SRR9224521,SRR9224061,SRR9224062,SRR9224339,SRR9224053,SRR9224213,SRR9224212,SRR9224210,SRR9224209,SRR9224208,SRR9224217,SRR9224265,SRR9224264,SRR9224445,SRR9224446,SRR9224219,SRR9224218,SRR9224436,SRR9224497,SRR9224498,SRR9224499,SRR9224500,SRR9224494,SRR9224495,SRR9224496,SRR9224102,SRR9224100,SRR9224099c,SRR9224105,SRR9224104
SRR9224359c,0.000679264081137421,0.0007628038148094631,0.0007959554847882143,0.0007190694895381664,0.0007874424601282231,0.0007883417346277879,0.0008149022386013144,0.0008234990130777405,0.0008128272017980708,0.0007414201961678368,0.0007945685010593847,0.0007342839231287187,0.000770899569559312,0.0007665952309920747,0.0007699062976212167,0.0008066074330352762,0.0007418941429453967,0.0007322201604685686,0.0007573629245401656,0.0006931081111557403,0.0007543900706738213,0.0007699611581105197,0.0007376022856240645,0.0006731571915345401,0.0007357555952688447,0.0007505898775428914,0.0006563715905633434,0.0007221952102213232,0.0006944197237396774,0.0006490932136679012,0.001201049816790932,0.0006828905316311653,0.0008180748943771876,0.000744830804781692,0.000729518551325866,0.0006606745182084665,0.0006554060070762144,0.0006377298158141259,0.0007878987823940603,0.0006875792477861116,0.000676375216636199,0.0007250867953937575,0.000635716630578904,0.0006854170736531846,0.0007097644345642952,0.0007564239722589361,0.0007411653235797105,0.0006675477198496684,0.000703949285252644,0.0007320431157008853,0.0007363953444440096,0.0007098264701835797,0.0007008027841894946,0.000685171864403227,0.0007880128862704436,0.0007451421249005897,0.0006837546208669574,0.0007254908493633741,0.0007211919621538005,0.0007597720561043651,0.0007492822407887714,0.000752389445008538,0.0007334663224484191,0.0007182031426295313,0.0007706680540007031,0.000724178545667537,0.000769739494256961
SRR9224362,0.000760045406105758,0.0006459477804470205,0.0007524956091733647,0.0006927647333543271,0.000741395741744177,0.0007613405815712549,0.0007821915722654601,0.0008027185939576179,0.0007877154636247502,0.0007096958429531057,0.0007606608266664008,0.0007139119846715649,0.0007629596314707763,0.0007246888945600707,0.0007741781518434959,0.0007933075515326439,0.0007308225593475853,0.0006911377636999414,0.0007185310660876162,0.0006570345768808911,0.0007413286982953105,0.0007363627283438108,0.0007100877120757983,0.0006441033251548082,0.0007114812110121024,0.0007067024552102933,0.0006313554900357471,0.000691945641232877,0.0006627469211168864,0.00062112130354228,0.0011558000705357112,0.000658171133427326,0.0007681474566248236,0.0007079056911028473,0.0007015654365157363,0.0006316132449749771,0.0006274032443398689,0.0006148822067184476,0.000757710481166214,0.0006588130778701506,0.0006553294408892158,0.0006820453138006374,0.0006022068289187084,0.0006539096493298361,0.0006901493329228165,0.0007032204791724036,0.0007078884280628635,0.0006340846006838707,0.0006928163442441023,0.0007120767008745505,0.0007037629263731121,0.0006877598163003062,0.000650569666059184,0.0006550097719626373,0.0007452535843135684,0.0007162321581074257,0.0006607706725126717,0.0006752432917991052,0.0006804915356196478,0.0007440640477676144,0.0006963227924226986,0.0007272867753915545,0.0007000436607779814,0.0006931245339785154,0.00073578043349506,0.0006869390539746296,0.0007472310440499711
SRR9224363c,0.000804781391755396,0.0007632973802704076,0.0007108483199034399,0.0007328048064111319,0.000800654553703401,0.0007915498410166282,0.0008325880366787054,0.0008397371549742712,0.0008272267200648984,0.000757890813412357,0.0008141037113042749,0.0007437866159068051,0.0008009805487268035,0.0007773831730463627,0.000796801824401313,0.0008117094680599436,0.0007586191238927428,0.0007432570410263583,0.0007647392414098753,0.0007028063352872908,0.0007628047795995651,0.0007945479545324322,0.0007416807912130754,0.0006779686362406773,0.0007467644560736755,0.0007704577261903966,0.0006695793880178548,0.0007254327873759664,0.0006996328144482022,0.0006605984089106168,0.0011992412621975885,0.000694290497953808,0.0008391769267756314,0.00075767008203299,0.0007377304105136946,0.0006675439339720968,0.0006690305218434966,0.0006530000806978493,0.0007940659417734351,0.0006975932948344486,0.0006931328897482304,0.0007323462740572657,0.0006522714441099486,0.0007005992960524864,0.000715484347828579,0.0007621975967558898,0.0007471026139681174,0.0006869780466301842,0.0007257173003028884,0.0007459253082865624,0.0007371446568713323,0.0007327398091457151,0.0006916973410345327,0.0006933877657227003,0.0008026347664596334,0.0007802430738278495,0.0007030589646483218,0.0007374609929584092,0.000730477598780917,0.0007731523153000473,0.0007736937661179873,0.000764927469185034,0.000732464281357694,0.0007343544267403518,0.0007759720315900538,0.0007278226516828147,0.000775238724099935
SRR9224529c,0.0007287507682465133,0.0007046909863422554,0.0007335066586487537,0.0005760246926904017,0.0007225438436169972,0.000725239185296384,0.0007623190521091432,0.0007566451170953112,0.000747747374490347,0.0006834909686540611,0.0007340823601665759,0.0006705329641423351,0.0007177916872364102,0.0007167482906626562,0.0007236817648298342,0.00072779197082947,0.0006912737802370878,0.0006816226561595746,0.0006853731643469778,0.0006301973550054459,0.0006951686697638834,0.0007176697170637521,0.000674923242869907,0.00060547059600442,0.0006748276045100373,0.0007075600907323198,0.0005939066645171737,0.0006615525853195496,0.000631313001913034,0.0005903527430217455,0.0011543270499368955,0.0006151863175047682,0.0007546589586567881,0.0006702803528174399,0.0006592097946467472,0.0005983019627865234,0.0005935354801631491,0.0005748821112727183,0.000717089056342743,0.0006241914780744306,0.0006196081505989322,0.0006680688829256938,0.0005785768174121204,0.0006260038645569737,0.0006457297363883637,0.0006814325105357826,0.0006821366460345258,0.0006076593999396622,0.0006539768900976574,0.0006754214970723894,0.0006728724387161445,0.0006592217818468307,0.0006185174147725058,0.0006178985148591374,0.0007311910810470287,0.0006996019031168468,0.0006204023342956276,0.0006621277446969998,0.0006566242643322972,0.0006970925485915923,0.0006964637036978751,0.0006980006702466152,0.0006713225503893901,0.0006514846663667116,0.0006959456052985258,0.0006533281499771359,0.000694067658707155
SRR9224527c,0.0007895554477808068,0.0007471330679274938,0.0007946999741358895,0.0007161463800721097,0.0006802808932253456,0.0007945148900124806,0.0008256803912487317,0.000816346103487347,0.0008168269243103378,0.000733551306998136,0.0007846520617388029,0.000726336996055408,0.0007577141352981553,0.0007633330946460105,0.00075566061860944,0.0007911819474758243,0.000736890455642046,0.0007203302654702737,0.0007497699483356709,0.0006846423564530976,0.0007487211644365911,0.000780473063554366,0.0007267310685781423,0.0006678532405132704,0.000726541446693332,0.0007662636826637549,0.0006493826347147786,0.0007172480342357077,0.0006860177740577381,0.0006503281899717268,0.0011985030969914041,0.0006799180333860069,0.0008340844356113634,0.0007383875138504411,0.0007141928827960357,0.0006610309499806979,0.0006573755331385493,0.0006291838972849431,0.000786372971831542,0.0006815484277203911,0.0006727173494394507,0.0007168165709495174,0.0006282234227867823,0.0006798223759181255,0.0006952614967305471,0.0007471136953937716,0.0007360801342827291,0.0006709956503724213,0.0007045796011351202,0.0007374889177955567,0.0007287710363404897,0.00071286314163368,0.0006718250259962978,0.0006817480927285472,0.0007924998527154213,0.0007597798288218635,0.000681639877831609,0.0007303682858908149,0.0007146035497818848,0.0007609662926703158,0.000748589966196188,0.0007300887503590429,0.000732936339216989,0.0007099571652067835,0.000764867368340292,0.0007174653610685794,0.0007591373807315551
SRR9224243c,0.0007743016445632766,0.0007516098809278568,0.0007702085778150514,0.0007046536016835471,0.0007786541595426012,0.0006365522880313839,0.0008080567579509412,0.0008268937249190789,0.0008069635618440906,0.0007368551341267441,0.0008041608007668289,0.000730500315929925,0.0007829056851400743,0.0007655069740967455,0.0007775759454630724,0.0007854803028613782,0.0007472102193481076,0.0007293613906921468,0.0007357304232474793,0.0006739173025320708,0.0007418260872669406,0.0007596907522425187,0.0007283149146572016,0.0006423228918746511,0.0007413506852771334,0.0007390090286346203,0.0006465829472188823,0.0007170273017236195,0.0006774879632391052,0.0006389073702227988,0.0012136691367025173,0.0006614686543766414,0.0007952966627948595,0.0007329451492067074,0.0006957113105725078,0.0006463927558643381,0.0006438825447833283,0.000621787424311201,0.0007795205753804743,0.0006732468249813099,0.0006722689744905907,0.0007152609151404987,0.000619116428979561,0.0006848669435100226,0.000696075382353193,0.0007297750549265676,0.0007343595413983067,0.0006534885647214189,0.0007080122956310423,0.0007119162717003544,0.0007098337624872706,0.000699757736429241,0.0006630586861023926,0.0006697375804979453,0.0007740066637343301,0.0007640225739426474,0.0006642441966079518,0.000708187632364293,0.0006933074208071508,0.0007495603298189827,0.0007182933812335787,0.000734199637672968,0.0007202805197791317,0.000697450047607895,0.000762589850569936,0.0007208351241860982,0.0007789553389724034
SRR9224171c,0.0008206883950011648,0.0007912633619027156,0.0008287526734822852,0.0007585131836741484,0.0008271844973576082,0.0008276548025832756,0.0007309854031992065,0.0008595067711740919,0.0008348128253159352,0.0007675220905746064,0.0008284337595751433,0.0007677489078733514,0.0007979634805055699,0.0007952740644842223,0.0008139826889052744,0.0008283366747534451,0.0007744998984217877,0.0007724384125844121,0.0007950538856258627,0.0007199624192389373,0.0007832523147168389,0.0007989477140168314,0.0007698533047030326,0.0006992698116941957,0.0007728754859255149,0.0008008746300336298,0.0006859826647145149,0.0007500809862879686,0.0007247436055219012,0.0006900752746315438,0.0012235057021412982,0.0007230444251472988,0.0008424608691229462,0.0007774571554883807,0.0007547837072904008,0.0006945013870916026,0.0006942121673804965,0.0006699951266429903,0.0008417511151489924,0.0007158541013098526,0.000712925319213316,0.0007631159764443251,0.0006717231071068746,0.0007161476612543178,0.0007372533923754698,0.000796754107561194,0.0007731580972217725,0.0007043791321537,0.0007387128165386934,0.0007697878916039236,0.0007675912240091711,0.0007489481466978949,0.0007192678805309232,0.0007163417890665987,0.0008335245066045192,0.0007960778737516108,0.0007086246137299794,0.0007576175697562047,0.0007514313998175958,0.000791723569225333,0.0007947759755967371,0.0007611420288687353,0.0007442182646161957,0.0007363866292792765,0.000795383523314861,0.0007407736489108735,0.0007919553378374546
SRR9224316,0.0008116322483890526,0.000795674476326743,0.0008201866740922794,0.0007377043744948335,0.0008021868884895578,0.0008290248172457681,0.0008431439810285858,0.0007101994700359413,0.0008314816656995947,0.0007569507249572949,0.000814291031391292,0.0007557811369300784,0.00079090141030493,0.0007900177649926161,0.0008093483996683171,0.0008053452273787284,0.0007645987091950604,0.0007600134552337704,0.0007791647971654452,0.0007095703160341126,0.000781424313160066,0.0007998732448956097,0.0007618727286105815,0.0006843678304547548,0.0007587698342754436,0.0008018042342016145,0.0006770082512195182,0.0007450787162825626,0.0007204382254609735,0.0006767441555267205,0.0012141771651636084,0.0007057520750294703,0.0008526073819447156,0.0007581641317471171,0.0007635103109960493,0.0006815499236521066,0.0006816674907632699,0.0006502393275680253,0.0008065607643419305,0.0007006350998421011,0.0007009514230719969,0.0007414741263505755,0.0006506445866396141,0.0007106815656155647,0.0007234659505229638,0.0007525919899733234,0.0007539543301903347,0.0006875776175014523,0.0007510720117141454,0.0007476811646867137,0.0007650884079956356,0.0007505518984995814,0.0007109101898813916,0.000717458569334842,0.0008202493104783449,0.0007889531279556164,0.0007128639041706473,0.0007493609782803477,0.000754981303212128,0.0007830395665186765,0.0007886719000154275,0.0007716406913176348,0.0007673968002705321,0.0007314183712674869,0.0007951851466621905,0.0007399820230750577,0.0007885027892200095
SRR9224540,0.0008185025117526489,0.0007968306713099924,0.0008237090988400748,0.0007434938710917518,0.0008189074595910504,0.0008259837061284344,0.0008341748271890397,0.0008479942877236672,0.0007272498170679127,0.0007618336456412834,0.0008182020388575824,0.0007553636709910414,0.000822172500330869,0.0007851499712377095,0.0008077104739506747,0.0008236226703118559,0.0007761178931440847,0.0007552872492457998,0.0007584118268223595,0.0007091313390418088,0.0007774310631162944,0.0007930395296418482,0.0007608516676715217,0.0006907569044493151,0.0007530371689081882,0.0007844181910258451,0.0006720865285732645,0.0007409609218515124,0.0007091182453309211,0.0006666952800152184,0.0012246039903409476,0.000700662168163456,0.0008449669165836032,0.0007569311022207907,0.0007422885259102343,0.0006763379688962177,0.0006739460916983394,0.0006588993197968272,0.00079056601040288,0.0007018082770531742,0.0007000327743491435,0.00074008461721822,0.0006513205082737922,0.0007045803084848758,0.0007202942272731082,0.0007662278839015229,0.0007601301974317265,0.0006851582288814485,0.0007372144349417682,0.0007703944171891442,0.0007630329042924038,0.0007362372292261813,0.0007046560007582005,0.0007007215310543131,0.0008180805832290972,0.000782479692498783,0.0007015174087719947,0.0007406853369616404,0.0007448485791663054,0.0007933507728002998,0.0007875484295113645,0.0007587537497720594,0.0007531979170973433,0.0007353415690422664,0.0007793540348571199,0.0007470435869422525,0.0008061626253131831
SRR9224223,0.0007524420728410263,0.0007243363645670244,0.0007618621952107055,0.0006865028428663313,0.0007430002415767121,0.0007611899111789018,0.0007745988572331943,0.0007791549096448325,0.0007697245385603308,0.0006240264232849011,0.0007682486689624011,0.0006943126502103475,0.0007320701701857486,0.0007294610755588383,0.0007379423699167489,0.0007511278644855052,0.0007095486506091753,0.000690163602426987,0.0007155541975256194,0.000652368323994787,0.0007209795272136818,0.0007379159096636604,0.0006918325502123827,0.0006294569671762386,0.0006932182370189228,0.0007319298039209968,0.0006191372383328569,0.0006804796458012378,0.0006507597501036437,0.0006098148020462084,0.0011614997588007118,0.0006452913059830234,0.0007786138132822108,0.0007047549639901804,0.000689025543645452,0.000622286113565526,0.0006139759466149237,0.000597007742807627,0.0007583269831422647,0.0006423010907354409,0.0006390528487885467,0.0006840028749836579,0.0006004300449359829,0.0006460467770598453,0.0006681757326268871,0.0007096133489271685,0.0006926272851472398,0.0006303370493863799,0.0006756526027553103,0.0007056070395048228,0.000697528927729564,0.0006719311533101493,0.0006372482611181375,0.0006410015680748142,0.0007624222343942181,0.0007233251480572641,0.000644258718425596,0.0006898134509326375,0.000678226346624021,0.0007201905623467174,0.0007200131213451119,0.000705108348759972,0.0006870607783238128,0.0006765436872471062,0.00071745135464523,0.0006792190445114378,0.0007229104445643763
