,SRR9224359c,SRR9224525,SRR9224526,SRR9224523c,SRR9224529c,SRR9224527c,SRR9224243c,SRR9224329,SRR9224171c,SRR9224316,SRR9224541,SRR9224540,SRR9224086,SRR9224083,SRR9224082,SRR9224427,SRR9224428,SRR9224430,SRR9224290,SRR9224285c,SRR9224260,SRR9224476,SRR9224474,SRR9224121,SRR9224534,SRR9224538,SRR9224537,SRR9224536,SRR9224535,SRR9224098,SRR9224097,SRR9224369,SRR9224370,SRR9224248,SRR9224368,SRR9224503,SRR9224506,SRR9224334,SRR9224347c,SRR9224350,SRR9224354,SRR9224355,SRR9224517,SRR9224520,SRR9224522,SRR9224064,SRR9224338,SRR9224053,SRR9224054,SRR9224210,SRR9224209,SRR9224208,SRR9224217,SRR9224216,SRR9224267,SRR9224266,SRR9224264,SRR9224445,SRR9224444,SRR9224446,SRR9224441,SRR9224219,SRR9224218,SRR9224436,SRR9224499,SRR9224105,SRR9224319,SRR9224198,SRR9224199,SRR9224202
SRR9224359c,0.0006880378886543615,0.0006669078608406314,0.0007322510583424906,0.0007020486436904327,0.0007242697004932758,0.0007487800829589517,0.0007262153694061278,0.0007488250572933888,0.000768647765809052,0.0007667060335302217,0.0006972352591634555,0.0008205027340062039,0.0006861937788142956,0.0007641209125481451,0.0008180610310521863,0.0008616508721787127,0.0007488981407530624,0.0007930807196228026,0.0006442866431568885,0.0007240277376558291,0.0007619726587706858,0.0007022480082746009,0.000622590886949533,0.0006633858811091689,0.0006876765226900517,0.0007751352765671344,0.0007030020475153019,0.0006587892119116841,0.0007318454886437255,0.0006613221158748139,0.0007221326181985763,0.0007594640364830214,0.0007444867958174544,0.0007845911017429585,0.0008688432481066669,0.000751074056861422,0.0007929798338164718,0.0007463247674633837,0.0006317555161750446,0.000776757501255429,0.0007200705075756952,0.0008255814748465592,0.0009116068936755672,0.0006791148093823565,0.0007170022148386771,0.0007050889090670696,0.0006993684815342594,0.0008373731468266621,0.0010158339728805175,0.0007307084858847762,0.000664992175619549,0.000668038242158613,0.0006735834275390042,0.0007096465183780599,0.0007285065953699005,0.0006918872731554316,0.0007479304191479291,0.000720423938015367,0.0006587880735691412,0.0009527047804282389,0.0006467342887999312,0.0007530279771125638,0.0007184296503457842,0.0007096510444432797,0.0006934664413560097,0.0007250309519620129,0.0006824455577660244,0.000756789268586226,0.0007293965301306963,0.0008181604685789379
SRR9224525,0.0007397489288133185,0.0006767466369902848,0.0006725145356151167,0.0006862426704660424,0.0007076851998047241,0.00070538607998151,0.0006611865493134475,0.0006681605100569373,0.0007461852393224546,0.0006936479948748167,0.000631987058700887,0.0007423093426943978,0.000631482238318126,0.000723100809869847,0.0007306030763088762,0.0007838565495075673,0.0006571686576965048,0.0007216569834932515,0.0006071309678257417,0.0006624586197188301,0.0007039507726509024,0.0006285452280042206,0.0006000127537747199,0.0006120784126401043,0.0006321961766806207,0.0007081461783209949,0.0006294648866129823,0.000589775617689432,0.0006452943089235274,0.0006154086362181435,0.0006592519794414849,0.0007069333878573081,0.0006746078203984711,0.0007321300898294197,0.0007841642526468575,0.000678754403413718,0.0007066130564152603,0.0006503175429188197,0.0006063076602761579,0.0006900884809431044,0.0006360232394740757,0.000733793621623783,0.0008059620782514582,0.0006208725332513015,0.0006452937338176625,0.0006280429338125209,0.0006219214487147019,0.0007692131506139026,0.0009302960148139848,0.0006898728354035745,0.0006167916522534288,0.0006207743347180589,0.0006132332535473592,0.0006273892329335302,0.0006442322549058819,0.0006559378987830823,0.0006490300365619799,0.0006665485165758498,0.0006032515302707257,0.0008472632623642267,0.0006272366045138875,0.0006670426269881671,0.0006540069577809062,0.0006394199759174232,0.0006776089103772671,0.0006675983542388161,0.0006048613501865019,0.0006744570517363016,0.000664264860961481,0.0007477187819766938
SRR9224526,0.0007559600988351631,0.0006225677227872258,0.0006280538777833328,0.0006469735180697322,0.0006692483302675509,0.0006853861004796785,0.0006667020960402762,0.000668682856551491,0.0007169391251298196,0.0007042004065941799,0.0006403409240531108,0.000745352821438274,0.0006324950439141286,0.00070123669110516,0.0007251372185368249,0.0007730062851011027,0.0006811528360410207,0.0007286437457698244,0.000589221066005187,0.0006513842428638422,0.0007197586345838897,0.0006441971807323756,0.0005678920757829038,0.0005979311999253723,0.0006273348333467763,0.0006987686755700029,0.0006432400003434514,0.0006008865800121253,0.0006706633797016459,0.0006115001179617666,0.0006522269897253619,0.0006988732279464209,0.000679165397026168,0.0007199522553062523,0.0008112183701305905,0.0006852005067131541,0.0007091049115310268,0.0006681730511941667,0.0005805502777667377,0.0006883841952241852,0.0006600950707370288,0.0007461433863711639,0.0007997573754501495,0.0006188393501095294,0.0006476401406452039,0.0006381379783274822,0.0006365115596965921,0.0007498594871083779,0.0008948634870355948,0.0006735810496257994,0.0006113769435762991,0.0006087955778302629,0.0006162399660916283,0.0006409512723247256,0.0006627187312957995,0.000641744883387027,0.0006692325890237808,0.0006644249575505205,0.0006046165497122993,0.0008357614606159019,0.0005905089552701107,0.0006813814422452947,0.0006483168503584397,0.0006445719276266593,0.0006522015300916296,0.0006626485542232787,0.0006191357318844203,0.0006943863711996106,0.0006774027680154654,0.0007523632122121979
SRR9224523c,0.0007694838863922513,0.0006765805199620193,0.0006894083640347554,0.0006784396104829646,0.0007221646945400234,0.0007145815832477048,0.0006770986278985526,0.0006879190887414459,0.0007670553885376044,0.0007086616753338756,0.0006439199058091479,0.0007663164673332256,0.000638966878747844,0.0007322737129523722,0.0007512095409947398,0.0008064754139003541,0.0006840967844526572,0.0007360158452136608,0.0006120036156303258,0.0006837256448987267,0.0007214797332704237,0.0006516696343351775,0.0005957519032063531,0.0006174992477822725,0.0006469830234851995,0.0007321740892555795,0.0006504684087706207,0.0006041778049789043,0.0006700679147975049,0.0006315164879450596,0.0006771238080085134,0.0007242984392618283,0.0006937469335573523,0.0007511508800251676,0.0008034147044601566,0.0006943308155271026,0.000715959833918848,0.0006709612375491087,0.0006098051970405094,0.000710034051368994,0.0006544176715217975,0.0007580442690952101,0.0008274388114262539,0.0006368667659832674,0.0006674770189215422,0.0006446965499722562,0.0006402255739465475,0.0007822170729110009,0.0009520843057451027,0.0007084136952616028,0.0006313245857179569,0.0006297792919891085,0.0006258279167648877,0.0006471840780208442,0.000663658623637593,0.0006691631984309383,0.0006779177749496244,0.000682130841187676,0.000618724436678502,0.0008663054855286089,0.0006340789566793695,0.0006983287886153058,0.0006730188376642936,0.0006542157658319608,0.0006892494014178819,0.0006830786046963654,0.0006250883027629347,0.0006925665712790715,0.0006854761448775788,0.000767326044527144
SRR9224529c,0.0007627177666930346,0.0006740347285598394,0.000684306786215089,0.0006956517524510538,0.000677770358599775,0.0007233236974939582,0.0006657419211660271,0.0006813045119435733,0.0007861982318700124,0.0007036727742086451,0.0006312192163274454,0.0007640627009253215,0.0006322903527337372,0.0007294938964593504,0.0007471857964863617,0.0007935427885721285,0.0006719800894554109,0.0007333331795140153,0.0005936488932836448,0.0006691004024029027,0.0007185852759715604,0.0006361208480879147,0.0005715848820103083,0.0006138498176058405,0.0006385815589343821,0.0007356297750096888,0.0006351837773124726,0.000608432066707969,0.0006528697138226078,0.0006193817564375576,0.000697654030497358,0.000729005994577861,0.0006751722398840117,0.0007390855736267119,0.0007867821080434005,0.0006945898908519674,0.0007146414476550804,0.0006610473225956515,0.0005804336943258433,0.0006946548115060884,0.0006542012793593108,0.0007360997570136881,0.0008247077788302729,0.000626998162892845,0.000654566649035537,0.0006486120698726257,0.0006342565522205328,0.0007990509605298495,0.0009725630559431666,0.0007154645618077539,0.0006223504879427871,0.0006201752753497677,0.0006131932510934648,0.0006298918786012672,0.0006665214895940466,0.0006625943226371762,0.0006677195275593712,0.0006684407125549576,0.0006132643078116763,0.0008706625810044052,0.0006209557884734717,0.0006851946726300146,0.0006606775510484498,0.0006408341274443537,0.0006855495711380995,0.0006680510305441998,0.000614246527574885,0.0006811510819210834,0.0006725436312291335,0.0007567685545475953
SRR9224527c,0.0007929317376794202,0.000671254493800732,0.0007039030829837465,0.0006891959847438243,0.0007241620515799898,0.0006951768575625114,0.000692579747594143,0.000707239130158685,0.0007759331885922674,0.0007219480542049872,0.0006638095145441312,0.000779936599731595,0.0006488978999424129,0.000754507835581974,0.0007615432927271665,0.0008203422359108178,0.0006980789583848764,0.0007603890852611394,0.0006126310719426986,0.000688006232070249,0.0007307568363691275,0.0006643081554714897,0.0005939505612519025,0.0006364706151707174,0.0006502371531001802,0.0007330964938678048,0.0006557155755946571,0.0006216876875886231,0.0006787767602671544,0.0006363630454371975,0.0006925869416612661,0.0007423141679158091,0.0007080768028500132,0.0007609734936388914,0.000818538649726262,0.0007074908953238411,0.0007389629997377966,0.0006794470367197519,0.0006027774819617745,0.0007219075443963996,0.0006853557314540888,0.0007636858468831781,0.0008288169635624255,0.0006445705511806391,0.0006796080296626135,0.0006649512196579833,0.00065714803677346,0.0007959486582956396,0.0009668961645356452,0.0007231789884828025,0.0006466427408816847,0.0006384103030914057,0.0006349265710161783,0.0006644662535043256,0.0006723218284559304,0.000680195680101604,0.0006919402414773016,0.0006967176120731177,0.0006346783900149967,0.0008881077498543527,0.0006341808792239062,0.0007116510940009103,0.0006811921377283309,0.0006679506828647155,0.0006950951255254371,0.0006920615584986599,0.0006417915296249543,0.0007048736093353637,0.0006980321382051872,0.0007817895270870501
SRR9224243c,0.0007510400611931496,0.0006142817949861244,0.0006691284207752939,0.0006373436752296153,0.0006529878749481427,0.0006763742237747053,0.0006032747679587953,0.0006696337237686122,0.0006966799524731114,0.0006968144145571641,0.0006356188391750099,0.0007470582824663169,0.0006213008572355205,0.0007031001168851118,0.0007347188070799012,0.0007871486646593667,0.0006775404755659298,0.0007248627826182382,0.0005819090717508519,0.0006440314692820447,0.0007080090024789744,0.0006512602718519882,0.0005616635463114577,0.0005929297321248452,0.0006166798939526541,0.000695697667718313,0.0006348054526166453,0.0005913098040524326,0.0006549868347440406,0.0006083440842204511,0.0006494027313700804,0.0006920448804789741,0.0006818293597682948,0.0007147619725778918,0.0008130043113886537,0.0006868737910383022,0.0007018008381176431,0.0006614475574708913,0.0005725948389340959,0.0006875265929651367,0.0006472923275307109,0.000718016223813692,0.0007902283566101267,0.0006107843817432127,0.0006486174431064237,0.0006153498244105877,0.0006317115946554137,0.0007384863658058548,0.0008770387484068008,0.0006741348105699627,0.0005981883564175141,0.0006059774173609617,0.0006122303084105034,0.0006361049959230132,0.0006470248717686639,0.0006333748851899761,0.0006684553177027097,0.0006585483552961031,0.0005944900786130742,0.0008152784341200208,0.0005851757485154377,0.0006736150466127612,0.0006431395823580901,0.000639018060327827,0.0006417843864114541,0.0006607776247578636,0.000607980017894412,0.0006826743283083747,0.0006726461421114504,0.0007368412895966626
SRR9224329,0.000786965279780964,0.0006292671953204871,0.0006814681860399334,0.0006568494897080439,0.0006784464387713544,0.0007005129743328261,0.0006792446801519613,0.0006458344359605585,0.0007322108174518077,0.0007141307189259682,0.0006500708260876636,0.0007720199895240018,0.0006395618172286322,0.0007265391817883562,0.0007663806712848196,0.0008069585865081052,0.0006901250904608133,0.0007420143449030908,0.0005939877185936574,0.0006743564878930306,0.0007427798475677282,0.0006745044600662221,0.0005773935926521017,0.0006126799798691451,0.0006328744747421038,0.0007172538424735405,0.0006526841102781969,0.0006058089588368304,0.0006827053514832809,0.00062410518288694,0.0006791965380299719,0.0007246004715843011,0.0006945318091131164,0.0007409375976852066,0.0008223356476670425,0.0007079165851808126,0.0007208724083239918,0.0006792075678054795,0.0005890356089507047,0.0007176380678129088,0.0006759868020123656,0.0007618874466421806,0.0008206607149025225,0.0006318385444746691,0.0006630889468922627,0.0006509399076751222,0.000647354620137273,0.0007689663464802988,0.0009243517556545899,0.0006974128702130536,0.000621638379612398,0.0006206868944730948,0.0006310630731488029,0.0006640412880299639,0.0006724675237219257,0.0006623407336388025,0.0006950685795155185,0.0006865197738996528,0.0006172871003857316,0.000854649124790939,0.0006013657823701191,0.0007088263770064312,0.0006664913720370303,0.0006623139825858343,0.0006580716159816039,0.0006917665685073605,0.0006372417618763992,0.0007184630968402812,0.0006961448439406656,0.0007729444484243958
SRR9224171c,0.0008173849881805566,0.0007134624461545099,0.0007394150404421276,0.00074285832794884,0.0007896028131972998,0.0007796488233867005,0.0007152439969941655,0.0007417722477375676,0.0007915455732163654,0.0007539587775674106,0.0006787130394382132,0.0008188399981428823,0.0006765101867277102,0.0007959886587765793,0.0007908613875365208,0.0008623915008903806,0.000724379383607713,0.0007850008715897056,0.0006319605435616388,0.0007388113287873769,0.0007769519626199278,0.0006996239369377967,0.0006161850476709231,0.000672642639821115,0.0006935397714039793,0.0007797353465193705,0.0006860892505038304,0.0006576947708119198,0.0007071982309446627,0.0006653261424937292,0.0007335494098784609,0.0007924424862019146,0.0007406901967710115,0.0008035535430229412,0.0008465603780549412,0.0007497568599927244,0.000773995021557352,0.0007177509616261098,0.0006242338752153448,0.000744119008667311,0.000700873380788824,0.00080083324957747,0.0008967532578480877,0.0006815348474404992,0.0007092600873083803,0.0007005023275181546,0.0006855493496306401,0.0008560542817952273,0.0010245946049239664,0.0007884026482229044,0.0006872307688842975,0.0006745299564945405,0.0006592715007720613,0.0006918144513456433,0.000714151283951068,0.0007130613395676497,0.0007167449157928506,0.0007319974514327165,0.0006643874113954782,0.0009675387871690095,0.0006696051224519143,0.0007337339898022459,0.0007241778093263437,0.0007009523176041936,0.0007388831419573036,0.0007218804290640374,0.0006661516703014814,0.0007424650190612605,0.0007302312645772175,0.0008131021090764354
SRR9224316,0.000803671889132136,0.0006508029878234696,0.0007152458674332259,0.0006741379785646537,0.0006988371507417984,0.000713153195592972,0.0007048005047608897,0.000711209472663823,0.0007421307821279564,0.0006855414390692792,0.0006765115016836466,0.000807429946879517,0.0006677270559314651,0.0007430315038962705,0.000779278417943131,0.0008216255957866053,0.0007277858923987053,0.0007689500329436361,0.0006282647741120735,0.0006948651616750511,0.0007538035034480625,0.0006953887669772536,0.0006032812596061258,0.0006369799036557056,0.0006568456215194904,0.0007475285080985502,0.0006826094499322503,0.0006328220589788043,0.0007066571152983958,0.0006479663060093058,0.0006829243481514726,0.0007376534308873131,0.0007187259903665582,0.000759631318467853,0.0008400115756233935,0.0007232687777483513,0.0007479898553527228,0.0007024960254687334,0.0006166134236080938,0.000734842262723778,0.0007050259202648996,0.0007735133154908624,0.0008331505993128808,0.0006512080781334646,0.0006918655210076999,0.0006696037897464329,0.0006761694084126687,0.0007839357623598567,0.0009204636570052436,0.0007152104665110922,0.0006494471577034194,0.0006479818344505353,0.0006581953207879333,0.0006888303786553655,0.0007058612267974733,0.000683625235837402,0.0007124543674390426,0.0007076668526756844,0.0006412646751093202,0.0008822343314639076,0.0006246982700696519,0.0007301613331315089,0.0006834908888886615,0.0006925220330986581,0.000682292735060693,0.0007125568965406136,0.0006627961070629357,0.0007426862624232562,0.0007287818101600596,0.0007899023076273768
