,SRR9224203,SRR9224313,SRR9224321,SRR9224324,SRR9224187,SRR9224317,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224005,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224277,SRR9224275,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224203,0.0006227259536083,0.00073474761591,0.0006709068389897,0.0008181293291266,0.0006695759626424,0.0007607434257391,0.0009367522999754,0.0007954226189239,0.0007128150090977,0.0008134293764657,0.0007044683270694,0.0009457050748764,0.0007266470810206,0.0007036381468996,0.000676360194497,0.0006878521391234,0.0008480396234209,0.0008072429188918,0.0011254851986951,0.001107822666355,0.0007285785094441,0.000675157265087,0.0008442862939213,0.0009503335384028,0.0006932501491401,0.0009719242617636,0.0010187087087569,0.0007303069803567,0.0009044298981155,0.000742755406631,0.0007656908420015,0.0009139803935314,0.0012460225167795,0.000967275804412,0.000752462666808,0.0007468741715594,0.0008657221799417
SRR9224313,0.0007187764595659,0.0006788219793997,0.0007147927883632,0.000879685201348,0.0007110255179483,0.0008241602445363,0.0009869189758176,0.0008544674407361,0.0007522691492443,0.0008515052054743,0.0007460219360208,0.0010522433868739,0.0007636195114228,0.0007513575751963,0.0007264030135225,0.0007234202046244,0.0009104957192573,0.0008603390328118,0.0011972873836712,0.0011826652947728,0.0007769971730302,0.0007197180170397,0.0009052576860112,0.0010001466591688,0.0007385596591969,0.0010411382321874,0.0011149442072095,0.0007858466816347,0.0009744158477749,0.000786447854514,0.000802024219238,0.0009908163111328,0.0013394399720699,0.0010350867083153,0.0008113649972319,0.0007916640129347,0.0009393664873047
SRR9224321,0.0006534205646244,0.0007117730705929,0.0005817669114709,0.0008046422018548,0.0006443361599623,0.0007335791277148,0.0008936561636438,0.000762229651466,0.0006937800214247,0.0007990235065656,0.0007121196420026,0.0009437196668082,0.0007148541370399,0.0006934667920243,0.0006611393072979,0.0006801048191949,0.0008381813322518,0.0008142934754716,0.0011748920930965,0.0010822225220249,0.0007204478763936,0.0006526351847977,0.0008399283692894,0.0009398942295507,0.0006888316721859,0.0009568323406656,0.000997538958506,0.0007178014508047,0.0008816803675286,0.000733533298382,0.0007476753185364,0.0009104726655139,0.0012290921712725,0.0009679923233484,0.0007303963127903,0.0007370106918563,0.0008523526116267
SRR9224324,0.0007910660308836,0.00086922623392,0.0007996010473033,0.0008000330137805,0.0007967864156956,0.0009218870844179,0.001097123832104,0.0009460944793796,0.0008499287598043,0.000970672116642,0.000848741987223,0.0011819204195838,0.0008561444675627,0.0008500443309493,0.0008076956479006,0.0008071004488505,0.001008345739842,0.0009885712879813,0.0013907337472093,0.0013756228875717,0.0008817147280777,0.0007968307984515,0.0010148642195565,0.0011372324556288,0.0008248875306123,0.0011550569962843,0.0012049482704584,0.0008881399276227,0.0010821469809033,0.0008747374303928,0.0009126288270722,0.0011387189503496,0.0014899175279544,0.0011643422453203,0.0008938811368163,0.0008838977174666,0.0010373388596333
SRR9224187,0.0006784878164261,0.0007371426467466,0.0006711826018909,0.0008338770929017,0.0006313836283175,0.0007729196757713,0.0009434807532169,0.0008011126401386,0.0007160664091329,0.0008193094435871,0.0007143253903357,0.0009626063754666,0.0007317157795778,0.0007092700602912,0.0006804073643366,0.0006903506592224,0.0008623987996002,0.0008212632753401,0.0011223636029801,0.0011042753997118,0.00073487313599,0.0006766333555463,0.0008569304705528,0.0009467119306432,0.0007006524033408,0.000981726853792,0.001011051535027,0.0007364279846178,0.000887488354955,0.0007421081792987,0.0007755277954096,0.0009309931124034,0.0012634896421703,0.0009759619864632,0.0007614274588786,0.0007574779490571,0.0008739772130562
SRR9224317,0.0007365861434861,0.0008158033797313,0.000730368731704,0.0009233824679498,0.0007392190068065,0.000717563475421,0.0010573585867722,0.0008894748672259,0.0007869438433424,0.0008980513922975,0.0007885383308502,0.0010862647004105,0.000809313696928,0.0007759664689816,0.0007475723565422,0.0007495025301467,0.000935079799683,0.0009239595408572,0.0012542900631209,0.0012566383174691,0.0008107607716626,0.0007482214408775,0.0009318474787658,0.001064050487783,0.0007680383264419,0.0010687394045963,0.0011145947595992,0.0008054231810768,0.0010019759775575,0.0008212289926745,0.000841555764691,0.0010411320757333,0.0014175228250037,0.0011000287443965,0.000818920952478,0.0008275535615973,0.0009776060604767
SRR9224138,0.0009020313158587,0.0009656512197993,0.0008807266788754,0.0010872246339296,0.0008954244317306,0.0010462394702688,0.0009013495910621,0.0010553915160419,0.0009530490401516,0.0011052298490817,0.0009422829549132,0.0013211730366379,0.0009759875453145,0.0009485582234327,0.0009068042718365,0.0009198628429543,0.0011460215255925,0.0011409025388851,0.0015770240657714,0.0015333511424503,0.0009916897926637,0.0009067548645305,0.0011460304348274,0.0012702776317148,0.0009235382518836,0.0013742532215646,0.0014218573092932,0.0010133140858802,0.0012561493227573,0.0009846696689421,0.0010350606075959,0.0012584932488906,0.0017431046413851,0.0013343168005259,0.0010334793772747,0.0010424403425233,0.0012384118231278
SRR9224137,0.0007679100251594,0.0008437598643101,0.0007553606500822,0.000944658788628,0.000763043802981,0.0008851412632058,0.0010610332849599,0.0007503523955828,0.0008147599932147,0.00095348234794,0.0008201032024941,0.0011141599854437,0.0008430161810567,0.0008115059967071,0.0007801326513628,0.0007946007848841,0.0009783264892907,0.0009675915278418,0.0013312601367108,0.0013240873660826,0.0008622827693003,0.0007897383321894,0.0009708946179886,0.0011099657558117,0.0007905396363495,0.0011459996285692,0.0011980217990057,0.0008433215227112,0.0010545998694935,0.0008601173931774,0.0008929556931046,0.0010780774825263,0.0014488530290235,0.0011524677451728,0.0008795060093422,0.000884036645403,0.0010383295379277
SRR9224136,0.0007070353357818,0.000763634603015,0.0007066202809877,0.0008718125411813,0.0007013798684816,0.0008061242363859,0.0009860727608848,0.0008384323351788,0.0006781974691248,0.0008515938557467,0.0007490969671667,0.0010379527851445,0.0007671848589845,0.0007456730538383,0.0007071632222132,0.0007170168665261,0.0009002512825823,0.0008563993969911,0.0012042036840564,0.0011641477846329,0.0007603932162204,0.0007114035340836,0.0008948931283516,0.0010118522153133,0.0007321138632905,0.0010100400788631,0.0010391723653252,0.000765897143225,0.0009232717000397,0.0007725017093798,0.0008059508800029,0.0009872348262689,0.0013319935785743,0.0010302009524335,0.0007919045072255,0.0007949203476264,0.0009246611899505
SRR9224143,0.0007792240595854,0.0008319904829799,0.0007865859305837,0.000959958074989,0.0007745647646392,0.0008865848598519,0.001100080341286,0.0009447307427635,0.0008213149266278,0.0007504302795145,0.0008227615873175,0.0011547608083475,0.0008456729824897,0.0008271063739956,0.0007919230341392,0.0008030965054184,0.001015725455948,0.000955790260289,0.0014105239832751,0.0013194047971769,0.0008575388838849,0.000771736014962,0.0009591404360773,0.0011417136037282,0.0008029206757109,0.0011569413387489,0.0012112729224723,0.0008904425385241,0.0010792501243283,0.000865889362385,0.0008982829912596,0.0011205346604356,0.0014558946610973,0.0011677296055645,0.0008690827153819,0.000874438780829,0.001046977676449
