,SRR9224203,SRR9224313,SRR9224321,SRR9224184,SRR9224323,SRR9224324,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224134c,SRR9224566,SRR9224004,SRR9224006,SRR9224562,SRR9224564,SRR9224560,SRR9224561,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224282,SRR9224283,SRR9224238,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224203,0.005165482977474944,0.005598354045455832,0.006005267110875117,0.005403246361067184,0.005183902409463356,0.0054988074991711355,0.005422189707656334,0.005078416183541061,0.005076475616349662,0.005432531465586105,0.004994024585829803,0.005631773645912109,0.005410929190579411,0.005262634253200711,0.005194190656131707,0.005605186875387766,0.005727351006954144,0.005878912851248476,0.006206355111011577,0.005896742774167362,0.005778965626843493,0.006283489250584425,0.006180024683681669,0.005851612052204117,0.005834102856223337,0.0057087244549696445,0.005591141081480889,0.00573902156487588,0.006212034347548775,0.005885402853667424,0.006496705200876892,0.006040551920657516,0.005920809094988137,0.006115970986235039,0.006247658299100164,0.006004807084350337,0.005877286349034038,0.005812258026490072,0.005616481673016145,0.005894390079233431,0.005659188859478866,0.005385818510019962,0.00549159900560567
SRR9224313,0.005761324219342045,0.005168669604328606,0.006027456809779316,0.005394570479508046,0.00511712409854541,0.005514971841740045,0.005441242683677939,0.005050360590967826,0.005033793069081282,0.00545778027904616,0.004959634053572362,0.005664357437348031,0.0053702594161516215,0.005244698838480269,0.005149684682690128,0.0056766419106253135,0.005762039664729955,0.00593500690299447,0.00632102679701819,0.005904957401982048,0.005832231650733527,0.006359070673243785,0.006287574991840323,0.005913965190842449,0.005858112098425155,0.00574704808373826,0.0056519495928398335,0.005797849413899208,0.006277995373448182,0.005959501131708722,0.006580930327312989,0.006071200777664628,0.005968858254219096,0.006181446431843833,0.006355998338809611,0.006068187823959101,0.005920434527271286,0.005868128061448796,0.005637986194161615,0.0059272708388047384,0.005666607826767406,0.0054267033638372595,0.005455310114950109
SRR9224321,0.005899894304457154,0.005752566617323143,0.00559147555573754,0.0056983996540800495,0.005518547170733255,0.00576508705644652,0.0056633683789105065,0.005401521403877246,0.005429727772643053,0.005714719238244679,0.0053078421844294805,0.005848095275666195,0.005727335740147049,0.00554536573024831,0.005485686840146744,0.005798192697068389,0.005940210946587725,0.006073711073562862,0.0063270246190897375,0.006086124227447435,0.006048934886464549,0.0063543032709081695,0.006339741055071193,0.00599653385359076,0.006014344947457849,0.005924454080827274,0.0058172529919213786,0.005953301792225711,0.006332866804589843,0.006056452892157847,0.006607461232481988,0.006186879704142118,0.006065120395046178,0.006255568578669421,0.0063766127918046525,0.006173998139306872,0.006087898981134272,0.005999613132977209,0.005813293729223595,0.006057626625391427,0.0058291245404532895,0.005647901494055479,0.005776955737908337
SRR9224184,0.005249764665239101,0.00508955636470774,0.005629289291664396,0.00460936401883782,0.004774390199437109,0.0050468491887538,0.004981885927955106,0.0046439548541162235,0.004669518768103666,0.005025757706425424,0.004484640320541438,0.00522020294269692,0.004938812859792492,0.004818371623643281,0.004821737198580734,0.005176029827340484,0.005306309496795918,0.005443329664409611,0.00585272003447417,0.005508444418996391,0.005442618085284789,0.005810858622648479,0.005833345040073089,0.005348658457511799,0.005388708196686556,0.0053497782750792705,0.005181843705449564,0.0053460303477037546,0.00579731573668163,0.005534419935827616,0.006055280678738851,0.00556188079830507,0.005490084518639366,0.005728832084965978,0.005867628172511586,0.005580407408132893,0.005469746313549608,0.0053715263583484895,0.005122008635753004,0.005546133394558219,0.005194817215240238,0.0049887691683531315,0.005117891777972568
SRR9224323,0.005057910947908853,0.004852027631479902,0.005476160420098509,0.004790765021018945,0.003958332303943484,0.0047562787687905695,0.004706043653528177,0.004233960549513234,0.0042787142981785126,0.004717422698217026,0.004170474912485824,0.004955155482143761,0.004701274780727781,0.004474697987522949,0.004520319604889878,0.004879657757401966,0.004988984878072966,0.005281407878448119,0.005623526138794915,0.005316155639849724,0.005188979492843801,0.005628916796065205,0.005606387468398375,0.00515495859136359,0.005247817670154024,0.005109326096790185,0.004869037265497994,0.005070845399203235,0.005626484131078931,0.0052521973986042825,0.0059470154661044805,0.005378731409625597,0.00529467897323751,0.005527672667903824,0.005702101893024953,0.005358511766367237,0.005291085153804795,0.005183211061194016,0.004876488394533607,0.005358610379711118,0.004956416901383245,0.004721128930356709,0.004832389077266422
SRR9224324,0.005496441551068294,0.005354536857081177,0.005861653498242574,0.005196092675731015,0.004876232164046961,0.004745928670495592,0.005183158255385752,0.004754788211816082,0.004812206841232518,0.005212955563362183,0.004684732480931691,0.0054028067738405095,0.005165009980618129,0.005007154056949491,0.00490767052834762,0.005417044467685612,0.005491940295159277,0.00571504159607926,0.006091364408108134,0.005729454879760509,0.005618617927612126,0.006130465622867895,0.006112263851039985,0.005646046743610163,0.005650830125956273,0.005535362072722119,0.005375520316761245,0.005582038394336145,0.006056998966636876,0.005759002244183233,0.006372723354689867,0.005853298974094307,0.005719821142269179,0.005961347607271102,0.006134367542468771,0.005817494559812396,0.005745850752936458,0.00565309207303999,0.005377622832457782,0.0057535058781094765,0.0054519637024857525,0.005176346106438288,0.005240778265629328
SRR9224327,0.00540050751893174,0.0052614400040342435,0.005740795897836318,0.005108701416007486,0.004805267698261062,0.005161871546109388,0.0046209020687052755,0.004707462468420748,0.004719214872936692,0.005103163301179739,0.004603171995260797,0.005290493695124395,0.00510499667562849,0.004914517331922039,0.004857328888302705,0.005286856549479209,0.005411205130818584,0.005618067546214638,0.005980266952361312,0.005615705411904098,0.005552758051887593,0.005984778043864876,0.0059711887023291355,0.005535286857005142,0.005534930384517122,0.005375481399259759,0.005278362797685517,0.005426868956022414,0.005975277503617683,0.005601969817780748,0.006265459123812368,0.005733401261425905,0.0056473832746438656,0.005845860407542878,0.005977982990672177,0.005708026642594678,0.005657291586884137,0.005548468728933478,0.005265953550677851,0.005608462432155307,0.005357903747763705,0.005101781877592929,0.005153316141700708
SRR9224187,0.004997279731187526,0.0048283935451953735,0.005404680599184961,0.004705839141106162,0.004269080983958668,0.00467804926781647,0.0046521962554886016,0.003784421285125048,0.004251850211449107,0.004663424524989853,0.004149075580739601,0.004923783025677533,0.004634636403699531,0.004487313907202393,0.0044097417611593005,0.004861443888659194,0.004997509246822071,0.005236682647184307,0.005642629859789167,0.00529794653492867,0.005198578908672663,0.005641939119367955,0.00564728071962599,0.005136175189857887,0.005165247004431294,0.00496632782925097,0.004860596116846796,0.005065707055197946,0.005599769025335474,0.005228214898011387,0.0059508293557152345,0.0053734084907178055,0.0052935990707535276,0.0055107714422458366,0.005688449001534814,0.005325580489872575,0.005265484407522537,0.005133134927044505,0.004850532972689827,0.0053019596980141935,0.004945337271244625,0.004656818746617187,0.004738803527196234
SRR9224318,0.004962787286561969,0.004781631426065152,0.005402718507803003,0.004706800477102473,0.004293024536530442,0.0047061258194179365,0.004633112604002597,0.004227325680366844,0.003852522202191789,0.004670863545398209,0.004106012077990432,0.00493106733675272,0.004655145995154016,0.004496942372957797,0.0044806779323647425,0.004829554333141084,0.004945757468508201,0.005176161925999441,0.005593011730072594,0.005272775283851455,0.005183447107305384,0.005556238215601258,0.005677067371295664,0.0051077547363205305,0.00509725887157556,0.005100921073422533,0.004828752501596568,0.005003485762417274,0.005530245222502458,0.005150752054059684,0.005898008158653405,0.005324976053063538,0.005271461437307614,0.005443682847206167,0.005624523718721969,0.005288580490878871,0.005269586185369596,0.0051196767856070465,0.0048243016404472695,0.005322829175512776,0.004901868602957747,0.004658794648993152,0.00480000844973399
SRR9224317,0.00539504368127355,0.005265710203182636,0.005775192087525421,0.00514364485968133,0.004802640820458133,0.005180989181557052,0.005089199751937544,0.00470868736613947,0.004745771963694855,0.004629425422258735,0.0046084191972087735,0.005343049315084298,0.005059191523392655,0.004948693055753877,0.004850263016602702,0.005303469721325796,0.005413275004586701,0.005599325631636292,0.005950649159852025,0.00565633007406319,0.005518891137831768,0.006010622553843152,0.005911979496893349,0.005526110742490456,0.00551145080242827,0.005452884478110991,0.005269532859975528,0.0054287109444746545,0.005925607616106705,0.005606821500348854,0.006231558642352087,0.0057485283628559095,0.00562133969520982,0.005846928829558561,0.006012600627477493,0.005715509062326046,0.005620916529411782,0.00553071533383086,0.005259534789657864,0.005644655430439662,0.005332397389081323,0.005125332471011285,0.005154156707601172
SRR9224139,0.004907851850281888,0.004731405938437061,0.005301766621726938,0.004533264233765633,0.0041981213358356865,0.0046006312618708115,0.0045386558357698404,0.004141188128739962,0.004124723540956322,0.004553903855261184,0.0036483288196412357,0.0047975434288106585,0.004596081734850642,0.004375005868524392,0.004363473880153332,0.00477216842125212,0.004898830353740161,0.005114024639087444,0.005575692842121071,0.005192047665837335,0.005043890733568389,0.005607379379010998,0.005559401479012072,0.005037440079648025,0.005043379310589757,0.004976254515368273,0.004756440382919692,0.004972857780202922,0.005522649458249768,0.00514379652056641,0.0059196144427453344,0.005299161525709979,0.00523435172159544,0.005416075386821864,0.005624485722821887,0.005273124986563621,0.005198986380458466,0.00502735571358447,0.0047551762769786066,0.005171268774691199,0.004859702333931447,0.004556537539176773,0.004662321938979669
