,SRR9224068,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224019c,SRR9224024,SRR9224025,SRR9224017,SRR9224403c,SRR9224404,SRR9224135,SRR9224462,SRR9224401,SRR9224311,SRR9224293,SRR9224292,SRR9224298,SRR9224297,SRR9224299,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224113,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224256,SRR9224288,SRR9224253,SRR9224258,SRR9224473,SRR9224470,SRR9224471
SRR9224068,0.0021448056366397614,0.002147646123718452,0.002098148880846077,0.0020424040007602424,0.002002745282399417,0.0019415797808866664,0.0019681372803463993,0.0019605711924648925,0.0018999137919194628,0.0019375349951473557,0.0019297397566325073,0.0019378082695660549,0.0019718697673690735,0.002003968018601175,0.0020314604673834303,0.00207283904987311,0.0019319084543626332,0.0020472927957891065,0.0020846468541517527,0.0021583762271865556,0.0021395242376867052,0.002031827559379329,0.0020237932920892454,0.001946170215631503,0.001997915953150483,0.002017948000352989,0.0019849960570015894,0.0019910685021769115,0.001978536112055053,0.0020961310676914165,0.0022933530225457445,0.0021312631365012578,0.0019853395466906476,0.002124709824427124,0.0021038629283651462,0.002122870619336558,0.0021955845042028184,0.0019971631268617274,0.002008412483091123,0.0020722449274179515,0.002022651878556582,0.0019326272508079323,0.0019062914958746869,0.001980239768941002
SRR9224069,0.0020887022580411163,0.0018343138217635014,0.0019324003728783171,0.0018816239626668326,0.001757880472827654,0.0017468086203859213,0.0018011785228369882,0.0017605003316547225,0.0017239366874469047,0.001767185222618019,0.0017425123863732011,0.001767329108675406,0.0017815074838729613,0.0018055621191403989,0.0018364512265643621,0.0018556678153580635,0.0017399803457036755,0.0018761211232414506,0.0019291202577031447,0.002001224550393683,0.001989807970083159,0.0018293955203297467,0.0018080626694934308,0.0017872629674827614,0.001827596654224958,0.0018309608611339785,0.0018023462238908894,0.0018102079099890673,0.0018113952553943467,0.001861715059101356,0.0020812763455299544,0.0019548721717008066,0.0018294985625654184,0.0018847296087772828,0.0019402063892476286,0.001968419946581114,0.0020032558763599696,0.001786336742902357,0.0018438535710952459,0.001833050012994478,0.0018639664449200408,0.0017586107614093716,0.001708909331858303,0.0017808055661115063
SRR9224070,0.0019891051452634477,0.00188350702596336,0.001658784721003966,0.001822928678586055,0.00163024366795323,0.001645239040630085,0.0017112238589765802,0.00166442098289336,0.0016680565641145212,0.0016647367843806373,0.0016443167549777618,0.0016824819586802988,0.0016939576753739597,0.0017180282535641423,0.0017620156041544064,0.0017482370093960104,0.0016598618742849408,0.00177765524896769,0.001852054860935309,0.0019553726499432432,0.0019127876595367525,0.001751459888192774,0.0016954832786481686,0.001739638343373584,0.001734839767237161,0.0017741930474021034,0.0017343542084807505,0.0017764297762552783,0.0017240870965715717,0.0017370639643891816,0.0019553854953455446,0.0018759240965726463,0.0017297953924735369,0.0017628374863864226,0.0018489641004101449,0.0018482322884498293,0.0018892608442508687,0.001704055807337059,0.0017647184683671365,0.0017195410187186037,0.0017607812305100543,0.0016760625905369942,0.0016233298262643152,0.0016838028254334823
SRR9224071,0.0019023093029651513,0.0017996013615314646,0.0017892666867623125,0.0015044304697070362,0.0015332650184149976,0.0015384176240646754,0.001619320783702014,0.0015687304686225923,0.0015851703375167228,0.0015780460238172319,0.001560516037814315,0.0015993579590432958,0.0016239120634666206,0.0016323486055849813,0.0016866714049136489,0.0016607169476663118,0.0015785589035599917,0.0016973229331632058,0.0017774474937577163,0.0018577053257898565,0.0018472944668790228,0.0016965429672549308,0.0015997426561203168,0.0016245041997325473,0.00168553515563489,0.0017055601708113187,0.0016701130055239845,0.0016697152805028217,0.0016338448617427403,0.001637168449686955,0.0018730648684781382,0.0017942891184818237,0.0016687229997286125,0.0016872604317389468,0.001774724929666855,0.0017886526192224662,0.0018232225507790127,0.001620945668227425,0.0017005570003356847,0.0016193541651020175,0.0017093522780852197,0.0015633203595720928,0.001548387105297584,0.001566722206329504
SRR9224072,0.002086929085013336,0.001881265103961846,0.0017857276320471234,0.0017078269673124402,0.001702868276380464,0.0016084185777547491,0.0016505365091996457,0.001609844313153366,0.0015348303119400066,0.001552877714993191,0.0015763698360007326,0.0016000440157411466,0.0016165329792343093,0.001668689758933844,0.0017056070999878152,0.0017810503333737901,0.0015783362991623612,0.0016895090265421162,0.0017672591880154057,0.0018733461682967196,0.0018263907377701588,0.00170295316349277,0.0016962909683784597,0.001602164065748905,0.0016483051361405,0.001659005304458869,0.0016292635737939908,0.001637581266206969,0.0015887782250817192,0.0018273614551609213,0.00219058698568932,0.0018248763727383506,0.001653274707173575,0.0018727161086492872,0.0017961082577882606,0.0018387497735335224,0.001953662004888622,0.0016569962059341452,0.001685483451089114,0.0017947723612597164,0.0016484792630720932,0.001567321612672491,0.0015277619407927463,0.0015730475898910472
SRR9224073,0.0019042286830471093,0.0017628293508481958,0.0017032253268573622,0.0016229827200042422,0.001514870919404055,0.0014193154804267411,0.0015513912032826768,0.001504054508986345,0.0014813522058237927,0.0014939810559822656,0.0014867047361815488,0.0015281429226208774,0.0015301917942359166,0.0015706033793156941,0.0016088465058884112,0.0016186259602670873,0.0014914321266199836,0.0016117750303844896,0.001696019652189599,0.0018025002550011002,0.0017571823147748019,0.001613222584605679,0.0015667243646681687,0.0015311725376807854,0.0015837380563815556,0.001598638410972363,0.001562945587484514,0.0015601440428426928,0.0015232855385309198,0.0016135836008667984,0.0018966178347719746,0.001732877516778261,0.0015930158585174899,0.0016601887872550467,0.0017132397669488472,0.0017517427169463668,0.0018010239270150714,0.0015556794718459852,0.0016103526630451184,0.0016035720230851128,0.0015693463399677834,0.0014834938504259875,0.0014338847213093138,0.0014785467057472736
SRR9224074,0.0019047752396225775,0.0017927759883367262,0.0017474300218691982,0.0016815833990390609,0.0015349995979683148,0.0015290759242243407,0.0014745881703864794,0.0015581367485778116,0.0015267551769423207,0.0015260249007853614,0.0015172051964788469,0.0015544317460127496,0.0015725009336166444,0.0016215939055642548,0.0016434545943481006,0.0016453355023953672,0.0015342599602825055,0.0016590986921977404,0.0017416824904648574,0.0018355440261714074,0.001780158084047041,0.0016547232538370303,0.001594813167451904,0.0015686588497744068,0.0016160290940447392,0.0016512883920363458,0.0016114040971364505,0.0016287801623249517,0.0015817829819527794,0.001636430894220088,0.0019034311109609415,0.00177916191909097,0.0016233194327620693,0.0016782071221103777,0.0017677559042654674,0.001766007199095484,0.0018221283199051001,0.001574608610735359,0.0016399290551011461,0.0016191323045850728,0.001634625817376566,0.0015260394677620586,0.0014918559842102136,0.0015481760068969067
SRR9224019c,0.0018993650780364099,0.0017526039501515299,0.001702679534632257,0.0016325861036952407,0.0014988000770063492,0.0014844802502461084,0.0015604948730684976,0.001413427575629061,0.00148165065077884,0.00149508700070697,0.0014872961447048325,0.0015237690484029536,0.0015250413185750266,0.0015708709998485618,0.0016176223109725708,0.001613288911804026,0.0014937346612003935,0.0016293630957696951,0.0016942639624726388,0.0017974992649464714,0.0017694356730818708,0.0016153523573285656,0.001563575078790231,0.0015544190623412808,0.0015863121209560309,0.0016093698815803886,0.0015710408727236725,0.0015793765897787516,0.001528339941729769,0.0016077329619412204,0.0018795828421938258,0.0017476433778840495,0.0015831979172000032,0.001646305941790632,0.0017171227125019868,0.0017560744202936025,0.001785325619204483,0.0015587828993072893,0.0016012247825477257,0.0015913228496909257,0.0015847161953681176,0.0014930924622379499,0.0014583890685590222,0.0015180143637534616
SRR9224024,0.0017784904312672517,0.001656885863906253,0.0016441781759931,0.0015937557311955755,0.001384248504259143,0.0014118213220120814,0.0014761833682264813,0.0014316661271057134,0.0012794486289398057,0.0014265966645722473,0.0013964096216661254,0.0014433510956869133,0.0014494378197627482,0.0014535011808448797,0.0015245966071383643,0.0015003169326133757,0.0014270888476508815,0.0015462584811567377,0.0016298698140147813,0.0017420151856103669,0.0016783543068334239,0.0015073873475490646,0.001450305074097879,0.0014933320836006752,0.0015472872130339477,0.0015613045807997068,0.0015117548115579436,0.0014990348499016202,0.001477329948325962,0.0014829927706894,0.0017356096888738297,0.0016632652803568355,0.0015001585100003019,0.0015228998250107454,0.0016456306841496318,0.0016771701735687013,0.0016599577949879703,0.001465037489196528,0.0015255181693670902,0.00146538827148797,0.00153073003754831,0.0014438511140319557,0.0013637175825450397,0.0014679984796837557
SRR9224025,0.0018246488327749656,0.001710803150330661,0.0016536512953381575,0.001593417513993928,0.0014082238835788176,0.0014326885121024246,0.0014853941276458502,0.0014516092398201511,0.0014342260669706142,0.001256942404184497,0.0014046484628099714,0.001455869832954347,0.0014695231779248855,0.0014978125118230846,0.001527532408379845,0.0015288540339997757,0.001422441270974087,0.001551685111602843,0.0016397661971224093,0.0017423846360330665,0.0016989011872748793,0.001532964639525507,0.0014494573971199427,0.0014661159242545575,0.0015223442422500023,0.0015751728112416393,0.0015038482156909886,0.0015160573569288243,0.0014856983827151171,0.0014934302390663026,0.0017906502550790319,0.0016581915526625638,0.0014944274429735188,0.001554501348218758,0.0016600727205395825,0.001673869980271145,0.0016983815316125627,0.0014820807537183644,0.0015528979995285371,0.0014972981105412203,0.0015036859466379996,0.0014253945511614578,0.0013739582467631743,0.0014280983987611123
