,SRR9224066,SRR9224067,SRR9224068,SRR9224069,SRR9224071,SRR9224073,SRR9224074,SRR9224019c,SRR9224021,SRR9224023,SRR9224026,SRR9224025,SRR9224018,SRR9224017,SRR9224403c,SRR9224404,SRR9224135,SRR9224462,SRR9224311,SRR9224292,SRR9224291,SRR9224298,SRR9224297,SRR9224296,SRR9224295,SRR9224300,SRR9224299,SRR9224163,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224168,SRR9224113,SRR9224114,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224251,SRR9224249,SRR9224256,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224473,SRR9224471
SRR9224066,0.00045544407820921596,0.0005256777542190972,0.0005141127095780884,0.0004964927640470602,0.0005110423005561887,0.00048780256206668276,0.0005416008597132951,0.0005183101064291341,0.0005265820950869699,0.0005210883791428309,0.0004927913738770872,0.0004994764843984642,0.0005034950748639892,0.0004960007543006355,0.0004610380407215768,0.0004775204364163144,0.0005049236999507814,0.0005113384160067699,0.0005153755791723495,0.0005323529040434699,0.0005285927389886318,0.0005387363711864932,0.00048217627297022787,0.000510392198470839,0.000506795116848229,0.0005203178857529022,0.0004863738151726482,0.0005174076965259542,0.0005348598104196967,0.0005311186213853455,0.0004815373565876072,0.0004747729926386627,0.00048627256165864586,0.0005212728092016118,0.0004952435842958115,0.000471832807849868,0.0005058541127474125,0.0005045046255478928,0.0005129848284211762,0.0005146844719514983,0.0005182268572006683,0.0004783886012154845,0.0004747647070960891,0.0004958618885903989,0.0005820649862313392,0.0005212247045531714,0.0005228324360983854,0.0004939264835768162,0.0004742029801446415,0.0004847002907381577,0.0005100737087473152,0.0004955733386308572,0.0005108029997310704,0.0005385881843679538
SRR9224067,0.0005164974698700946,0.00044524017809453056,0.0005216469320277256,0.0004935935752382528,0.0005075058011107368,0.0004782321345963217,0.0005090254438139924,0.0004950569763549969,0.0005255031971450526,0.0005175162153749003,0.000501385414379171,0.000496153933030017,0.0005051930860418744,0.0004763463703636924,0.00045489017921415627,0.00046570408556746067,0.0004915175658199145,0.0004993412087961987,0.0005095216149643754,0.000534447907749814,0.0004980274176524703,0.0005425413126986128,0.0004803855375397794,0.000503104944353285,0.00048509579455645893,0.0005099067082654377,0.00048126372892216406,0.0005158303932332476,0.0005432548132224632,0.0005095668600786417,0.0004696307205025752,0.0004643842634560989,0.0004748686728231603,0.0005143232026012843,0.00048399133885734656,0.0004704654333039164,0.0005011717500171847,0.0004969382574356889,0.0004893708352267646,0.0005122871767853682,0.0005011278962034667,0.00046811054871429215,0.0004657176267030118,0.0004904721881637488,0.0005702495225862754,0.0005117345320193059,0.0005175294114050864,0.0004878790262108031,0.0004672957793134161,0.00047593793934036787,0.0004898098438238915,0.00047862638467074004,0.0004849394222574706,0.0005240412997833041
SRR9224068,0.0005196098814022547,0.000536629292814687,0.0004583160048808596,0.0005049441247878182,0.0005218029370547746,0.00048216443586670226,0.000529628396059708,0.0005135444508745066,0.0005147431086478515,0.0005177152791449041,0.0005020060388698344,0.0005038712632159455,0.0005107955792970238,0.0004883688941435595,0.00046597761524265,0.00047353794602092956,0.0004966728771813201,0.0004991774712491058,0.0005005034306238042,0.0005192772579175216,0.0005108591396402846,0.0005327390889251506,0.0004859431023309181,0.0005027922689065543,0.0005016823307394917,0.0005083328978566106,0.0004830120598028096,0.0005243674077563951,0.0005368934717336809,0.0005174275055226364,0.00047880877792067796,0.00047833217369714894,0.00047996222343872164,0.0005266578959223332,0.000496728437796406,0.0004741782709308958,0.0005084744839504254,0.000497763094275174,0.0005106351258946121,0.000506621407843222,0.0005113124442430742,0.0004811769074300981,0.000487733068187923,0.0004977719665939922,0.0005717891325546971,0.0005156342876540102,0.0005154319793295926,0.0004895009052127328,0.00047394396549141414,0.0004857947199828779,0.0005003862501097748,0.0004944342263915042,0.0004963498347728362,0.0005291878348390872
SRR9224069,0.0005241816559432624,0.0005295955778965455,0.0005269460018247456,0.00048056738812128787,0.000514470942373049,0.00048464398315107486,0.0005336808954984676,0.0005096098032196149,0.0005227541179360671,0.0005262501766048506,0.0005041662489099605,0.0005048926568309479,0.0005153249496882751,0.0004906697363181078,0.0004779624899716417,0.00047889939349771675,0.000506792650967733,0.0005038732676944792,0.0005089526491099508,0.0005191482848951607,0.0005061184784738674,0.000524054614545721,0.0004926996020483313,0.0005069318947130831,0.0004974096481214959,0.0005147310288502937,0.0004896679729973412,0.0005284886785591525,0.0005386842684343306,0.0005193528034128967,0.0004902380853817716,0.0004896773572430451,0.00048422661830333706,0.0005266129858956014,0.0004960398932140227,0.0004805484593558209,0.000514651453090654,0.0005068137246003001,0.0005152822295518745,0.0005171468961654226,0.0005234425323907878,0.0004858518393388302,0.0004859264251595716,0.0005004207349785965,0.0005660565614907599,0.000519927653990338,0.0005266659697930671,0.0004928911256436413,0.0004821045378823413,0.0004946153697374128,0.0005099322695499637,0.0004932895905477183,0.0005007903625090006,0.000532954546692465
SRR9224071,0.0005132120990246839,0.0005182740974632149,0.0005190213515568934,0.0004897832385034243,0.0004456635506710601,0.0004813038067982912,0.000526349887990253,0.0005005784708649823,0.0005266573044882527,0.0005192929961388664,0.0004971100890910883,0.0005035103816185118,0.0005005353657090418,0.00048384263994572614,0.00045727534165184596,0.0004693500804183449,0.0004972944766554558,0.000491031580216238,0.0004971889911240819,0.0005234997277564969,0.0005063366168767967,0.000532011893906037,0.00047992741665334437,0.0004940554769096701,0.0004991677960168839,0.0005113582124647646,0.00048459601648776125,0.0005169514742769959,0.0005389929277516324,0.0005167034927981861,0.00047246572858271373,0.0004689381962044922,0.0004771931895916189,0.0005214881656332302,0.0004978148500425868,0.000472176167188578,0.0005094453059671527,0.0004898673679900863,0.0005083570159443271,0.0005015331434075846,0.0005077313583228782,0.00048065364722821167,0.00046940048103156855,0.0004882575911413482,0.0005561077885536543,0.0005211787903923387,0.0005185094129020087,0.0004902491650063664,0.0004732604647362714,0.00047542661297341615,0.000510667166115547,0.0004932107130664155,0.0004915020938082652,0.0005255417247213199
SRR9224073,0.0005051361100390471,0.0005024193055602422,0.0004934628580459499,0.0004751867138517878,0.000496389004482045,0.0004190691862472669,0.0005019497552995532,0.00047881779444824957,0.0005052225181226775,0.0005001612046700155,0.00046858109238637446,0.00047806255284123516,0.00048437978022300036,0.00046243200860622064,0.00044191294309852433,0.00045186034769725646,0.00047926712747198204,0.0004718475287486107,0.0004808763646888513,0.0005035921403263384,0.000490926926982895,0.0004996688658703326,0.00045477938916533965,0.00047513977386537143,0.00047465541999917844,0.0004890112882097248,0.0004592514237186418,0.0005004481138788756,0.0005035342323498116,0.0004937689446363533,0.00045713324673930317,0.0004490101143426643,0.00045635151396651347,0.0004953797674559,0.0004701187338476589,0.0004521493203245949,0.00048621295481743353,0.00047389116944990213,0.000488632628207997,0.0004827826227910143,0.0004886797027027847,0.0004543483177087142,0.0004533145056370475,0.00047429178102164493,0.0005452429572169562,0.00048418579405988717,0.0004968976962895172,0.00046188106337627746,0.0004516054927006873,0.00045887399263310386,0.0004823832395954738,0.0004666592048239577,0.00046865134126454467,0.0005129637367655708
SRR9224074,0.0005506812020686573,0.0005268496377067768,0.0005319479997633787,0.000514286125412435,0.0005322511936391529,0.0004930733125668245,0.0004872392209778181,0.0005212106352482167,0.0005302453942196359,0.0005427655362091322,0.0005110008212742713,0.0005152662004892295,0.000521062862400827,0.0004988249076061644,0.0004760112981476519,0.0004873758691886552,0.0005107687746194719,0.000514154273390136,0.0005216177883374434,0.0005343623246449269,0.0005298644169537044,0.0005479728857227509,0.000501075042493029,0.0005223661486642833,0.000506532692756889,0.0005271732888839046,0.0004968367092915037,0.0005321124137326403,0.0005504960395217153,0.0005370637185852752,0.0004925533140952421,0.00048689040233005157,0.0004964355173772385,0.0005407565734809693,0.0005062231280977808,0.0004927569317565532,0.0005211341307924993,0.0005122921151141538,0.0005225960903093495,0.0005311105034555056,0.0005297508815930067,0.0004955994425134584,0.0004913066189255779,0.0005083294416649597,0.0005938805168476081,0.0005401624181327055,0.000535853351254082,0.0005042829740466106,0.0004886280933247487,0.0004972835481999045,0.0005273513287548068,0.0005048854341460835,0.0005169779733440876,0.0005450676687315005
SRR9224019c,0.0005226605141340226,0.0005078495752622072,0.0005127442979908984,0.0004873604916380477,0.0005026717859383066,0.0004667257524678538,0.0005171960463648865,0.000434937563881058,0.0005134410037968106,0.0005149490493064858,0.0004813408197951751,0.0004854313314733655,0.00048271574479461914,0.0004750514892712409,0.0004516480677434932,0.0004594585458578163,0.0004926299836021189,0.00048687762944322376,0.0005031717661195495,0.0005120188307196992,0.0004982146468958344,0.0005128129082195451,0.0004662039694925252,0.00048515187640537017,0.0004829335946493504,0.00050210880002186,0.00047208902192880927,0.0005051402087175856,0.0005257327010718373,0.0005094898542478157,0.0004651988741023709,0.00046120267564492176,0.0004677039728349854,0.000514962218833487,0.0004785556432438179,0.0004560784795026967,0.0004869992393866262,0.0004777740031579799,0.0004926941090161699,0.0004958163883223904,0.0004969207508598168,0.0004658087528201526,0.00046276147949476134,0.0004800280097135949,0.0005557323549114135,0.0005125210606820486,0.0005082828929191115,0.0004854548755164273,0.0004596550924805475,0.000466660632414036,0.0004905465592062734,0.0004830280076497246,0.00048499486384259705,0.0005213866722281826
SRR9224021,0.0005189545542903636,0.0005278876503087354,0.0005021912881889039,0.000488672027771115,0.000517491208450476,0.0004816338155231247,0.0005147998231779512,0.0005022999540139045,0.0004416622150212482,0.0005062283637173189,0.0004924203407561255,0.0004935811940051935,0.0004860367160365283,0.00047311657880981273,0.0004575010164856108,0.000459572973652565,0.0004937766040732025,0.0004953395062615581,0.000499469811534614,0.00052499904471814,0.000509153172588836,0.0005354219089707316,0.00048034838093507663,0.0004913463350118431,0.0004934189422105285,0.0005138419991273783,0.00047717338959991934,0.0005090616958500418,0.0005292685191795555,0.0005106076561660279,0.0004713554009006909,0.00046880442098915436,0.0004748063201640786,0.0005135135123397175,0.0004954706815005056,0.00045839713063821204,0.0005015385382182164,0.0004912187613316421,0.0005006133824277982,0.0005082307429089846,0.0004991369488493349,0.00046868777513791324,0.00047406823966236104,0.0004897182836336592,0.0005659135728753334,0.0005325111680491568,0.0005153832527986046,0.00048776430794065086,0.0004581642537585042,0.0004757198638260388,0.000492787805729591,0.0004855337209724202,0.0004945192724819733,0.0005290783759755004
SRR9224023,0.0005247806292229143,0.0005295100067094142,0.0005153420368107412,0.0005021600642908931,0.000520469284222112,0.00048613361117019624,0.0005367618379003282,0.0005140767195798141,0.0005159713365304701,0.0004667797175863126,0.0004950401421993556,0.0005062889631615389,0.0005076026729436038,0.0004885141334782053,0.00046739355181842486,0.0004783988583739947,0.0005145482525358345,0.0005070395865003291,0.0005182332534073438,0.0005307310725432726,0.000523794547865026,0.0005447332568470516,0.0004918238765887549,0.0005089248028307477,0.0004990826665617381,0.0005150609695388213,0.0004872457222079494,0.0005207429271282168,0.0005334331972436127,0.0005269522014272717,0.0004811246613176937,0.00048205345511157205,0.00048602759885759414,0.0005354427110498944,0.0005024792121212751,0.00048196739776151635,0.0005087123701716653,0.0004979973064760092,0.0005147351215978375,0.0005189217826739765,0.0005187442916548686,0.00048284858920030706,0.0004824655624528711,0.0004987021351472732,0.0005955878521169384,0.0005215896627346439,0.000525641291916406,0.0004959451628012238,0.00047429745141927494,0.0004844473866306853,0.0005019994753575988,0.0004970635704787901,0.0005023409466852421,0.0005310145855345742
