,SRR9224066,SRR9224068,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224020,SRR9224019c,SRR9224023,SRR9224026,SRR9224025,SRR9224018,SRR9224017,SRR9224403c,SRR9224404,SRR9224135,SRR9224462,SRR9224408,SRR9224401,SRR9224311,SRR9224293,SRR9224292,SRR9224291,SRR9224298,SRR9224297,SRR9224296,SRR9224295,SRR9224300,SRR9224299,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224168,SRR9224169,SRR9224113,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224249,SRR9224256,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224470,SRR9224471
SRR9224066,0.0032247706160880335,0.0033858381500579352,0.004310990025351488,0.00588443940292884,0.007081604455056037,0.007402842622088029,0.00772444688997759,0.008331762307452828,0.007860515416277388,0.007539727813823659,0.009549216397931295,0.009395649658874407,0.010163123221446822,0.008487938477148373,0.0077757222351003685,0.0070163435054973996,0.007685604867475926,0.009686864136876975,0.011968951157907881,0.011211844349301302,0.010111351078557035,0.009908671316756974,0.01485941184343733,0.015919397581624622,0.01576692641430393,0.016035749556198003,0.016073248970923323,0.015952557666501492,0.015880036972176,0.015772375383217657,0.016024723142113558,0.015647061782863472,0.015254253651068021,0.015202654649884885,0.01555189330215343,0.01605423829991485,0.01598990217526203,0.015633440188968888,0.01582602386686123,0.016029361437740672,0.01528534698977297,0.015301018175426092,0.014710481522617726,0.013894067844650967,0.015086170833649859,0.014373576573345192,0.014151253707301017,0.012172498442545233,0.012522914038127017,0.011858043692407389,0.011925951404761364,0.010610656101781742,0.012910235326229414,0.014922752535843069,0.014338967130282364,0.014959736657118992,0.01501884711160852,0.015533561274528018
SRR9224068,0.0033726947304060016,0.003275386701937931,0.0043249132018928025,0.005899799261268783,0.007105166547756981,0.007390741626334783,0.007713920440473063,0.008333245093800706,0.007873335891657651,0.007534506887592406,0.009547490283248606,0.009408964351720847,0.01014627249243009,0.00850105561911186,0.007782305021722033,0.007007822134036122,0.007682886426210901,0.00967189468159904,0.011948056819568708,0.011199262650839245,0.010077707832501656,0.009879917324601977,0.01486881860311975,0.01585915449022304,0.015713456210326906,0.015978810608932918,0.01600696550047775,0.015900750188041872,0.015836784053235377,0.015779262796478375,0.01597171109473078,0.015589713444589585,0.015200554608320815,0.01515331465615172,0.015502719576193254,0.015977197293486574,0.015926648186191245,0.015556053851147606,0.015766668263423426,0.015965069808904962,0.015253757086547302,0.015241558088618304,0.014655285177677942,0.013845826333095569,0.015037686859453196,0.014336085109805856,0.014111765435238429,0.012130592224561159,0.012472702447242094,0.01183895119893905,0.01189253816292549,0.010588389803136969,0.012879651268873728,0.01487014875147282,0.014295443176301258,0.014890161464729684,0.014985690511278606,0.015507196536213332
SRR9224069,0.004319900162640709,0.004350931393004963,0.004755340430852445,0.006160874396487748,0.007221176542633852,0.007447454402991837,0.00792320927631965,0.008225050468448139,0.00770980084301267,0.007683276839782785,0.009413343552415625,0.009168279200825337,0.009916031519107166,0.008557907427091059,0.007816455515134303,0.007127867487562912,0.007702297449967283,0.009293303912614568,0.01112258243769331,0.01056617888836289,0.009698864115070996,0.009525719803931465,0.012787343357807545,0.014305429093203837,0.014188811518106565,0.014412982621024722,0.014512376676883808,0.014196561886948903,0.014155036376220505,0.013940956647380822,0.014693327082348755,0.0143867360766927,0.013681595252885021,0.013857460187863792,0.01409799940772059,0.01455611952039906,0.014227921587440457,0.014144178408289873,0.014316083079768215,0.014620903192022649,0.014007978008406571,0.013882724434197302,0.013370721283083281,0.012713380419555269,0.013707697434495635,0.013123436042387027,0.013025211247799456,0.011356753770423606,0.011603610400277246,0.011018664738174876,0.011127516758023683,0.009945786409153288,0.011893154125421511,0.013552205303607756,0.013073191046368553,0.01332066625601166,0.013433402108721348,0.01408563521698168
SRR9224070,0.005424572001478397,0.0054584419130284815,0.005656497170868385,0.005842295665730624,0.007198057048253243,0.007253522998311171,0.007975696834225268,0.0078021873968735795,0.007500868436313871,0.007562803516706587,0.008824545947081238,0.008688923702286671,0.009122633694118426,0.008357473188644294,0.007626409671934489,0.006992747652858284,0.007462583242626502,0.00860218810609413,0.009715785987647454,0.009310430811393756,0.008781622163245175,0.008620394776410953,0.01049689838769411,0.011863676547155732,0.011744806383320027,0.011919171748526683,0.011917863401234198,0.011764083749015731,0.011796741500879468,0.011385059767672035,0.012175386649330242,0.012009008727294823,0.011379403059414246,0.01135614932406421,0.011610912754458781,0.012021313046295586,0.011751158091980698,0.011915114373029277,0.011687188781209239,0.012162908212127658,0.011765161333365295,0.011372521240605947,0.011143301011604854,0.010581006659800102,0.011305857956059403,0.010829469478249117,0.010949982878268262,0.009765340371582177,0.00989393470170906,0.009688029040623089,0.00959151090538909,0.009002027881520077,0.010193249506019315,0.011192576576853023,0.010959494561275162,0.01114544239686752,0.011088872604208473,0.011667373450835277
SRR9224071,0.006606941258697385,0.0066562354668332786,0.006726866288667942,0.0073273955315094775,0.007033250693567514,0.007820837837403623,0.008419861115072435,0.008279435390659558,0.008045458266405502,0.008032429063493482,0.009018491568417058,0.00887248137592526,0.009191439012731032,0.00873832779885785,0.008203877182626764,0.007494016747207149,0.007985927947690095,0.00882992141551228,0.009582160209952638,0.009259370207441152,0.00866629587127679,0.008758339992049424,0.010060119636172371,0.010869876964626945,0.010836916094561697,0.010980228300287167,0.010992071149694945,0.010794579291335383,0.010883036034247234,0.01069174403786184,0.011153755951073489,0.01106402543147847,0.010588792576893125,0.010587358413776107,0.01076944400362416,0.011005276894832612,0.010877896704054523,0.010896908507618926,0.010810957821921098,0.011100747209504505,0.010851359604032974,0.010604782202520749,0.010469287480180214,0.010004898087721825,0.010619921960611895,0.010212874443963429,0.010410940102653955,0.0094166712204908,0.009600954003194613,0.009488485415011533,0.009427914530703525,0.009019012165054043,0.009862332906516492,0.010445046094328052,0.010380436148330462,0.010465750334620067,0.01047117564984942,0.010820259723925297
SRR9224072,0.007210419683219612,0.007226294362570664,0.0072468048174304045,0.007725584331872973,0.008186347670282097,0.007398076730628376,0.00859086782424769,0.008498229702870775,0.008272766019971121,0.008286458961875517,0.009091565182437582,0.00898744712614261,0.009268696943277933,0.008840101515372338,0.008412829662293364,0.007766829491146036,0.008224408363902744,0.008959885945822593,0.009518558745975186,0.009320149371374228,0.008633965084916087,0.008860256983453559,0.009745549247977513,0.010506800437406212,0.010493402311472307,0.010556228498580122,0.010584631381470349,0.010288585601455567,0.010408210585287786,0.010230534123304548,0.010767987023054638,0.010692870261837923,0.010259309373910152,0.010394910022812114,0.010468745133795348,0.010658951658665906,0.010443254765260849,0.010379373903440157,0.01055185190295538,0.010683526564242651,0.010485090064689487,0.01039124879376114,0.0102748509474713,0.009872103514524567,0.010365058328932003,0.010074534383883093,0.010195247395240135,0.009306700614397267,0.009533381149438832,0.009489754736674969,0.009394494285934757,0.009050830665386284,0.009798356353477946,0.01027105051266567,0.010153265295253726,0.010078860200215008,0.010148013923984517,0.010511984663560724
SRR9224073,0.007160332344195065,0.007176016020422839,0.007337977714053256,0.008056867374607191,0.008365555828890921,0.008163491885146191,0.007522681209882897,0.008609979463756733,0.008587112214544024,0.00824018823139077,0.008954425132906103,0.009045794040890964,0.009082897738061639,0.008762392700705047,0.008549279356213635,0.007814997684445206,0.008306994086243826,0.009044846515315782,0.009595715122002656,0.00929018866638838,0.008533372877965779,0.008824499280407724,0.01038533699770694,0.010477980266149944,0.01043729200246449,0.010543682867376307,0.01046417529106863,0.010441365321020708,0.010525594515937924,0.010443898954494832,0.010441746677224329,0.010403558270643305,0.010289398226402135,0.01009879785431487,0.010288263925203883,0.010414716325379632,0.010532343673261037,0.010342422944109019,0.010289091044191663,0.010446963407841417,0.010310441348013552,0.010128590845087361,0.010140160200429333,0.009695373345271973,0.010201309264240623,0.009863691609718858,0.010037647515356447,0.009158542690773087,0.009461050403166816,0.00954494380119899,0.009320772567564469,0.009236884252746123,0.009772613602782643,0.010019989181301779,0.01008691495388664,0.010321123779001119,0.01017537867181056,0.010366530178221063
SRR9224074,0.007850731613557404,0.00788331472666802,0.007740051432409725,0.008033292977157025,0.008375958563227861,0.00820845401017307,0.00875939905299304,0.0075937384178391245,0.008339505509649979,0.008407920718076445,0.00897640127573407,0.008882998151609596,0.009065069766623699,0.008927019636077319,0.008515700942300827,0.007874885567901205,0.008296205549886295,0.008832055584179483,0.009083460805506547,0.008923491986138133,0.008363072740318295,0.008608258793238064,0.0089595882447096,0.009544468695429553,0.00953975384001646,0.009609457878211682,0.009624495613263798,0.009450762489658182,0.009556400618705689,0.009369005618037498,0.009761956526579825,0.009802866714159022,0.009413668101432467,0.00936821901132061,0.009492990281571663,0.009657457459498642,0.00945503824120375,0.009573689480066485,0.009455901988791177,0.009727164480149191,0.009683660055585182,0.009361002787249302,0.00940304273833166,0.009011204653799322,0.009415474373885523,0.009139072710834356,0.009450091743376412,0.008761046296289493,0.008906857472560956,0.009020754492471254,0.008871872576631626,0.00879738688118518,0.009190967236924424,0.00929576119850939,0.00938802545380432,0.009321117674240327,0.009346845999384684,0.009585803093099586
SRR9224020,0.007221404794360525,0.007261175463782784,0.007062404427440678,0.007495908544150112,0.007891326384110128,0.007755754406677593,0.008489991344773185,0.008085498380851229,0.007098704294310665,0.008125633127732282,0.008869550884581589,0.008643040743477647,0.008940585965288064,0.008701534157451778,0.008081140163402141,0.0075094311354469735,0.007865842444208066,0.008490445413550134,0.008861105038195913,0.008734358122276404,0.00838467940768015,0.008376138567331983,0.008827219624149991,0.009795797160158421,0.009735728065539625,0.009844663325334239,0.009976434459388046,0.009743556341297787,0.009758943192059423,0.009665004023671587,0.010118604785861672,0.010114413142757359,0.009573296587933884,0.009418958736247256,0.00965466178058029,0.009998032932718637,0.00979698136145969,0.009864370645746662,0.009549024719286732,0.010091321405327945,0.009935204425479802,0.00942760906797605,0.009467416313123304,0.009010841990868263,0.009489263077215601,0.009130045762317266,0.009526005649993523,0.008802097573792704,0.008845295101572087,0.008835713070317117,0.008684985897602705,0.008555121225059113,0.00908387529546205,0.009393198896121118,0.009427644227379342,0.009397998735369235,0.009356357982777216,0.009786629474638835
SRR9224019c,0.007328097657885741,0.007353025711255856,0.007460607005911613,0.008021788083432487,0.008384266802567524,0.008268298713716262,0.00865304612629201,0.008681289028187674,0.008631064996926235,0.007612159389444524,0.009085831407604553,0.009128461639233088,0.009225897936447954,0.008898569494279035,0.008610115276439238,0.007883866958927406,0.008402090869843813,0.009163784521239808,0.009657447818375239,0.009414750414666866,0.008599921717302887,0.008945261354894743,0.010266958571885657,0.010508771170925642,0.010532693074596798,0.010581915884471035,0.010584708275012216,0.010416796155978666,0.01051258843175906,0.010359269588389867,0.010651750104615745,0.010556628874002806,0.010343965274896349,0.010376834131051562,0.010447364825574611,0.010581722439609727,0.010530869232736023,0.010337096701424306,0.010520551407429406,0.010572012824472354,0.01040734680642347,0.010377764447296252,0.010293510797154546,0.009895211216383724,0.010378273692768114,0.01010165802747008,0.010174793695112764,0.009282782916367924,0.009596353864049336,0.009637332435855388,0.009503139426869686,0.009254022572044504,0.009885899870956501,0.010244706701916819,0.01020989394056104,0.01027805861150505,0.010272708625236644,0.010461879143568435
