,SRR9224066,SRR9224068,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224020,SRR9224019c,SRR9224023,SRR9224017,SRR9224403c,SRR9224404,SRR9224172,SRR9224135,SRR9224462,SRR9224408,SRR9224401,SRR9224311,SRR9224294,SRR9224293,SRR9224292,SRR9224291,SRR9224298,SRR9224297,SRR9224296,SRR9224295,SRR9224300,SRR9224299,SRR9224163,SRR9224165,SRR9224166,SRR9224159,SRR9224169,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224251,SRR9224250,SRR9224249,SRR9224256,SRR9224255,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224473,SRR9224470,SRR9224471
SRR9224066,0.0010169955550334716,0.001240051110309643,0.0009845209936556137,0.000994493211732945,0.0010143783136927795,0.0009856298254042634,0.0011750126719091718,0.0009991402843441818,0.0010731300443571146,0.001047541348668677,0.0011349888071754035,0.001287815113143308,0.0010191682332001278,0.0010096758549368986,0.0009741667007463127,0.0011404676149774607,0.0010015127118307326,0.0010041144832365569,0.0010942921066629248,0.0010710104075483454,0.0009462026698412588,0.0009573533739109743,0.0009787930647765996,0.0010472361968850926,0.001077101650293934,0.001009078158083993,0.0010554963032617,0.001011910106329997,0.0009759756722105272,0.0012379400319874952,0.0009662692271739528,0.0015127698610022003,0.0010700525292216736,0.001067373515959506,0.0010921107024595485,0.0011812672395489978,0.001070989430142855,0.001038277520906487,0.0010446138221302597,0.0011004764046908483,0.0010021998740967657,0.0010670690930950767,0.0010450456709853054,0.0009571262224366063,0.0009568579867064996,0.000986820897459065,0.0010266019331564664,0.0010076776376878973,0.0010349839686536147,0.0010268485101536133,0.0010644806611628688,0.001027541147673296,0.0011682731500227402,0.0010495794745776978,0.0010613369166252013,0.001149476334899626
SRR9224068,0.0012221337767993898,0.0011303279036335959,0.0011001496631685027,0.0011119110703986918,0.001133246276377345,0.0010984487472666328,0.0013013653470841944,0.0011178393716389263,0.0011869775575495285,0.0011723735229282645,0.001246441597150734,0.0014450067201593644,0.0011435864756506034,0.0011383545040216754,0.0010887548127989741,0.001298529486594342,0.0011210029186916842,0.0011233401578133353,0.001217207946878929,0.0011925431818582467,0.001066725428824643,0.0010595971464612468,0.0011029625158210322,0.0011923646002468997,0.0012024795040391555,0.0011458166009365924,0.0011483413322584497,0.0011350571256666586,0.0010849278229530836,0.0013531780813107511,0.001095665804961264,0.0016469497548365925,0.001197315426197544,0.0011911220541089467,0.0012150122784005519,0.0012951640109837602,0.0011882316542828932,0.0011686223570634962,0.0011702491958038984,0.00123715228475837,0.0011274456398335233,0.0011828776115367344,0.001166715983671728,0.0010715680725752665,0.0010778782682928632,0.0011135056641367726,0.001166998166460789,0.0011097007666691966,0.0011659871438789119,0.0011455602433877803,0.0012221561139511483,0.001171808571732657,0.0013068874174377147,0.0011615814462543504,0.0011806740930205963,0.0012781674417893503
SRR9224069,0.00104610388154742,0.0011791952143045028,0.0009160613324896532,0.0008499936369740526,0.0008899423818285934,0.0008898771277579538,0.0010251448696712209,0.0008656742719131148,0.0009300221103331723,0.0009494720110119928,0.0010209118805253657,0.0011555821918886539,0.0009746633598725594,0.0009126820662676945,0.000791885310641427,0.0009749789082309418,0.0008556862770485955,0.0008830520614735252,0.0010700173453375855,0.0009594666365022064,0.0007847372068877527,0.0008034207911345011,0.0008392462947289294,0.0009316568104240237,0.000942407541893689,0.0008596529606379395,0.0008869659751772654,0.000850987570765687,0.000831448628798676,0.00112359642663098,0.0008115728453545364,0.0013516520887006263,0.000977399105467503,0.0009403344173202718,0.0009893473734962513,0.0010980023586968362,0.0009610656449705394,0.0009639686481181635,0.0009341553721399467,0.001011908695413467,0.0008728407862548039,0.0009828320206141917,0.0009461382539081125,0.0007954134720153581,0.000800465807841715,0.0008694323863368311,0.000930620426751762,0.0008199493925329017,0.0008980735134340434,0.0008943618796951998,0.0009878941262729196,0.000900553975340044,0.0010058084668971927,0.0008942520318388757,0.0009159950749771294,0.0010076296026507903
SRR9224070,0.0010107390575626,0.001143155085506412,0.0008111391922028113,0.0007796855004050581,0.0008264598709751896,0.0007955862013782638,0.0010054576610596462,0.0008073444847111218,0.0008838083508888489,0.0008746230368260472,0.0009785404656952844,0.0011038648743093816,0.0008407609278667466,0.0008270063346525928,0.0007595164852855526,0.0009313811673111745,0.000790304644409458,0.0007955535259286178,0.0009423874835122054,0.0008856594083437102,0.0007288797372847936,0.0007441791753085415,0.000773527469608684,0.0008589743328420969,0.0008713495835311868,0.000794472841059413,0.0008370065301627282,0.0007975925837098351,0.0007624184894332342,0.0010524189926752572,0.0007649504869304825,0.0012785040906919656,0.0008775691441324572,0.0008694027247505219,0.0009002371885858082,0.0009766288973533479,0.0008615446636744772,0.0008299266592128903,0.0008484799432072174,0.0008763828052637519,0.0008062309094571696,0.0008747498901706433,0.0008249131362462215,0.0007479548508050318,0.0007256272176003333,0.000782441769110164,0.0008339844943496285,0.0007845692461000486,0.000841830697791785,0.0008078335724354289,0.0008537052626806357,0.0008226407438199729,0.0009486247368402539,0.0008460649401230323,0.0008594153349186965,0.00093261606874619
SRR9224071,0.001027700987148207,0.0011613524383516836,0.0008467144072270562,0.0008232922078863177,0.0008115840206502023,0.0008208833277130964,0.0010239226416769633,0.0008434686668782035,0.0009056541987067562,0.0008983273243010079,0.001002829081822775,0.0011181489195761806,0.0008630017484858203,0.0008604594181686519,0.0007894292373055469,0.0009612815418097404,0.0008142241022088511,0.0008245652014222541,0.0009569864540519204,0.0009051197373630841,0.0007586196964417755,0.0007839651881615392,0.0007947912374281379,0.0008798502534623088,0.0009012914378106595,0.0008310493027393753,0.0008617808377729276,0.0008335500193902636,0.0007865188060418446,0.0010658417656899787,0.0007968903467273394,0.0012596823346661522,0.000892677099883355,0.0008876524826294216,0.0009158977070499053,0.0009928554008021098,0.0008847377296688006,0.0008507080951507309,0.0008682800500345979,0.0008952226838694313,0.0008316315323817579,0.0008895729513370851,0.0008471457541784792,0.0007731955408115017,0.0007640724039675493,0.0008150566414795044,0.0008555107259798053,0.0008128945725874824,0.0008689521192366859,0.0008334413673354947,0.0008748971078022024,0.0008556467102025578,0.000964649986892534,0.0008618690078400044,0.000873301611663892,0.0009605807144807694
SRR9224072,0.001041119923745609,0.0011692441867609425,0.0008848174099162326,0.0008299895899879144,0.0008591959374794165,0.0008733338469862138,0.001003883818261716,0.0008378517809833578,0.0008874453479141765,0.0009213733068839877,0.0009900370113967352,0.0011301727931780946,0.0009394065447318535,0.0008855602887094957,0.0007576182875941364,0.0009367379399553278,0.0008167667752670958,0.0008450100061311555,0.0010313478385178937,0.0009289491270081495,0.0007436980397084303,0.0007566057697268058,0.0007959474766152322,0.0008849478609163874,0.0008973296555116186,0.0008212915580844184,0.0008333148867590844,0.0008130736716535164,0.0007868648249630345,0.0010783531348192207,0.0007684968387341272,0.0012846367282133685,0.0009242791363831731,0.0008966555635081776,0.000933343847722497,0.001050151328295139,0.0009243479912093649,0.0009127812227154595,0.0008932869498467411,0.0009607988433053614,0.0008363765529777093,0.0009477624463143142,0.0009039767122032033,0.0007544182815005098,0.0007619692036545979,0.0008294437812878233,0.0008879485133494777,0.0007826543725720709,0.0008616160160944516,0.0008557693522190663,0.0009394936751459627,0.0008498888427424769,0.0009595476979347778,0.0008445428028577238,0.0008682068689985085,0.0009615781177593002
SRR9224073,0.001134455129923205,0.001274567205016802,0.0009377275218913632,0.000958524042971538,0.0009791800395273016,0.0009223951563610216,0.0009270036312924292,0.0009721320846847636,0.0010844484472494692,0.0009991514144026563,0.0011351382262425242,0.0013285677528558425,0.0009635280858039723,0.0009567949619583609,0.0009394880351732776,0.0011248737800799884,0.0009412945902591427,0.0009407818540218826,0.0010301753243003517,0.00102417340401208,0.0009008543176410151,0.0009068921386317817,0.0009141266927229273,0.0009965523960150375,0.001032176716893159,0.0009544118120477946,0.0009975236334134041,0.0009509579308837283,0.0009064550113915891,0.0011782307129190436,0.0009189805697105199,0.0015078885562926966,0.0010149695572285809,0.0010201772606991926,0.0010449757554562514,0.0011131649726101734,0.0010261577905366828,0.000966546179124517,0.0009842055596274541,0.001013631270759058,0.000957097375690719,0.0009928057560910394,0.0009733651000618743,0.000922135433489616,0.0009022635431300404,0.0009239292446181738,0.0009816636157709046,0.0009651119655622235,0.001014878437411699,0.0009739419945691563,0.0009879857436720953,0.0009879975083011406,0.001132405609306362,0.0010129952862011791,0.0010270835174059079,0.0010785848054062027
SRR9224074,0.0010222349676858678,0.0011543652520734718,0.0008314902719714296,0.0008126205867271767,0.0008526008109915616,0.0008082667425151006,0.0010248211378840334,0.000790817969522231,0.0008759963970024435,0.0008940246305443112,0.0010043961370788613,0.0011108666511306356,0.0008588702647505611,0.0008446432994464632,0.0007704108682705223,0.0009501745050115607,0.0008056870830067857,0.0008148172260996055,0.0009515418823265803,0.0009066746231147433,0.0007453074275056446,0.0007614775480439085,0.0007837401353035337,0.0008616388089507571,0.000892613239641,0.0008204942428842043,0.0008450745047372455,0.0008067338880925969,0.0007789182394832081,0.0010622542422465042,0.0007771073768199416,0.0012756621276903445,0.0008763284388719185,0.0008726138237872797,0.0008954990713700576,0.0009827316440699978,0.0008719173855713026,0.0008430176074659294,0.0008516300529976863,0.000879746521966266,0.0008192373378322395,0.0008943697973082895,0.0008415696998116919,0.0007584199434191611,0.0007432624497883838,0.0007981439070605781,0.0008414470274643217,0.0007921032735703704,0.0008634578537916164,0.0008233549427198659,0.0008667740617943052,0.0008308212189116789,0.0009630595134346242,0.0008476100920589896,0.0008632922520811064,0.0009602394939038493
SRR9224020,0.0010592528654412598,0.0011893887007890594,0.0008663271246055074,0.0008576833343898748,0.00088286111545245,0.0008280924186785922,0.0011054543646948532,0.0008441682093391628,0.0008186582082074192,0.0009375269656495824,0.001059499320851216,0.0011385475960619988,0.000885107156461756,0.000863040669933817,0.0008355321385537905,0.0009942557647386841,0.0008268890141112183,0.0008332835021492239,0.0009939435208662702,0.0009115220638261784,0.00080183309391479,0.0007989198407454332,0.0008202803539249476,0.0009004304550018795,0.0009204588484778965,0.0008472940695231858,0.0009079339253437701,0.0008581905903345153,0.0008304914338183527,0.0011060002475751544,0.0008354722642642465,0.001281892644085132,0.0009046137933531746,0.000908425048924538,0.0009172185574774196,0.0009952427169531825,0.0009032319800479369,0.0008589699154919811,0.0008835698240711921,0.0008934644832455417,0.0008624260291446386,0.0009217047945493282,0.0008616181950036367,0.0008042210077703124,0.0007841895208453469,0.0008325816574734508,0.0008549802237037774,0.0008414347523571114,0.0008988571681068094,0.0008553393784404629,0.0009033670661125519,0.0008783421967315811,0.001002220878468158,0.00089575503929182,0.0008978786820447144,0.0009675178813647297
SRR9224019c,0.0010732226393487473,0.00121204932066234,0.0009130602148597648,0.0008808159714609881,0.0009084328646751865,0.0008898907748422266,0.0010580040759934882,0.0008946351457984608,0.0009707308236506173,0.0009161424421397181,0.0010241157863294618,0.001208983774235225,0.0009272840492378933,0.0009243330662073114,0.0008365569798197434,0.0010298915665108452,0.0008828187433162267,0.0008912685605686263,0.00101535580958586,0.000979330037692491,0.0008222662549152352,0.0008355139387925752,0.0008507932997514722,0.0009446320546213573,0.0009545535118258664,0.0008745411852058014,0.0009040011983174301,0.0008752392996315532,0.0008347097082266231,0.0011090181583241097,0.0008429957450513604,0.001388546419402635,0.0009529549442860049,0.0009488652259929398,0.0009707309808942711,0.0010662150437049723,0.0009623295507251142,0.0009256825770698514,0.0009309578136292387,0.0009759376498427064,0.0008819592555187282,0.0009663899061849233,0.0009304519520132326,0.0008284660677642571,0.0008237578754060842,0.0008785303923172875,0.0009302569341829209,0.000876751424153281,0.0009280728660241485,0.0008989320168282645,0.0009485244277763872,0.0009054173838898972,0.0010393918679341592,0.0009196833846194634,0.000928916697583453,0.0010238291637720538
