,SRR9224065,SRR9224066,SRR9224067,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224019c,SRR9224021,SRR9224023,SRR9224026,SRR9224025,SRR9224018,SRR9224403c,SRR9224404,SRR9224172,SRR9224135,SRR9224294,SRR9224298,SRR9224297,SRR9224296,SRR9224295,SRR9224300,SRR9224163,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224162,SRR9224168,SRR9224169,SRR9224113,SRR9224114,SRR9224487,SRR9224111,SRR9224258,SRR9224257,SRR9224472,SRR9224473,SRR9224470,SRR9224471
SRR9224065,0.0005313234245249365,0.0006315211420484599,0.0006426168025649398,0.0005633230467811411,0.000521242717138682,0.0005170930387483569,0.0006162206997307973,0.000568515156415673,0.0009038394411101455,0.000517484938823254,0.000552895824271376,0.0005536793490064293,0.0005377090169401348,0.0005080341946903797,0.0005491837288713978,0.0005199851566941218,0.0005544005147349849,0.0005302665348774363,0.0005821972110944655,0.0005344711078129313,0.0005934091199489862,0.0005224247655849651,0.0005713771915592957,0.0005520330165783024,0.0005138879163713723,0.0005484303398300613,0.0005309877802604835,0.0005292052661768612,0.0005559716140530176,0.0005696859351550233,0.0005086375100833053,0.000507974662409079,0.0005097752019220098,0.0005299505140254828,0.0005315786386100949,0.0004856177069686745,0.0005484190522446262,0.0005775875112464506,0.0005666342725686916,0.0006143645908767092,0.0005236543444971255,0.0005248360370892819,0.000575970112787474,0.0005640390719402969,0.0005323267436148248
SRR9224066,0.0006278622884140425,0.0005385104394333527,0.0006440147576549793,0.0005610596340133753,0.0005194535784884087,0.0005164582452398356,0.0006451033286182489,0.0005766945360592432,0.0008917666560180591,0.0005254631134441512,0.0005629894954498486,0.0005548363406164027,0.0005500090743359288,0.0005182536896468559,0.0005726853556391526,0.0005375610363914953,0.0005735952959974417,0.000531773770606569,0.0005789044622283362,0.0005283258785026188,0.0005931677308604763,0.000528266465077796,0.0005762786611301072,0.0005674311309855219,0.000514954825990302,0.0005515632963247503,0.0005371524771771929,0.0005269376708089762,0.000558824532869834,0.0005536304920422785,0.0005026526319216003,0.0005136632536867637,0.0005114468815281501,0.0005352355318608123,0.00053393060750249,0.00048536108769928703,0.0005493198948433629,0.0005985862082651034,0.0005849007273641954,0.0005929661579368573,0.0005374991155641897,0.0005373971268155155,0.0005988155380360216,0.0005661091750600562,0.0005432443026381769
SRR9224067,0.0006383481061840282,0.0006422662828428678,0.0005461972790504201,0.0005882076960054621,0.0005463543856478477,0.0005391889835790601,0.0006412222546437034,0.0006009218909153958,0.0009223532081857425,0.0005324242748355454,0.000581375600605051,0.0005729565330114627,0.0005523042719001154,0.0005222010180972343,0.0005657762942893489,0.0005248090463651896,0.0005706680767439349,0.0005575479304775906,0.0006137015309767337,0.0005534738393317462,0.0006056448583567057,0.0005413038750465391,0.0005872155308543967,0.0005799771919919635,0.0005361522361384761,0.0005753594512145188,0.0005516404975858032,0.0005565497667984114,0.0005745216601704791,0.0005911689706545283,0.0005287968100854878,0.0005410612054577134,0.0005274716726054962,0.0005515428894183931,0.0005648428373240827,0.0005035142923891609,0.0005676335257932915,0.000602455499961396,0.0005999033755451568,0.0006259886359595531,0.0005510996579257785,0.000549184961330166,0.0006210387782609184,0.0005817427406100839,0.0005548392260546
SRR9224069,0.0005842310409691311,0.00058640186127598,0.0006141213371523092,0.0004888064363022685,0.0005016297438511362,0.0004991996151564743,0.0005898100438132737,0.0005553889498896838,0.000882295808709327,0.0004966077155135457,0.0005337967108647004,0.0005307429303060423,0.0005187584157627799,0.00048679934979030826,0.0005294799971248503,0.0004885549245297312,0.0005383648008384753,0.0005144705424042155,0.0005548534890875903,0.0005216830551244141,0.0005719207373793927,0.0005022895664071155,0.0005526990893215737,0.0005256861565343537,0.0004908834422744104,0.0005344542289357746,0.0005133337870286333,0.0005100231692389411,0.0005271134477803451,0.0005342908862504379,0.00048805885366456025,0.0004934355790284257,0.0004929862045927618,0.0005157981792466457,0.0005136713779031291,0.00046798182832948564,0.0005253160095536456,0.0005766171962276046,0.0005527698075264059,0.0005803087892066618,0.0005130225710892153,0.000514103634183084,0.0005651401587120111,0.0005384792774263758,0.0005176280535411092
SRR9224070,0.0005500125391892942,0.0005514785930633056,0.0005798952549702516,0.0005108474599485292,0.0004430908921073034,0.0004762877046551191,0.0005599093082174006,0.0005257430521116897,0.0008560163305530907,0.000473036777733839,0.0005039931305497291,0.0005023902440570327,0.0004934053786632885,0.000463802021278505,0.0005022498392324071,0.0004666049995899529,0.0005072299337003742,0.00048696429103082937,0.0005192675728077275,0.00048670017958675656,0.0005296497871257898,0.0004758402486250565,0.0005280813177437402,0.0004982440567763924,0.00046507613129359793,0.00050281577914478,0.00048770442716980186,0.00048188364033128025,0.000498126948266837,0.0005087085963725036,0.00046743815373451197,0.0004721663575312038,0.0004687546408752545,0.00048789915377879945,0.0004873386138138873,0.00044677251831917893,0.0005032419446912011,0.0005408181862409408,0.0005300304677879512,0.0005520333783639183,0.00047685854389791567,0.00048105954958804076,0.0005200413443875981,0.0005042418113249738,0.0004928138896100904
SRR9224071,0.0005553866176751262,0.0005576106228383449,0.0005827401876685152,0.0005181378417612705,0.0004858114433442036,0.0004613725118505884,0.0005678050575984793,0.0005275625500657354,0.0008659271997640643,0.00048810120128862076,0.0005088051758339242,0.0005094922560789265,0.0005026566324992487,0.0004800964432669186,0.0005070709892129135,0.00048242084372425865,0.0005124476791586646,0.0004968381640641621,0.0005327378745242923,0.0004904798321148567,0.0005447145274963984,0.000484656071065912,0.0005340327531402996,0.0005049416278859297,0.00047462670840605004,0.000512346329147991,0.000503977843118383,0.000489469349779015,0.0005044333335357213,0.0005186932596346892,0.000481067818705507,0.0004793086770241525,0.00048752198781746377,0.0004966837541940525,0.0004942306141088686,0.0004621678180797745,0.0005109394058990345,0.0005443690622326639,0.0005357067092667715,0.0005662873008010435,0.0004874890028476892,0.0004889078854859705,0.0005270373609788516,0.0005103370564641166,0.0005000622736812849
SRR9224072,0.0006134045150969295,0.0006449180874121996,0.0006420893971282582,0.0005647628310653026,0.0005275552027272234,0.0005266968183785731,0.0005060150693015886,0.0005871253878462261,0.0009077316783671374,0.0005205665572269514,0.0005611361911560939,0.0005584507039291976,0.0005468310424143979,0.0005079110733434012,0.0005631663973052379,0.0005183783303069328,0.0005660184174762802,0.0005420116148090921,0.0005845259621324431,0.0005571026315787436,0.0006081665015492801,0.0005306703221148638,0.0005710551012593962,0.0005571665826424917,0.0005190884904636213,0.0005641945655974191,0.0005397348504989815,0.0005362322546078424,0.0005730095451731107,0.0005665220535251624,0.0005156066327702163,0.0005225953981142299,0.0005176304742451377,0.0005448380013381107,0.0005426446937268762,0.0004931544064020956,0.0005613453906836263,0.0005695281628856209,0.0005851195158623001,0.0006149941955496316,0.0005415711583898061,0.0005392558613209646,0.0005880305410975578,0.0005704253312019688,0.0005508564902699731
SRR9224073,0.0005781036462976213,0.0005906655246408732,0.0006149672441842928,0.0005441027033535196,0.0005063307151228014,0.0004981734093344462,0.0006013082051583219,0.0004874190977437217,0.0008852204377823528,0.000498413628254409,0.0005379997761251537,0.0005349509610862447,0.000520211877105429,0.0004866448292021638,0.0005317919812442998,0.000491928284504784,0.0005404544323844102,0.0005173505664471571,0.0005592813699652017,0.0005186603757385352,0.0005735334496410898,0.0005062492066422084,0.0005595939402527226,0.0005453809504556141,0.0004984382722064386,0.0005424968325093086,0.0005148608836209236,0.0005099354526781326,0.0005274307157425756,0.000539933719152409,0.0004926984268900448,0.0004986800707687754,0.0004936595935014618,0.0005197743764452443,0.0005174672925712795,0.00046807332436930697,0.0005422662769712065,0.0005758737608947241,0.0005602261212819924,0.000592050067963788,0.000511090501446849,0.0005119879098954757,0.0005731285160024658,0.0005438390442919348,0.0005230136086027302
SRR9224074,0.0009149173060896199,0.0009109827185528838,0.0009402810765857868,0.0008635815732573608,0.0008220469266123744,0.0008150529527312645,0.0009277538722819139,0.0008833402727875484,0.001061294677912565,0.0008020875098820529,0.0008550301092801454,0.000855173295524153,0.000837201492571824,0.0007979584689806653,0.0008515023207947046,0.0007963510960070627,0.0008528876215132008,0.0008381610669872926,0.0008843299652588917,0.000844625304380076,0.0008810485489371061,0.0008244631506098489,0.0008759354024769703,0.000861631022431352,0.0008182948341332591,0.0008574822140424755,0.0008251730626754996,0.0008343719140144149,0.0008581774567076449,0.0008747932365417812,0.000798639234132803,0.0008160588724935986,0.0007991324138704038,0.0008373495568233441,0.0008407285139973909,0.0007756060136883317,0.000853370017238278,0.0009219814941629372,0.0008821652113313282,0.0009038107106435309,0.0008265363793260822,0.0008341803903365081,0.0008924963186231113,0.000876567846475122,0.0008413062305703442
SRR9224019c,0.0005760851897473994,0.000586830822531175,0.0005969830794981957,0.0005368055297436205,0.0005030038716438357,0.0005092440671358331,0.0005825117697726389,0.0005484553194089608,0.0008861157572604792,0.0005755275849073445,0.0005272076203096044,0.00052855443690706,0.0005296124507386132,0.0005302805870616708,0.0005277688496575156,0.0005481807068535901,0.0005349347390743639,0.000515053790920605,0.0005447914426471007,0.000507569173506971,0.0005622598264050689,0.0005042140473463548,0.000550283537733801,0.000520455572304375,0.0004967176524930346,0.0005296060965137247,0.0005363073426919991,0.0005151175418514329,0.0005201182055967086,0.0005296216755448552,0.0005311292717819803,0.0005022522411826934,0.0005461333063724427,0.0005173138717968244,0.0005122650702262375,0.0005263707888912072,0.0005257827740103525,0.0005653298682124812,0.0005552728199569047,0.000576840240575437,0.0005024303149635987,0.0005065924846894982,0.000541362426635592,0.0005276001950307496,0.0005244420545291868
