study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	read_count	fastq_ftp	submitted_ftp	sra_ftp	sample_alias
PRJNA389280	SAMN07424315	SRX3106652	SRR5947807	408170	human gut metagenome	20447552	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947807/SRR5947807.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947807/SRR5947807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947807/SRR5947807_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/007/SRR5947807	G80036
PRJNA389280	SAMN07424316	SRX3106651	SRR5947808	408170	human gut metagenome	21041142	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947808/SRR5947808.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947808/SRR5947808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947808/SRR5947808_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/008/SRR5947808	G80041
PRJNA389280	SAMN07424260	SRX3106650	SRR5947809	408170	human gut metagenome	17711746	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947809/SRR5947809.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947809/SRR5947809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947809/SRR5947809_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/009/SRR5947809	G79908
PRJNA389280	SAMN07424322	SRX3106649	SRR5947810	408170	human gut metagenome	18670021	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947810/SRR5947810.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947810/SRR5947810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947810/SRR5947810_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/000/SRR5947810	G80054
PRJNA389280	SAMN07424321	SRX3106648	SRR5947811	408170	human gut metagenome	11598763	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947811/SRR5947811.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947811/SRR5947811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947811/SRR5947811_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/001/SRR5947811	G80053
PRJNA389280	SAMN07424252	SRX3106647	SRR5947812	408170	human gut metagenome	12228212	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947812/SRR5947812.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947812/SRR5947812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947812/SRR5947812_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/002/SRR5947812	G79888
PRJNA389280	SAMN07424251	SRX3106646	SRR5947813	408170	human gut metagenome	19755484	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947813/SRR5947813.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947813/SRR5947813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947813/SRR5947813_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/003/SRR5947813	G79887
PRJNA389280	SAMN07424254	SRX3106645	SRR5947814	408170	human gut metagenome	11870506	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947814/SRR5947814.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947814/SRR5947814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947814/SRR5947814_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/004/SRR5947814	G79893
PRJNA389280	SAMN07424253	SRX3106644	SRR5947815	408170	human gut metagenome	16219110	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947815/SRR5947815.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947815/SRR5947815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947815/SRR5947815_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/005/SRR5947815	G79890
PRJNA389280	SAMN07424256	SRX3106643	SRR5947816	408170	human gut metagenome	13024442	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947816/SRR5947816.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947816/SRR5947816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947816/SRR5947816_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/006/SRR5947816	G79902
