species,slm,adf
Alistipes putredinis,0.3554257195403813,0.00015640950551230735
Bacteroides clarus,0.0012611155879973,0.0017852095761081235
Phocaeicola massiliensis,6.114221413486633e-11,0.00024108267072210453
Bacteroides uniformis,0.318773393271777,8.128751587794607e-05
Phocaeicola vulgatus,0.2947227181381574,1.1830700584344623e-05
Bacteroides xylanisolvens,0.0581301150503016,1.821290863777444e-05
Barnesiella intestinihominis,0.0712871791733278,0.9989960971136662
Eubacterium rectale,0.2204860949749603,0.052454156726970735
Paraprevotella clara,0.1175166452350193,2.1337897210957028e-05
Ruminococcus bromii,0.2650259152973616,0.003397571537124202
Sutterella wadsworthensis,0.412209349561525,8.370190226878373e-10
