species,slm,adf
Bacteroides fragilis,0.1976350741797463,0.3576553074724348
Bacteroides ovatus,0.7824328845421045,0.014241748265943823
Bacteroides uniformis,0.602811020753786,2.8928894752876297e-12
Bacteroides xylanisolvens,0.1076963818134144,0.016461636476911866
Bifidobacterium adolescentis,0.9614977721831856,0.10391769454070854
Dialister invisus,0.1970433750904781,3.9602188314481506e-05
Lachnospira eligens,0.615960654833063,9.176237225962293e-12
Eubacterium rectale,0.1277367053248893,1.1419823399871276e-10
Faecalibacterium prausnitzii (61481),0.6655098292656898,0.15594383664695427
Faecalibacterium prausnitzii (62201),0.4033005176547224,5.393214068871309e-09
Parabacteroides distasonis,0.539749350395557,0.01600542360236563
Ruminococcus bicirculans,0.580338197474811,3.562595072636978e-08
