run_accession,read_count,host,collection_date
SRR9224432,9235676,ae,2014-10-15
SRR9224402,7636359,ae,2014-10-16
SRR9224395,7289875,ae,2014-10-17
SRR9224396,7953992,ae,2014-10-19
SRR9224393,10437238,ae,2014-10-20
SRR9224394,7434237,ae,2014-10-22
SRR9224399,10168227,ae,2014-10-23
SRR9224400,8239121,ae,2014-10-27
SRR9224397,6789454,ae,2014-10-28
SRR9224398,10264543,ae,2014-10-30
SRR9224391,7600396,ae,2014-10-31
SRR9224392,11463974,ae,2014-11-03
SRR9224482,7682445,ae,2014-11-05
SRR9224481,8648784,ae,2014-11-07
SRR9224480,8569517,ae,2014-11-08
SRR9224479,14361698,ae,2014-11-09
SRR9224486,8625851,ae,2014-11-12
SRR9224485,13026992,ae,2014-11-13
SRR9224484,14160384,ae,2014-11-15
SRR9224483,10604127,ae,2014-11-17
SRR9224489,9403969,ae,2014-11-18
SRR9224093c,16707513,ae,2014-11-19
SRR9224094,10452133,ae,2014-11-21
SRR9224095,10013225,ae,2014-11-25
SRR9224096,6518269,ae,2014-12-01
SRR9224089,6511383,ae,2014-12-02
SRR9224090,7378998,ae,2014-12-03
SRR9224091,8714505,ae,2014-12-04
SRR9224092,12489472,ae,2014-12-05
SRR9224087,5133459,ae,2014-12-08
SRR9224088,4338031,ae,2014-12-09
SRR9224179,5784953,ae,2014-12-12
SRR9224178,3578540,ae,2015-01-22
SRR9224181,302974,ae,2015-01-29
SRR9224180,3201658,ae,2015-02-03
SRR9224175,4901985,ae,2015-02-04
SRR9224174,5851074,ae,2015-02-11
SRR9224177,5856927,ae,2015-02-13
SRR9224176,9718408,ae,2015-02-17
SRR9224183,9477557,ae,2015-02-20
SRR9224182,5195974,ae,2015-02-26
SRR9224307,6764845,ae,2015-03-09
SRR9224308,6315321,ae,2015-03-14
SRR9224305,6007029,ae,2015-03-23
SRR9224306,5452980,ae,2015-03-24
SRR9224303,3493791,ae,2015-03-26
SRR9224304,3219827,ae,2015-03-27
SRR9224301,2522103,ae,2015-03-31
SRR9224302,4956059,ae,2015-04-14
SRR9224309,5040419,ae,2015-04-15
SRR9224310,5768738,ae,2015-04-16
SRR9224420,1699284,ae,2015-04-21
SRR9224419,5836756,ae,2015-04-22
SRR9224418,8522040,ae,2015-04-23
SRR9224417,10354579,ae,2015-04-28
SRR9224416,5672602,ae,2015-04-29
SRR9224415,8388274,ae,2015-05-01
SRR9224414,3214510,ae,2015-05-04
SRR9224357,5898753,am,2014-12-03
SRR9224359c,10259007,am,2014-12-04
SRR9224362,4477227,am,2014-12-05
SRR9224245,4627750,am,2014-12-08
SRR9224364,5911123,am,2014-12-09
SRR9224363c,18205754,am,2014-12-10
SRR9224365,7052253,am,2014-12-12
SRR9224525,9020961,am,2014-12-13
SRR9224526,7256105,am,2014-12-15
SRR9224523c,11793539,am,2014-12-16
SRR9224529c,14962374,am,2014-12-18
SRR9224527c,14645828,am,2014-12-19
SRR9224243c,8685799,am,2014-12-22
SRR9224329,6845896,am,2014-12-23
SRR9224328,9928522,am,2014-12-24
SRR9224122,10031174,am,2014-12-29
SRR9224117,6870417,am,2014-12-30
SRR9224156,3367915,am,2015-01-05
SRR9224344,8867319,am,2015-01-07
SRR9224171c,22252296,am,2015-01-08
SRR9224316,8477575,am,2015-01-09
SRR9224315,6399226,am,2015-01-10
SRR9224541,8571661,am,2015-01-12
SRR9224542,9270404,am,2015-01-13
SRR9224539,6520287,am,2015-01-22
SRR9224540,8181126,am,2015-03-14
SRR9224491,5507764,am,2015-03-17
SRR9224229c,11100322,am,2015-03-18
SRR9224230,4728464,am,2015-03-19
