,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224322,SRR9224325,SRR9224324,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224005,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224560,SRR9224561,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224240,SRR9224238,SRR9224237,SRR9224236,SRR9224235,SRR9224234
Bacteroides_clarus_62282_A,0.0457210642132,0.0415700591995,0.0425479029715,,0.029734359171700003,0.0546969838064,,,0.0371719271771,,0.025371876747099998,,0.042476169868400006,,0.0290177012896,0.0276192875188,0.0249330948423,0.0365041064578,0.0437709204617,0.0245854946639,0.0624055482787,0.033286847708299996,0.0688141872386,0.08778577526669999,0.028385700164299997,0.0225361321807,,,0.0451893841186,,,,0.020784434669200002,0.0335527463901,0.0535556868559,0.0524387425551,0.0642027660389,0.0299283223142,0.0329598508552,0.033410410724499996,0.0310337647873,0.0396658485441,0.053567094702500005,0.0709794972949,0.152889258985,0.11424646328600001,0.0803168150797,0.0537958769231,0.125227371998,0.05859308397059999,0.0730456258188,0.09728232886970001,0.039092458355,,0.0326124218053,0.0904914574066,0.105766705583,0.09775322604839999
Bacteroides_massiliensis_44749_A,0.0435738548833,0.0232041032351,,0.025343973130999998,0.026477995142999998,,,,0.0752800779703,0.06375073388869999,0.0576491031268,0.0266558949566,0.0514492563017,0.039260195817699996,0.059930888733199995,0.0711429224233,0.0490013245457,0.030669762177499997,0.0512571996167,0.0226556052438,0.0428952935883,0.074119300138,0.0788743476143,,0.0967421088272,0.06911524400230001,0.0780255067969,0.0775623602284,0.0541634859481,0.060068618827,0.09906536512910001,0.058107660421599996,0.0494301977945,0.0766818915362,0.0489456686625,0.0457787576944,0.06799395066769999,0.042858801151800005,0.0733813953597,0.0382935188111,0.0284929034876,0.0645360588281,0.0922604327229,0.020154446649799998,,0.0332937909178,0.0769231594513,0.0697154232115,0.0326980292302,0.0670098254153,0.0756177308386,0.0836134741294,0.0436978302984,0.026632265452400005,0.0721866941637,0.0607245876369,0.0429345863956,0.0468490135209
Paraprevotella_clara_33712_A,0.0213171884464,0.022904517743900003,0.0265730818935,0.014467892394,0.03933699048019999,0.014088163432200002,,0.028191908816999997,0.0224999929699,0.022425789621,0.0143190562288,,0.0203195034735,0.0226236425591,0.030819578280500002,0.0269743605461,0.0402736485364,0.0475822775179,0.026850404306400004,0.0554622968686,0.05061165766819999,0.0330268760055,0.032444779740400005,,0.020340146561900002,0.030587442632,0.0418514071686,0.036259752802499996,0.0634892400575,0.039488315347500004,0.0362892639155,0.0421188868023,0.043415666375900004,0.0193475711385,0.0261852368028,0.040525614600900005,0.031122175213299998,0.0467546446471,0.018550276671,0.0369290100443,0.0327881400975,0.0335862415641,0.018957635336799998,,0.0136932799322,0.021892236109799998,0.0243455565335,0.03547752179369999,0.026790354588900004,0.0157829749134,,,0.0236290194751,,0.0203957706482,0.0267991684902,0.0320857130905,0.045934131845500006
Bacteroides_xylanisolvens_57185_A,0.06449043142000001,0.0299387120393,0.058448645308,0.0215491763863,0.028171838082499998,0.019190720060700002,,0.0395729189545,0.07222773714589999,0.0328443421238,0.045044713054800005,,0.057941609638400005,0.043004938448099994,0.036346781507800005,0.032650198575,0.0410093089906,0.0538255246007,0.0465834559054,0.0377633659181,0.0946759148804,0.0635394891029,0.062470520388,,0.0315931959628,0.07400280993769999,0.0596091008809,0.060355817958000005,0.0672175223141,0.0306620082345,0.0372756709689,0.0528814682695,0.0835478096215,0.051526722466699995,0.0388428114152,0.0706420717265,0.07376634962560001,0.07265613082360001,0.05598989562559999,0.0517035823642,0.061244495948,0.047401909880599995,0.103022569584,0.13559909310999999,0.157088899391,0.10056939235500001,0.07062668033269999,0.0915250078115,0.09478150852600001,0.093266262876,0.0627712658059,0.110560814157,0.0528038280408,0.0334625431782,0.08112755404010001,0.0722735658363,0.0641062145893,0.0748450361295
Ruminococcus_bromii_62047_A,0.0285325263643,0.04869540282459999,0.07049560561139999,0.0178955183423,0.037727742253999996,0.040711219665099996,,0.0631526415081,,0.039490020748,0.012064338765100002,0.015021381002299999,0.0318329744861,0.0477545129164,0.0267788552676,,,0.026768582464299997,,0.033012499029999996,,0.018340238904599997,,,0.0148949408707,0.0170576533622,0.032100776235,0.0382537612589,,0.0752880950638,,,0.029538959696900003,0.028439095398499998,0.0601096993724,0.0159658029698,0.023414670872,0.0539859924347,0.041003588794699994,0.05029273996169999,0.0566296629142,,0.06632304843140001,,,0.0342814086533,0.0230009587657,,,0.0196709434657,0.0513637098264,,,0.08293631628539999,,0.010222155919299999,0.023034598458400002,0.0150631274083
Sutterella_wadsworthensis_56828_A,0.005522571869742856,0.004560732602840001,,0.0071935746691999996,0.004026001440436365,0.0038168525613166667,,,0.004829134635327274,0.007365022223306251,0.0033706219792,0.003976677640833333,0.004441614560709092,0.0041048105320857136,0.0038629184266,0.0041823098003800005,0.0037623860189272733,0.0036354154603454552,,0.005907232558520834,,0.005748900209292858,0.0064849996476,,0.008005698660572727,0.00556026987136,,0.006332219000470587,,0.009289333842250001,0.009248891481386665,,0.004671790072386365,0.00520154748557647,0.006524717656971428,0.005409543390840001,,,0.006502546085838463,0.0067578137491388895,0.00862574593325,0.008016243883257142,0.0051932052342,0.006212036072725,0.006415816132826667,0.010051311497411763,0.0050050989003,,0.00598598980224,0.0058995177758352935,,,,0.007333887773500001,0.005408262700175,0.0038689639398,0.00291630964926,0.004400744750260001
Sutterella_wadsworthensis_56828_B,0.02024943018905714,0.018242930411360003,,0.0197823303403,0.018117006481963637,0.019084262806583336,,,0.021731105858972727,0.031915096300993755,0.016853109896,0.019883388204166668,0.019987265523190908,0.024628863192514283,0.0154516737064,0.016729239201520002,0.016930737085172728,0.016359369571554545,,0.02244748372237917,,0.021079300767407144,0.0194549989428,,0.021348529761527273,0.01529074214624,,0.020579711751529412,,0.024152267989850002,0.025434451573813334,,0.01588408624611364,0.01690502932812353,0.023923964742228573,0.021638173563360005,,,0.021675153619461537,0.017570315747761113,0.02587723779975,0.020040609708142858,0.0155796157026,0.018636108218175,0.017643494365273335,0.02412314759378823,0.015015296700899999,,0.016461471956160004,0.01917343277146471,,,,0.029335551094000004,0.016224788100525002,0.0154758557592,0.01166523859704,0.017602979001040003
Bacteroides_uniformis_57318_A,0.05268782947485714,0.0572830409376842,0.0050720604621875,0.055550819957912494,0.020121182165233332,0.01603084750945385,,0.00449790513871,0.0399098823045,0.03095470543125,0.03671825829577941,,0.05357294243187857,0.026306687156479998,0.095372653315,0.07834431326795238,0.13117941431663635,0.0469772831283,0.026444312681359997,0.00870861415816,0.07075709265545455,0.04979138429762788,0.056163405913319996,0.10274216141657143,0.0533297105555,0.08697031400808,0.10131999978100001,0.12978795970687498,0.05278243870073104,0.04104600411944092,0.07582488110414286,0.08432726196396667,0.0968470531512605,0.06720890741381892,0.06752862924133333,0.054756816874694116,0.06883742899585417,0.05844778357448001,0.05704770659040001,0.048941187772650004,0.05051811389592857,0.055154258575407684,0.08905060494231579,0.08355567724097222,0.09299649082584376,0.08748270597600001,0.07667658189745455,0.06836888725036364,0.015962478057294113,0.021430054043650004,0.022428877065988232,0.06696584930844286,0.03606997687706,,0.06468872524613334,0.08112512202112498,0.053141514328367986,0.030188137774399996
Bacteroides_uniformis_57318_B,0.04436869850514286,0.02434529239851579,0.0355044232353125,0.012819419990287498,0.022995636760266665,0.05343615836484615,,0.04048114624839,0.0706097917695,0.03095470543125,0.0465097938413206,,0.02401545695222143,0.02301835126192,0.038149061325999996,0.01843395606304762,0.03858218068136364,0.020133121340700003,0.03022207163584,0.03483445663264,0.03301997657254546,0.06036729430137212,0.037442270608879995,0.01712369356942858,0.010665942111099997,0.009663368223119998,0.007793846136999997,0.008652530647125,0.01679441231386897,0.006480948018859092,0.0058326831618571405,0.01297342491753333,0.013968324973739496,0.013008175628481083,0.013505725848266663,0.011733603616005886,0.018115112893645837,0.014611945893619999,0.01584658516399999,0.01631372925755,0.020207245558371428,0.024513003811292306,0.016696988426684215,0.03676449798602778,0.01722157237515625,0.015214383648,0.007667658189745448,0.0068368887250363575,0.051878053686205884,0.021430054043650004,0.019936779614211763,0.018263413447757147,0.015458561518740003,,0.018482492927466666,0.035362232675875,0.020666144461031998,0.0150940688872
Eubacterium_rectale_56927_A,0.03647192398116429,0.10627254592597404,0.09608126558084999,0.1922451175846957,0.15428016534335295,0.126903782083,0.13257620321200003,0.11578149407459461,0.08336292836749166,0.20116738097146808,0.09601403675866667,0.18800727637548387,0.08066091192346,0.0766221532053913,0.058079333716691176,0.05130516938050909,0.018842195204844446,0.09569381501186207,0.0416473828201,0.13029051518235293,0.035418888401103625,0.08646304517297872,0.041410994923913334,0.05240186057747827,0.10145215385,0.0459048436152,0.06243991382353334,0.06395023522460001,0.034921940261788235,0.09552702330031035,0.04620538762579999,0.11307805690179311,0.09396563371294119,0.12821443407688735,0.11967475200833333,0.07951980549163636,0.08607366764642857,0.0774322772788,0.11398383253250001,0.15042402160644444,0.10741093933231709,0.09564144901833334,0.03972623310456923,0.05093284937478095,0.04049673709512766,0.0612437636745,0.072758914219125,0.060353032472152374,0.030516591620819995,0.07408063418000001,0.11563656838142856,0.0488045139015909,0.09999422293764705,0.3164287856784857,0.036201406920171424,0.07392608024157,0.09063388624674999,0.07855176027659998
