,SRR9224065,SRR9224066,SRR9224067,SRR9224068,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224020,SRR9224019c,SRR9224021,SRR9224024,SRR9224023,SRR9224026,SRR9224025,SRR9224018,SRR9224017,SRR9224403c,SRR9224404,SRR9224172,SRR9224135,SRR9224462,SRR9224408,SRR9224401,SRR9224311,SRR9224294,SRR9224293,SRR9224292,SRR9224291,SRR9224298,SRR9224297,SRR9224296,SRR9224295,SRR9224300,SRR9224299,SRR9224163,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224162,SRR9224168,SRR9224169,SRR9224113,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224251,SRR9224250,SRR9224249,SRR9224256,SRR9224255,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224473,SRR9224470,SRR9224471
Eubacterium_eligens_61678_A,0.041906083178699996,0.184995548033,,0.163691312383,0.0488842305957,0.0499342614144,0.070144675359,0.165657143222,0.026517134851099997,0.0363965260358,0.0618693916274,0.041545042879,0.035641918831699995,0.0253849894863,0.140443649118,0.0351293092139,0.023961493004299998,0.0631321959663,0.037606986363099996,0.0962927184208,0.0513247624847,0.055689173383,,0.0261592307723,0.09747401573480001,0.0406714329856,0.0439663531871,0.0815379468415,0.0562547559192,,0.0860452713102,0.0456440514267,0.0303626061834,,0.0435679750968,0.0608324180021,0.0862666873219,0.0483359999139,,0.0406488566815,0.09728848991800002,0.061423940491300004,0.0505102864905,0.043688941661800006,0.0339626068938,0.0822499124344,0.127402535649,0.0434574412004,0.0382217889272,0.0339819709996,0.0165839910695,0.0989226415419,0.09928255683579999,0.041858736659199994,0.0482733216072,0.157932089657,0.0375438037075,0.0305117064843,0.0366658425846,0.0844292664901,0.09335251380110002,0.0549927837218,0.0779475794311,0.0946309712665,0.0142282808776,0.0455089266632,0.0247866136553,,0.0338327904362,
Bifidobacterium_adolescentis_56815_A,,,,0.0754816351228,0.034775279766099995,0.0285101582792,0.019268115896999997,0.12406671225400001,0.0467272845574,0.0389013988232,,0.0333693628729,,0.0331001094795,,,0.025331248642599998,,0.05084406816880001,0.0179385662321,0.04540899852059999,,0.0504826137261,0.054248063291899996,,0.0628278872724,0.0445388118217,,0.0304964943545,0.0294983557205,,0.05368037065330001,0.0308261307683,,,,0.0648690912577,,0.05683080742930001,0.020719863646499997,0.020712371843900002,0.0231602811089,0.031093138250500002,,,,,0.023090168839,0.022010286825200003,0.0816880805072,0.116990860231,0.033729196905900004,0.0334193158543,0.0579961022395,0.041839097686,0.0432472900316,0.0730937233752,,,,0.0365146286553,,0.0317362162739,0.0965868684501,0.0150722462294,,,0.0471039463228,0.0502834651819,0.0163744210363
Ruminococcus_bicirculans_59300_A,0.0342042649981,0.028042068977399998,0.0276746523887,,0.0350184112331,0.0501554515933,0.0581507607969,0.0197431739801,0.0314091932761,0.029690365499299997,,0.138721863752,0.07224879068460001,,0.0559549213401,0.0673792325021,0.131578304724,0.047635036868900006,,0.0639099373057,0.0335493858174,0.0888523490345,0.028454332368900003,,,,,0.04364810656280001,,,,0.038165057769699993,0.071360537529,0.0394045375061,0.0301468716932,0.0589153648825,,0.041889210130099996,0.107304540515,0.05960297331119999,0.030724696074599996,0.0314116505106,0.137114908737,0.07833147938410001,0.183619807236,0.08901438787699999,0.060098465799,0.192951019373,0.0324281906281,0.01939778461,,,,0.023015279943499996,,,,,,,,,,,0.0158914010736,0.050234386236500006,0.0547192942297,0.0372199780666,0.0431513520987,0.053415384257899996
Faecalibacterium_prausnitzii_62201_A,,0.039918426487599995,,0.0285342393303,0.08429976350310002,0.0469926820675,0.0361112215933,0.101044947449,0.019973124481200002,0.0492838420703,0.0354496222588,0.0433597014894,,,0.0529612419299,,,,0.0249228790521,0.062094856073699994,0.086535144114,0.0587746076026,0.027642427663,0.0609673863604,0.0778554168303,0.138808110464,0.0413527425831,0.0604564791679,0.055339948100199994,0.0632842851644,0.0539395228326,0.06271069265269999,0.055271665048000004,0.0419466697597,0.04548139524230001,0.0563282480594,0.09591866735780001,0.048031097788699996,,0.0194504017644,0.042690636305900004,0.0442474362869,,,,,0.057667923781199996,,,0.0709802546103,0.0522209672913,0.140273516089,0.059671188447,0.0798858441149,0.06943128756780001,0.151457553913,0.136506595896,0.053619917192599995,0.0861932658246,0.106967227752,0.0658181536838,0.049907253675800005,0.045725620024800004,0.07591495163489999,0.109238089274,0.07748939415469999,0.034503752771699994,0.0475640892638,0.0477758563292,0.0264948763423
Dialister_invisus_61905_A,,0.033411197067,0.0254732925126,0.0338991237681,0.043216968266,,0.0221437153369,,0.036942555326,0.0350330187704,,0.0231684128875,0.0353350948696,,0.040745082809699996,0.035975913086900006,0.0370142585335,0.0369335023946,0.0489329714274,0.0346407778546,0.063271933594,,0.0321547825532,0.041173366975699996,,,0.0315801459567,,,0.0242287484977,0.030008104052200002,0.0324777586547,0.048126161277,0.0414567979351,0.0329082457278,0.0320948081966,0.0629857773757,0.0340057240723,0.020212907360599996,0.0315839219117,0.046370507532699994,0.0728547956815,0.0468488545566,0.0404389300009,,0.047683741194400005,,0.0582896995493,0.0328234200507,,0.0394113265061,0.0365696261939,0.0281870047984,0.0310697599252,0.051254130404900004,0.0638306104884,0.046160816772600005,0.0222221492318,,0.0276126202568,0.029367373004900003,,0.039676068700999996,0.056459291276199995,0.0451411398762,0.0357683879251,0.0403767877599,0.0449257559191,,0.022688401900299998
Bacteroides_uniformis_57318_A,0.15759288544299999,0.10631838257899999,0.21383297224599998,0.045162669486499996,0.10506135035900001,0.108443374378,0.14477542690099998,0.0321966895293,0.11556582459100001,0.125382791519,0.0619207374486,0.09697406834560002,0.109682861586,0.24415574081,0.15577516644,0.145038603598,0.196444637949,0.156914612999,0.143124152104,0.12678323115,0.111880874611,0.124080363413,0.207136641608,0.0729060535646,0.09632619338239999,0.0298758752337,0.14585004295600001,0.13753849613299998,0.13699024047,0.172397955654,0.163616860284,0.11775940191199999,0.09669103659710002,0.18541256931699998,0.22636978543000003,0.18810454958099998,0.0751430027823,0.217630594935,0.11294855896,0.147866503865,0.119881798132,0.102869638427,0.08739897052689999,0.11097307139399999,0.0798167650218,0.0864902758657,0.132060754263,0.06985240541860001,0.149426883882,0.0677110117379,0.0911787752345,0.0919102460176,0.0935518280678,0.0994568901082,0.1301425901,0.0402460574564,0.08080558575249999,0.24196073571499999,0.160321943379,0.16402578589400002,0.0761287995601,0.14303008535800002,0.122333535588,0.09639160168,0.118245030004,0.164597293086,0.165847697391,0.114230056089,0.114707111425,0.224389833365
Eubacterium_rectale_56927_A,,0.09312115847449999,,0.189156482522,0.030988530617299996,0.024778607343799997,,0.0280785426773,0.027852828477699997,0.0325641260325,,0.0147486865747,,,0.0262690102776,,,,,0.023912142150500002,,,,,,0.059039919882,,,,0.0240035512812,,0.051268285861999996,0.025727701471099998,,,0.02032423207,0.04375663592069999,,,0.0566294499593,0.016537762984,0.0261324699881,0.07939506469839999,0.037314169559699996,0.0360713396552,0.0331339854173,0.0408262487938,0.0338880000586,0.0388045702997,0.0346119371586,0.0226427564175,0.0243471027886,0.0249024427538,0.0129165899843,,0.0742039182471,0.0500637393957,,,0.0196784956331,0.023026109054400005,,,,0.0465762710126,0.022826487495200002,,,,
Bacteroides_xylanisolvens_57185_A,0.004651092374507141,0.0013096286593931035,0.008127215652063768,,0.005350742297330434,0.012275297865303028,0.003889304911024388,,0.010713775575505619,0.005583756491081053,0.002140590382060002,0.0017568434972814319,0.005346517616613698,0.004119180115061223,0.004838835864823528,0.006568541626757278,0.0034641033734482763,0.007570380843749997,0.007335286734096428,0.007024343411926606,0.007202460489463635,0.009992314043677777,0.013195419741460867,0.008813388681106383,0.01646806352451852,0.0018672539526666662,0.010530011713882981,0.013940862152699999,0.010271634601181556,0.0042522715180199995,0.011883002548052633,0.00409096308135,0.01976397673959091,0.007232819643355559,0.013043853514709757,0.0250775908339114,0.008359006644078789,0.009667439776436845,0.0044665783701584895,0.006774881455625968,0.004445488870689999,0.008418484490765217,0.002128211952698667,0.003531195780341818,0.0042015047925438994,0.0024829540380413794,0.003295927792036364,0.0016494531767296877,0.0034731351120786875,,0.000893281840134782,0.0013650626128918922,0.0012815877001962983,0.0010185965244655752,0.003032560622146154,0.0016595737257125002,0.0021951135896782622,0.004438810973469232,0.010073506858815192,0.0050629301232187505,0.001362090553097802,0.0016670185388035087,0.00160482717301875,0.0025181303883,0.0037004029369313786,0.0018297134078571425,0.001397327663368965,0.0015433516847766665,0.0013549804423684207,0.0007477545956319148
Bacteroides_xylanisolvens_57185_B,0.06046420086859286,0.017679986901806898,0.07198391006113623,,0.03940092055306957,0.06874166804569697,0.04926452887297561,,0.06874672660949438,0.05335589535921895,0.05137416916944,0.03810672815561857,0.059702780052186294,0.04634077629443877,0.03629126898617647,0.061087437128842716,0.036719495758551726,0.04693636123125,0.06112738945080357,0.047665187438073395,0.04561558309993636,0.06709125143612221,0.06267824377193913,0.050362221034893614,0.07245947950788148,0.012137150692333334,0.04446004945861702,0.0697043107635,0.07111131646971844,0.03827044366218,0.052624725569947364,0.03681866773215,0.08178513080840909,0.05786255714684444,0.06335585992859025,0.0791923921070886,0.031047738963721216,0.051559678807663156,0.05471558503444151,0.05706222011867403,0.040009399836210005,0.05612322993843478,0.03777576216040133,0.04502274619935818,0.0532190607055561,0.03351987951355862,0.023895476492263635,0.033538881260170315,0.0494921753471213,,0.019652200482965218,0.023888595725608107,0.03332128020510371,0.03004859747173443,0.03639072746575385,0.011617016079987502,0.023048692691621738,0.03403088412993077,0.05624374662838481,0.043541199059681256,0.039954656224202204,0.04584300981709649,0.03263148585138125,0.021823796698600004,0.033694213218468626,0.023786274302142855,0.03912517457433103,0.04475719885852334,0.03726196216513158,0.03439671139906808
Bacteroides_ovatus_58035_A,0.3222528511478571,0.10488515252799999,0.32693835946254,0.039033389824545454,0.18439452391096,0.2655618098102447,0.2608483650560173,0.08456219381356522,0.28904307291663034,0.26552074880753124,0.3672382174736571,0.2485057210490323,0.32812239847413543,0.2300204828562439,0.18379779575207145,0.30585029582936846,0.17861974792745763,0.1904517593036066,0.2691042005828937,0.21250073918190499,0.18666845603664003,0.26917578123230773,0.2055985114098261,0.18957147041655173,0.2354191047181912,0.04945518624618182,0.14974375707176088,0.24842012982376746,0.304257764943,0.17879758263886686,0.16072635891999998,0.17984319962710346,0.2583029704092405,0.26415624672869836,0.22325199301330476,0.21206227964267144,0.09412860010258621,0.19478305127987094,0.27152712824236364,0.28504879477364703,0.17901296702588235,0.21363750902627418,0.23513247473831328,0.25569110757790164,0.293673484436241,0.20017734172743246,0.11410066366691667,0.22086824652412282,0.2897586245889264,0.10985008670739393,0.1473049727380645,0.16363169458121568,0.28107964636986116,0.22415567450606816,0.19184151255252632,0.05855029478254547,0.11370365221875,0.14919923181386685,0.20908061832112,0.1915321419124286,0.2830555008713928,0.3674474811955588,0.21686019371274076,0.10611828528002501,0.1618090597124097,0.15453953499584616,0.30783921456885716,0.3351679962604737,0.25730440508284613,0.3063395839833704
